# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 46.000000 and phase < 50.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
# N = 36
# N_spec = 50
# phase = 47.96
# dm15 = 1.05
# z = 0.011

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  --------  ----------  -------------
        3034   0.49413         0.0335792        0.00513059   49.6939  1.03      0.029564                1
        3036   0.890235        0.0604971        0.00924339   49.6939  1.03      0.029564                1
        3038   0.170351        0.0115764        0.00176877   49.6939  1.03      0.029564                1
        3040   0.246596        0.0167578        0.00256043   49.6939  1.03      0.029564                1
        3042   0.600071        0.0407786        0.00623059   49.6939  1.03      0.029564                1
        3044   0.871396        0.0592168        0.00904778   49.6939  1.03      0.029564                1
        3046   0.904526        0.0614682        0.00939177   49.6939  1.03      0.029564                1
        3048   0.924116        0.0627995        0.00959517   49.6939  1.03      0.029564                1
        3050   0.810134        0.0550537        0.00841169   49.6939  1.03      0.029564                1
        3052   0.475779        0.0323322        0.00494005   49.6939  1.03      0.029564                1
        3054   0.426635        0.0289925        0.00442978   49.6939  1.03      0.029564                1
        3056   0.170442        0.0115826        0.00176972   49.6939  1.03      0.029564                1
        3058   0.251834        0.0171137        0.00261481   49.6939  1.03      0.029564                1
        3060   0.324904        0.0220792        0.0033735    49.6939  1.03      0.029564                1
        3062  -0.00469853      4.87852e-05      0.000319295  49.6939  1.03      0.029564                1
        3064   0.0352126       0.00239292       0.000365616  49.6939  1.03      0.029564                1
        3066   0.283878        0.0192913        0.00294753   49.6939  1.03      0.029564                1
        3068   0.137956        0.00937499       0.00143241   49.6939  1.03      0.029564                1
        3070   0.179275        0.0121828        0.00186142   49.6939  1.03      0.029564                1
        3072   0.199959        0.356439         0.077014     49.3801  1.02637   0.0254152               2
        3074   0.276636        0.45106          0.097457     49.3782  1.02634   0.025389                2
        3076   0.347951        0.434084         0.0911865    49.3778  1.02634   0.0253845               2
        3078   0.472238        0.349192         0.0690754    49.3775  1.02634   0.0253799               2
        3080   0.607148        0.411474         0.0808557    49.3766  1.02633   0.0253682               2
        3082   0.456199        0.237457         0.0450587    49.3757  1.02632   0.0253568               2
        3084   0.205155        0.0129743        0.0136571    49.3748  1.02631   0.0253443               2
        3086   0.102395        0.0425057        0.00777143   49.3743  1.0263    0.0253373               2
        3088   0.18002         0.144605         0.0294231    49.373   1.02628   0.0253204               2
        3090   0.116414        0.00738278       0.00619275   49.3727  1.02628   0.0253169               2
        3092  -0.0626491       0.0308739        0.136041     49.3717  1.02627   0.0253032               2
        3094   0.343971        0.192213         0.0377712    49.3704  1.02626   0.0252869               2
        3096   0.386924        0.291144         0.0603159    49.3671  1.02622   0.025242                2
        3098   0.195658        0.0134941        0.00524791   49.3728  1.02628   0.025318                2
        3100   0.245984        0.0907414        0.0152629    49.3855  1.02643   0.025486                2
        3102   0.130626        0.188413         0.0386553    49.3877  1.02645   0.0255146               2
        3104   0.327825        0.278682         0.0540183    49.3857  1.02643   0.025488                2
        3106   0.408187        0.137508         0.0235906    49.3765  1.02632   0.0253663               2
        3108   0.175705        0.0111253        0.0108387    49.3717  1.02627   0.025303                2
        3110   0.167409        0.218214         0.0475218    49.3703  1.02625   0.0252851               2
        3112   0.359936        0.366541         0.0764244    49.3726  1.02628   0.0253156               2
        3114   0.299032        0.330945         0.0701858    49.3715  1.02627   0.0253014               2
        3116   0.279116        0.364199         0.0816507    49.3631  1.02617   0.0251892               2
        3118   0.252258        0.269632         0.0596091    49.36    1.02613   0.0251485               2
        3120   0.306407        0.331302         0.0729397    49.3614  1.02615   0.0251678               2
        3122   0.123343        0.147174         0.0331213    49.3593  1.02613   0.0251395               2
        3124   0.163773        0.0333433        0.00563806   49.3516  1.02604   0.0250381               2
        3126   0.294822        0.185421         0.0412261    49.3448  1.02596   0.0249481               2
        3128   0.0882713       0.105515         0.0253702    49.3422  1.02593   0.0249135               2
        3130  -0.015448        0.019743         0.0733481    49.3356  1.02585   0.0248259               2
        3132   0.234187        0.129764         0.029969     49.3313  1.0258    0.0247692               2
        3134   0.422611        0.431875         0.107848     49.3264  1.02575   0.0247047               2
        3136   0.300774        0.302361         0.0767634    49.3213  1.02569   0.0246364               2
        3138   0.131859        0.0466486        0.010702     49.3144  1.02561   0.0245452               2
        3140   0.250887        0.165559         0.0430937    49.305   1.0255    0.0244209               2
        3142   0.382837        0.256641         0.0671556    49.3039  1.02549   0.0244072               2
        3144   0.345898        0.319997         0.0587392    49.2458  1.02668   0.0240861               3
        3146   0.287861        0.123175         0.0634488    49.2408  1.02659   0.0240129               3
        3148   0.275334        0.0772913        0.0777128    49.238   1.02653   0.0239688               3
        3150   0.291853        0.15151          0.0713075    49.2342  1.02647   0.0239141               3
        3152   0.105228        0.0238983        0.100505     49.2299  1.0264    0.0238518               3
        3154   0.20386         0.0151975        0.000696356  49.2257  1.02633   0.0237913               3
        3156   0.276391        0.13122          0.053112     49.2182  1.02622   0.0236872               3
        3158   0.144688        0.0225615        0.0377446    49.2149  1.02616   0.0236381               3
        3160   0.1309          0.0159486        0.0323785    49.2061  1.02603   0.0235148               3
        3162   0.216432        0.0336443        0.0607508    49.1972  1.02591   0.0233928               3
        3164   0.201034        0.042627         0.0412613    49.1932  1.02585   0.0233367               3
        3166   0.111835        0.0713829        0.0114704    49.1863  1.02575   0.0232399               3
        3168   0.234721        0.143171         0.0324397    49.1882  1.02575   0.0232614               3
        3170   0.259042        0.108192         0.0346845    49.1862  1.02571   0.0232311               3
        3172   0.153624        0.0611272        0.00986524   49.1728  1.02552   0.0230458               3
        3174   0.278365        0.139672         0.0463086    49.1702  1.02548   0.0230068               3
        3176   0.25991         0.0962677        0.0320743    49.1683  1.02545   0.0229801               3
        3178   0.154077        0.028972         0.00128985   49.1628  1.02536   0.0229008               3
        3180   0.126776        0.0123927        0.0038799    49.1593  1.0253    0.0228519               3
        3182   0.256582        0.035172         0.0351011    49.1575  1.02528   0.0228259               3
        3184   0.409333        0.178459         0.0970111    49.1588  1.02528   0.0228404               3
        3186   0.213768        0.099035         0.221367     48.65    1.2588    0.00874987              4
        3188   0.17373         0.0572231        0.153691     48.6438  1.26128   0.0086106               4
        3190   0.133582        0.0265401        0.0531211    48.6565  1.25646   0.00891617              4
        3192   0.161784        0.0554473        0.136065     48.6574  1.25487   0.00898118              4
        3194   0.175228        0.0744228        0.149647     48.6562  1.25338   0.00901574              4
        3196   0.162601        0.0501653        0.124114     48.6637  1.25064   0.00919637              4
        3198   0.161343        0.0335074        0.0792013    48.6712  1.24592   0.00943178              4
        3200   0.134052        0.0283533        0.021064     48.6775  1.24233   0.00962042              4
        3202   0.172589        0.0496237        0.0857399    48.6841  1.23894   0.00981038              4
        3204   0.186478        0.0607911        0.112039     48.7016  1.23014   0.0102915               4
        3206   0.171399        0.0666403        0.0807162    48.7028  1.2278    0.0103787               4
        3208   0.166047        0.0706633        0.0935385    48.6953  1.23055   0.0102126               4
        3210   0.163892        0.0692535        0.0859611    48.6997  1.22814   0.0103438               4
        3212   0.163979        0.0668498        0.0770993    48.7069  1.22282   0.0105921               4
        3214   0.173034        0.0721993        0.121219     48.6993  1.2252    0.0104334               4
        3216   0.198737        0.103376         0.17753      48.706   1.22257   0.0106005               4
        3218   0.174301        0.0822318        0.117256     48.7027  1.22185   0.010583                4
        3220   0.160935        0.0600323        0.110548     48.6958  1.22226   0.0104851               4
        3222   0.177762        0.0706445        0.13235      48.6959  1.22219   0.0104944               4
        3224   0.152503        0.0552942        0.0924332    48.7025  1.21864   0.0106856               4
        3226   0.168334        0.0742017        0.132446     48.7014  1.21821   0.0106868               4
        3228   0.178295        0.0709303        0.144074     48.6978  1.2199    0.0105977               4
        3230   0.198225        0.0935461        0.144555     48.7031  1.21539   0.0107965               4
        3232   0.138849        0.0747934        0.0797854    48.7065  1.21299   0.0109133               4
        3234   0.132391        0.0470135        0.0758242    48.6986  1.21647   0.0107152               4
        3236   0.142064        0.0505544        0.0875304    48.6983  1.21567   0.0107359               4
        3238   0.126918        0.0331956        0.0421799    48.705   1.21218   0.0109252               4
        3240   0.14566         0.0345564        0.0780545    48.6739  1.20731   0.011113                5
        3242   0.17382         0.0707419        0.122101     48.6761  1.20423   0.0112359               5
        3244   0.156577        0.057739         0.103025     48.6756  1.20281   0.0112741               5
        3246   0.178013        0.0840938        0.144482     48.6682  1.20322   0.0111605               5
        3248   0.167563        0.098198         0.122474     48.673   1.20017   0.0113212               5
        3250   0.175783        0.106402         0.118092     48.6722  1.19727   0.0113991               5
        3252   0.165719        0.0758328        0.103343     48.6725  1.19479   0.0114804               5
        3254   0.172136        0.0671065        0.113316     48.6728  1.19414   0.011508                5
        3256   0.153586        0.0434702        0.0899971    48.6656  1.19634   0.0113465               5
        3258   0.164462        0.0558665        0.0928419    48.6602  1.19376   0.0113497               5
        3260   0.157266        0.0597489        0.072171     48.6582  1.19506   0.011292                5
        3262   0.153562        0.0907805        0.0959212    48.6572  1.19537   0.0112761               5
        3264   0.146038        0.0913608        0.0877223    48.6537  1.19239   0.0113117               6
        3266   0.167168        0.084011         0.109342     48.649   1.19354   0.011219                6
        3268   0.167829        0.060584         0.103458     48.65    1.19252   0.0112733               6
        3270   0.138816        0.0563926        0.0633351    48.6497  1.19109   0.0113254               6
        3272   0.144714        0.0576609        0.0817069    48.6406  1.19263   0.0111606               6
        3274   0.158453        0.0910109        0.108099     48.5504  1.19145   0.0109213               7
        3276   0.113484        0.0747177        0.062534     48.551   1.18594   0.0111306               7
        3278   0.108306        0.0295683        0.0392997    48.5468  1.18563   0.0111026               7
        3280   0.145376        0.0402876        0.0724809    48.54    1.18635   0.0109908               7
        3282   0.125409        0.0497488        0.056051     48.5529  1.26249   0.0102883               8
        3284   0.107197        0.0536102        0.0451275    48.5539  1.26224   0.0103882               8
        3286   0.123773        0.0578453        0.0469872    48.5493  1.26082   0.0104025               8
        3288   0.110807        0.0440318        0.0336057    48.5452  1.26161   0.0103452               8
        3290   0.116441        0.0342975        0.0399871    48.5401  1.26268   0.0102537               8
        3292   0.133726        0.0446329        0.0613322    48.5371  1.26375   0.010216                8
        3294   0.119776        0.053834         0.0482937    48.5349  1.26444   0.010204                8
        3296   0.0776588       0.0242497        0.017958     48.5285  1.26514   0.0101045               8
        3298   0.0558107       0.0202278        0.0154089    48.5254  1.26538   0.0101104               8
        3300   0.133133        0.0531685        0.052818     48.522   1.26544   0.0101003               8
        3302   0.134049        0.06503          0.0608401    48.5153  1.26613   0.00998112              8
        3304   0.139998        0.0551671        0.0594256    48.5115  1.26581   0.00996369              8
        3306   0.147254        0.0596245        0.064103     48.5073  1.26579   0.00992945              8
        3308   0.145404        0.0708024        0.0718931    48.5055  1.26611   0.0099562               8
        3310   0.133188        0.0550666        0.0495223    48.5029  1.26668   0.00993648              8
        3312   0.1112          0.0363524        0.0379077    48.4999  1.26777   0.00988315              8
        3314   0.115564        0.0415001        0.0410632    48.4964  1.2683    0.00986631              8
        3316   0.116742        0.0400652        0.036188     48.4921  1.26916   0.00979451              8
        3318   0.0992358       0.0218886        0.0218922    48.489   1.27092   0.00971063              8
        3320   0.110927        0.033765         0.0349168    48.4863  1.27234   0.00964786              8
        3322   0.111935        0.016454         0.0207943    48.4823  1.27234   0.00960535              8
        3324   0.114722        0.018827         0.0251618    48.4809  1.27309   0.00961028              8
        3326   0.125771        0.0357059        0.0452991    48.4794  1.27385   0.00959409              8
        3328   0.130454        0.0393477        0.0559088    48.4757  1.27357   0.00957878              8
        3330   0.119843        0.0328348        0.0363556    48.4736  1.27431   0.00955166              8
        3332   0.133771        0.0516091        0.0498926    48.4721  1.27551   0.00952142              8
        3334   0.134565        0.0438283        0.0451486    48.4674  1.27692   0.00947133              8
        3336   0.132709        0.0353638        0.0447814    48.4657  1.27705   0.00944126              8
        3338   0.132197        0.0300134        0.0425545    48.4698  1.27764   0.0094658               8
        3340   0.12118         0.0249377        0.031346     48.469   1.27796   0.00947694              8
        3342   0.115696        0.0233727        0.0197925    48.4689  1.27954   0.00946491              8
        3344   0.127056        0.0395635        0.038151     48.471   1.28287   0.00943353              8
        3346   0.126334        0.0286443        0.0320383    48.4734  1.28569   0.00944115              8
        3348   0.116049        0.0221748        0.0161137    48.4736  1.2864    0.00946788              8
        3350   0.125391        0.0335306        0.0257012    48.4701  1.2859    0.00943357              8
        3352   0.146399        0.0494849        0.047571     48.4678  1.2866    0.00938507              8
        3354   0.134079        0.0414136        0.0384616    48.4654  1.28623   0.0093806               8
        3356   0.124542        0.022115         0.0256482    48.4639  1.28626   0.00937535              8
        3358   0.11881         0.0150756        0.0184285    48.4648  1.28561   0.00946134              8
        3360   0.129365        0.020773         0.0301689    48.4661  1.28417   0.00961742              8
        3362   0.151042        0.04855          0.0493319    48.467   1.28269   0.00976133              8
        3364   0.160303        0.0597369        0.0567091    48.4662  1.28277   0.00975851              9
        3366   0.126072        0.0295038        0.0288483    48.4665  1.28444   0.00969864              9
        3368   0.126846        0.0200483        0.0182079    48.4666  1.28463   0.00967626              9
        3370   0.163709        0.0361041        0.0418756    48.465   1.28531   0.00961614              9
        3372   0.136189        0.0164708        0.0197335    48.4652  1.28651   0.009608                9
        3374   0.128604        0.0168029        0.0217529    48.4655  1.28709   0.00959878              9
        3376   0.146945        0.0333254        0.0408928    48.4651  1.28825   0.00958172              9
        3378   0.136729        0.0235611        0.0292111    48.464   1.28927   0.00954257              9
        3380   0.116467        0.0243659        0.0212586    48.4635  1.2894    0.00952881              9
        3382   0.122976        0.0246444        0.0201936    48.465   1.28977   0.00956487              9
        3384   0.15072         0.027438         0.0343657    48.4654  1.29059   0.00951983              9
        3386   0.151366        0.0295466        0.0359716    48.4663  1.29087   0.00952172              9
        3388   0.1569          0.037607         0.0409017    48.468   1.29126   0.00957381              9
        3390   0.162101        0.0428187        0.038161     48.4697  1.29242   0.00958431              9
        3392   0.150974        0.0329493        0.0260707    48.4729  1.293     0.00964455              9
        3394   0.160776        0.0390332        0.03445      48.4741  1.29378   0.00964667              9
        3396   0.157075        0.0548427        0.0436616    48.4732  1.29447   0.00960613              9
        3398   0.145374        0.0408325        0.0320365    48.4737  1.29506   0.00961593              9
        3400   0.146425        0.0307159        0.0206524    48.4771  1.29565   0.0096427               9
        3402   0.147329        0.034873         0.0237583    48.4808  1.29636   0.00964342              9
        3404   0.15345         0.025547         0.0174686    48.4829  1.29686   0.00969215              9
        3406   0.161632        0.0194491        0.0204928    48.481   1.2964    0.00975232              9
        3408   0.17526         0.0293579        0.0280759    48.4845  1.29776   0.00981179              9
        3410   0.1842          0.0385604        0.0320564    48.4925  1.30205   0.00987306              9
        3412   0.193273        0.0495495        0.0430248    48.4923  1.30182   0.00983657              9
        3414   0.18698         0.0343181        0.0354915    48.4882  1.29954   0.00981234              9
        3416   0.17993         0.0289306        0.0282637    48.456   1.29666   0.010085               10
        3418   0.189817        0.0266023        0.035455     48.4567  1.29725   0.010078               10
        3420   0.174091        0.0241638        0.0204636    48.4569  1.29652   0.0101477              11
        3422   0.183032        0.0274417        0.0305679    48.4601  1.29679   0.0102261              12
        3424   0.180626        0.0257718        0.0232531    48.459   1.29618   0.0104015              12
        3426   0.171225        0.0258159        0.0175678    48.4673  1.29432   0.0107835              12
        3428   0.190627        0.0435498        0.0351156    48.4695  1.29746   0.0105947              12
