# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 39.000000 and phase < 43.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
# N = 48
# N_spec = 76
# phase = 41.15
# dm15 = 1.13
# z = 0.011

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  ----------  -------------
        1602   0.00384784       3.61547e-05      4.07492e-05  40.8     1.108     0.000804                1
        1604   0.00583384       5.48154e-05      6.17813e-05  40.8     1.108     0.000804                1
        1606  -0.00953443       0.000100971      8.95864e-05  40.8     1.108     0.000804                1
        1608   0.000346871      3.25923e-06      3.67342e-06  40.8     1.108     0.000804                1
        1610  -0.0103252        0.000109346      9.70168e-05  40.8     1.108     0.000804                1
        1612  -0.00764078       8.0917e-05       7.17935e-05  40.8     1.108     0.000804                1
        1614  -0.0093047        9.85382e-05      8.74279e-05  40.8     1.108     0.000804                1
        1616   0.00759803       7.13918e-05      8.04643e-05  40.8     1.108     0.000804                1
        1618  -0.00221098       2.34146e-05      2.07746e-05  40.8     1.108     0.000804                1
        1620   0.00871844       8.19193e-05      9.23296e-05  40.8     1.108     0.000804                1
        1622   0.0120322        0.000113055      0.000127422  40.8     1.108     0.000804                1
        1624   0.0122961        0.000115536      0.000130218  40.8     1.108     0.000804                1
        1626  -0.00807534       8.55191e-05      7.58767e-05  40.8     1.108     0.000804                1
        1628  -0.00333268       3.52936e-05      3.13142e-05  40.8     1.108     0.000804                1
        1630  -0.00251356       2.6619e-05       2.36177e-05  40.8     1.108     0.000804                1
        1632   0.00808713       7.59875e-05      8.5644e-05   40.8     1.108     0.000804                1
        1634   0.00467013       4.3881e-05       4.94574e-05  40.8     1.108     0.000804                1
        1636   0.00140798       1.32295e-05      1.49108e-05  40.8     1.108     0.000804                1
        1638   0.00459846       4.32076e-05      4.86984e-05  40.8     1.108     0.000804                1
        1640   0.00393428       3.69669e-05      4.16646e-05  40.8     1.108     0.000804                1
        1642   0.00459365       4.31624e-05      4.86475e-05  40.8     1.108     0.000804                1
        1644   0.00497156       4.67132e-05      5.26496e-05  40.8     1.108     0.000804                1
        1646   0.00535113       5.02798e-05      5.66693e-05  40.8     1.108     0.000804                1
        1648   0.000799812      7.51511e-06      8.47014e-06  40.8     1.108     0.000804                1
        1650   0.00283148       2.66048e-05      2.99858e-05  40.8     1.108     0.000804                1
        1652   0.00120394       1.13123e-05      1.27499e-05  40.8     1.108     0.000804                1
        1654   0.00758921       7.13089e-05      8.03709e-05  40.8     1.108     0.000804                1
        1656   0.00479352       4.50404e-05      5.07641e-05  40.8     1.108     0.000804                1
        1658   0.00662311       6.22314e-05      7.01398e-05  40.8     1.108     0.000804                1
        1660   0.00615959       5.78761e-05      6.5231e-05   40.8     1.108     0.000804                1
        1662   0.00600532       5.64265e-05      6.35972e-05  40.8     1.108     0.000804                1
        1664  -4.74345e-05      5.02338e-07      4.45699e-07  40.8     1.108     0.000804                1
        1666   0.00322478       3.03003e-05      3.41509e-05  40.8     1.108     0.000804                1
        1668   0.0036535        3.43286e-05      3.86911e-05  40.8     1.108     0.000804                1
        1670   0.00167998       1.57853e-05      1.77913e-05  40.8     1.108     0.000804                1
        1672   0.00274226       2.57665e-05      2.90409e-05  40.8     1.108     0.000804                1
        1674   0.00429243       4.03321e-05      4.54575e-05  40.8     1.108     0.000804                1
        1676   0.00320774       3.01403e-05      3.39705e-05  40.8     1.108     0.000804                1
        1678   0.00230989       2.17039e-05      2.4462e-05   40.8     1.108     0.000804                1
        1680   0.00977489       9.18458e-05      0.000103518  40.8     1.108     0.000804                1
        1682   0.00774903       7.28106e-05      8.20634e-05  40.8     1.108     0.000804                1
