# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 26.000000 and phase < 28.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
# N = 56
# N_spec = 64
# phase = 27.23
# dm15 = 1.17
# z = 0.014

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15     Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  -------  -----------  -------------
        1602   0.00984979       0.000192554      4.44258e-05  27       1.108    0.000804                 1
        1604   0.0131154        0.000256393      5.91547e-05  27       1.108    0.000804                 1
        1606   0.0144679        0.000282833      6.52549e-05  27       1.108    0.000804                 1
        1608   0.00985819       0.000192718      4.44637e-05  27       1.108    0.000804                 1
        1610  -0.00300659       1.35607e-05      5.8776e-05   27       1.108    0.000804                 1
        1612   0.000863884      1.68881e-05      3.8964e-06   27       1.108    0.000804                 1
        1614   0.0062044        0.00012129       2.79839e-05  27       1.108    0.000804                 1
        1616   0.0024803        4.84876e-05      1.1187e-05   27       1.108    0.000804                 1
        1618   0.00548498       0.000107226      2.47391e-05  27       1.108    0.000804                 1
        1620   0.00574943       0.000112396      2.59318e-05  27       1.108    0.000804                 1
        1622   0.0063162        0.000123476      2.84882e-05  27       1.108    0.000804                 1
        1624  -0.00232483       1.04857e-05      4.54482e-05  27       1.108    0.000804                 1
        1626   0.00156647       3.06229e-05      7.06528e-06  27       1.108    0.000804                 1
        1628   0.00404568       7.90891e-05      1.82473e-05  27       1.108    0.000804                 1
        1630  -0.00234984       1.05986e-05      4.59371e-05  27       1.108    0.000804                 1
        1632  -0.00024877       1.12204e-06      4.86322e-06  27       1.108    0.000804                 1
        1634   0.00148054       2.89432e-05      6.67774e-06  27       1.108    0.000804                 1
        1636  -0.000660813      2.98049e-06      1.29183e-05  27       1.108    0.000804                 1
        1638   0.00497254       9.72085e-05      2.24278e-05  27       1.108    0.000804                 1
        1640   0.0033542        6.55714e-05      1.51286e-05  27       1.108    0.000804                 1
        1642   0.000296877      5.80367e-06      1.33901e-06  27       1.108    0.000804                 1
        1644   0.00221669       4.33342e-05      9.998e-06    27       1.108    0.000804                 1
        1646   0.0012641        2.4712e-05       5.70153e-06  27       1.108    0.000804                 1
        1648   0.00282543       5.52344e-05      1.27436e-05  27       1.108    0.000804                 1
        1650   0.00335258       6.55397e-05      1.51212e-05  27       1.108    0.000804                 1
        1652   0.00200807       3.92558e-05      9.05705e-06  27       1.108    0.000804                 1
        1654   0.00347233       6.78808e-05      1.56614e-05  27       1.108    0.000804                 1
        1656   0.00341287       6.67183e-05      1.53932e-05  27       1.108    0.000804                 1
        1658   0.00180129       3.52134e-05      8.1244e-06   27       1.108    0.000804                 1
        1660   0.00131583       2.57231e-05      5.93481e-06  27       1.108    0.000804                 1
        1662   0.00185894       3.63404e-05      8.38441e-06  27       1.108    0.000804                 1
        1664   0.00201563       3.94037e-05      9.09117e-06  27       1.108    0.000804                 1
        1666   0.00256772       5.01964e-05      1.15813e-05  27       1.108    0.000804                 1
        1668   0.00288459       5.6391e-05       1.30105e-05  27       1.108    0.000804                 1
        1670   0.000460451      9.00137e-06      2.07679e-06  27       1.108    0.000804                 1
        1672   0.00261661       5.11521e-05      1.18018e-05  27       1.108    0.000804                 1
        1674   0.00265957       5.1992e-05       1.19955e-05  27       1.108    0.000804                 1
        1676   0.001867         3.64981e-05      8.42078e-06  27       1.108    0.000804                 1
        1678   0.0020068        3.9231e-05       9.05132e-06  27       1.108    0.000804                 1
        1680   0.00214694       4.19706e-05      9.6834e-06   27       1.108    0.000804                 1
        1682   0.00196055       3.83269e-05      8.84273e-06  27       1.108    0.000804                 1
        1684   0.00276551       5.40632e-05      1.24734e-05  27       1.108    0.000804                 1
        1686   0.00359273       7.02344e-05      1.62044e-05  27       1.108    0.000804                 1
        1688   0.00269799       5.27432e-05      1.21688e-05  27       1.108    0.000804                 1
        1690   0.00140756       2.75164e-05      6.34855e-06  27       1.108    0.000804                 1
        1692   0.00212056       4.14548e-05      9.56441e-06  27       1.108    0.000804                 1
        1694   0.00155899       3.04768e-05      7.03156e-06  27       1.108    0.000804                 1
        1696   0.00295542       5.77756e-05      1.33299e-05  27       1.108    0.000804                 1
        1698   0.00270642       5.2908e-05       1.22069e-05  27       1.108    0.000804                 1
        1700   0.00155554       3.04093e-05      7.016e-06    27       1.108    0.000804                 1
        1702   0.00235798       4.60963e-05      1.06353e-05  27       1.108    0.000804                 1
        1704   0.00235032       4.59465e-05      1.06007e-05  27       1.108    0.000804                 1
        1706   0.00146816       2.87012e-05      6.6219e-06   27       1.108    0.000804                 1
        1708   0.00234617       4.58653e-05      1.0582e-05   27       1.108    0.000804                 1
        1710   0.00277675       5.42828e-05      1.25241e-05  27       1.108    0.000804                 1
        1712   0.00354824       6.93647e-05      1.60037e-05  27       1.108    0.000804                 1
        1714   0.00408477       7.98533e-05      1.84237e-05  27       1.108    0.000804                 1
        1716   0.00374472       7.32057e-05      1.68899e-05  27       1.108    0.000804                 1
        1718   0.00552614       0.000108031      2.49247e-05  27       1.108    0.000804                 1
        1720   0.0053555        0.000104695      2.41551e-05  27       1.108    0.000804                 1
        1722   0.00531054       0.000103816      2.39523e-05  27       1.108    0.000804                 1
        1724   0.00346502       6.77378e-05      1.56284e-05  27       1.108    0.000804                 1
        1726   0.00489157       9.56256e-05      2.20626e-05  27       1.108    0.000804                 1
        1728   0.00562335       0.000109931      2.53631e-05  27       1.108    0.000804                 1
        1730   0.00487524       9.53063e-05      2.1989e-05   27       1.108    0.000804                 1
        1732   0.00470179       9.19156e-05      2.12066e-05  27       1.108    0.000804                 1
        1734   0.00423989       8.28857e-05      1.91233e-05  27       1.108    0.000804                 1
        1736   0.00241187       4.71497e-05      1.08783e-05  27       1.108    0.000804                 1
        1738   0.00454538       8.88578e-05      2.05012e-05  27       1.108    0.000804                 1
        1740   0.00228129       4.4597e-05       1.02894e-05  27       1.108    0.000804                 1
        1742   0.00299657       5.85802e-05      1.35155e-05  27       1.108    0.000804                 1
        1744   0.00378674       7.40271e-05      1.70794e-05  27       1.108    0.000804                 1
        1746   0.00349589       6.83413e-05      1.57676e-05  27       1.108    0.000804                 1
        1748   0.00302158       5.9069e-05       1.36283e-05  27       1.108    0.000804                 1
        1750   0.00305923       5.98049e-05      1.37981e-05  27       1.108    0.000804                 1
        1752   0.00370533       7.24356e-05      1.67123e-05  27       1.108    0.000804                 1
