# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 20.000000 and phase < 22.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
# N = 61
# N_spec = 78
# phase = 20.93
# dm15 = 1.11
# z = 0.014

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  -------  ----------  -------------
        1602   0.00285493       2.53387e-05      1.33513e-05  20.9     1.108    0.000804                1
        1604  -0.00635605       2.97246e-05      5.64126e-05  20.9     1.108    0.000804                1
        1606   0.00193111       1.71394e-05      9.03102e-06  20.9     1.108    0.000804                1
        1608  -0.000202446      9.46755e-07      1.79679e-06  20.9     1.108    0.000804                1
        1610   0.00135879       1.20598e-05      6.35449e-06  20.9     1.108    0.000804                1
        1612   0.00311546       2.7651e-05       1.45697e-05  20.9     1.108    0.000804                1
        1614   0.000450586      3.99914e-06      2.10721e-06  20.9     1.108    0.000804                1
        1616  -0.00267745       1.25213e-05      2.37635e-05  20.9     1.108    0.000804                1
        1618   0.00194847       1.72934e-05      9.11217e-06  20.9     1.108    0.000804                1
        1620   0.00361937       3.21234e-05      1.69263e-05  20.9     1.108    0.000804                1
        1622   0.00255512       2.26777e-05      1.19492e-05  20.9     1.108    0.000804                1
        1624   0.000505955      4.49055e-06      2.36614e-06  20.9     1.108    0.000804                1
        1626   0.000691094      6.13374e-06      3.23196e-06  20.9     1.108    0.000804                1
        1628   0.00071078       6.30847e-06      3.32402e-06  20.9     1.108    0.000804                1
        1630   0.00242039       2.1482e-05       1.13192e-05  20.9     1.108    0.000804                1
        1632   0.0027955        2.48112e-05      1.30734e-05  20.9     1.108    0.000804                1
        1634   0.00349532       3.10224e-05      1.63462e-05  20.9     1.108    0.000804                1
        1636  -0.00168443       0.0135588        0.00351546   20.8793  1.06903  0.00144364              2
        1638   0.00777334       0.00597919       0.0240118    20.88    1.07033  0.00142241              2
        1640   0.000554631      0.00734052       0.00173768   20.8806  1.07153  0.0014027               2
        1642  -0.000817634      0.0140005        0.00320948   20.8812  1.07263  0.00138454              2
        1644   0.00185394       0.00409352       0.000883965  20.8817  1.07364  0.00136795              2
        1646   0.00281129       0.000456084      0.00223762   20.8822  1.07456  0.00135291              2
        1648  -0.00636803       0.0466014        0.00971762   20.8827  1.07539  0.00133936              2
        1650  -0.000978434      0.0145902        0.00294952   20.883   1.07612  0.00132724              2
        1652  -0.000221346      0.0120225        0.00236454   20.8834  1.07678  0.00131646              2
        1654   0.00133544       0.00394696       0.000744337  20.8837  1.07736  0.00130693              2
        1656   0.000268951      0.0108979        0.00204924   20.884   1.07787  0.00129853              2
        1658  -0.000603409      0.012298         0.00228094   20.8842  1.07832  0.00129115              2
        1660   0.000712764      0.00871889       0.00157969   20.8844  1.07872  0.00128465              2
        1662   0.001569         0.0150182        0.00267886   20.8846  1.07907  0.00127891              2
        1664   0.00334311       0.0011482        0.00654928   20.8848  1.07938  0.00127382              2
