# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -8.000000 and phase < -6.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
# N = 67
# N_spec = 110
# phase = -6.91
# dm15 = 1.11
# z = 0.011

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1226   0.310469         0.0107883        0.00281398   -6.49625  1.11469   0.002425                1
        1228  -0.502752         0.00455676       0.0174698    -6.49625  1.11469   0.002425                1
        1230   0.464968         0.0161569        0.0042143    -6.49625  1.11469   0.002425                1
        1232   0.991578         0.0344557        0.0089873    -6.49625  1.11469   0.002425                1
        1234   0.0559789        0.00194517       0.000507372  -6.49625  1.11469   0.002425                1
        1236   0.112369         0.00390464       0.00101847   -6.49625  1.11469   0.002425                1
        1238   0.663648         0.0230607        0.00601506   -6.49625  1.11469   0.002425                1
        1240   0.526429         0.0182925        0.00477136   -6.49625  1.11469   0.002425                1
        1242  -0.033459         0.00030326       0.00116265   -6.49625  1.11469   0.002425                1
        1244   0.0946353        0.00328842       0.00085774   -6.49625  1.11469   0.002425                1
        1246   0.0373121        0.00129653       0.000338183  -6.49625  1.11469   0.002425                1
        1248   0.0603481        0.002097         0.000546973  -6.49625  1.11469   0.002425                1
        1250   0.166407         0.00578238       0.00150825   -6.49625  1.11469   0.002425                1
        1252  -0.0994405        0.000901292      0.00345539   -6.49625  1.11469   0.002425                1
        1254   0.27706          0.00962737       0.00251117   -6.49625  1.11469   0.002425                1
        1256   0.299613         0.0104111        0.00271558   -6.49625  1.11469   0.002425                1
        1258   0.0631986        0.00219605       0.000572809  -6.49625  1.11469   0.002425                1
        1260   0.746436         0.0259374        0.00676542   -6.49625  1.11469   0.002425                1
        1262   0.565302         0.0196433        0.00512369   -6.49625  1.11469   0.002425                1
        1264   0.0576512        0.00200328       0.000522529  -6.49625  1.11469   0.002425                1
        1266   0.0809432        0.00281264       0.000733639  -6.49625  1.11469   0.002425                1
        1268   0.37025          0.0128656        0.00335581   -6.49625  1.11469   0.002425                1
        1270   0.122223         0.00424705       0.00110779   -6.49625  1.11469   0.002425                1
        1272  -0.0789762        0.000715811      0.00274429   -6.49625  1.11469   0.002425                1
        1274  -0.016365         0.000148326      0.000568657  -6.49625  1.11469   0.002425                1
        1276   0.0266567        0.000926275      0.000241606  -6.49625  1.11469   0.002425                1
        1278   0.228917         0.00795449       0.00207482   -6.49625  1.11469   0.002425                1
        1280   0.23435          0.00814327       0.00212406   -6.49625  1.11469   0.002425                1
        1282   0.0654685        0.00227492       0.000593382  -6.49625  1.11469   0.002425                1
        1284  -0.0370393        0.000335711      0.00128705   -6.49625  1.11469   0.002425                1
        1286  -0.320014         0.00290049       0.01112      -6.49625  1.11469   0.002425                1
        1288  -0.163082         0.00147812       0.00566684   -6.49625  1.11469   0.002425                1
        1290   0.128059         0.00444982       0.00116068   -6.49625  1.11469   0.002425                1
        1292  -0.207108         0.00187715       0.00719664   -6.49625  1.11469   0.002425                1
        1294  -0.327735         0.00297047       0.0113882    -6.49625  1.11469   0.002425                1
        1296  -0.0462311        0.000419022      0.00160645   -6.49625  1.11469   0.002425                1
        1298  -0.0430389        0.000390089      0.00149553   -6.49625  1.11469   0.002425                1
        1300  -0.557219         0.00505043       0.0193624    -6.49625  1.11469   0.002425                1
        1302  -0.256612         0.00232583       0.00891683   -6.49625  1.11469   0.002425                1
        1304   0.206427         0.00717299       0.00187098   -6.49625  1.11469   0.002425                1
        1306   0.129726         0.00450776       0.00117579   -6.49625  1.11469   0.002425                1
        1308  -0.0923378        0.000836915      0.00320858   -6.49625  1.11469   0.002425                1
        1310   0.56918          0.0197781        0.00515884   -6.49625  1.11469   0.002425                1
        1312   0.671402         0.0233301        0.00608534   -6.49625  1.11469   0.002425                1
        1314   0.177988         0.0061848        0.00161322   -6.49625  1.11469   0.002425                1
        1316   0.149629         0.00519936       0.00135618   -6.49625  1.11469   0.002425                1
        1318   0.500719         0.0173992        0.00453833   -6.49625  1.11469   0.002425                1
        1320   0.203062         0.00705608       0.00184048   -6.49625  1.11469   0.002425                1
        1322  -0.251107         0.00227594       0.00872554   -6.49625  1.11469   0.002425                1
        1324  -0.100638         0.000912145      0.003497     -6.49625  1.11469   0.002425                1
        1326   0.0544603        0.00189241       0.000493608  -6.49625  1.11469   0.002425                1
        1328   0.155904         0.00541741       0.00141306   -6.49625  1.11469   0.002425                1
        1330   0.0779916        0.00271008       0.000706887  -6.49625  1.11469   0.002425                1
        1332  -0.13593          0.00123202       0.00472333   -6.49625  1.11469   0.002425                1
        1334   0.0491231        0.00170695       0.000445234  -6.49625  1.11469   0.002425                1
        1336   0.115326         0.00400739       0.00104527   -6.49625  1.11469   0.002425                1
        1338   0.0265494        0.000922549      0.000240634  -6.49625  1.11469   0.002425                1
        1340   0.130868         0.00454744       0.00118614   -6.49625  1.11469   0.002425                1
        1342   0.415598         0.0144413        0.00376683   -6.49625  1.11469   0.002425                1
        1344   0.336373         0.0116884        0.00304876   -6.49625  1.11469   0.002425                1
        1346   0.0865176        0.00300634       0.000784163  -6.49625  1.11469   0.002425                1
        1348  -0.0512179        0.00046422       0.00177974   -6.49625  1.11469   0.002425                1
        1350  -0.141925         0.00128636       0.00493166   -6.49625  1.11469   0.002425                1
        1352   0.0230666        0.000801525      0.000209067  -6.49625  1.11469   0.002425                1
        1354   0.0834501        0.00289975       0.000756361  -6.49625  1.11469   0.002425                1
        1356  -0.0057347        5.19772e-05      0.000199271  -6.49625  1.11469   0.002425                1
        1358   0.296476         0.0103021        0.00268715   -6.49625  1.11469   0.002425                1
        1360   0.28103          0.00976533       0.00254715   -6.49625  1.11469   0.002425                1
        1362   0.0144595        0.000502443      0.000131056  -6.49625  1.11469   0.002425                1
        1364  -0.125576         0.00113818       0.00436356   -6.49625  1.11469   0.002425                1
        1366  -0.141791         0.00128514       0.00492701   -6.49625  1.11469   0.002425                1
        1368  -0.210106         0.00190433       0.00730084   -6.49625  1.11469   0.002425                1
        1370  -0.160203         0.00145202       0.00556679   -6.49625  1.11469   0.002425                1
        1372  -0.0777818        0.000704986      0.00270279   -6.49625  1.11469   0.002425                1
        1374  -0.318473         0.00288652       0.0110664    -6.49625  1.11469   0.002425                1
        1376  -0.355841         0.00322521       0.0123649    -6.49625  1.11469   0.002425                1
        1378  -0.17627          0.00159765       0.0061251    -6.49625  1.11469   0.002425                1
        1380  -0.164018         0.0014866        0.00569935   -6.49625  1.11469   0.002425                1
        1382  -0.427984         0.00387909       0.0148717    -6.49625  1.11469   0.002425                1
        1384  -0.192508         0.00174482       0.00668934   -6.49625  1.11469   0.002425                1
        1386   0.0869123        0.00302006       0.000787741  -6.49625  1.11469   0.002425                1
        1388   0.04279          0.00148688       0.000387833  -6.49625  1.11469   0.002425                1
        1390  -0.0305261        0.000276677      0.00106073   -6.49625  1.11469   0.002425                1
        1392  -0.100545         0.000911307      0.00349379   -6.49625  1.11469   0.002425                1
        1394  -0.322744         0.00292523       0.0112148    -6.49625  1.11469   0.002425                1
        1396  -0.414808         0.00375966       0.0144139    -6.49625  1.11469   0.002425                1
        1398  -0.118707         0.00107591       0.00412485   -6.49625  1.11469   0.002425                1
        1400  -0.301598         0.00273357       0.01048      -6.49625  1.11469   0.002425                1
        1402  -0.325205         0.00294754       0.0113003    -6.49625  1.11469   0.002425                1
        1404   0.0396757        0.00137866       0.000359606  -6.49625  1.11469   0.002425                1
        1406   0.132784         0.00461403       0.00120351   -6.49625  1.11469   0.002425                1
        1408  -0.0245319        0.000222348      0.000852444  -6.49625  1.11469   0.002425                1
        1410  -0.0304011        0.000275544      0.00105639   -6.49625  1.11469   0.002425                1
        1412   0.160832         0.00558866       0.00145773   -6.49625  1.11469   0.002425                1
        1414   0.232968         0.00809526       0.00211154   -6.49625  1.11469   0.002425                1
        1416   0.00689326       0.000239529      6.2478e-05   -6.49625  1.11469   0.002425                1
        1418  -0.126629         0.00114772       0.00440016   -6.49625  1.11469   0.002425                1
        1420  -0.108656         0.000984815      0.0037756    -6.49625  1.11469   0.002425                1
        1422  -0.126245         0.00114424       0.00438681   -6.49625  1.11469   0.002425                1
        1424  -0.0612261        0.000554931      0.00212751   -6.49625  1.11469   0.002425                1
        1426  -0.0550082        0.000498574      0.00191145   -6.49625  1.11469   0.002425                1
        1428  -0.186656         0.00169178       0.00648597   -6.49625  1.11469   0.002425                1
        1430  -0.307212         0.00278446       0.0106751    -6.49625  1.11469   0.002425                1
        1432  -0.132862         0.00120421       0.00461674   -6.49625  1.11469   0.002425                1
        1434   0.21386          0.00743129       0.00193835   -6.49625  1.11469   0.002425                1
        1436   0.347635         0.0120797        0.00315083   -6.49625  1.11469   0.002425                1
        1438   0.167296         0.00581325       0.00151631   -6.49625  1.11469   0.002425                1
        1440   0.192454         0.00668746       0.00174433   -6.49625  1.11469   0.002425                1
        1442  -0.18016          0.0016329        0.00626025   -6.49625  1.11469   0.002425                1
        1444  -0.505128         0.00457829       0.0175524    -6.49625  1.11469   0.002425                1
        1446  -0.128648         0.00116602       0.00447032   -6.49625  1.11469   0.002425                1
        1448  -0.0472653        0.000428395      0.00164239   -6.49625  1.11469   0.002425                1
        1450   0.00971082       0.000337435      8.80153e-05  -6.49625  1.11469   0.002425                1
        1452  -0.0813972        0.000737754      0.00282842   -6.49625  1.11469   0.002425                1
        1454  -0.390769         0.00354178       0.0135786    -6.49625  1.11469   0.002425                1
        1456   0.0286525        0.000995628      0.000259696  -6.49625  1.11469   0.002425                1
        1458   0.310825         0.0108007        0.0028172    -6.49625  1.11469   0.002425                1
        1460   0.134595         0.00467695       0.00121992   -6.49625  1.11469   0.002425                1
        1462  -0.0487467        0.000441822      0.00169387   -6.49625  1.11469   0.002425                1
        1464   0.0970858        0.00337357       0.00087995   -6.49625  1.11469   0.002425                1
        1466   0.0880542        0.00305974       0.000798091  -6.49625  1.11469   0.002425                1
        1468   0.0212125        0.0007371        0.000192262  -6.49625  1.11469   0.002425                1
        1470   0.198967         0.00691378       0.00180337   -6.49625  1.11469   0.002425                1
        1472   0.437214         0.0151925        0.00396275   -6.49625  1.11469   0.002425                1
        1474   0.621715         0.0216036        0.00563499   -6.49625  1.11469   0.002425                1
        1476   0.748084         0.0259947        0.00678036   -6.49625  1.11469   0.002425                1
        1478   0.590786         0.0205288        0.00535466   -6.49625  1.11469   0.002425                1
        1480   0.0293137        0.0010186        0.000265688  -6.49625  1.11469   0.002425                1
        1482   0.0325134        0.00112979       0.00029469   -6.49625  1.11469   0.002425                1
