# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 8.000000 and phase < 10.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
# N = 90
# N_spec = 123
# phase = 8.91
# dm15 = 1.13
# z = 0.015

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15     Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  -----------  -------------
        1596   0.10418          0.00130445       0.00276391   8.4      0.92      0.00389                  1
        1598  -0.00177724       4.71506e-05      2.22531e-05  8.4      0.92      0.00389                  1
        1600  -0.10994          0.00291674       0.00137658   8.4      0.92      0.00389                  1
        1602  -0.00487738       0.0509304        0.00198273   9.26552  1.1008    0.000922235              2
        1604   0.0027892        0.00179567       0.045027     9.26483  1.10065   0.000924578              2
        1606  -0.00508471       0.116562         0.00476283   9.26407  1.1005    0.000927191              2
        1608   0.00185831       0.0110714        0.000454841  9.26323  1.10032   0.000930095              2
        1610   0.00507817       0.00137425       0.0323266    9.26229  1.10012   0.000933309              2
        1612   0.00697928       0.00513674       0.116339     9.26125  1.09991   0.000936853              2
        1614   0.00293493       0.00383128       0.00016375   9.26012  1.09967   0.000940748              2
        1616   0.00363985       0.00151911       7.96437e-05  9.25888  1.09941   0.000945012              2
        1618   0.00258823       0.0353545        0.00170562   9.25752  1.09913   0.000949663              2
        1620   0.0007133        0.00745465       0.000372224  9.25605  1.09882   0.000954713              2
        1622   0.00666883       0.00475884       0.0909966    9.25445  1.09849   0.000960172              2
        1624   0.00440475       0.00223336       0.0411798    9.25274  1.09813   0.000966042              2
        1626  -0.00072379       0.00611361       0.000344937  9.25091  1.09775   0.000972319              2
        1628   0.00200012       0.00768667       0.000445478  9.24897  1.09734   0.000978986              2
        1630   3.48551e-05      0.0194882        0.00119602   9.24692  1.09691   0.000986015              2
        1632   0.00178764       0.0135845        0.000863537  9.24477  1.09646   0.000993361              2
        1634   0.00107197       0.00104708       6.65273e-05  9.24256  1.096     0.00100096               2
        1636   0.00050247       0.0113826        0.000790364  9.24029  1.09553   0.00100873               2
        1638  -4.68954e-05      0.0090139        0.000653152  9.23801  1.09505   0.00101657               2
        1640   0.00179503       0.0128805        0.00096407   9.23574  1.09458   0.00102434               2
        1642   4.65984e-05      0.0229908        0.00179512   9.23353  1.09412   0.00103191               2
        1644  -0.00139789       0.0299767        0.00242497   9.23144  1.09368   0.00103908               2
        1646   0.00142848       0.0163301        0.00135446   9.22951  1.09328   0.0010457                2
        1648   0.00268331       0.00349065       0.000289914  9.2278   1.09292   0.00105155               2
        1650   0.00102667       9.32857e-05      0.00110815   9.22637  1.09262   0.00105646               2
        1652   0.00409567       0.00244938       0.0276292    9.22527  1.09239   0.00106025               2
        1654   0.00352337       0.00194433       0.0217153    9.22453  1.09224   0.00106277               2
        1656   0.00275399       0.00597376       0.000529743  9.22421  1.09217   0.00106389               2
        1658   0.00342509       0.00025277       0.00287201   9.22431  1.09219   0.00106355               2
        1660   0.00154779       7.91903e-05      0.000906224  9.22484  1.0923    0.00106172               2
        1662   0.00225671       0.000346609      0.00403353   9.2258   1.0925    0.00105844               2
        1664   0.00109065       0.0188357        0.00162116   9.22715  1.09278   0.00105379               2
        1666   0.00283223       0.00466006       0.000382889  9.22887  1.09314   0.0010479                2
        1668   0.00230425       0.00841828       0.000678382  9.2309   1.09357   0.00104094               2
        1670   0.00252534       0.0035164        0.000268139  9.23318  1.09404   0.00103311               2
        1672   0.00153375       0.00187045       0.00013608   9.23566  1.09456   0.00102462               2
        1674  -0.000408823      0.0143362        0.00103522   9.23827  1.0951    0.00101568               2
        1676   0.00245626       0.000798066      0.0116766    9.24094  1.09566   0.0010065                2
        1678   0.00356738       0.0013308        0.0204262    9.24363  1.09623   0.00099727               2
        1680   0.00323016       0.000827429      0.0134411    9.24629  1.09678   0.000988161              2
        1682   0.00154514       0.00683415       0.000397689  9.24887  1.09732   0.000979314              2
        1684   0.00150368       0.00389569       0.000212709  9.25134  1.09784   0.000970846              2
        1686   0.0017654        0.00036992       0.00704964   9.25367  1.09832   0.000962846              2
        1688   0.000973461      0.0230768        0.00116216   9.25585  1.09878   0.000955379              2
        1690   0.00218487       0.0153704        0.000731314  9.25786  1.0992    0.00094849               2
        1692   0.0019203        6.25114e-05      0.00122889   9.25969  1.09958   0.000942202              2
        1694   0.00161736       0.000204682      0.00477481   9.26135  1.09993   0.000936526              2
        1696   0.00262739       0.000133389      0.00318057   9.26283  1.10024   0.000931459              2
        1698   0.00266338       0.00347503       0.000131772  9.26413  1.10051   0.000926991              2
        1700   0.00295898       0.000694999      0.0178476    9.26527  1.10074   0.000923102              2
        1702   0.00289725       0.000125982      0.00332092   9.26624  1.10095   0.00091977               2
        1704   0.00342439       0.000321517      0.00888478   9.26705  1.10112   0.000916969              2
        1706   0.00266715       0.0083928        0.000295373  9.26772  1.10126   0.000914669              2
        1708   0.00318338       0.000121021      0.00327099   9.26826  1.10137   0.000912841              2
        1710   0.00224581       0.0123748        0.000428443  9.26866  1.10145   0.000911455              2
        1712   0.00279144       0.000523012      0.0151472    9.26895  1.10151   0.000910481              2
        1714   0.00263825       0.000703596      0.0203659    9.26912  1.10155   0.000909889              2
        1716   0.00220583       0.00236431       7.47464e-05  9.26919  1.10156   0.000909649              2
        1718   0.00295028       0.00054485       0.0159       9.26916  1.10156   0.000909732              2
        1720   0.00359134       0.000866801      0.0250753    9.26905  1.10154   0.000910109              2
        1722   0.00219132       0.00828208       0.000282076  9.26887  1.1015    0.000910752              2
        1724   0.00232061       0.00315033       0.000103022  9.26861  1.10144   0.000911634              2
        1726   0.0019892        7.40528e-05      0.00195521   9.26829  1.10138   0.000912728              2
        1728   0.00180715       0.00012101       2.92504e-05  9.26792  1.1013    0.000914009              2
        1730   0.00198305       0.000444217      0.0122296    9.2675   1.10121   0.000915455              2
        1732   0.00257759       0.000402575      0.011007     9.26703  1.10111   0.000917044              2
        1734   0.0020002        0.000522204      0.0139125    9.26653  1.10101   0.00091876               2
        1736   0.00223572       0.000584111      0.0153086    9.266    1.1009    0.00092059               2
        1738   0.0022131        0.000423745      0.0109796    9.26543  1.10078   0.000922525              2
        1740   0.00212667       0.000658945      0.0166396    9.26484  1.10066   0.00092456               2
        1742   0.00147203       4.46698e-05      0.000983322  9.26422  1.10053   0.000926697              2
        1744   0.00130879       0.000227429      0.00559125   9.26356  1.10039   0.000928942              2
        1746   0.00142285       0.000371794      0.00889368   9.26287  1.10024   0.000931307              2
        1748   0.00122558       0.0033374        0.000138897  9.26214  1.10009   0.000933808              2
        1750   0.00191144       0.000221653      0.00518827   9.26137  1.09993   0.000936467              2
        1752   0.00170744       7.63903e-05      0.00171536   9.26054  1.09976   0.000939306              2
        1754   0.00208025       0.000132945      0.00290641   9.25965  1.09957   0.000942352              2
        1756   0.00233945       0.000272912      0.00595756   9.25869  1.09937   0.000945632              2
        1758   0.00149812       0.00324898       0.000151553  9.25766  1.09916   0.000949172              2
        1760   0.00172137       3.36712e-05      2.99589e-05  9.25655  1.09892   0.000952997              2
        1762   0.00165606       0.00165363       7.89413e-05  9.25534  1.09867   0.00095713               2
        1764   0.00153305       0.00317454       0.00016177   9.25404  1.0984    0.00096159               2
        1766   0.00243314       0.000514167      0.00957245   9.25264  1.09811   0.000966389              2
        1768   0.00253125       0.000639073      0.0114752    9.25114  1.09779   0.000971538              2
        1770   0.0019495        5.23002e-05      0.000799688  9.24954  1.09746   0.000977038              2
        1772   0.00123628       0.00800873       0.000478291  9.24783  1.0971    0.000982886              2
        1774   0.0026839        0.000857887      0.0138155    9.24603  1.09673   0.000989072              2
        1776   0.00269614       0.000547141      0.00856239   9.24413  1.09633   0.000995581              2
        1778   0.00261773       0.00468628       0.000306497  9.24214  1.09591   0.00100239               2
        1780   0.00205046       0.00902369       0.000623546  9.24007  1.09548   0.00100948               2
        1782   0.00250567       0.000696811      5.54165e-05  9.23793  1.09504   0.00101682               2
        1784   0.00319273       0.000115057      5.25229e-05  9.23573  1.09457   0.00102437               2
        1786   0.0034064        0.000191836      0.00249242   9.23347  1.0941    0.00103212               2
        1788   0.00378207       0.00029865       6.69495e-05  9.23116  1.09362   0.00104003               2
        1790   0.00493294       0.00055481       0.00682819   9.22882  1.09313   0.00104808               2
        1792   0.00592364       0.000681341      0.00808617   9.22643  1.09263   0.00105626               2
        1794   0.00464699       0.00153837       0.000129716  9.22401  1.09213   0.00106456               2
        1796   0.00536851       0.000855891      0.00936742   9.22155  1.09161   0.00107299               2
        1798   0.0045622        0.000240352      0.00254005   9.21905  1.09109   0.00108156               2
        1800   0.00406382       0.00151608       0.000141809  9.2165   1.09056   0.00109031               2
        1802   0.00499579       0.00110526       0.000123453  9.21389  1.09001   0.00109927               2
        1804   0.00512452       0.000850833      0.000110222  9.21119  1.08945   0.00110851               2
        1806   0.0039518        0.0111712        0.00122928   9.20839  1.08886   0.00111812               2
        1808   0.00566472       0.00556995       0.00062568   9.20546  1.08825   0.00112817               2
        1810   0.00547232       0.00658367       0.000770831  9.20237  1.08761   0.00113877               2
        1812   0.00551582       0.000719405      0.00011541   9.19907  1.08692   0.00115006               2
        1814   0.00783083       0.00140752       0.0111999    9.19555  1.08618   0.00116216               2
        1816   0.00758348       0.00123489       0.00946993   9.19174  1.08539   0.00117522               2
        1818   0.00581281       0.00695501       0.000959429  9.1876   1.08452   0.0011894                2
        1820   0.00646928       0.00163744       0.000228918  9.18309  1.08358   0.00120486               2
        1822   0.00800242       0.000577202      0.00392858   9.17816  1.08255   0.00122178               2
        1824   0.00746968       0.000575948      0.000141665  9.17275  1.08142   0.00124032               2
        1826   0.00859063       0.00109544       0.00670643   9.16682  1.08018   0.00126065               2
        1828   0.00929281       0.00141059       0.00811074   9.16032  1.07882   0.00128295               2
        1830   0.00887682       0.000991665      0.005462     9.1532   1.07733   0.00130737               2
