# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -2.000000 and phase < 0.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
# N = 91
# N_spec = 136
# phase = -0.96
# dm15 = 1.16
# z = 0.012

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper      Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  ---------  --------  ----------  -------------
        1618  -0.018564         7.56149e-05      0.000188644  -0.8       0.92      0.00389                 1
        1620  -0.00860637       3.50556e-05      8.74568e-05  -0.8       0.92      0.00389                 1
        1622  -0.0367259        0.000149592      0.000373204  -0.8       0.92      0.00389                 1
        1624  -0.00344597       1.40362e-05      3.50175e-05  -0.8       0.92      0.00389                 1
        1626  -0.00177162       7.21617e-06      1.80029e-05  -0.8       0.92      0.00389                 1
        1628  -0.0105271        4.28791e-05      0.000106975  -0.8       0.92      0.00389                 1
        1630  -0.00455137       1.85387e-05      4.62504e-05  -0.8       0.92      0.00389                 1
        1632   0.00685907       6.9701e-05       2.79384e-05  -0.8       0.92      0.00389                 1
        1634   0.022255         0.000226152      9.06492e-05  -0.8       0.92      0.00389                 1
        1636   0.00348455       3.54095e-05      1.41933e-05  -0.8       0.92      0.00389                 1
        1638  -0.0184394        7.51076e-05      0.000187379  -0.8       0.92      0.00389                 1
        1640  -0.0025042        1.02001e-05      2.54474e-05  -0.8       0.92      0.00389                 1
        1642  -0.0104327        4.24945e-05      0.000106016  -0.8       0.92      0.00389                 1
        1644  -0.0192864        7.85578e-05      0.000195986  -0.8       0.92      0.00389                 1
        1646  -0.0258132        0.000105142      0.00026231   -0.8       0.92      0.00389                 1
        1648  -0.0106119        4.32244e-05      0.000107836  -0.8       0.92      0.00389                 1
        1650  -0.0283942        0.000115655      0.000288538  -0.8       0.92      0.00389                 1
        1652  -0.0058399        2.37872e-05      5.93443e-05  -0.8       0.92      0.00389                 1
        1654  -0.00867112       3.53193e-05      8.81147e-05  -0.8       0.92      0.00389                 1
        1656   0.00409053       4.15674e-05      1.66616e-05  -0.8       0.92      0.00389                 1
        1658  -0.00869523       3.54175e-05      8.83597e-05  -0.8       0.92      0.00389                 1
        1660  -0.018943         7.71589e-05      0.000192496  -0.8       0.92      0.00389                 1
        1662   0.00569847       5.79071e-05      2.32111e-05  -0.8       0.92      0.00389                 1
        1664   0.00810024       8.23135e-05      3.2994e-05   -0.8       0.92      0.00389                 1
        1666   0.00607102       6.16928e-05      2.47285e-05  -0.8       0.92      0.00389                 1
        1668  -0.000507469      2.06703e-06      5.15683e-06  -0.8       0.92      0.00389                 1
        1670   0.00118281       1.20196e-05      4.81784e-06  -0.8       0.92      0.00389                 1
        1672   0.00501539       5.09657e-05      2.04288e-05  -0.8       0.92      0.00389                 1
        1674   0.00584227       5.93684e-05      2.37968e-05  -0.8       0.92      0.00389                 1
        1676   0.00776829       7.89403e-05      3.16419e-05  -0.8       0.92      0.00389                 1
        1678  -0.00231968       9.44856e-06      2.35723e-05  -0.8       0.92      0.00389                 1
        1680  -0.00325714       1.3267e-05       3.30986e-05  -0.8       0.92      0.00389                 1
        1682   0.0206432        0.000209773      8.40841e-05  -0.8       0.92      0.00389                 1
        1684   0.00724077       7.35797e-05      2.94932e-05  -0.8       0.92      0.00389                 1
        1686   0.00484796       4.92643e-05      1.97468e-05  -0.8       0.92      0.00389                 1
        1688   0.00765786       7.78181e-05      3.11921e-05  -0.8       0.92      0.00389                 1
        1690   0.00875843       8.9002e-05       3.56749e-05  -0.8       0.92      0.00389                 1
        1692   0.00271501       2.75895e-05      1.10588e-05  -0.8       0.92      0.00389                 1
        1694   0.00790959       8.03761e-05      3.22174e-05  -0.8       0.92      0.00389                 1
        1696  -0.0063378        2.58152e-05      6.44039e-05  -0.8       0.92      0.00389                 1
        1698   0.00646854       6.57324e-05      2.63477e-05  -0.8       0.92      0.00389                 1
        1700   0.00967237       9.82893e-05      3.93976e-05  -0.8       0.92      0.00389                 1
        1702  -0.0110585        4.50435e-05      0.000112375  -0.8       0.92      0.00389                 1
        1704  -0.00259197       1.05576e-05      2.63392e-05  -0.8       0.92      0.00389                 1
        1706   0.00395633       4.02037e-05      1.6115e-05   -0.8       0.92      0.00389                 1
        1708   0.00398192       4.04637e-05      1.62192e-05  -0.8       0.92      0.00389                 1
        1710   0.000998008      1.01416e-05      4.0651e-06   -0.8       0.92      0.00389                 1
        1712  -0.000315217      1.28395e-06      3.2032e-06   -0.8       0.92      0.00389                 1
        1714  -0.00429796       1.75065e-05      4.36753e-05  -0.8       0.92      0.00389                 1
        1716   0.0026814        2.7248e-05       1.09219e-05  -0.8       0.92      0.00389                 1
        1718  -0.000597072      2.432e-06        6.06736e-06  -0.8       0.92      0.00389                 1
        1720  -0.000464272      1.89108e-06      4.71787e-06  -0.8       0.92      0.00389                 1
        1722   0.0176189        0.00017904       7.17653e-05  -0.8       0.92      0.00389                 1
        1724   0.00635087       6.45367e-05      2.58684e-05  -0.8       0.92      0.00389                 1
        1726  -0.00860053       3.50317e-05      8.73974e-05  -0.8       0.92      0.00389                 1
        1728  -0.00580116       2.36293e-05      5.89506e-05  -0.8       0.92      0.00389                 1
        1730  -0.00340121       1.38539e-05      3.45627e-05  -0.8       0.92      0.00389                 1
        1732  -0.00442566       1.80266e-05      4.49729e-05  -0.8       0.92      0.00389                 1
        1734  -0.00416068       1.69473e-05      4.22802e-05  -0.8       0.92      0.00389                 1
        1736   0.00316169       3.21286e-05      1.28782e-05  -0.8       0.92      0.00389                 1
        1738   0.00574707       5.84009e-05      2.3409e-05   -0.8       0.92      0.00389                 1
        1740  -0.00379935       1.54755e-05      3.86084e-05  -0.8       0.92      0.00389                 1
        1742  -0.00204578       8.33287e-06      2.07889e-05  -0.8       0.92      0.00389                 1
        1744   0.005636         5.72723e-05      2.29566e-05  -0.8       0.92      0.00389                 1
        1746   0.00555021       5.64005e-05      2.26072e-05  -0.8       0.92      0.00389                 1
        1748   0.0145366        0.000147719      5.92106e-05  -0.8       0.92      0.00389                 1
        1750  -0.00249846       1.01768e-05      2.5389e-05   -0.8       0.92      0.00389                 1
        1752   0.00372285       3.78311e-05      1.51639e-05  -0.8       0.92      0.00389                 1
        1754   0.000199094      2.02317e-06      8.10952e-07  -0.8       0.92      0.00389                 1
        1756  -0.00413979       1.68623e-05      4.2068e-05   -0.8       0.92      0.00389                 1
        1758   0.00277885       2.82383e-05      1.13188e-05  -0.8       0.92      0.00389                 1
        1760   0.0052933        5.37898e-05      2.15607e-05  -0.8       0.92      0.00389                 1
        1762  -0.00504855       2.05638e-05      5.13027e-05  -0.8       0.92      0.00389                 1
        1764  -0.00564418       2.29899e-05      5.73554e-05  -0.8       0.92      0.00389                 1
        1766  -0.00726074       2.95745e-05      7.37827e-05  -0.8       0.92      0.00389                 1
        1768   0.00468696       4.76282e-05      1.9091e-05   -0.8       0.92      0.00389                 1
        1770   0.00247426       2.51431e-05      1.00782e-05  -0.8       0.92      0.00389                 1
        1772   0.00510376       5.18637e-05      2.07887e-05  -0.8       0.92      0.00389                 1
        1774   0.00957946       9.73451e-05      3.90191e-05  -0.8       0.92      0.00389                 1
        1776   0.00115391       1.17259e-05      4.70013e-06  -0.8       0.92      0.00389                 1
        1778  -0.00742267       3.02341e-05      7.54282e-05  -0.8       0.92      0.00389                 1
        1780  -0.00220564       8.98405e-06      2.24135e-05  -0.8       0.92      0.00389                 1
