# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 0.000000 and phase < 2.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
# N = 93
# N_spec = 145
# phase = 0.95
# dm15 = 1.1
# z = 0.014

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1604  -0.00767357       0.00613154       0.0097308    0.772824  1.00544   0.00348341              2
        1606  -0.0051114        0.0250127        0.0160917    0.769691  1.00606   0.00348042              2
        1608   0.0112309        0.00135546       0.000826622  0.766366  1.00673   0.00347726              2
        1610   0.0137031        0.0165319        0.024963     0.762851  1.00743   0.00347391              2
        1612   0.0276466        0.0116328        0.00763208   0.759152  1.00817   0.00347039              2
        1614   0.0107334        0.022367         0.0151099    0.755275  1.00894   0.0034667               2
        1616  -0.00536065       0.0104479        0.00722667   0.751232  1.00975   0.00346285              2
        1618   0.0130963        0.0182534        0.0126951    0.747037  1.01059   0.00345886              2
        1620  -0.031065         0.0194529        0.0276067    0.742708  1.01146   0.00345474              2
        1622  -0.0315974        0.0385194        0.0535337    0.738267  1.01235   0.00345051              2
        1624   0.0030033        0.00474827       0.00643329   0.733742  1.01325   0.00344621              2
        1626  -0.00778221       0.00550799       0.00742597   0.729167  1.01417   0.00344185              2
        1628   0.00773203       0.00362831       0.00271805   0.724578  1.01508   0.00343749              2
        1630  -0.0150302        0.00592391       0.00776425   0.720021  1.016     0.00343315              2
        1632   0.00470654       0.00714705       0.0055932    0.715544  1.01689   0.00342889              2
        1634   0.0201058        0.0233161        0.0185131    0.711201  1.01776   0.00342475              2
        1636   0.0118034        0.0142781        0.0115152    0.70705   1.01859   0.0034208               2
        1638   0.00830997       0.00660059       0.00538456   0.703153  1.01937   0.00341709              2
        1640   0.001472         0.0109484        0.0131139    0.699574  1.02009   0.00341369              2
        1642   0.0065317        0.00204517       0.00237377   0.696375  1.02073   0.00341064              2
        1644   0.00845389       0.00205173       0.00170344   0.693617  1.02128   0.00340802              2
        1646  -0.0052426        0.00572025       0.00669266   0.691356  1.02173   0.00340586              2
        1648   0.00408797       0.001649         0.00187582   0.689639  1.02207   0.00340423              2
        1650   0.00189621       0.00195604       0.00223793   0.688502  1.0223    0.00340315              2
        1652  -0.00426986       0.00590192       0.00681214   0.687969  1.02241   0.00340264              2
        1654   0.00517121       0.00381506       0.00328834   0.688044  1.02239   0.00340271              2
