# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 53.000000 and phase < 57.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
# N = 15
# N_spec = 19
# phase = 55.36
# dm15 = 1.1
# z = 0.011

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        2922  0.0525361      0.00131437       0.000473866  56.7439  1.05145  0.003896                1
        2924  0.0502874      0.00125811       0.000453584  56.7439  1.05145  0.003896                1
        2926  0.0467157      0.00116875       0.000421367  56.7439  1.05145  0.003896                1
        2928  0.0444881      0.00111302       0.000401274  56.7439  1.05145  0.003896                1
        2930  0.0460835      0.00115293       0.000415665  56.7439  1.05145  0.003896                1
        2932  0.0511402      0.00127944       0.000461275  56.7439  1.05145  0.003896                1
        2934  0.0584683      0.00146278       0.000527373  56.7439  1.05145  0.003896                1
        2936  0.066369       0.00166044       0.000598637  56.7439  1.05145  0.003896                1
        2938  0.0726106      0.0018166        0.000654935  56.7439  1.05145  0.003896                1
        2940  0.0763613      0.00191043       0.000688765  56.7439  1.05145  0.003896                1
        2942  0.0844111      0.00211182       0.000761373  56.7439  1.05145  0.003896                1
        2944  0.105542       0.00264049       0.000951974  56.7439  1.05145  0.003896                1
        2946  0.139951       0.00350133       0.00126233   56.7439  1.05145  0.003896                1
        2948  0.165967       0.00415222       0.001497     56.7439  1.05145  0.003896                1
        2950  0.160512       0.00401574       0.00144779   56.7439  1.05145  0.003896                1
        2952  0.133635       0.00334333       0.00120537   56.7439  1.05145  0.003896                1
        2954  0.104313       0.00260972       0.00094088   56.7439  1.05145  0.003896                1
        2956  0.0888506      0.00222289       0.000801416  56.7439  1.05145  0.003896                1
        2958  0.0860276      0.00215227       0.000775954  56.7439  1.05145  0.003896                1
        2960  0.0948095      0.00237197       0.000855165  56.7439  1.05145  0.003896                1
        2962  0.10807        0.00270374       0.000974774  56.7439  1.05145  0.003896                1
        2964  0.11988        0.00299919       0.00108129   56.7439  1.05145  0.003896                1
        2966  0.124741       0.0031208        0.00112514   56.7439  1.05145  0.003896                1
        2968  0.122584       0.00306684       0.00110569   56.7439  1.05145  0.003896                1
        2970  0.112858       0.00282353       0.00101796   56.7439  1.05145  0.003896                1
        2972  0.101543       0.00254043       0.000915897  56.7439  1.05145  0.003896                1
        2974  0.0947441      0.00237034       0.000854575  56.7439  1.05145  0.003896                1
        2976  0.0965855      0.00241641       0.000871184  56.7439  1.05145  0.003896                1
        2978  0.103278       0.00258384       0.00093155   56.7439  1.05145  0.003896                1
        2980  0.111359       0.00278602       0.00100444   56.7439  1.05145  0.003896                1
        2982  0.117348       0.00293585       0.00105846   56.7439  1.05145  0.003896                1
        2984  0.118927       0.00297536       0.0010727    56.7439  1.05145  0.003896                1
        2986  0.115349       0.00288583       0.00104043   56.7439  1.05145  0.003896                1
        2988  0.110209       0.00275725       0.000994068  56.7439  1.05145  0.003896                1
        2990  0.106941       0.00267549       0.00096459   56.7439  1.05145  0.003896                1
        2992  0.106575       0.00266633       0.000961289  56.7439  1.05145  0.003896                1
        2994  0.109134       0.00273034       0.000984366  56.7439  1.05145  0.003896                1
        2996  0.112914       0.00282493       0.00101847   56.7439  1.05145  0.003896                1
        2998  0.114011       0.00285237       0.00102836   56.7439  1.05145  0.003896                1
        3000  0.10752        0.00268998       0.000969815  56.7439  1.05145  0.003896                1
        3002  0.0938165      0.00234713       0.000846208  56.7439  1.05145  0.003896                1
        3004  0.0740044      0.00185146       0.000667506  56.7439  1.05145  0.003896                1
        3006  0.0540357      0.00135188       0.000487392  56.7439  1.05145  0.003896                1
        3008  0.0444742      0.00111267       0.000401149  56.7439  1.05145  0.003896                1
        3010  0.056778       0.00142049       0.000512127  56.7439  1.05145  0.003896                1
        3012  0.0799276      0.00199965       0.000720933  56.7439  1.05145  0.003896                1
