# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -6.000000 and phase < -4.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
# N = 25
# N_spec = 39
# phase = -5.02
# dm15 = 1.08
# z = 0.013

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  ----------  -------------
        1898  -0.0730105        0.000563242      0.00785726   -4.4      1.14     0.002843                1
        1900  -0.0444903        0.000343222      0.00478797   -4.4      1.14     0.002843                1
        1902   0.00860584       0.000926145      6.639e-05    -4.4      1.14     0.002843                1
        1904   0.0482659        0.00519429       0.000372349  -4.4      1.14     0.002843                1
        1906   0.0851877        0.00916774       0.000657183  -4.4      1.14     0.002843                1
        1908   0.0988353        0.0106365        0.000762468  -4.4      1.14     0.002843                1
        1910   0.0684073        0.00736186       0.00052773   -4.4      1.14     0.002843                1
        1912   0.0324993        0.00349752       0.000250717  -4.4      1.14     0.002843                1
        1914   0.0429934        0.00462687       0.000331674  -4.4      1.14     0.002843                1
        1916   0.0422212        0.00454377       0.000325717  -4.4      1.14     0.002843                1
        1918   0.0777051        0.00836248       0.000599458  -4.4      1.14     0.002843                1
        1920   0.0850351        0.00915132       0.000656006  -4.4      1.14     0.002843                1
        1922   0.0284779        0.00306474       0.000219694  -4.4      1.14     0.002843                1
        1924  -0.0315688        0.000243539      0.00339738   -4.4      1.14     0.002843                1
        1926  -0.0440782        0.000340043      0.00474362   -4.4      1.14     0.002843                1
        1928  -0.0190467        0.000146936      0.00204977   -4.4      1.14     0.002843                1
        1930  -0.0110304        8.50947e-05      0.00118708   -4.4      1.14     0.002843                1
        1932  -0.0251859        0.000194297      0.00271046   -4.4      1.14     0.002843                1
        1934  -0.0147589        0.000113858      0.00158832   -4.4      1.14     0.002843                1
        1936   0.00173195       0.000186389      1.33612e-05  -4.4      1.14     0.002843                1
        1938   0.0105829        0.00113891       8.1642e-05   -4.4      1.14     0.002843                1
        1940   1.24504e-05      1.33989e-06      9.6049e-08   -4.4      1.14     0.002843                1
        1942  -0.045021         0.000347316      0.00484508   -4.4      1.14     0.002843                1
        1944  -0.0456448        0.000352128      0.00491221   -4.4      1.14     0.002843                1
        1946   0.00100914       0.000108602      7.78505e-06  -4.4      1.14     0.002843                1
        1948   0.0393461        0.00423436       0.000303537  -4.4      1.14     0.002843                1
        1950   0.059737         0.00642878       0.000460843  -4.4      1.14     0.002843                1
        1952   0.0360036        0.00387464       0.000277751  -4.4      1.14     0.002843                1
        1954   0.027602         0.00297048       0.000212937  -4.4      1.14     0.002843                1
        1956   0.0276811        0.00297899       0.000213547  -4.4      1.14     0.002843                1
        1958  -0.00621074       4.79129e-05      0.000668388  -4.4      1.14     0.002843                1
        1960  -0.019171         0.000147895      0.00206315   -4.4      1.14     0.002843                1
        1962  -0.0158066        0.000121941      0.00170108   -4.4      1.14     0.002843                1
        1964  -0.0120298        9.28045e-05      0.00129463   -4.4      1.14     0.002843                1
        1966   0.0160081        0.00172276       0.000123495  -4.4      1.14     0.002843                1
        1968   0.0525664        0.0056571        0.000405525  -4.4      1.14     0.002843                1
        1970   0.0513113        0.00552203       0.000395843  -4.4      1.14     0.002843                1
        1972   0.000265891      2.86147e-05      2.05123e-06  -4.4      1.14     0.002843                1
        1974  -0.0536749        0.000414077      0.00577639   -4.4      1.14     0.002843                1
        1976  -0.0665796        0.000513631      0.00716518   -4.4      1.14     0.002843                1
        1978  -0.045543         0.000351343      0.00490125   -4.4      1.14     0.002843                1
        1980  -0.0211868        0.000163446      0.00228009   -4.4      1.14     0.002843                1
        1982  -0.00881874       6.80324e-05      0.000949056  -4.4      1.14     0.002843                1
        1984  -0.00933126       7.19863e-05      0.00100421   -4.4      1.14     0.002843                1
        1986  -0.0114209        8.81071e-05      0.0012291    -4.4      1.14     0.002843                1
        1988  -0.00387472       2.98917e-05      0.00041699   -4.4      1.14     0.002843                1
        1990   0.00161001       0.000173267      1.24205e-05  -4.4      1.14     0.002843                1
        1992  -0.0105805        8.16239e-05      0.00113866   -4.4      1.14     0.002843                1
        1994   0.00253859       0.000273198      1.9584e-05   -4.4      1.14     0.002843                1
        1996   0.0230232        0.00247771       0.000177613  -4.4      1.14     0.002843                1
        1998   0.0831985        0.00895367       0.000641838  -4.4      1.14     0.002843                1
        2000   0.103545         0.0111433        0.000798803  -4.4      1.14     0.002843                1
        2002   0.0506781        0.00545389       0.000390958  -4.4      1.14     0.002843                1
        2004   0.00345367       0.000371678      2.66434e-05  -4.4      1.14     0.002843                1
        2006  -0.0204982        0.000158134      0.00220598   -4.4      1.14     0.002843                1
        2008  -0.0338629        0.000261237      0.00364427   -4.4      1.14     0.002843                1
