# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -8.000000 and phase < -6.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
# N = 27
# N_spec = 46
# phase = -6.89
# dm15 = 1.11
# z = 0.011

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15     Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  -----------  -------------
        1226   0.30239          0.104921         0.00511381   -6.49625  1.11469  0.002425                 1
        1228  -0.489668         0.00828093       0.169901     -6.49625  1.11469  0.002425                 1
        1230   0.452868         0.157132         0.00765859   -6.49625  1.11469  0.002425                 1
        1232   0.965773         0.335096         0.0163325    -6.49625  1.11469  0.002425                 1
        1234   0.0545221        0.0189176        0.000922041  -6.49625  1.11469  0.002425                 1
        1236   0.109445         0.0379742        0.00185085   -6.49625  1.11469  0.002425                 1
        1238   0.646377         0.224275         0.0109311    -6.49625  1.11469  0.002425                 1
        1240   0.512729         0.177902         0.00867092   -6.49625  1.11469  0.002425                 1
        1242  -0.0325883        0.00055111       0.0113072    -6.49625  1.11469  0.002425                 1
        1244   0.0921725        0.0319812        0.00155876   -6.49625  1.11469  0.002425                 1
        1246   0.0363411        0.0126093        0.000614575  -6.49625  1.11469  0.002425                 1
        1248   0.0587776        0.0203942        0.000994006  -6.49625  1.11469  0.002425                 1
        1250   0.162077         0.056236         0.00274093   -6.49625  1.11469  0.002425                 1
        1252  -0.0968526        0.00163791       0.0336051    -6.49625  1.11469  0.002425                 1
        1254   0.26985          0.0936302        0.00456351   -6.49625  1.11469  0.002425                 1
        1256   0.291816         0.101252         0.00493499   -6.49625  1.11469  0.002425                 1
        1258   0.0615539        0.0213575        0.00104096   -6.49625  1.11469  0.002425                 1
        1260   0.72701          0.252252         0.0122947    -6.49625  1.11469  0.002425                 1
        1262   0.55059          0.191039         0.0093112    -6.49625  1.11469  0.002425                 1
        1264   0.0561508        0.0194827        0.000949585  -6.49625  1.11469  0.002425                 1
        1266   0.0788367        0.0273541        0.00133323   -6.49625  1.11469  0.002425                 1
        1268   0.360614         0.125123         0.00609846   -6.49625  1.11469  0.002425                 1
        1270   0.119042         0.0413044        0.00201316   -6.49625  1.11469  0.002425                 1
        1272  -0.0769208        0.00130083       0.0266894    -6.49625  1.11469  0.002425                 1
        1274  -0.0159391        0.000269551      0.00553042   -6.49625  1.11469  0.002425                 1
        1276   0.0259629        0.0090084        0.000439067  -6.49625  1.11469  0.002425                 1
        1278   0.22296          0.0773607        0.00377054   -6.49625  1.11469  0.002425                 1
        1280   0.228251         0.0791967        0.00386003   -6.49625  1.11469  0.002425                 1
        1282   0.0637647        0.0221245        0.00107835   -6.49625  1.11469  0.002425                 1
        1284  -0.0360754        0.000610082      0.0125171    -6.49625  1.11469  0.002425                 1
        1286  -0.311686         0.00527102       0.108146     -6.49625  1.11469  0.002425                 1
        1288  -0.158838         0.00268616       0.0551123    -6.49625  1.11469  0.002425                 1
        1290   0.124726         0.0432763        0.00210928   -6.49625  1.11469  0.002425                 1
        1292  -0.201718         0.00341131       0.0699903    -6.49625  1.11469  0.002425                 1
        1294  -0.319206         0.00539819       0.110755     -6.49625  1.11469  0.002425                 1
        1296  -0.045028         0.000761482      0.0156234    -6.49625  1.11469  0.002425                 1
        1298  -0.0419188        0.000708903      0.0145447    -6.49625  1.11469  0.002425                 1
        1300  -0.542718         0.00917807       0.188308     -6.49625  1.11469  0.002425                 1
        1302  -0.249933         0.0042267        0.0867198    -6.49625  1.11469  0.002425                 1
        1304   0.201055         0.0697603        0.0034001    -6.49625  1.11469  0.002425                 1
        1306   0.12635          0.0438399        0.00213674   -6.49625  1.11469  0.002425                 1
        1308  -0.0899347        0.00152091       0.0312048    -6.49625  1.11469  0.002425                 1
        1310   0.554368         0.19235          0.00937509   -6.49625  1.11469  0.002425                 1
        1312   0.65393          0.226895         0.0110588    -6.49625  1.11469  0.002425                 1
        1314   0.173356         0.0601497        0.00293168   -6.49625  1.11469  0.002425                 1
        1316   0.145735         0.0505659        0.00246457   -6.49625  1.11469  0.002425                 1
        1318   0.487688         0.169214         0.00824745   -6.49625  1.11469  0.002425                 1
        1320   0.197778         0.0686233        0.00334468   -6.49625  1.11469  0.002425                 1
        1322  -0.244572         0.00413603       0.0848595    -6.49625  1.11469  0.002425                 1
        1324  -0.0980189        0.00165763       0.0340098    -6.49625  1.11469  0.002425                 1
        1326   0.053043         0.0184044        0.000897027  -6.49625  1.11469  0.002425                 1
        1328   0.151847         0.0526866        0.00256793   -6.49625  1.11469  0.002425                 1
        1330   0.0759619        0.0263566        0.00128462   -6.49625  1.11469  0.002425                 1
        1332  -0.132392         0.00223893       0.0459363    -6.49625  1.11469  0.002425                 1
        1334   0.0478447        0.0166008        0.000809118  -6.49625  1.11469  0.002425                 1
        1336   0.112325         0.0389735        0.00189956   -6.49625  1.11469  0.002425                 1
        1338   0.0258585        0.00897217       0.000437301  -6.49625  1.11469  0.002425                 1
        1340   0.127462         0.0442257        0.00215555   -6.49625  1.11469  0.002425                 1
        1342   0.404782         0.140448         0.0068454    -6.49625  1.11469  0.002425                 1
        1344   0.32762          0.113675         0.00554048   -6.49625  1.11469  0.002425                 1
        1346   0.084266         0.0292379        0.00142505   -6.49625  1.11469  0.002425                 1
        1348  -0.049885         0.000843621      0.0173087    -6.49625  1.11469  0.002425                 1
        1350  -0.138232         0.00233768       0.0479625    -6.49625  1.11469  0.002425                 1
        1352   0.0224663        0.00779516       0.000379934  -6.49625  1.11469  0.002425                 1
        1354   0.0812783        0.0282013        0.00137452   -6.49625  1.11469  0.002425                 1
        1356  -0.00558545       9.44574e-05      0.00193799   -6.49625  1.11469  0.002425                 1
        1358   0.288761         0.100192         0.00488332   -6.49625  1.11469  0.002425                 1
        1360   0.273717         0.0949719        0.00462891   -6.49625  1.11469  0.002425                 1
        1362   0.0140832        0.00488647       0.000238165  -6.49625  1.11469  0.002425                 1
        1364  -0.122308         0.00206839       0.0424375    -6.49625  1.11469  0.002425                 1
        1366  -0.138101         0.00233547       0.0479172    -6.49625  1.11469  0.002425                 1
        1368  -0.204638         0.0034607        0.0710037    -6.49625  1.11469  0.002425                 1
        1370  -0.156034         0.00263874       0.0541393    -6.49625  1.11469  0.002425                 1
        1372  -0.0757576        0.00128116       0.0262857    -6.49625  1.11469  0.002425                 1
        1374  -0.310185         0.00524563       0.107625     -6.49625  1.11469  0.002425                 1
        1376  -0.346581         0.00586113       0.120254     -6.49625  1.11469  0.002425                 1
        1378  -0.171683         0.00290338       0.0595691    -6.49625  1.11469  0.002425                 1
        1380  -0.15975          0.00270158       0.0554286    -6.49625  1.11469  0.002425                 1
        1382  -0.416846         0.00704942       0.144634     -6.49625  1.11469  0.002425                 1
        1384  -0.187498         0.00317084       0.0650566    -6.49625  1.11469  0.002425                 1
        1386   0.0846505        0.0293713        0.00143155   -6.49625  1.11469  0.002425                 1
        1388   0.0416764        0.0144605        0.000704803  -6.49625  1.11469  0.002425                 1
        1390  -0.0297317        0.000502802      0.0103161    -6.49625  1.11469  0.002425                 1
        1392  -0.0979288        0.00165611       0.0339785    -6.49625  1.11469  0.002425                 1
        1394  -0.314345         0.00531599       0.109069     -6.49625  1.11469  0.002425                 1
        1396  -0.404013         0.00683239       0.140181     -6.49625  1.11469  0.002425                 1
        1398  -0.115617         0.00195524       0.0401159    -6.49625  1.11469  0.002425                 1
        1400  -0.293749         0.00496769       0.101923     -6.49625  1.11469  0.002425                 1
        1402  -0.316742         0.00535652       0.1099       -6.49625  1.11469  0.002425                 1
        1404   0.0386432        0.0134081        0.000653507  -6.49625  1.11469  0.002425                 1
        1406   0.129329         0.0448734        0.00218712   -6.49625  1.11469  0.002425                 1
