# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 14.000000 and phase < 16.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
# N = 28
# N_spec = 36
# phase = 15.15
# dm15 = 1.1
# z = 0.012

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        3054   0.150818        0.00243583      0.00311452   15.0223  1.00722  0.021815                1
        3056  -0.360393        0.00744244      0.00582065   15.0223  1.00722  0.021815                1
        3058  -0.721706        0.0149039       0.0116562    15.0223  1.00722  0.021815                1
        3060  -0.259577        0.0053605       0.00419238   15.0223  1.00722  0.021815                1
        3062  -0.0897951       0.00185435      0.00145027   15.0223  1.00722  0.021815                1
        3064  -0.258531        0.00533891      0.0041755    15.0223  1.00722  0.021815                1
        3066  -0.0573691       0.00118472      0.000926559  15.0223  1.00722  0.021815                1
        3068  -0.0432915       0.250178        0.176886     15.4212  1.0731   0.0158711               2
        3070   0.219118        0.171302        0.123335     15.4198  1.07287  0.0158916               2
        3072   0.250424        0.173972        0.243278     15.4194  1.07281  0.0158972               2
        3074   0.322956        0.224368        0.313745     15.4194  1.07281  0.0158972               2
        3076   0.623502        0.0796977       0.110965     15.4187  1.07268  0.0159086               2
        3078   0.389147        0.125871        0.173827     15.4173  1.07246  0.0159285               2
        3080   0.363861        0.0263969       0.036259     15.4163  1.07229  0.0159441               2
        3082   0.353076        0.0570066       0.0779108    15.4155  1.07216  0.0159553               2
        3084   0.142899        0.195427        0.260457     15.4114  1.07147  0.0160175               2
        3086   0.0464692       0.232377        0.306552     15.4096  1.07118  0.0160444               2
        3088   0.122852        0.144744        0.188824     15.4078  1.07088  0.0160709               2
        3090  -0.228775        0.245044        0.319546     15.4074  1.07083  0.0160759               2
        3092  -0.21574         0.0408669       0.0459747    15.407   1.07076  0.0160823               2
        3094   0.0193103       0.253783        0.326233     15.4052  1.07045  0.0161095               2
        3096   0.0611243       0.425514        0.543748     15.4042  1.07029  0.0161242               2
        3098   0.225303        0.152863        0.193215     15.4025  1.07     0.0161503               2
        3100   0.175581        0.130295        0.163883     15.4016  1.06987  0.0161625               2
        3102   0.0390019       0.0624324       0.0781205    15.4007  1.06972  0.0161761               2
        3104   0.325822        0.00659207      0.00804056   15.3985  1.06935  0.0162093               2
        3106   0.341129        0.0957771       0.117183     15.3968  1.06907  0.0162346               2
        3108   0.125231        0.214079        0.259991     15.3957  1.06888  0.0162515               2
        3110   0.330412        0.0540368       0.0545382    15.3944  1.06868  0.0162695               2
        3112   0.191841        0.190891        0.15964      15.3929  1.06842  0.0162932               2
        3114   0.0210865       0.0552613       0.0468159    15.3907  1.06806  0.0163251               2
        3116   0.16475         0.280078        0.327449     15.3892  1.06781  0.0163477               2
        3118   0.244495        0.355895        0.411726     15.3874  1.06752  0.0163743               2
        3120   0.194086        0.121177        0.138924     15.3858  1.06726  0.0163978               2
        3122   0.243499        0.0300414       0.0344181    15.3846  1.06706  0.0164156               2
        3124   0.173945        0.00469883      0.00645564   15.383   1.06678  0.0164406               2
        3126   0.0377873       0.0664963       0.0598701    15.3804  1.06636  0.0164793               2
        3128  -0.135205        0.0349121       0.0318447    15.3779  1.06594  0.0165169               2
        3130  -0.223225        0.184351        0.197884     15.3755  1.06555  0.0165522               2
        3132  -0.0648627       0.351397        0.374781     15.3735  1.06522  0.0165817               2
        3134   0.0949618       0.29008         0.305359     15.3713  1.06485  0.0166147               2
        3136   0.102016        0.178199        0.185616     15.3695  1.06456  0.0166414               2
        3138   0.157569        0.233409        0.240088     15.3673  1.0642   0.0166734               2
        3140   0.276666        0.203697        0.20729      15.3655  1.06389  0.0167016               2
        3142   0.291468        0.0100513       0.0152913    15.3642  1.06369  0.0167197               2
        3144   0.125725        0.061897        0.0648143    15.3621  1.06334  0.0167513               2
        3146   0.0503514       0.0953051       0.0937411    15.3597  1.06294  0.0167875               2
        3148   0.130281        0.23455         0.227593     15.3574  1.06256  0.0168221               2
        3150   0.166664        0.221336        0.212436     15.3555  1.06225  0.01685                 2
        3152   0.100335        0.129948        0.12235      15.3522  1.0617   0.016899                2
        3154   0.147224        0.0783209       0.0726571    15.3495  1.06125  0.0169399               2
        3156   0.223869        0.0549915       0.0505982    15.3475  1.06093  0.0169686               2
        3158   0.157111        0.0644809       0.058368     15.3451  1.06053  0.0170047               2
        3160   0.196579        0.086425        0.0768665    15.3421  1.06004  0.0170491               2
        3162   0.320898        0.103097        0.0908399    15.3403  1.05974  0.0170764               2
        3164   0.360947        0.121467        0.105396     15.3377  1.05931  0.0171151               2
        3166   0.36234         0.0970038       0.0828711    15.3348  1.05883  0.0171582               2
        3168   0.325953        0.0351697       0.0299641    15.3327  1.05848  0.0171897               2
        3170   0.19085         0.0421833       0.0351476    15.3303  1.05808  0.0172259               2
        3172   0.0955032       0.097461        0.0791693    15.327   1.05755  0.017274                2
