# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 18.000000 and phase < 20.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
# N = 32
# N_spec = 42
# phase = 18.9
# dm15 = 1.08
# z = 0.01

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  -------  ----------  -------------
        3006   0.055609         0.00052601       3.94358e-05  19.3397  1.00822  0.015786                1
        3008  -0.0813959        5.77229e-05      0.000769931  19.3397  1.00822  0.015786                1
        3010   0.00129112       1.22128e-05      9.15615e-07  19.3397  1.00822  0.015786                1
        3012   0.268517         0.00253992       0.000190422  19.3397  1.00822  0.015786                1
        3014   0.14859          0.00140552       0.000105374  19.3397  1.00822  0.015786                1
        3016   0.0408795        0.000386683      2.89902e-05  19.3397  1.00822  0.015786                1
        3018   0.0619823        0.000586296      4.39555e-05  19.3397  1.00822  0.015786                1
        3020   0.116521         0.00110219       8.26326e-05  19.3397  1.00822  0.015786                1
        3022   0.240066         0.0022708        0.000170246  19.3397  1.00822  0.015786                1
        3024   0.0910202        0.000860968      6.45481e-05  19.3397  1.00822  0.015786                1
        3026   0.0690105        0.000652777      4.89397e-05  19.3397  1.00822  0.015786                1
        3028   0.0584917        0.000553278      4.14801e-05  19.3397  1.00822  0.015786                1
        3030   0.0799116        0.000755891      5.66703e-05  19.3397  1.00822  0.015786                1
        3032   0.00259674       0.0168708        0.150034     18.2743  1.00982  0.0076336               2
        3034   0.0254015        0.00467666       0.0408967    18.278   1.00982  0.00766249              2
        3036   0.0263069        0.00182986       0.0161043    18.2819  1.00981  0.0076925               2
        3038   0.0392052        0.0105087        0.0849253    18.286   1.0098   0.00772366              2
        3040   0.0392666        0.0202317        0.156405     18.2902  1.0098   0.00775598              2
        3042   0.0222663        0.0131083        0.0976321    18.2946  1.00979  0.00778948              2
        3044   0.0112619        0.0126071        0.0902919    18.2992  1.00978  0.00782415              2
        3046   0.0118007        0.0192734        0.133249     18.3038  1.00978  0.00786                 2
        3048  -0.00241871       0.0114484        0.0765745    18.3087  1.00977  0.00789701              2
        3050  -0.00308785       0.0131447        0.0847535    18.3137  1.00976  0.00793519              2
        3052   0.0163908        0.00851607       0.052852     18.3188  1.00975  0.00797451              2
        3054   0.0245771        0.0250441        0.149168     18.3241  1.00975  0.00801494              2
        3056  -0.0175885        0.0142419        0.0825762    18.3295  1.00974  0.00805645              2
        3058  -0.0108802        0.0137135        0.0764831    18.3351  1.00973  0.00809899              2
        3060   0.0135569        0.0126859        0.0676536    18.3408  1.00972  0.00814254              2
        3062   0.00972175       0.0171253        0.088195     18.3466  1.00971  0.00818695              2
        3064   0.0193764        0.0139493        0.0692299    18.3525  1.0097   0.00823245              2
        3066   0.0212496        0.0172669        0.0826407    18.3584  1.00969  0.00827776              2
        3068   0.0300999        0.0196661        0.0906791    18.365   1.00968  0.00832797              2
        3070   0.027624         0.00754516       0.0342651    18.3692  1.00968  0.00835981              2
        3072   0.0146957        0.0141509        0.0644317    18.3668  1.00968  0.00834194              2
        3074  -0.0211133        0.0258344        0.115617     18.3714  1.00967  0.00837682              2
        3076  -0.0123093        0.0309846        0.134653     18.3763  1.00967  0.00841413              2
        3078   0.0223455        0.0250379        0.102753     18.3855  1.00965  0.00848518              2
        3080   0.0157376        0.0266957        0.105107     18.3936  1.00964  0.008547                2
        3082   0.0130898        0.0302568        0.116068     18.3988  1.00963  0.0085864               2
        3084   0.0056463        0.0294367        0.111165     18.4021  1.00963  0.00861161              2
        3086   0.00132181       0.0308343        0.114482     18.4056  1.00962  0.0086383               2
        3088  -0.0157925        0.0382906        0.136192     18.4146  1.00961  0.00870776              2
        3090  -0.0050896        0.0271102        0.093958     18.4197  1.0096   0.0087464               2
        3092   9.24165e-05      0.020145         0.0690396    18.4218  1.0096   0.00876246              2
        3094   0.0240364        0.0183548        0.06089      18.4277  1.00959  0.00880742              2
