# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 12.000000 and phase < 14.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
# N = 33
# N_spec = 40
# phase = 12.96
# dm15 = 1.09
# z = 0.012

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        2978   0.941377        0.0105366        0.00413819   12.5024  1.19     0.049                   1
        2980   0.94176         0.0105409        0.00413988   12.5024  1.19     0.049                   1
        2982  -0.172896        0.000760034      0.00193519   12.5024  1.19     0.049                   1
        2984  -1.12605         0.00495001       0.0126036    12.5024  1.19     0.049                   1
        2986  -0.240154        0.00105569       0.00268798   12.5024  1.19     0.049                   1
        2988   0.281777        0.00315387       0.00123866   12.5024  1.19     0.049                   1
        2990   0.657123        0.00735502       0.00288864   12.5024  1.19     0.049                   1
        2992   0.390048        0.00436572       0.00171461   12.5024  1.19     0.049                   1
        2994   0.702473        0.00786261       0.003088     12.5024  1.19     0.049                   1
        2996   0.127593        0.00142812       0.000560885  12.5024  1.19     0.049                   1
        2998  -0.627891        0.00276014       0.00702783   12.5024  1.19     0.049                   1
        3000  -0.0511587       0.000224888      0.000572607  12.5024  1.19     0.049                   1
        3002   0.351986        0.0039397        0.00154729   12.5024  1.19     0.049                   1
        3004   0.492647        0.00551409       0.00216563   12.5024  1.19     0.049                   1
        3006  -0.13857         0.000609139      0.00155098   12.5024  1.19     0.049                   1
        3008  -0.317664        0.00139642       0.00355553   12.5024  1.19     0.049                   1
        3010   0.030287        0.00550849       0.00138737   13.6094  1.16161  0.0318127               2
        3012   0.0450211       0.0284488        0.490293     13.6087  1.16163  0.0318249               2
        3014  -0.0426398       0.0176196        0.298836     13.6078  1.16166  0.031838                2
        3016   0.0879757       0.074068         0.00501907   13.6076  1.16166  0.0318415               2
        3018   0.303632        0.00828946       0.13153      13.6073  1.16167  0.0318463               2
        3020   0.272595        0.00604955       0.0934324    13.6065  1.16169  0.0318576               2
        3022   0.138824        0.548244         0.0332988    13.6061  1.1617   0.031865                2
        3024  -0.032861        0.869867         0.0529518    13.6057  1.16171  0.0318713               2
        3026  -0.0296759       0.506553         0.0315391    13.6042  1.16175  0.0318939               2
        3028   0.242113        0.033346         0.518744     13.6028  1.16178  0.0319154               2
        3030   0.267477        0.0090717        0.134149     13.602   1.1618   0.0319276               2
        3032   0.162104        0.00753925       0.112398     13.6016  1.16181  0.0319337               2
        3034   0.211904        0.0243076        0.369014     13.6014  1.16182  0.0319378               2
        3036   0.0228082       0.00864624       0.131893     13.601   1.16183  0.0319436               2
        3038   0.0195519       0.316487         0.0209142    13.6004  1.16185  0.0319531               2
        3040   0.0631646       0.137096         0.00920976   13.5996  1.16187  0.0319652               2
