# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= -3 and phase <= 3 and ((dm15_source >= 1.5 or dm15_from_fits >= 1.5))
# N = 28
# N_spec = 77
# phase = -0.06
# dm15 = 1.7
# z = 0.013

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper         Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  ------------  -------  ----------  -------------
        1890  -0.160389        0.00295713       0.0102096     0.200192     1.69     0.0065                  1
        1892  -0.00260566      4.80411e-05      0.000165864   0.23071      1.69     0.0065                  1
        1894  -0.18213         0.00335796       0.0115935     0.225627     1.69     0.0065                  1
        1896   0.278202        0.017709         0.00512926    0.22132      1.69     0.0065                  1
        1898   0.721776        0.0459448        0.0133075     0.228757     1.69     0.0065                  1
        1900   0.639874        0.0407313        0.0117975     0.226994     1.69     0.0065                  1
        1902   0.815928        0.051938         0.0150434     0.221835     1.69     0.0065                  1
        1904   0.716374        0.0456009        0.0132079     0.199181     1.69     0.0065                  1
        1906   0.307876        0.0195979        0.00567636    0.200937     1.69     0.0065                  1
        1908   0.328408        0.0209049        0.00605491    0.195533     1.69     0.0065                  1
        1910   0.392516        0.0249857        0.00723688    0.18817      1.69     0.0065                  1
        1912   0.593367        0.0377709        0.01094       0.202164     1.69     0.0065                  1
        1914   0.612261        0.0389736        0.0112884     0.212952     1.69     0.0065                  1
        1916   0.430797        0.0274224        0.00794267    0.212803     1.69     0.0065                  1
        1918   0.250278        0.0159315        0.00461441    0.210889     1.69     0.0065                  1
        1920   0.249389        0.0158749        0.00459803    0.192764     1.69     0.0065                  1
        1922   0.325645        0.020729         0.00600396    0.186661     1.69     0.0065                  1
        1924   0.406152        0.0258537        0.00748828    0.215185     1.69     0.0065                  1
        1926   0.329914        0.0210007        0.00608268    0.221236     1.69     0.0065                  1
        1928   0.41833         0.0266289        0.00771282    0.217212     1.69     0.0065                  1
        1930   0.385523        0.0245406        0.00710796    0.186236     1.69     0.0065                  1
