# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= 26 and phase <= 34 and ((dm15_source >= .95 and dm15_source < 1.1) or (dm15_from_fits >= .95 and dm15_from_fits < 1.1))
# N = 39
# N_spec = 68
# phase = 29.84
# dm15 = 1.03
# z = 0.015

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        2922   0.910394        0.0338337       0.0121735   28.8526  1.05145  0.003896                1
        2924   0.873599        0.0324663       0.0116815   28.8526  1.05145  0.003896                1
        2926   0.867846        0.0322525       0.0116045   28.8526  1.05145  0.003896                1
        2928   0.882146        0.0327839       0.0117958   28.8526  1.05145  0.003896                1
        2930   0.9091          0.0337856       0.0121562   28.8526  1.05145  0.003896                1
        2932   0.920295        0.0342017       0.0123059   28.8526  1.05145  0.003896                1
        2934   0.885181        0.0328967       0.0118364   28.8526  1.05145  0.003896                1
        2936   0.800832        0.029762        0.0107085   28.8526  1.05145  0.003896                1
        2938   0.741532        0.0275582       0.00991552  28.8526  1.05145  0.003896                1
        2940   0.782761        0.0290904       0.0104668   28.8526  1.05145  0.003896                1
        2942   0.883112        0.0328198       0.0118087   28.8526  1.05145  0.003896                1
        2944   0.965571        0.0358843       0.0129113   28.8526  1.05145  0.003896                1
        2946   0.974782        0.0362266       0.0130345   28.8526  1.05145  0.003896                1
        2948   0.952827        0.0354107       0.0127409   28.8526  1.05145  0.003896                1
        2950   0.94276         0.0350366       0.0126063   28.8526  1.05145  0.003896                1
        2952   0.953142        0.0354224       0.0127451   28.8526  1.05145  0.003896                1
        2954   0.973678        0.0361856       0.0130197   28.8526  1.05145  0.003896                1
        2956   0.9971          0.0370561       0.0133329   28.8526  1.05145  0.003896                1
        2958   1.02471         0.038082        0.013702    28.8526  1.05145  0.003896                1
        2960   1.05923         0.0393651       0.0141637   28.8526  1.05145  0.003896                1
        2962   1.09103         0.0405467       0.0145889   28.8526  1.05145  0.003896                1
        2964   1.10736         0.0411539       0.0148073   28.8526  1.05145  0.003896                1
        2966   1.09719         0.0407759       0.0146713   28.8526  1.05145  0.003896                1
        2968   1.06757         0.0396751       0.0142753   28.8526  1.05145  0.003896                1
        2970   1.02291         0.0380154       0.0136781   28.8526  1.05145  0.003896                1
        2972   0.978629        0.0363696       0.0130859   28.8526  1.05145  0.003896                1
        2974   0.948748        0.0352591       0.0126864   28.8526  1.05145  0.003896                1
        2976   0.944777        0.0351115       0.0126333   28.8526  1.05145  0.003896                1
        2978   0.96032         0.0356892       0.0128411   28.8526  1.05145  0.003896                1
        2980   0.991035        0.0368307       0.0132518   28.8526  1.05145  0.003896                1
        2982   1.02034         0.0379196       0.0136436   28.8526  1.05145  0.003896                1
        2984   1.03322         0.0383983       0.0138158   28.8526  1.05145  0.003896                1
        2986   1.022           0.0379813       0.0136658   28.8526  1.05145  0.003896                1
        2988   1.00108         0.0372039       0.0133861   28.8526  1.05145  0.003896                1
        2990   0.983096        0.0365356       0.0131456   28.8526  1.05145  0.003896                1
        2992   0.970377        0.0360629       0.0129756   28.8526  1.05145  0.003896                1
        2994   0.960332        0.0356896       0.0128412   28.8526  1.05145  0.003896                1
        2996   0.94913         0.0352733       0.0126915   28.8526  1.05145  0.003896                1
        2998   0.933242        0.0346828       0.012479    28.8526  1.05145  0.003896                1
        3000   0.909593        0.033804        0.0121628   28.8526  1.05145  0.003896                1
        3002   0.884937        0.0328876       0.0118331   28.8526  1.05145  0.003896                1
        3004   0.867037        0.0322224       0.0115937   28.8526  1.05145  0.003896                1
        3006   0.85978         0.0319527       0.0114967   28.8526  1.05145  0.003896                1
        3008   0.857231        0.031858        0.0114626   28.8526  1.05145  0.003896                1
        3010   0.85399         0.0317375       0.0114193   28.8526  1.05145  0.003896                1
        3012   0.848529        0.0315346       0.0113462   28.8526  1.05145  0.003896                1
        3014   0.841276        0.031265        0.0112493   28.8526  1.05145  0.003896                1
        3016   0.833674        0.0309825       0.0111476   28.8526  1.05145  0.003896                1
        3018   0.827985        0.0307711       0.0110715   28.8526  1.05145  0.003896                1
        3020   0.826357        0.0307106       0.0110498   28.8526  1.05145  0.003896                1
        3022   0.826089        0.0307006       0.0110462   28.8526  1.05145  0.003896                1
        3024   0.824141        0.0306282       0.0110202   28.8526  1.05145  0.003896                1
        3026   0.81955         0.0304576       0.0109588   28.8526  1.05145  0.003896                1
        3028   0.814926        0.0302858       0.0108969   28.8526  1.05145  0.003896                1
        3030   0.813976        0.0302505       0.0108842   28.8526  1.05145  0.003896                1
        3032   0.818743        0.0304276       0.010948    28.8526  1.05145  0.003896                1
        3034   0.831104        0.030887        0.0111133   28.8526  1.05145  0.003896                1
        3036   0.849932        0.0315867       0.011365    28.8526  1.05145  0.003896                1
        3038   0.869655        0.0323197       0.0116287   28.8526  1.05145  0.003896                1
        3040   0.884397        0.0328676       0.0118259   28.8526  1.05145  0.003896                1
        3042   0.892934        0.0331849       0.01194     28.8526  1.05145  0.003896                1
        3044   0.894752        0.0332524       0.0119643   28.8526  1.05145  0.003896                1
        3046   0.891           0.033113        0.0119142   28.8526  1.05145  0.003896                1
        3048   0.885147        0.0328955       0.0118359   28.8526  1.05145  0.003896                1
        3050   0.879981        0.0327035       0.0117668   28.8526  1.05145  0.003896                1
        3052   0.875742        0.0325459       0.0117101   28.8526  1.05145  0.003896                1
        3054   0.871689        0.0323953       0.0116559   28.8526  1.05145  0.003896                1
        3056   0.866272        0.032194        0.0115835   28.8526  1.05145  0.003896                1
        3058   0.857765        0.0318778       0.0114698   28.8526  1.05145  0.003896                1
        3060   0.846198        0.031448        0.0113151   28.8526  1.05145  0.003896                1
        3062   0.839931        0.031215        0.0112313   28.8526  1.05145  0.003896                1
        3064   0.846758        0.0314687       0.0113226   28.8526  1.05145  0.003896                1
        3066   0.860239        0.0319698       0.0115028   28.8526  1.05145  0.003896                1
        3068   0.860431        0.0319769       0.0115054   28.8526  1.05145  0.003896                1
        3070   0.829241        0.0308177       0.0110883   28.8526  1.05145  0.003896                1
        3072   0.790632        0.0293829       0.0105721   28.8526  1.05145  0.003896                1
        3074   0.770352        0.0286292       0.0103009   28.8526  1.05145  0.003896                1
        3076   0.778043        0.0289151       0.0104037   28.8526  1.05145  0.003896                1
        3078   0.802669        0.0298303       0.010733    28.8526  1.05145  0.003896                1
        3080   0.832087        0.0309235       0.0111264   28.8526  1.05145  0.003896                1
        3082   0.856198        0.0318196       0.0114488   28.8526  1.05145  0.003896                1
        3084   0.868518        0.0322775       0.0116135   28.8526  1.05145  0.003896                1
        3086   0.868265        0.032268        0.0116102   28.8526  1.05145  0.003896                1
        3088   0.860359        0.0319742       0.0115044   28.8526  1.05145  0.003896                1
        3090   0.851112        0.0316306       0.0113808   28.8526  1.05145  0.003896                1
        3092   0.848651        0.0315391       0.0113479   28.8526  1.05145  0.003896                1
        3094   0.859671        0.0319487       0.0114952   28.8526  1.05145  0.003896                1
        3096   0.880683        0.0327296       0.0117762   28.8526  1.05145  0.003896                1
        3098   0.900374        0.0334613       0.0120395   28.8526  1.05145  0.003896                1
        3100   0.905929        0.0336678       0.0121138   28.8526  1.05145  0.003896                1
        3102   0.897756        0.033364        0.0120045   28.8526  1.05145  0.003896                1
        3104   0.876485        0.0325735       0.0117201   28.8526  1.05145  0.003896                1
        3106   0.848601        0.0315372       0.0113472   28.8526  1.05145  0.003896                1
        3108   0.822803        0.0305785       0.0110023   28.8526  1.05145  0.003896                1
        3110   0.808157        0.0300342       0.0108064   28.8526  1.05145  0.003896                1
        3112   0.803241        0.0298515       0.0107407   28.8526  1.05145  0.003896                1
        3114   0.807709        0.0300175       0.0108004   28.8526  1.05145  0.003896                1
        3116   0.821737        0.0305389       0.010988    28.8526  1.05145  0.003896                1
        3118   0.846848        0.0314721       0.0113238   28.8526  1.05145  0.003896                1
        3120   0.882496        0.0327969       0.0118005   28.8526  1.05145  0.003896                1
        3122   0.935793        0.0446383       1.07733     28.9221  1.05142  0.00394803              2
        3124   0.960562        0.0525484       1.54399     28.9235  1.05142  0.00394909              2
        3126   0.919371        0.462787        0.00776311  28.9249  1.05142  0.0039501               2
        3128   0.893856        1.48912         0.0196205   28.9257  1.05142  0.00395074              2
        3130   0.916684        0.496479        0.0087583   28.9269  1.05142  0.00395163              2
        3132   0.951208        0.0436327       0.896038    28.9281  1.05142  0.00395248              2
        3134   0.950065        0.0416781       0.762256    28.9291  1.05142  0.00395325              2
        3136   0.921513        0.491002        0.00913564  28.9304  1.05142  0.00395423              2
        3138   0.906956        1.19524         0.0176297   28.9315  1.05142  0.00395507              2
        3140   0.906277        1.56001         0.022127    28.9334  1.05142  0.00395646              2
        3142   0.91409         1.7057          0.0252496   28.9345  1.05142  0.00395731              2
        3144   0.905274        2.55652         0.0418183   28.9346  1.05142  0.00395735              2
        3146   0.95795         0.589906        0.0106648   28.9357  1.05142  0.00395818              2
        3148   0.960425        0.473825        0.00965009  28.9373  1.05142  0.00395938              2
        3150   0.98228         0.0436561       0.733778    28.9384  1.05142  0.00396021              2
        3152   0.97156         0.0407728       0.579817    28.9399  1.05142  0.00396133              2
        3154   0.940755        0.707724        0.0133343   28.9412  1.05142  0.00396234              2
        3156   0.944686        1.01449         0.016954    28.9432  1.05142  0.00396381              2
        3158   0.97551         0.625606        0.0128052   28.9449  1.05141  0.00396512              2
        3160   0.997584        0.796852        0.0144835   28.9471  1.05141  0.00396673              2
        3162   1.01861         0.95886         0.0166837   28.9498  1.05141  0.00396878              2
        3164   1.03292         1.1194          0.0206338   28.9517  1.05141  0.00397016              2
        3166   1.04324         1.21634         0.0224552   28.954   1.05141  0.00397188              2
        3168   1.05704         1.16371         0.0220641   28.9558  1.05141  0.00397323              2
        3170   1.08309         0.748996        0.015725    28.9573  1.05141  0.00397438              2
        3172   1.12048         0.0375198       0.115122    28.9609  1.05141  0.00397709              2
        3174   1.12679         0.0402909       0.22318     28.964   1.05141  0.00397942              2
        3176   1.10772         0.244033        0.00666745  28.9659  1.05141  0.00398082              2
        3178   1.09264         0.514085        0.0135423   28.969   1.05141  0.00398313              2
        3180   1.07423         0.979404        0.0217572   28.972   1.0514   0.00398537              2
        3182   1.0845          0.823342        0.0183597   28.9746  1.0514   0.00398728              2
        3184   1.10248         0.537419        0.0151353   29.0435  1.05169  0.00402555              3
        3186   1.13704         0.27678         0.00947911  29.0465  1.05168  0.0040278               3
        3188   1.17387         0.0690604       0.189601    29.0491  1.05168  0.00402974              3
        3190   1.17693         0.0718223       0.234507    29.0509  1.05168  0.00403104              3
        3192   1.15064         0.250011        0.0297671   29.0548  1.05168  0.00403395              3
        3194   1.1499          0.294984        0.0117449   29.06    1.05168  0.0040378               3
        3196   1.16216         0.260999        0.0138671   29.063   1.05168  0.00404004              3
        3198   1.14947         0.501875        0.0191131   29.0668  1.05168  0.00404287              3
        3200   1.14598         0.359435        0.0272997   29.0721  1.05168  0.00404678              3
        3202   1.1171          0.411341        0.0151411   29.076   1.05168  0.00404973              3
        3204   1.02784         1.28556         0.0520189   29.0812  1.05167  0.00405353              3
        3206   1.05416         0.426186        0.017453    29.0868  1.05167  0.00405774              3
        3208   1.07386         0.0827897       0.104516    29.0918  1.05167  0.00406143              3
        3210   1.06537         0.231156        0.0112182   29.096   1.05167  0.00406454              3
        3212   1.08379         0.232556        0.0117616   29.102   1.05167  0.00406902              3
        3214   1.13749         0.0788099       0.269312    29.1082  1.05167  0.00407358              3
        3216   1.17407         0.096906        0.697315    29.1123  1.05167  0.00407661              3
        3218   1.07489         0.599851        0.0267843   29.115   1.05164  0.00413031              4
        3220   1.02857         0.607135        0.0304163   29.1268  1.0517   0.00414369              4
        3222   1.04901         0.0565849       0.158609    29.1323  1.0517   0.00414828              4
        3224   1.02635         0.0595678       0.141063    29.1375  1.0517   0.00415269              4
        3226   1.18854         0.182222        0.822671    29.1304  1.0505   0.00540078              6
        3228   1.01589         0.195486        0.160808    29.2834  1.04695  0.00582384              7
        3230   0.981145        0.127414        0.0656396   29.2901  1.04694  0.00583575              7
        3232   0.944012        0.122461        0.0645836   29.2977  1.0469   0.00584809              7
        3234   0.950706        0.102949        0.0411628   29.3025  1.0469   0.00585605              7
        3236   0.979819        0.0663669       0.10189     29.309   1.04687  0.005866                7
        3238   0.91164         0.116978        0.0569757   29.3156  1.04684  0.00587649              7
        3240   0.916982        0.087158        0.0740163   29.3192  1.04674  0.00590906              8
        3242   0.976618        0.104324        0.311967    29.3273  1.04673  0.00591992              8
        3244   1.06208         0.125506        0.620902    29.3243  1.04643  0.00599164              9
        3246   1.0787          0.130458        0.567625    29.3327  1.04642  0.00600668              9
        3248   0.91603         0.15992         0.151225    29.3383  1.04642  0.00601859              9
        3250   0.907838        0.125775        0.0522294   29.3479  1.04636  0.00603973              9
        3252   0.925066        0.121317        0.120355    29.3572  1.04632  0.00605556              9
        3254   0.913985        0.168927        0.140379    29.3634  1.04632  0.00606933              9
        3256   0.865417        0.117687        0.105031    29.3701  1.04631  0.00608427              9
        3258   0.916469        0.128555        0.413123    29.3819  1.04627  0.00610373              9
        3260   0.936036        0.118605        0.271146    29.4104  1.04617  0.00620375             11
        3262   0.987926        0.13856         0.577041    29.4181  1.0461   0.0062274              11
        3264   1.11813         0.184085        0.764483    29.4303  1.04605  0.00625157             11
        3266   1.02536         0.145844        0.377791    29.4419  1.04597  0.00628227             11
        3268   1.06665         0.144398        0.489997    29.3619  1.04626  0.00658493             12
        3270   1.12978         0.169243        0.616127    29.3682  1.04622  0.00661416             12
        3272   1.21007         0.204601        0.878364    29.3791  1.04612  0.00665195             12
        3274   1.03262         0.16462         0.556059    29.3918  1.04605  0.00668709             12
        3276   1.10073         0.191665        0.65874     29.4052  1.04597  0.00672234             12
        3278   1.02774         0.151252        0.204774    29.4162  1.0459   0.00675946             12
        3280   0.925628        0.0890083       0.139395    29.4287  1.04583  0.00680026             12
        3282   0.858434        0.122173        0.158855    29.4497  1.04579  0.00684279             12
        3284   0.888306        0.115094        0.125866    29.4593  1.04569  0.00688733             12
        3286   0.928211        0.10409         0.157574    29.4755  1.04559  0.00693067             12
        3288   0.809064        0.171423        0.129497    29.4914  1.04546  0.00697508             12
        3290   0.959681        0.135848        0.347418    29.4592  1.04624  0.00694814             13
        3292   1.04618         0.1237          0.425055    29.4728  1.04611  0.00700285             13
        3294   1.02181         0.115869        0.297856    29.4828  1.04603  0.00705663             13
        3296   0.908692        0.206274        0.120451    29.4974  1.04593  0.00711147             13
        3298   0.833828        0.307948        0.144433    29.5743  1.04628  0.00754065             14
        3300   0.93572         0.223262        0.250493    29.5867  1.04617  0.00759506             14
        3302   0.893122        0.30198         0.215313    29.6036  1.04606  0.00765384             14
        3304   0.989595        0.218222        0.240803    29.6187  1.04596  0.007711               14
        3306   0.835799        0.231007        0.121532    29.6324  1.04586  0.0077685              14
        3308   0.919151        0.239403        0.149457    29.6444  1.04573  0.00782758             14
        3310   1.11183         0.196314        0.279653    29.6547  1.04564  0.00788043             14
        3312   1.01272         0.183762        0.202826    29.6675  1.04553  0.00793929             14
        3314   0.879666        0.204018        0.177389    29.682   1.04537  0.00800025             14
        3316   0.767035        0.261327        0.116631    29.6977  1.04524  0.00806664             14
        3318   0.817372        0.258593        0.132937    29.7118  1.04512  0.00813415             14
        3320   0.900068        0.280023        0.19494     29.7235  1.04499  0.00820003             14
        3322   0.867366        0.237582        0.176963    29.7409  1.04484  0.00827208             14
        3324   0.865679        0.214088        0.102296    29.7543  1.04472  0.00833906             14
        3326   1.05293         0.22024         0.209064    29.7653  1.04457  0.00840721             14
        3328   0.927851        0.251846        0.112722    29.7803  1.04447  0.00847352             14
        3330   1.0865          0.261585        0.152181    29.7903  1.04445  0.0085337              14
        3332   1.18811         0.252867        0.196996    29.7984  1.0444   0.00859202             14
        3334   1.20446         0.264287        0.197725    29.8083  1.04428  0.00865695             14
        3336   1.10708         0.280943        0.210267    29.8245  1.04411  0.00872314             14
        3338   1.06747         0.266396        0.219211    29.8362  1.04396  0.008791               14
        3340   0.940871        0.246549        0.136944    29.8472  1.04378  0.00885706             14
        3342   0.909692        0.200544        0.06517     29.8579  1.04362  0.00892382             14
        3344   0.717493        0.292392        0.149459    29.8606  1.04346  0.00899347             14
        3346   0.907571        0.248224        0.143395    29.8632  1.0433   0.00906959             14
        3348   1.05898         0.192421        0.214697    29.886   1.04427  0.0100497              15
        3350   0.915748        0.191356        0.171784    29.9051  1.04419  0.010161               15
        3352   0.840761        0.231608        0.236207    29.9206  1.0441   0.0102279              15
        3354   0.979767        0.270054        0.144699    29.9317  1.0439   0.0102692              15
        3356   0.986955        0.203583        0.121886    29.9378  1.04373  0.010318               15
        3358   1.07015         0.185993        0.195182    29.9425  1.04372  0.0104025              15
        3360   1.07426         0.162672        0.150675    29.9488  1.04361  0.0104601              15
        3362   0.894511        0.235785        0.109327    29.9535  1.04353  0.0104936              15
        3364   0.936115        0.214781        0.096763    29.9598  1.04341  0.0105133              15
        3366   0.813439        0.159295        0.102991    29.9639  1.04328  0.0105805              15
        3368   0.852213        0.21753         0.089703    29.9676  1.0432   0.0106097              15
        3370   0.977318        0.192281        0.0963395   29.9772  1.04308  0.0106523              15
        3372   1.22607         0.219731        0.167827    29.9745  1.04307  0.0107057              15
        3374   1.24115         0.209058        0.173059    29.971   1.04307  0.0107134              15
        3376   1.30467         0.230607        0.116253    29.9781  1.04293  0.0107705              15
        3378   1.41005         0.248311        0.232417    29.978   1.04287  0.0108126              15
        3380   1.23396         0.155494        0.160308    29.9812  1.04282  0.0108393              15
        3382   1.06414         0.116224        0.0972269   29.9844  1.04278  0.0109256              15
        3384   1.1461          0.211597        0.18337     29.9835  1.04272  0.0109437              15
        3386   1.15824         0.239132        0.152644    29.9837  1.04269  0.0109693              15
        3388   1.19842         0.198966        0.136339    29.982   1.04265  0.0110035              15
        3390   1.32089         0.170236        0.150217    29.9757  1.0426   0.0110086              15
        3392   1.29809         0.119127        0.0780278   29.7872  1.03831  0.00832849             16
        3394   1.16749         0.134156        0.0536662   29.8118  1.03858  0.00858936             16
