# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= 12 and phase <= 16 and ((dm15_source >= 1. and dm15_source < 1.15) or (dm15_from_fits >= 1. and dm15_from_fits < 1.15))
# N = 42
# N_spec = 69
# phase = 13.87
# dm15 = 1.08
# z = 0.011

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        3054   1.57904        0.0139278        0.063429    15.0223  1.00722  0.021815                1
        3056  -3.77326        0.15157          0.0332817   15.0223  1.00722  0.021815                1
        3058  -7.55616        0.303526         0.0666485   15.0223  1.00722  0.021815                1
        3060  -2.71773        0.10917          0.0239715   15.0223  1.00722  0.021815                1
        3062  -0.940142       0.0377649        0.00829244  15.0223  1.00722  0.021815                1
        3064  -2.70679        0.10873          0.023875    15.0223  1.00722  0.021815                1
        3066  -0.600646       0.0241276        0.00529795  15.0223  1.00722  0.021815                1
        3068  -0.426585       2.74483          1.79296     15.4278  1.07419  0.0157728               2
        3070   2.28226        1.78597          1.22028     15.4264  1.07396  0.0157931               2
        3072   2.57045        1.78435          2.76481     15.426   1.0739   0.0157987               2
        3074   3.31495        2.30124          3.56565     15.426   1.0739   0.0157987               2
        3076   6.44251        0.850936         1.49462     15.4253  1.07377  0.0158101               2
        3078   4.01204        1.30496          2.07182     15.424   1.07355  0.0158298               2
        3080   3.76238        0.292471         0.561568    15.4229  1.07338  0.0158453               2
        3082   3.64722        0.602935         1.0103      15.4222  1.07326  0.0158564               2
        3084   1.45603        1.99327          2.90291     15.418   1.07257  0.0159183               2
        3086   0.453724       2.35516          3.36125     15.4162  1.07228  0.015945                2
        3088   1.25479        1.47869          2.11338     15.4145  1.07199  0.0159713               2
        3090  -2.39681        2.44933          3.37773     15.4141  1.07193  0.0159763               2
        3092  -2.23805        0.386479         0.47602     15.4137  1.07186  0.0159827               2
        3094   0.170443       2.56859          3.56372     15.4119  1.07156  0.0160097               2
        3096   0.58352        4.31043          5.95312     15.4109  1.0714   0.0160244               2
        3098   2.31496        1.5701           2.20782     15.4092  1.07111  0.0160503               2
        3100   1.80286        1.33721          1.86561     15.4083  1.07097  0.0160625               2
        3102   0.396646       0.636289         0.869054    15.4074  1.07083  0.016076                2
        3104   3.37308        0.083135         0.211754    15.4052  1.07046  0.016109                2
        3106   3.52141        0.998627         1.4314      15.4035  1.07018  0.0161343               2
        3108   1.27254        2.18125          2.89042     15.4024  1.06999  0.0161511               2
        3110   3.42775        0.559185         0.509458    15.4012  1.06979  0.016169                2
        3112   2.00465        1.99479          1.59023     15.3996  1.06953  0.0161926               2
        3114   0.223619       0.592934         0.470874    15.3975  1.06918  0.0162244               2
        3116   1.67515        2.8547           3.64388     15.396   1.06893  0.016247                2
        3118   2.49295        3.63233          4.5986      15.3942  1.06864  0.0162735               2
        3120   1.99699        1.2473           1.60173     15.3926  1.06838  0.0162968               2
        3122   2.52606        0.310538         0.316425    15.3914  1.06818  0.0163146               2
        3124   1.80137        0.0617481        0.13568     15.3898  1.0679   0.0163395               2
        3126   0.397976       0.708225         0.600846    15.3872  1.06748  0.0163781               2
        3128  -1.39735        0.441054         0.334557    15.3846  1.06706  0.0164156               2
