# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= 5 and phase <= 9 and ((dm15_source >= .95 and dm15_source < 1.15) or (dm15_from_fits >= .95 and dm15_from_fits < 1.15))
# N = 49
# N_spec = 87
# phase = 6.92
# dm15 = 1.06
# z = 0.013

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  --------  ----------  -------------
        2740   0.445055        0.00395903       0.00208842   8.84427  0.96      0.004266                1
        2742   0.230501        0.00205044       0.00108163   8.84427  0.96      0.004266                1
        2744   0.138492        0.00123196       0.000649872  8.84427  0.96      0.004266                1
        2746  -0.351427        0.00164907       0.00312615   8.84427  0.96      0.004266                1
        2748   0.061619        0.000548137      0.000289147  8.84427  0.96      0.004266                1
        2750   0.147616        0.00131313       0.000692687  8.84427  0.96      0.004266                1
        2752  -0.215596        0.00101168       0.00191785   8.84427  0.96      0.004266                1
        2754  -0.252286        0.00118385       0.00224423   8.84427  0.96      0.004266                1
        2756  -0.0976649       0.000458292      0.000868786  8.84427  0.96      0.004266                1
        2758  -0.0142242       6.67468e-05      0.000126532  8.84427  0.96      0.004266                1
        2760  -0.0383161       0.000179798      0.000340844  8.84427  0.96      0.004266                1
        2762   0.0194994       0.000173458      9.15008e-05  8.84427  0.96      0.004266                1
        2764  -0.0397175       0.000186374      0.00035331   8.84427  0.96      0.004266                1
        2766  -0.149964        0.000703706      0.00133402   8.84427  0.96      0.004266                1
        2768  -0.227801        0.00106896       0.00202643   8.84427  0.96      0.004266                1
        2770  -0.209819        0.000984577      0.00186646   8.84427  0.96      0.004266                1
        2772  -0.170838        0.000801655      0.0015197    8.84427  0.96      0.004266                1
        2774  -0.153855        0.000721963      0.00136863   8.84427  0.96      0.004266                1
        2776  -0.135479        0.000635733      0.00120516   8.84427  0.96      0.004266                1
        2778  -0.117617        0.00055192       0.00104628   8.84427  0.96      0.004266                1
        2780  -0.0995998       0.000467372      0.000885998  8.84427  0.96      0.004266                1
        2782  -0.0816029       0.000382921      0.000725905  8.84427  0.96      0.004266                1
        2784  -0.0636756       0.000298798      0.000566432  8.84427  0.96      0.004266                1
        2786  -0.0457257       0.000214568      0.000406756  8.84427  0.96      0.004266                1
        2788  -0.0278295       0.00013059       0.00024756   8.84427  0.96      0.004266                1
        2790  -0.00988719      4.63956e-05      8.79523e-05  8.84427  0.96      0.004266                1
        2792   0.00789328      7.02153e-05      3.70392e-05  8.84427  0.96      0.004266                1
        2794   0.026208        0.000233135      0.000122981  8.84427  0.96      0.004266                1
        2796   0.0422339       0.000375695      0.000198183  8.84427  0.96      0.004266                1
        2798   0.0703586       0.000625881      0.000330158  8.84427  0.96      0.004266                1
        2800   0.125941        0.00112032       0.000590978  8.84427  0.96      0.004266                1
        2802   0.0853271       0.000759034      0.000400397  8.84427  0.96      0.004266                1
        2804   0.00144808      1.28815e-05      6.79511e-06  8.84427  0.96      0.004266                1
        2806  -0.159815        0.000749934      0.00142165   8.84427  0.96      0.004266                1
        2808   0.0475371       0.00042287       0.000223068  8.84427  0.96      0.004266                1
        2810   0.181917        0.00161826       0.000853644  8.84427  0.96      0.004266                1
        2812   0.106538        0.000947715      0.000499928  8.84427  0.96      0.004266                1
        2814   0.0830155       0.000738472      0.00038955   8.84427  0.96      0.004266                1
        2816  -0.0157439       7.3878e-05       0.000140051  8.84427  0.96      0.004266                1
        2818  -0.162197        0.000761109      0.00144284   8.84427  0.96      0.004266                1
        2820  -0.0843945       0.000396021      0.000750738  8.84427  0.96      0.004266                1
        2822   0.0549255       0.000488595      0.000257738  8.84427  0.96      0.004266                1
        2824   0.00776105      6.90391e-05      3.64187e-05  8.84427  0.96      0.004266                1
        2826   0.0722831       0.000643         0.000339188  8.84427  0.96      0.004266                1
        2828   0.0345607       0.000307437      0.000162176  8.84427  0.96      0.004266                1
        2830  -0.0766865       0.000359852      0.000682172  8.84427  0.96      0.004266                1
        2832   0.0889815       0.000791543      0.000417546  8.84427  0.96      0.004266                1
        2834   0.127539        0.00113453       0.000598474  8.84427  0.96      0.004266                1
        2836   0.108175        0.000962282      0.000507612  8.84427  0.96      0.004266                1
        2838   0.0991833       0.000882293      0.000465417  8.84427  0.96      0.004266                1
        2840  -0.139394        0.000654104      0.00123999   8.84427  0.96      0.004266                1
        2842  -0.20674         0.000970129      0.00183908   8.84427  0.96      0.004266                1
        2844  -0.0403779       0.000189473      0.000359185  8.84427  0.96      0.004266                1
        2846   0.0866398       0.000770712      0.000406557  8.84427  0.96      0.004266                1
        2848   0.032327        0.000287568      0.000151694  8.84427  0.96      0.004266                1
        2850  -0.0353107       0.000165696      0.00031411   8.84427  0.96      0.004266                1
        2852   0.0169015       0.000150349      7.93103e-05  8.84427  0.96      0.004266                1
        2854   0.114474        0.00101831       0.000537167  8.84427  0.96      0.004266                1
        2856   0.0357677       0.000318175      0.00016784   8.84427  0.96      0.004266                1
        2858  -0.115788        0.000543334      0.00103      8.84427  0.96      0.004266                1
        2860  -0.10928         0.000512795      0.000972106  8.84427  0.96      0.004266                1
