# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= -3 and phase <= 3 and ((dm15_source >= .95 and dm15_source < 1.15) or (dm15_from_fits >= .95 and dm15_from_fits < 1.15))
# N = 61
# N_spec = 157
# phase = 0.37
# dm15 = 1.06
# z = 0.013

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper         Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  ------------  -------  ----------  -------------
        1604   0.0204428       0.000302496      0.000203907   0.1          1.14     0.002843                1
        1606  -0.299344        0.00298581       0.00442944    0.1          1.14     0.002843                1
        1608   0.0979997       0.00145012       0.000977499   0.1          1.14     0.002843                1
        1610   0.384226        0.00568546       0.00383247    0.1          1.14     0.002843                1
        1612   0.158914        0.00235148       0.00158509    0.1          1.14     0.002843                1
        1614  -0.115603        0.00115308       0.00171059    0.1          1.14     0.002843                1
        1616  -0.15709         0.00156689       0.00232448    0.1          1.14     0.002843                1
        1618  -0.0512464       0.000511157      0.000758301   0.1          1.14     0.002843                1
        1620  -0.034318        0.000342305      0.00050781    0.1          1.14     0.002843                1
        1622   0.217982        0.00322551       0.00217426    0.1          1.14     0.002843                1
        1624   0.0937717       0.00138755       0.000935326   0.1          1.14     0.002843                1
        1626  -0.00353523      3.52622e-05      5.23114e-05   0.1          1.14     0.002843                1
        1628   0.0407237       0.000602595      0.000406198   0.1          1.14     0.002843                1
        1630  -0.0721046       0.000719208      0.00106694    0.1          1.14     0.002843                1
        1632  -0.0242515       0.000241896      0.000358853   0.1          1.14     0.002843                1
        1634  -0.0319005       0.000318192      0.000472037   0.1          1.14     0.002843                1
        1636  -0.0245908       0.000245281      0.000363874   0.1          1.14     0.002843                1
        1638   0.0169632       0.000251007      0.000169199   0.1          1.14     0.002843                1
        1640   0.14494         0.00214471       0.00144571    0.1          1.14     0.002843                1
        1642   0.088494        0.00130946       0.000882684   0.1          1.14     0.002843                1
