# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= -9 and phase <= -5 and ((dm15_source >= 1.5 or dm15_from_fits >= 1.5))
# N = 9
# N_spec = 19
# phase = -6.21
# dm15 = 1.74
# z = 0.015

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  --------  -------  ----------  -------------
        1892  -0.834079       -0.00182775       0.113364     -5.7      1.69     0.0065                  1
        1894  -0.890546       -0.00195148       0.121039     -5.7      1.69     0.0065                  1
        1896  -0.465997       -0.00102115       0.063336     -5.7      1.69     0.0065                  1
        1898  -0.103792       -0.000227444      0.014107     -5.7      1.69     0.0065                  1
        1900   0.267136        0.0363077       -0.000585383  -5.7      1.69     0.0065                  1
        1902   0.571033        0.077612        -0.00125132   -5.7      1.69     0.0065                  1
        1904  -0.0162435      -3.55949e-05      0.00220774   -5.7      1.69     0.0065                  1
        1906  -0.260713       -0.00057131       0.0354349    -5.7      1.69     0.0065                  1
        1908  -0.0424342      -9.29875e-05      0.00576745   -5.7      1.69     0.0065                  1
        1910  -0.124466       -0.000272747      0.0169168    -5.7      1.69     0.0065                  1
        1912  -0.0308531      -6.76094e-05      0.0041934    -5.7      1.69     0.0065                  1
        1914   0.328369        0.0446303       -0.000719567  -5.7      1.69     0.0065                  1
        1916   1.06476         0.144717        -0.00233325   -5.7      1.69     0.0065                  1
        1918   1.09079         0.148255        -0.00239028   -5.7      1.69     0.0065                  1
        1920   0.397094        0.0539711       -0.000870167  -5.7      1.69     0.0065                  1
        1922   0.459068        0.0623942       -0.00100597   -5.7      1.69     0.0065                  1
        1924   0.386969        0.0525949       -0.000847979  -5.7      1.69     0.0065                  1
        1926   0.101667        0.013818        -0.000222786  -5.7      1.69     0.0065                  1
        1928   0.409296        0.0556295       -0.000896904  -5.7      1.69     0.0065                  1
        1930   0.472378        0.0642033       -0.00103514   -5.7      1.69     0.0065                  1
        1932   0.112584        0.0153019       -0.00024671   -5.7      1.69     0.0065                  1
        1934   0.0649395       0.00882626      -0.000142304  -5.7      1.69     0.0065                  1
        1936   0.0237942       0.00323399      -5.21411e-05  -5.7      1.69     0.0065                  1
        1938  -0.281346       -0.000616522      0.0382391    -5.7      1.69     0.0065                  1
        1940  -0.586213       -0.00128459       0.0796751    -5.7      1.69     0.0065                  1
        1942  -0.505484       -0.00110768       0.0687029    -5.7      1.69     0.0065                  1
        1944  -0.195118       -0.000427569      0.0265195    -5.7      1.69     0.0065                  1
        1946  -0.0629931      -0.000138039      0.00856171   -5.7      1.69     0.0065                  1
        1948  -0.0961361      -0.000210666      0.0130663    -5.7      1.69     0.0065                  1
        1950   0.188449        0.025613        -0.000412954  -5.7      1.69     0.0065                  1
        1952   0.344389        0.0468076       -0.000754671  -5.7      1.69     0.0065                  1
        1954   0.295219        0.0401248       -0.000646924  -5.7      1.69     0.0065                  1
        1956   0.3259          0.0442948       -0.000714157  -5.7      1.69     0.0065                  1
        1958   0.418397        0.0568665       -0.000916848  -5.7      1.69     0.0065                  1
        1960   0.464401        0.0631191       -0.00101766   -5.7      1.69     0.0065                  1
        1962   0.214065        0.0290946       -0.000469087  -5.7      1.69     0.0065                  1
        1964   0.188385        0.0256044       -0.000412815  -5.7      1.69     0.0065                  1
        1966   0.648183        0.0880979       -0.00142039   -5.7      1.69     0.0065                  1
        1968   0.729929        0.0992083       -0.00159952   -5.7      1.69     0.0065                  1
        1970   0.336209        0.0456959       -0.000736747  -5.7      1.69     0.0065                  1
        1972   0.129722        0.0176312       -0.000284265  -5.7      1.69     0.0065                  1
