# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 0.000000 and phase < 2.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1604  -0.00785335       0.00628594       0.00996066   0.772824  1.00544   0.00348341              2
        1606  -0.00523116       0.0256261        0.0164773    0.769691  1.00606   0.00348042              2
        1608   0.011494         0.00138347       0.000855369  0.766366  1.00673   0.00347726              2
        1610   0.0140241        0.0169214        0.025583     0.762851  1.00743   0.00347391              2
        1612   0.0282943        0.0118993        0.00783834   0.759152  1.00817   0.00347039              2
        1614   0.0109849        0.0229016        0.015484     0.755275  1.00894   0.0034667               2
        1616  -0.00548625       0.010707         0.00739744   0.751232  1.00975   0.00346285              2
        1618   0.0134032        0.0186858        0.0130126    0.747037  1.01059   0.00345886              2
        1620  -0.0317928        0.019948         0.0282522    0.742708  1.01146   0.00345474              2
        1622  -0.0323378        0.0394765        0.0548079    0.738267  1.01235   0.00345051              2
        1624   0.00307367       0.00486088       0.00659259   0.733742  1.01325   0.00344621              2
        1626  -0.00796455       0.00564738       0.00759982   0.729167  1.01417   0.00344185              2
        1628   0.00791319       0.00371176       0.00278986   0.724578  1.01508   0.00343749              2
        1630  -0.0153824        0.006079         0.00794341   0.720021  1.016     0.00343315              2
        1632   0.00481681       0.00731672       0.00573226   0.715544  1.01689   0.00342889              2
        1634   0.0205769        0.0238653        0.0189769    0.711201  1.01776   0.00342475              2
        1636   0.01208          0.0146149        0.0118031    0.70705   1.01859   0.0034208               2
        1638   0.00850467       0.00675459       0.00552137   0.703153  1.01937   0.00341709              2
        1640   0.00150649       0.0112123        0.0134344    0.699574  1.02009   0.00341369              2
        1642   0.00668474       0.00207235       0.00243748   0.696375  1.02073   0.00341064              2
        1644   0.00865196       0.00209738       0.00175125   0.693617  1.02128   0.00340802              2
        1646  -0.00536544       0.0058628        0.00685078   0.691356  1.02173   0.00340586              2
        1648   0.00418375       0.00167637       0.00192519   0.689639  1.02207   0.00340423              2
        1650   0.00194064       0.00200192       0.00229412   0.688502  1.0223    0.00340315              2
        1652  -0.0043699        0.00604811       0.00697406   0.687969  1.02241   0.00340264              2
        1654   0.00529237       0.00390393       0.00337197   0.688044  1.02239   0.00340271              2
        1656  -0.00663779       0.00506357       0.0058706    0.688715  1.02226   0.00340335              2
        1658  -0.0101084        0.00463728       0.00541968   0.689949  1.02201   0.00340452              2
        1660  -0.00944154       0.00318449       0.0037574    0.691693  1.02166   0.00340618              2
        1662  -0.00572901       0.00900946       0.0106108    0.693873  1.02123   0.00340826              2
        1664   0.000836568      0.00540923       0.00640565   0.696399  1.02072   0.00341066              2
        1666   0.00701418       0.00273665       0.00325467   0.699166  1.02017   0.0034133               2
        1668  -0.00486031       0.00617384       0.00749772   0.702061  1.01959   0.00341605              2
        1670   0.00402781       0.00454207       0.00553129   0.704962  1.01901   0.00341881              2
        1672   0.014511         0.00322997       0.00618153   0.62131   1.03119   0.00304919              3
        1674   0.0161325        0.00319107       0.00612342   0.624998  1.03053   0.00305768              3
        1676   0.00469975       0.00521894       0.00937845   0.62805   1.02998   0.00306436              3
        1678   0.00868105       0.00342881       0.00692383   0.630403  1.02955   0.00306923              3
        1680   0.00915203       0.00248707       0.00553317   0.632008  1.02925   0.00307233              3
        1682   0.00738442       0.00128197       0.00275192   0.632839  1.02909   0.00307367              3
        1684   0.00952437       0.00300346       0.00835883   0.632885  1.02908   0.00307334              3
        1686   0.00759417       0.00327971       0.00891307   0.632158  1.0292    0.00307139              3
        1688   0.00875305       0.00143479       0.00294983   0.630686  1.02947   0.00306792              3
        1690   0.00816867       0.00187425       0.00416592   0.628519  1.02985   0.00306306              3
        1692   0.00667805       0.00197425       0.00310837   0.62572   1.03036   0.00305694              3
        1694   0.00668272       0.00159334       0.0037414    0.622365  1.03097   0.00304971              3
        1696   0.0041617        0.00308548       0.0071102    0.61854   1.03166   0.00304152              3
        1698  -0.000757388      0.00442513       0.00803199   0.614339  1.03242   0.00303256              3
        1700   0.00692128       0.00193502       0.0035955    0.60986   1.03324   0.003023                3
        1702   0.00479132       0.00209202       0.00562022   0.605198  1.03408   0.00301302              3
        1704   0.00555636       0.00355399       0.00635738   0.600446  1.03494   0.0030028               3
        1706   0.00926539       0.00280233       0.00513455   0.595694  1.0358    0.00299251              3
        1708   0.00304591       0.00484618       0.0082275    0.591022  1.03665   0.00298232              3
        1710   0.00450814       0.00321829       0.00551907   0.586505  1.03746   0.00297238              3
        1712   0.0103884        0.00477815       0.00721709   0.582204  1.03824   0.00296284              3
        1714   0.00468933       0.00139694       0.00241539   0.578174  1.03896   0.00295381              3
        1716   0.010367         0.00208834       0.00454235   0.574458  1.03963   0.0029454               3
        1718   0.00555797       0.00224552       0.00462085   0.571087  1.04023   0.0029377               3
