# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase < -10. and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1602   0.00217325       7.99005e-05     -2.3233e-06   -10.2274  1.108     0.000804                1
        1604   0.003472         0.00012765      -3.71173e-06  -10.2319  1.108     0.000804                1
        1606  -0.000683642     -7.30845e-07      2.51344e-05  -10.2366  1.108     0.000804                1
        1608   0.0131221        0.000482439     -1.40281e-05  -10.2415  1.108     0.000804                1
        1610   0.0085688        0.000315036     -9.16044e-06  -10.2466  1.108     0.000804                1
        1612  -0.000689112     -7.36692e-07      2.53355e-05  -10.2519  1.108     0.000804                1
        1614   7.0772e-05       2.60197e-06     -7.56585e-08  -10.2575  1.108     0.000804                1
        1616  -0.0034786       -3.71879e-06      0.000127893  -10.2632  1.108     0.000804                1
        1618  -0.00266532      -2.84935e-06      9.79919e-05  -10.2693  1.108     0.000804                1
        1620   0.00233569       8.58728e-05     -2.49696e-06  -10.2756  1.108     0.000804                1
        1622   0.0027232        0.00010012      -2.91122e-06  -10.2821  1.108     0.000804                1
        1624   0.00547683       0.000201358     -5.85499e-06  -10.2888  1.108     0.000804                1
        1626   0.00271517       9.98244e-05     -2.90264e-06  -10.2958  1.108     0.000804                1
        1628   0.00233452       8.58298e-05     -2.49571e-06  -10.3031  1.108     0.000804                1
        1630   0.00335147       0.000123218     -3.58288e-06  -10.3105  1.108     0.000804                1
        1632   0.00014156       5.20453e-06     -1.51334e-07  -10.3181  1.108     0.000804                1
        1634   0.0068577        0.000252127     -7.3312e-06   -10.3259  1.108     0.000804                1
        1636   0.00289425       0.000106408     -3.09408e-06  -10.3339  1.108     0.000804                1
        1638   0.00255267       9.38501e-05     -2.72892e-06  -10.342   1.108     0.000804                1
        1640   0.00271253       9.97276e-05     -2.89982e-06  -10.3501  1.108     0.000804                1
        1642   0.00244598       8.99275e-05     -2.61486e-06  -10.3583  1.108     0.000804                1
        1644   0.00122234       4.49401e-05     -1.30674e-06  -10.3664  1.108     0.000804                1
        1646   0.00213931       7.86527e-05     -2.28702e-06  -10.3745  1.108     0.000804                1
        1648   0.00221834       8.15584e-05     -2.37151e-06  -10.3825  1.108     0.000804                1
        1650   0.000572815      2.10598e-05     -6.12366e-07  -10.3904  1.108     0.000804                1
        1652   0.00236694       8.70215e-05     -2.53036e-06  -10.3981  1.108     0.000804                1
        1654   0.00365307       0.000134307     -3.90531e-06  -10.4055  1.108     0.000804                1
        1656   0.00251185       9.23493e-05     -2.68528e-06  -10.4128  1.108     0.000804                1
        1658   0.000559661      2.05762e-05     -5.98303e-07  -10.4198  1.108     0.000804                1
        1660  -0.00145377      -1.55415e-06      5.34485e-05  -10.4265  1.108     0.000804                1
        1662   0.00096715       3.55578e-05     -1.03393e-06  -10.433   1.108     0.000804                1
        1664  -0.000109485     -1.17044e-07      4.02526e-06  -10.4393  1.108     0.000804                1
        1666   0.000339873      1.24956e-05     -3.6334e-07   -10.4453  1.108     0.000804                1
        1668   0.000878888      3.23128e-05     -9.39572e-07  -10.4511  1.108     0.000804                1
        1670   0.00319461       0.000117451     -3.41519e-06  -10.4568  1.108     0.000804                1
        1672   0.00206482       7.5914e-05      -2.20738e-06  -10.4624  1.108     0.000804                1
        1674   0.000491451      1.80684e-05     -5.25383e-07  -10.4679  1.108     0.000804                1
        1676   0.00236146       8.68202e-05     -2.52451e-06  -10.4733  1.108     0.000804                1
        1678   0.00253127       9.30633e-05     -2.70604e-06  -10.4786  1.108     0.000804                1
        1680   0.00182433       6.70723e-05     -1.95029e-06  -10.4839  1.108     0.000804                1
        1682   0.00115769       4.2563e-05      -1.23762e-06  -10.4891  1.108     0.000804                1
        1684   0.00050763       1.86633e-05     -5.4268e-07   -10.4943  1.108     0.000804                1
        1686   0.00124655       4.58301e-05     -1.33262e-06  -10.4993  1.108     0.000804                1
        1688   0.000925721      3.40346e-05     -9.89639e-07  -10.5043  1.108     0.000804                1
        1690   0.000530762      1.95137e-05     -5.67409e-07  -10.5091  1.108     0.000804                1
        1692  -0.000437676     -4.67896e-07      1.60914e-05  -10.5137  1.108     0.000804                1
        1694   0.000769486      2.82905e-05     -8.22616e-07  -10.5181  1.108     0.000804                1
        1696   0.0018439        6.77917e-05     -1.97121e-06  -10.5222  1.108     0.000804                1
        1698   0.0011018        4.05082e-05     -1.17787e-06  -10.526   1.108     0.000804                1
        1700   0.00247722       9.10763e-05     -2.64827e-06  -10.5294  1.108     0.000804                1
        1702   0.00225853       8.30359e-05     -2.41447e-06  -10.5326  1.108     0.000804                1
        1704   0.000954045      3.50759e-05     -1.01992e-06  -10.5353  1.108     0.000804                1
        1706   0.000585639      2.15313e-05     -6.26075e-07  -10.5377  1.108     0.000804                1
        1708  -0.000448406     -4.79367e-07      1.64859e-05  -10.5398  1.108     0.000804                1
        1710   0.000380281      1.39812e-05     -4.06538e-07  -10.5416  1.108     0.000804                1
        1712  -4.66776e-05     -4.99005e-08      1.71612e-06  -10.5432  1.108     0.000804                1
        1714  -0.000232268     -2.48305e-07      8.53945e-06  -10.5446  1.108     0.000804                1
