# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -8.000000 and phase < -6.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1596   0.0290339        0.000647816      0.000311494  -6.6      0.92      0.00389                 1
        1598   0.0232077        0.00051782       0.000248987  -6.6      0.92      0.00389                 1
        1600  -0.00282058       3.02609e-05      6.29339e-05  -6.6      0.92      0.00389                 1
        1602   0.0563141        0.0012565        0.000604174  -6.6      0.92      0.00389                 1
        1604   0.068222         0.0015222        0.000731929  -6.6      0.92      0.00389                 1
        1606   0.0630986        0.00140788       0.000676962  -6.6      0.92      0.00389                 1
        1608   0.00688607       0.000153645      7.38781e-05  -6.6      0.92      0.00389                 1
        1610  -0.048844         0.00052403       0.00108983   -6.6      0.92      0.00389                 1
        1612  -0.00528518       5.67028e-05      0.000117925  -6.6      0.92      0.00389                 1
        1614   0.0419593        0.000936213      0.000450166  -6.6      0.92      0.00389                 1
        1616  -0.0298268        0.000320001      0.000665509  -6.6      0.92      0.00389                 1
        1618  -0.0389477        0.000417856      0.000869018  -6.6      0.92      0.00389                 1
        1620  -0.00488318       5.23899e-05      0.000108956  -6.6      0.92      0.00389                 1
        1622  -0.0115332        0.000123735      0.000257334  -6.6      0.92      0.00389                 1
        1624   0.00218075       4.86577e-05      2.33964e-05  -6.6      0.92      0.00389                 1
        1626   0.0241875        0.000539681      0.000259499  -6.6      0.92      0.00389                 1
        1628   0.0218144        0.000486733      0.000234039  -6.6      0.92      0.00389                 1
        1630  -0.0194163        0.00020831       0.000433224  -6.6      0.92      0.00389                 1
        1632  -0.00923259       9.90531e-05      0.000206002  -6.6      0.92      0.00389                 1
        1634   0.0159899        0.000356774      0.00017155   -6.6      0.92      0.00389                 1
        1636   0.00294675       6.57492e-05      3.16146e-05  -6.6      0.92      0.00389                 1
        1638   0.00922876       0.000205916      9.9012e-05   -6.6      0.92      0.00389                 1
        1640   0.0182009        0.000406106      0.000195271  -6.6      0.92      0.00389                 1
        1642   0.00414336       9.24484e-05      4.44526e-05  -6.6      0.92      0.00389                 1
        1644  -0.000705915      7.57351e-06      1.57507e-05  -6.6      0.92      0.00389                 1
        1646   0.00975677       0.000217697      0.000104677  -6.6      0.92      0.00389                 1
        1648   0.00441407       9.84885e-05      4.73569e-05  -6.6      0.92      0.00389                 1
        1650   0.00766767       0.000171084      8.22637e-05  -6.6      0.92      0.00389                 1
        1652   0.00533606       0.00011906       5.72486e-05  -6.6      0.92      0.00389                 1
        1654   0.00901222       0.000201085      9.66889e-05  -6.6      0.92      0.00389                 1
        1656  -0.00535476       5.74493e-05      0.000119478  -6.6      0.92      0.00389                 1
        1658  -0.00497981       5.34266e-05      0.000111112  -6.6      0.92      0.00389                 1
        1660   0.0107957        0.000240879      0.000115824  -6.6      0.92      0.00389                 1
        1662   0.00315133       7.03139e-05      3.38095e-05  -6.6      0.92      0.00389                 1
        1664   0.000863522      1.92673e-05      9.26442e-06  -6.6      0.92      0.00389                 1
        1666   0.00434186       9.68774e-05      4.65822e-05  -6.6      0.92      0.00389                 1
        1668  -0.00276991       2.97174e-05      6.18035e-05  -6.6      0.92      0.00389                 1
        1670   0.00310711       6.93272e-05      3.33351e-05  -6.6      0.92      0.00389                 1
        1672   0.0100734        0.000883683      0.00177507   -6.70369  0.98498   0.00282337              2
        1674   0.0118878        0.00144715       0.00297767   -6.70076  0.983141  0.00285355              2
        1676   0.0205241        0.00711831       0.014706     -6.6981   0.981477  0.00288086              2
        1678   0.0243963        0.0112517        0.0239895    -6.69572  0.979984  0.00290537              2
        1680   0.00640836       0.00449781       0.00985732   -6.6936   0.978654  0.0029272               2
        1682   0.0074447        0.0111987        0.0251505    -6.69173  0.977481  0.00294645              2
        1684   0.00792972       0.0114094        0.0262975    -6.69009  0.976459  0.00296323              2
        1686   0.00668205       0.0133436        0.0314202    -6.68869  0.975579  0.00297767              2
