# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 24.000000 and phase < 26.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  --------  ----------  -------------
        3072   1.84202         0.019338        0.0636872    24.4345  1.19      0.049                   1
        3074   1.04301         0.0109498       0.0360618    24.4345  1.19      0.049                   1
        3076  -0.245386        0.00848414      0.00257612   24.4345  1.19      0.049                   1
        3078  -1.0549          0.0364729       0.0110746    24.4345  1.19      0.049                   1
        3080  -1.44492         0.0499577       0.0151691    24.4345  1.19      0.049                   1
        3082  -1.39147         0.0481096       0.014608     24.4345  1.19      0.049                   1
        3084   0.0982858       0.00103183      0.00339821   24.4345  1.19      0.049                   1
        3086   1.53328         0.0160968       0.0530128    24.4345  1.19      0.049                   1
        3088   0.0269445       0.00028287      0.000931598  24.4345  1.19      0.049                   1
        3090  -0.454354        0.0157092       0.00476993   24.4345  1.19      0.049                   1
        3092  -0.783577        0.027092        0.0082262    24.4345  1.19      0.049                   1
        3094  -0.327798        0.0113335       0.00344131   24.4345  1.19      0.049                   1
        3096   0.706457        0.00741657      0.0244256    24.4345  1.19      0.049                   1
        3098   0.87098         0.00914378      0.0301139    24.4345  1.19      0.049                   1
        3100   0.8701          0.00913455      0.0300835    24.4345  1.19      0.049                   1
        3102   0.818695        0.00859488      0.0283062    24.4345  1.19      0.049                   1
        3104   0.779558        0.00818401      0.026953     24.4345  1.19      0.049                   1
        3106  -0.5225          0.0180653       0.00548535   24.4345  1.19      0.049                   1
        3108  -0.719028        0.0248602       0.00754855   24.4345  1.19      0.049                   1
        3110   0.499301        0.0052418       0.0172632    24.4345  1.19      0.049                   1
        3112  -0.0877919       0.00303538      0.000921662  24.4345  1.19      0.049                   1
        3114   0.437195        0.00458979      0.0151159    24.4345  1.19      0.049                   1
        3116   1.69497         0.0177942       0.0586031    24.4345  1.19      0.049                   1
        3118   0.740885        0.007778        0.0256159    24.4345  1.19      0.049                   1
        3120   0.658421        0.00691228      0.0227647    24.4345  1.19      0.049                   1
        3122   1.05758         0.0111028       0.0365657    24.4345  1.19      0.049                   1
        3124  -0.730356        0.0252519       0.00766747   24.4345  1.19      0.049                   1
        3126  -0.153364        0.00530253      0.00161006   24.4345  1.19      0.049                   1
        3128   0.287259        0.00509516      0.149456     24.7182  0.684882  0.0304236               2
        3130   0.325338        0.608741        0.00410989   24.7175  0.684908  0.0304245               2
        3132   0.348975        0.0080521       0.505056     24.7167  0.684971  0.0304268               2
        3134   0.32285         0.0718631       0.00169955   24.716   0.685021  0.0304286               2
        3136   0.287864        0.00519712      0.0731737    24.7154  0.685051  0.0304298               2
        3138   0.253853        0.485208        0.00347431   24.7147  0.685083  0.0304309               2
        3140   0.278175        0.613278        0.00399753   24.714   0.685134  0.0304328               2
        3142   0.241617        0.138025        0.0344029    24.769   0.813906  0.0276512               3
        3144   0.206695        0.127597        0.0294837    24.7725  0.823207  0.0274526               3
        3146   0.223313        0.124971        0.0427509    24.7753  0.830584  0.0272951               3
        3148   0.263572        0.145227        0.0577459    24.7785  0.839179  0.0271117               3
        3150   0.264707        0.121272        0.0659214    24.7816  0.847261  0.0269389               3
        3152   0.212096        0.0908254       0.0577008    24.7852  0.856509  0.0267402               3
        3154   0.212108        0.0820168       0.0510103    24.7862  0.859608  0.0266759               3
        3156   0.24291         0.0885239       0.0466379    24.7832  0.853735  0.0268052               3
        3158   0.232032        0.0743868       0.0319953    24.783   0.854233  0.0267966               3
        3160   0.219457        0.0913668       0.0425764    24.7855  0.8608    0.0266559               3
        3162   0.234229        0.105886        0.0621802    24.788   0.867171  0.0265199               3
        3164   0.239928        0.105465        0.0743041    24.7902  0.872914  0.0263976               3
        3166   0.229644        0.0632731       0.057288     24.7925  0.878846  0.0262707               3
        3168   0.255409        0.0496956       0.0508488    24.7986  0.893267  0.02596                 3
        3170   0.242888        0.0838921       0.0458094    24.8033  0.904483  0.0257188               3
        3172   0.191505        0.0907348       0.0481391    24.8059  0.910847  0.0255828               3
        3174   0.219145        0.0875519       0.048338     24.8074  0.914797  0.0254986               3
        3176   0.244247        0.0598482       0.0387975    24.8077  0.915944  0.0254753               3
        3178   0.234788        0.0715996       0.0588795    24.8135  0.929473  0.0251828               3
        3180   0.21454         0.0562425       0.0320366    24.8145  0.932151  0.025126                3
        3182   0.226803        0.0457244       0.0244501    24.8122  0.927568  0.0252275               3
