# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -2.000000 and phase < 0.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper      Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  ---------  --------  ----------  -------------
        1618  -0.0184549        0.000100346      0.000219045  -0.8       0.92      0.00389                 1
        1620  -0.00855582       4.65212e-05      0.000101551  -0.8       0.92      0.00389                 1
        1622  -0.0365102        0.00019852       0.000433346  -0.8       0.92      0.00389                 1
        1624  -0.00342573       1.8627e-05       4.06606e-05  -0.8       0.92      0.00389                 1
        1626  -0.00176121       9.57637e-06      2.09041e-05  -0.8       0.92      0.00389                 1
        1628  -0.0104653        5.69037e-05      0.000124214  -0.8       0.92      0.00389                 1
        1630  -0.00452464       2.46022e-05      5.37037e-05  -0.8       0.92      0.00389                 1
        1632   0.00681878       8.09333e-05      3.70763e-05  -0.8       0.92      0.00389                 1
        1634   0.0221242        0.000262597      0.000120298  -0.8       0.92      0.00389                 1
        1636   0.00346408       4.11158e-05      1.88355e-05  -0.8       0.92      0.00389                 1
        1638  -0.0183311        9.96731e-05      0.000217575  -0.8       0.92      0.00389                 1
        1640  -0.00248949       1.35363e-05      2.95482e-05  -0.8       0.92      0.00389                 1
        1642  -0.0103714        5.63933e-05      0.0001231    -0.8       0.92      0.00389                 1
        1644  -0.0191731        0.000104252      0.00022757   -0.8       0.92      0.00389                 1
        1646  -0.0256615        0.000139532      0.000304581  -0.8       0.92      0.00389                 1
        1648  -0.0105495        5.73618e-05      0.000125214  -0.8       0.92      0.00389                 1
        1650  -0.0282273        0.000153483      0.000335036  -0.8       0.92      0.00389                 1
        1652  -0.0058056        3.15672e-05      6.89077e-05  -0.8       0.92      0.00389                 1
        1654  -0.00862018       4.68712e-05      0.000102314  -0.8       0.92      0.00389                 1
        1656   0.0040665        4.8266e-05       2.21111e-05  -0.8       0.92      0.00389                 1
        1658  -0.00864415       4.70015e-05      0.000102599  -0.8       0.92      0.00389                 1
        1660  -0.0188317        0.000102395      0.000223517  -0.8       0.92      0.00389                 1
        1662   0.005665         6.72389e-05      3.08028e-05  -0.8       0.92      0.00389                 1
        1664   0.00805265       9.55784e-05      4.37853e-05  -0.8       0.92      0.00389                 1
        1666   0.00603535       7.16347e-05      3.28165e-05  -0.8       0.92      0.00389                 1
        1668  -0.000504488      2.74309e-06      5.98786e-06  -0.8       0.92      0.00389                 1
        1670   0.00117586       1.39565e-05      6.39362e-06  -0.8       0.92      0.00389                 1
        1672   0.00498593       5.91789e-05      2.71104e-05  -0.8       0.92      0.00389                 1
        1674   0.00580795       6.89356e-05      3.15801e-05  -0.8       0.92      0.00389                 1
        1676   0.00772266       9.16616e-05      4.1991e-05   -0.8       0.92      0.00389                 1
        1678  -0.00230606       1.25389e-05      2.7371e-05   -0.8       0.92      0.00389                 1
        1680  -0.003238         1.76062e-05      3.84324e-05  -0.8       0.92      0.00389                 1
        1682   0.0205219        0.000243578      0.000111586  -0.8       0.92      0.00389                 1
        1684   0.00719823       8.54371e-05      3.91395e-05  -0.8       0.92      0.00389                 1
        1686   0.00481948       5.72033e-05      2.62053e-05  -0.8       0.92      0.00389                 1
        1688   0.00761287       9.03585e-05      4.13941e-05  -0.8       0.92      0.00389                 1
        1690   0.00870698       0.000103345      4.73432e-05  -0.8       0.92      0.00389                 1
        1692   0.00269906       3.20356e-05      1.46758e-05  -0.8       0.92      0.00389                 1
        1694   0.00786312       9.33288e-05      4.27548e-05  -0.8       0.92      0.00389                 1
        1696  -0.00630057       3.42586e-05      7.47826e-05  -0.8       0.92      0.00389                 1
        1698   0.00643054       7.63253e-05      3.49653e-05  -0.8       0.92      0.00389                 1
        1700   0.00961555       0.000114129      5.22834e-05  -0.8       0.92      0.00389                 1
        1702  -0.0109935        5.97759e-05      0.000130484  -0.8       0.92      0.00389                 1
        1704  -0.00257674       1.40107e-05      3.05838e-05  -0.8       0.92      0.00389                 1
        1706   0.00393309       4.66825e-05      2.13857e-05  -0.8       0.92      0.00389                 1
        1708   0.00395853       4.69845e-05      2.1524e-05   -0.8       0.92      0.00389                 1
        1710   0.000992145      1.1776e-05       5.39467e-06  -0.8       0.92      0.00389                 1
        1712  -0.000313366      1.70389e-06      3.71939e-06  -0.8       0.92      0.00389                 1
        1714  -0.00427271       2.32324e-05      5.07136e-05  -0.8       0.92      0.00389                 1
        1716   0.00266565       3.16391e-05      1.44942e-05  -0.8       0.92      0.00389                 1
        1718  -0.000593564      3.22744e-06      7.04512e-06  -0.8       0.92      0.00389                 1
        1720  -0.000461544      2.50959e-06      5.47815e-06  -0.8       0.92      0.00389                 1
        1722   0.0175154        0.000207893      9.52377e-05  -0.8       0.92      0.00389                 1
        1724   0.00631356       7.49368e-05      3.43292e-05  -0.8       0.92      0.00389                 1
        1726  -0.00855          4.64896e-05      0.000101482  -0.8       0.92      0.00389                 1
        1728  -0.00576708       3.13578e-05      6.84505e-05  -0.8       0.92      0.00389                 1
        1730  -0.00338123       1.83851e-05      4.01325e-05  -0.8       0.92      0.00389                 1
        1732  -0.00439966       2.39226e-05      5.22203e-05  -0.8       0.92      0.00389                 1
        1734  -0.00413624       2.24903e-05      4.90937e-05  -0.8       0.92      0.00389                 1
        1736   0.00314311       3.73062e-05      1.70903e-05  -0.8       0.92      0.00389                 1
        1738   0.0057133        6.78122e-05      3.10654e-05  -0.8       0.92      0.00389                 1
        1740  -0.00377703       2.05371e-05      4.48302e-05  -0.8       0.92      0.00389                 1
        1742  -0.00203376       1.10583e-05      2.4139e-05   -0.8       0.92      0.00389                 1
        1744   0.00560289       6.65017e-05      3.0465e-05   -0.8       0.92      0.00389                 1
        1746   0.0055176        6.54894e-05      3.00013e-05  -0.8       0.92      0.00389                 1
        1748   0.0144512        0.000171524      7.85767e-05  -0.8       0.92      0.00389                 1
        1750  -0.00248378       1.35053e-05      2.94805e-05  -0.8       0.92      0.00389                 1
        1752   0.00370098       4.39276e-05      2.01236e-05  -0.8       0.92      0.00389                 1
        1754   0.000197924      2.3492e-06       1.07619e-06  -0.8       0.92      0.00389                 1
        1756  -0.00411548       2.23774e-05      4.88473e-05  -0.8       0.92      0.00389                 1
        1758   0.00276253       3.27889e-05      1.50209e-05  -0.8       0.92      0.00389                 1
        1760   0.0052622        6.2458e-05       2.86126e-05  -0.8       0.92      0.00389                 1
        1762  -0.0050189        2.72896e-05      5.95702e-05  -0.8       0.92      0.00389                 1
        1764  -0.00561102       3.05093e-05      6.65982e-05  -0.8       0.92      0.00389                 1
        1766  -0.00721809       3.92475e-05      8.56728e-05  -0.8       0.92      0.00389                 1
        1768   0.00465942       5.53035e-05      2.53351e-05  -0.8       0.92      0.00389                 1
        1770   0.00245972       2.91949e-05      1.33745e-05  -0.8       0.92      0.00389                 1
        1772   0.00507378       6.02216e-05      2.75881e-05  -0.8       0.92      0.00389                 1
        1774   0.00952318       0.000113032      5.17812e-05  -0.8       0.92      0.00389                 1
        1776   0.00114713       1.36155e-05      6.23741e-06  -0.8       0.92      0.00389                 1
        1778  -0.00737907       4.01228e-05      8.75835e-05  -0.8       0.92      0.00389                 1
        1780  -0.00219269       1.19225e-05      2.60254e-05  -0.8       0.92      0.00389                 1
        1782   0.0027707        3.28859e-05      1.50653e-05  -0.8       0.92      0.00389                 1
        1784   0.00138156       1.63979e-05      7.51205e-06  -0.8       0.92      0.00389                 1
        1786   0.00297451       3.5305e-05       1.61736e-05  -0.8       0.92      0.00389                 1
        1788   0.00523736       6.21632e-05      2.84775e-05  -0.8       0.92      0.00389                 1
        1790   0.00605467       7.1864e-05       3.29216e-05  -0.8       0.92      0.00389                 1
        1792   0.00569584       6.7605e-05       3.09705e-05  -0.8       0.92      0.00389                 1
        1794  -0.00423366       2.302e-05        5.02501e-05  -0.8       0.92      0.00389                 1
        1796  -0.00276824       1.5052e-05       3.28567e-05  -0.8       0.92      0.00389                 1
        1798   0.00477536       5.66796e-05      2.59655e-05  -0.8       0.92      0.00389                 1
        1800  -0.00036504       1.98486e-06      4.33273e-06  -0.8       0.92      0.00389                 1
        1802   0.00898308       0.000106622      4.88444e-05  -0.8       0.92      0.00389                 1
        1804   0.0108692        0.000129008      5.90997e-05  -0.8       0.92      0.00389                 1
        1806  -0.00192479       1.04658e-05      2.28457e-05  -0.8       0.92      0.00389                 1
        1808   0.00205803       2.44271e-05      1.11903e-05  -0.8       0.92      0.00389                 1
        1810   0.00480856       5.70737e-05      2.6146e-05   -0.8       0.92      0.00389                 1
        1812   0.0032448        3.85131e-05      1.76432e-05  -0.8       0.92      0.00389                 1
        1814   0.00992988       0.00011786       5.39926e-05  -0.8       0.92      0.00389                 1
        1816  -0.000639748      3.47856e-06      7.59329e-06  -0.8       0.92      0.00389                 1
        1818  -0.00264272       1.43695e-05      3.13669e-05  -0.8       0.92      0.00389                 1
        1820   0.0013005        1.54359e-05      7.07131e-06  -0.8       0.92      0.00389                 1
        1822   0.00186036       2.2081e-05       1.01155e-05  -0.8       0.92      0.00389                 1
        1824   0.00783642       9.30119e-05      4.26096e-05  -0.8       0.92      0.00389                 1
        1826   0.00485794       5.76597e-05      2.64145e-05  -0.8       0.92      0.00389                 1
        1828   0.00254223       3.01741e-05      1.38231e-05  -0.8       0.92      0.00389                 1
        1830   0.00835442       9.91602e-05      4.54262e-05  -0.8       0.92      0.00389                 1
        1832   0.00780619       9.26531e-05      4.24452e-05  -0.8       0.92      0.00389                 1
        1834   0.00810801       9.62355e-05      4.40864e-05  -0.8       0.92      0.00389                 1
        1836   0.00389411       4.62198e-05      2.11737e-05  -0.8       0.92      0.00389                 1
        1838   0.0047766        5.66944e-05      2.59722e-05  -0.8       0.92      0.00389                 1
        1840   0.00450436       5.34631e-05      2.44919e-05  -0.8       0.92      0.00389                 1
        1842   0.00282393       3.35178e-05      1.53548e-05  -0.8       0.92      0.00389                 1
        1844   0.000412679      4.89817e-06      2.2439e-06   -0.8       0.92      0.00389                 1
        1846   0.00387374       4.59781e-05      2.1063e-05   -0.8       0.92      0.00389                 1
        1848   0.00870447       0.000103315      4.73295e-05  -0.8       0.92      0.00389                 1
        1850   0.000969321      1.1505e-05       5.27057e-06  -0.8       0.92      0.00389                 1
        1852   0.00598002       7.09779e-05      3.25156e-05  -0.8       0.92      0.00389                 1
        1854   0.0124814        0.000148144      6.78662e-05  -0.8       0.92      0.00389                 1
        1856   0.00356432       4.23055e-05      1.93806e-05  -0.8       0.92      0.00389                 1
        1858   0.00976116       0.000115857      5.30752e-05  -0.8       0.92      0.00389                 1
        1860  -0.0012793        0.216417         0.00468595   -0.795368  0.919532  0.00393143              2
        1862   0.0698485        0.0486481        0.617246     -0.765908  0.922113  0.00387408              3
        1864   0.0964558        0.0762785        0.622934     -0.766213  0.922081  0.00387496              3
        1866   0.0272804        0.0285706        0.179922     -0.766508  0.92205   0.00387582              3
        1868   0.0316044        0.0488898        0.162865     -0.766788  0.922021  0.00387666              3
        1870   0.0358329        0.0553765        0.170008     -0.76705   0.921992  0.00387747              3
        1872   0.00883591       0.0467487        0.00728792   -0.767291  0.921966  0.00387826              3
        1874  -0.00402969       0.108204         0.014127     -0.767508  0.921941  0.00387903              3
        1876   0.0142542        0.00890351       0.0708508    -0.767696  0.921918  0.00387976              3
        1878  -0.0388984        0.0633726        0.0403355    -1.12898   0.99537   0.00457796              4
        1880  -0.00763472       0.0364698        0.0345817    -1.12782   0.995106  0.00457599              4
        1882  -0.0122886        0.0305585        0.0143402    -1.12693   0.994905  0.00457458              4
        1884   0.0307971        0.0315001        0.0404398    -1.12633   0.99477   0.00457374              4
        1886   0.107005         0.083126         0.177045     -1.12603   0.994703  0.00457351              4
        1888   0.00592489       0.115083         0.0663296    -1.12603   0.994708  0.00457389              4
        1890  -0.0232864        0.0502187        0.0624693    -1.13018   1.03109   0.00467544              5
        1892   0.0234177        0.0170342        0.055989     -1.13038   1.0275    0.00466669              5
        1894   0.00347187       0.0182753        0.0256588    -1.04745   0.964519  0.00495865              6
        1896  -0.0503544        0.0297292        0.0391407    -1.04671   0.963123  0.00496395              6
        1898  -0.0393836        0.030642         0.0342519    -1.04598   0.960533  0.00496647              6
        1900  -0.0380342        0.0337152        0.0280749    -1.04805   0.961863  0.00496674              6
        1902  -0.0249355        0.0222849        0.0274202    -1.05005   0.96224   0.00496553              6
        1904   0.0239288        0.0255505        0.0625204    -1.05201   0.963831  0.00496972              6
        1906  -0.000191368      0.0282148        0.0324326    -1.05241   0.964012  0.00497891              6
        1908  -0.0197478        0.0200531        0.0190397    -1.05335   0.964115  0.00498555              6
        1910   0.0135534        0.0187229        0.0131025    -1.05754   0.966663  0.00498306              6
        1912   0.0712997        0.0720786        0.0861349    -1.05835   0.965391  0.00498727              6
        1914   0.0492312        0.0527981        0.0722304    -1.0621    0.978918  0.00502719              7
        1916   0.0271741        0.0190327        0.035147     -1.06558   0.980864  0.00502788              7
        1918   0.01005          0.0179751        0.0226693    -1.06862   0.982336  0.00502961              7
        1920  -0.0349057        0.0487296        0.0265871    -1.07086   0.984086  0.00503601              7
        1922  -0.0103573        0.0222722        0.0161133    -1.07236   0.984846  0.0050428               7
        1924   0.0248534        0.0181528        0.0216111    -1.07386   0.983225  0.00504221              7
        1926   0.0416555        0.0154659        0.0205291    -1.07763   0.985232  0.00504131              7
        1928   0.078719         0.0371524        0.0449802    -1.08116   0.987312  0.0050413               7
        1930   0.0515602        0.0245307        0.0490692    -1.08049   0.987632  0.00505413              7
        1932   0.00567858       0.0115917        0.0193387    -1.07956   0.986923  0.00506413              7
        1934   0.0198058        0.017708         0.0185505    -1.08138   0.987498  0.00506486              7
