# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 6.000000 and phase < 8.000000 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  ----------  -------------
        1862   0.320436         0.00308696       0.032839     6.2121   1.47      0.006261                1
        1864   0.610924         0.00588541       0.062609     6.2121   1.47      0.006261                1
        1866  -0.476641         0.0488473        0.00459178   6.2121   1.47      0.006261                1
        1868  -0.549931         0.0563583        0.00529783   6.2121   1.47      0.006261                1
        1870  -0.208568         0.0213746        0.00200927   6.2121   1.47      0.006261                1
        1872   0.0906226        0.000873025      0.00928723   6.2121   1.47      0.006261                1
        1874   0.651309         0.00627447       0.0667478    6.2121   1.47      0.006261                1
        1876   1.08661          0.010468         0.111359     6.2121   1.47      0.006261                1
        1878   0.568335         0.00547513       0.0582444    6.2121   1.47      0.006261                1
        1880  -0.224207         0.0229773        0.00215993   6.2121   1.47      0.006261                1
        1882  -0.402065         0.0412046        0.00387334   6.2121   1.47      0.006261                1
        1884  -0.354655         0.0363459        0.00341662   6.2121   1.47      0.006261                1
        1886  -0.325391         0.0333469        0.0031347    6.2121   1.47      0.006261                1
        1888  -0.306058         0.0313655        0.00294845   6.2121   1.47      0.006261                1
        1890  -0.221186         0.0226677        0.00213083   6.2121   1.47      0.006261                1
        1892  -0.0625045        0.00640562       0.000602146  6.2121   1.47      0.006261                1
        1894  -0.0624157        0.00639652       0.00060129   6.2121   1.47      0.006261                1
        1896   0.15508          0.00149398       0.015893     6.2121   1.47      0.006261                1
        1898   0.50542          0.00486903       0.0517967    6.2121   1.47      0.006261                1
        1900   0.317321         0.00305695       0.0325198    6.2121   1.47      0.006261                1
        1902   0.558385         0.00537928       0.0572247    6.2121   1.47      0.006261                1
        1904   0.623673         0.00600823       0.0639155    6.2121   1.47      0.006261                1
        1906   0.180301         0.00173695       0.0184777    6.2121   1.47      0.006261                1
        1908   0.0643246        0.00061968       0.00659214   6.2121   1.47      0.006261                1
        1910  -0.182473         0.0187003        0.00175788   6.2121   1.47      0.006261                1
        1912  -0.0938662        0.00961964       0.000904272  6.2121   1.47      0.006261                1
        1914   0.253714         0.00244419       0.0260012    6.2121   1.47      0.006261                1
        1916   0.0180408        0.000173799      0.00184887   6.2121   1.47      0.006261                1
        1918   0.0897494        0.000864613      0.00919774   6.2121   1.47      0.006261                1
        1920   0.058023         0.000558972      0.00594634   6.2121   1.47      0.006261                1
        1922  -0.00595284       0.000610062      5.73475e-05  6.2121   1.47      0.006261                1
        1924   0.530378         0.00510946       0.0543544    6.2121   1.47      0.006261                1
        1926   0.487395         0.00469539       0.0499495    6.2121   1.47      0.006261                1
        1928   0.402967         0.00388203       0.041297     6.2121   1.47      0.006261                1
