# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 28.000000 and phase < 30.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        3236  -0.0798148       0.000180837      0.00156651   29.7453  1.16     0.026962                1
        3238   0.0930603       0.00182648       0.000210848  29.7453  1.16     0.026962                1
        3240   0.628958        0.0123444        0.00142504   29.7453  1.16     0.026962                1
        3242   0.644456        0.0126486        0.00146015   29.7453  1.16     0.026962                1
        3244   0.854745        0.0167759        0.00193661   29.7453  1.16     0.026962                1
        3246   0.63282         0.0124202        0.00143379   29.7453  1.16     0.026962                1
        3248   0.465441        0.00913512       0.00105455   29.7453  1.16     0.026962                1
        3250   0.509952        0.0100087        0.0011554    29.7453  1.16     0.026962                1
        3252   0.520332        0.0102125        0.00117892   29.7453  1.16     0.026962                1
        3254   0.541837        0.0106345        0.00122765   29.7453  1.16     0.026962                1
        3256   0.528411        0.010371         0.00119723   29.7453  1.16     0.026962                1
        3258   0.134197        0.00996852       0.167141     29.5353  1.14128  0.020192                2
        3260   0.0294205       0.0156165        0.229849     29.5353  1.14128  0.0201913               2
        3262   0.0613917       0.0239992        0.354504     29.5353  1.14128  0.0201933               2
        3264   0.0982595       0.0126091        0.197568     29.5354  1.14128  0.0201943               2
        3266   0.125564        0.0137023        0.216925     29.5354  1.14129  0.0201965               2
        3268   0.130939        0.0444748        0.653933     29.5355  1.14129  0.0201973               2
        3270   0.0990428       0.0466865        0.674392     29.5356  1.1413   0.0202007               2
        3272   0.118002        0.0319439        0.469219     29.5356  1.1413   0.0202017               2
        3274   0.140566        0.0218119        0.330217     29.5356  1.14131  0.0202026               2
        3276   0.0855801       0.0388378        0.00273064   29.5356  1.14131  0.0202031               2
        3278   0.0202518       0.00201165       0.0319481    29.5355  1.1413   0.0201995               2
        3280   0.0397397       0.0346635        0.015278     29.5174  1.10826  0.0168053               3
        3282   0.10002         0.106516         0.0419123    29.5173  1.10798  0.0167771               3
        3284   0.0233563       0.0269374        0.0205859    29.5172  1.1078   0.0167598               3
        3286   0.0105913       0.0168763        0.0254573    29.5171  1.10765  0.0167444               3
        3288   0.0310368       0.0186217        0.0280389    29.5171  1.10743  0.0167238               3
        3290   0.0445291       0.0161217        0.0696457    29.517   1.10717  0.0166974               3
        3292   0.046567        0.0183045        0.0930818    29.5169  1.10697  0.016677                3
        3294   0.0798947       0.0199972        0.0308697    29.5168  1.10679  0.016659                3
        3296   0.128981        0.0657787        0.0733967    29.5167  1.10656  0.0166359               3
        3298   0.156605        0.0908795        0.0572435    29.5166  1.10634  0.0166135               3
        3300   0.084271        0.0311038        0.0482       29.5164  1.10597  0.0165762               3
        3302   0.00333134      0.0238295        0.0825292    29.5163  1.1055   0.016531                3
        3304   0.0409199       0.0100499        0.0368389    29.5161  1.10506  0.0164878               3
        3306   0.0802408       0.0124825        0.0569832    29.516   1.10491  0.016471                3
        3308   0.0537446       0.0239541        0.0972017    29.5159  1.1048   0.0164586               3
        3310   0.0636749       0.0142945        0.0458734    29.5157  1.10465  0.0164416               3
        3312   0.088605        0.017615         0.00789695   29.5156  1.10454  0.0164296               3
        3314   0.0404081       0.0122788        0.0222756    29.5155  1.10438  0.0164122               3
        3316  -0.0306873       0.0350306        0.0908525    29.5154  1.10421  0.0163937               3
        3318   0.0659245       0.0144468        0.0285772    29.5152  1.10403  0.0163751               3
        3320   0.0739359       0.0166453        0.0345696    29.5151  1.10392  0.0163617               3
        3322   0.0717549       0.0128274        0.0587886    29.5149  1.10371  0.0163389               3
        3324   0.10826         0.00912046       0.0323438    29.5148  1.10352  0.0163176               3
        3326   0.190427        0.0681856        0.0389286    29.5146  1.10346  0.0163089               3
        3328   0.200381        0.100987         0.0457974    29.5145  1.10325  0.0162869               3
        3330   0.143088        0.0430085        0.0143668    29.5144  1.10307  0.0162685               3
        3332   0.0918217       0.00297425       0.000394633  29.5142  1.10291  0.0162504               3
        3334   0.0882173       0.0164483        0.00517864   29.5141  1.1027   0.0162283               3
        3336   0.168387        0.0422975        0.0312496    29.514   1.10265  0.0162214               3
