# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 24.000000 and phase < 26.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  -------  ----------  -------------
        3072   1.88948          0.0762185       -0.00326014   24.4345  1.19     0.049                   1
        3074   1.06989          0.0431575       -0.001846     24.4345  1.19     0.049                   1
        3076  -0.251708        -0.000434302      0.0101535    24.4345  1.19     0.049                   1
        3078  -1.08208         -0.00186705       0.0436495    24.4345  1.19     0.049                   1
        3080  -1.48215         -0.00255733       0.0597875    24.4345  1.19     0.049                   1
        3082  -1.42732         -0.00246272       0.0575758    24.4345  1.19     0.049                   1
        3084   0.100818         0.00406685      -0.000173954  24.4345  1.19     0.049                   1
        3086   1.57279          0.0634438       -0.00271372   24.4345  1.19     0.049                   1
        3088   0.0276388        0.0011149       -4.76884e-05  24.4345  1.19     0.049                   1
        3090  -0.466061        -0.00080415       0.0188001    24.4345  1.19     0.049                   1
        3092  -0.803768        -0.00138684       0.0324227    24.4345  1.19     0.049                   1
        3094  -0.336245        -0.000580163      0.0135636    24.4345  1.19     0.049                   1
        3096   0.72466          0.0292316       -0.00125034   24.4345  1.19     0.049                   1
        3098   0.893423         0.0360392       -0.00154153   24.4345  1.19     0.049                   1
        3100   0.89252          0.0360028       -0.00153997   24.4345  1.19     0.049                   1
        3102   0.83979          0.0338758       -0.00144899   24.4345  1.19     0.049                   1
        3104   0.799645         0.0322564       -0.00137972   24.4345  1.19     0.049                   1
        3106  -0.535964        -0.000924761      0.0216199    24.4345  1.19     0.049                   1
        3108  -0.737555        -0.00127259       0.0297518    24.4345  1.19     0.049                   1
        3110   0.512167         0.02066         -0.000883702  24.4345  1.19     0.049                   1
        3112  -0.090054        -0.000155381      0.00363263   24.4345  1.19     0.049                   1
        3114   0.44846          0.0180902       -0.000773782  24.4345  1.19     0.049                   1
        3116   1.73864          0.070134        -0.00299989   24.4345  1.19     0.049                   1
        3118   0.759975         0.0306562       -0.00131127   24.4345  1.19     0.049                   1
        3120   0.675387         0.027244        -0.00116532   24.4345  1.19     0.049                   1
        3122   1.08484          0.0437605       -0.0018718    24.4345  1.19     0.049                   1
        3124  -0.749175        -0.00129264       0.0302205    24.4345  1.19     0.049                   1
        3126  -0.157316        -0.000271436      0.00634588   24.4345  1.19     0.049                   1
        3128   0.447125         0.0180363       -0.000771477  24.4345  1.19     0.049                   1
        3130  -0.290159        -0.000500646      0.0117046    24.4345  1.19     0.049                   1
        3132   0.874389         0.0352714       -0.00150869   24.4345  1.19     0.049                   1
        3134   0.252767         0.0101962       -0.000436129  24.4345  1.19     0.049                   1
        3136   0.369644         0.0149108       -0.00063779   24.4345  1.19     0.049                   1
        3138  -0.23687         -0.0004087        0.00955495   24.4345  1.19     0.049                   1
        3140  -0.343091        -0.000591975      0.0138397    24.4345  1.19     0.049                   1
        3142  -0.741243        -0.00127895       0.0299005    24.4345  1.19     0.049                   1
        3144  -1.4965          -0.00258209       0.0603664    24.4345  1.19     0.049                   1
        3146  -0.222525        -0.000383948      0.00897629   24.4345  1.19     0.049                   1
        3148   0.0851778        0.00343593      -0.000146967  24.4345  1.19     0.049                   1
        3150   0.822649         0.0331843       -0.00141941   24.4345  1.19     0.049                   1
        3152   0.87191          0.0351714       -0.00150441   24.4345  1.19     0.049                   1
        3154   0.683156         0.0275574       -0.00117873   24.4345  1.19     0.049                   1
        3156   0.339082         0.013678        -0.000585059  24.4345  1.19     0.049                   1
        3158   0.0787417        0.00317631      -0.000135862  24.4345  1.19     0.049                   1
        3160   0.0104844        0.000422922     -1.80899e-05  24.4345  1.19     0.049                   1
        3162   0.347409         0.0140139       -0.000599425  24.4345  1.19     0.049                   1
        3164   0.925612         0.0373377       -0.00159707   24.4345  1.19     0.049                   1
        3166   1.40079          0.0565056       -0.00241695   24.4345  1.19     0.049                   1
        3168   1.11789          0.0450938       -0.00192882   24.4345  1.19     0.049                   1
        3170  -0.81686         -0.00140943       0.0329508    24.4345  1.19     0.049                   1
        3172  -1.4959          -0.00258106       0.0603423    24.4345  1.19     0.049                   1
        3174  -1.34269         -0.00231669       0.0541618    24.4345  1.19     0.049                   1
        3176  -0.314952        -0.000543425      0.0127047    24.4345  1.19     0.049                   1
        3178   0.0582521        0.0023498       -0.000100509  24.4345  1.19     0.049                   1
        3180  -1.09074         -0.00188197       0.0439985    24.4345  1.19     0.049                   1
        3182  -0.747181        -0.0012892        0.0301401    24.4345  1.19     0.049                   1
        3184  -1.23144         -0.00212475       0.0496744    24.4345  1.19     0.049                   1
        3186  -0.878456        -0.0015157        0.0354355    24.4345  1.19     0.049                   1
        3188  -0.120402        -0.000207744      0.00485683   24.4345  1.19     0.049                   1
        3190  -0.31619         -0.000545561      0.0127546    24.4345  1.19     0.049                   1
        3192   0.107465         0.00433495      -0.000185421  24.4345  1.19     0.049                   1
        3194   0.781607         0.0315288       -0.0013486    24.4345  1.19     0.049                   1
        3196  -0.11526         -0.000198872      0.00464941   24.4345  1.19     0.049                   1
        3198  -0.172445        -0.00029754       0.00695616   24.4345  1.19     0.049                   1
        3200   0.567556         0.0228943       -0.000979271  24.4345  1.19     0.049                   1
        3202   0.506363         0.0204259       -0.000873688  24.4345  1.19     0.049                   1
        3204   1.24328          0.050152        -0.00214518   24.4345  1.19     0.049                   1
        3206   0.561464         0.0226485       -0.000968759  24.4345  1.19     0.049                   1
        3208  -0.686705        -0.00118485       0.0277006    24.4345  1.19     0.049                   1
        3210   0.297112         0.011985        -0.000512643  24.4345  1.19     0.049                   1
        3212   1.28276          0.0517444       -0.00221329   24.4345  1.19     0.049                   1
        3214   0.71552          0.0288629       -0.00123457   24.4345  1.19     0.049                   1
        3216   0.0446419        0.00180078      -7.70259e-05  24.4345  1.19     0.049                   1
        3218  -0.504407        -0.000870313      0.020347     24.4345  1.19     0.049                   1
        3220   0.373899         0.16981          0.0639568    24.2985  1.10584  0.0191126               2
        3222   0.305337         0.216346         0.0847155    24.2979  1.10548  0.0189841               2
        3224   0.114478         0.306742         0.126616     24.2973  1.10511  0.0188511               2
        3226   0.208738         0.159649         0.0609499    24.2967  1.10471  0.0187108               2
        3228   0.146057         0.450964         0.184817     24.2975  1.10232  0.0189863               3
        3230   0.510976         0.156895         0.357122     24.2968  1.10191  0.0188155               3
        3232   0.460563         0.260329         0.614916     24.2961  1.10156  0.0186625               3
        3234   0.254539         0.122517         0.292911     24.2954  1.10122  0.0185118               3
        3236   0.153742         0.0250137        0.0475605    24.2946  1.10075  0.0183204               3
        3238   0.233782         0.04458          0.0973116    24.2938  1.10033  0.0181433               3
        3240  -0.0399861        0.563399         0.214107     24.2929  1.09986  0.0179489               3
        3242  -0.0106668        0.545875         0.197315     24.292   1.0994   0.0177617               3
        3244   0.375259         0.0282882        0.0311828    24.2912  1.09897  0.0175817               3
        3246   0.242659         0.2182           0.0680494    24.2903  1.09848  0.0173798               3
        3248   0.121723         0.343088         0.118536     24.2894  1.098    0.0171856               3
        3250   0.217989         0.0157653        0.0160336    24.2885  1.0975   0.0169826               3
        3252   0.000921544      0.0529664        0.324572     24.6681  1.13137  0.0231553               4
        3254  -0.123193         0.0803377        0.44834      24.6649  1.13097  0.023056                4
        3256  -0.125712         0.0643656        0.304125     24.6616  1.13056  0.022953                4
        3258   0.0320994        0.0460059        0.257311     24.6583  1.13016  0.022851                4
        3260   0.124715         0.0151183        0.0361441    24.6543  1.12968  0.0227326               4
        3262   0.120082         0.0142757        0.102565     24.6506  1.12921  0.0226127               4
        3264   0.0607697        0.0750762        0.0337971    24.6471  1.12876  0.0224959               4
        3266  -0.00866688       0.0631984        0.0929336    24.6425  1.1282   0.022355                4
        3268  -0.00103263       0.0463081        0.16673      24.6385  1.12767  0.0222165               4
        3270   0.0829028        0.0619871        0.347237     24.6345  1.12715  0.0220812               4
        3272   0.00874505       0.0784719        0.298419     24.63    1.12649  0.0219018               4
        3274   0.0421724        0.0594272        0.158961     24.6247  1.1258   0.0217221               4
        3276   0.0880953        0.0697609        0.0654076    24.6197  1.12524  0.0215838               4
        3278  -0.00575421       0.0842342        0.15424      24.6149  1.12458  0.0214082               4
        3280  -0.0944069        0.117442         0.214554     24.6094  1.12386  0.0212203               4
        3282  -0.0990203        0.142805         0.22139      24.6645  1.11895  0.0198781               4
        3284  -0.117205         0.131535         0.240345     24.6584  1.11804  0.0196415               4
        3286  -0.121249         0.142906         0.240982     24.6517  1.11698  0.0193696               4
        3288  -0.0541631        0.147288         0.245615     24.6453  1.11595  0.0191016               4
        3290   0.0318107        0.0950027        0.158712     24.6403  1.11526  0.0189143               4
        3292  -0.0714783        0.15077          0.294597     24.635   1.11454  0.018716                4
        3294  -0.0552532        0.145545         0.209753     24.6293  1.1138   0.0185172               4
        3296   0.0542653        0.0744499        0.118003     24.6237  1.11305  0.0183129               4
        3298   0.163277         0.0320821        0.112388     24.6178  1.11221  0.0180871               4
        3300  -0.00661669       0.117918         0.168964     24.6115  1.11138  0.0178619               4
        3302  -0.1024           0.207251         0.189688     24.6054  1.11048  0.0176186               4
        3304  -0.00680701       0.189371         0.0831056    24.5995  1.10966  0.0173962               4
        3306   0.121667         0.0389058        0.0156093    24.5928  1.10871  0.0171412               4
        3308   0.126521         0.0283478        0.0455683    24.5863  1.10781  0.0168966               4
        3310   0.0767287        0.0767733        0.0404746    24.5802  1.10703  0.0166818               4
        3312   0.0257295        0.113793         0.137333     24.5731  1.10604  0.0164142               4
        3314   0.0677954        0.0791183        0.0712268    24.5663  1.10511  0.0161596               4
        3316   0.0745408        0.0628401        0.0561002    24.5596  1.10417  0.0159041               4
        3318   0.0758749        0.0410922        0.0320501    24.5527  1.10323  0.0156474               4
        3320   0.0650655        0.093658         0.059195     24.5464  1.10244  0.0154301               4
        3322   0.186666         0.0414084        0.0458342    24.5399  1.10155  0.0151895               4
        3324   0.168059         0.0190422        0.0554528    24.5336  1.10071  0.0149602               4
        3326   0.143985         0.0522326        0.104295     24.5274  1.09991  0.01474                 4
        3328   0.150676         0.0378586        0.0747938    24.5211  1.09905  0.0145057               4
        3330   0.0601456        0.175936         0.107285     24.5146  1.09816  0.0142641               4
        3332   0.0788192        0.124728         0.108575     24.5082  1.0973   0.0140307               4
        3334   0.202143         0.0614638        0.117016     24.502   1.09648  0.0138064               4
        3336   0.138622         0.0319468        0.0209064    24.4967  1.09579  0.0136167               4
        3338   0.0513766        0.185474         0.0953857    24.4913  1.09509  0.0134259               4
        3340   0.0464818        0.20831          0.0768756    24.4857  1.09434  0.0132233               4
        3342   0.0429101        0.205258         0.0795526    24.4807  1.09369  0.0130435               4
        3344   0.0723805        0.169838         0.062913     24.4752  1.09302  0.0128589               4
        3346   0.139771         0.0366859        0.0331929    24.4699  1.09242  0.0126946               4
        3348   0.203063         0.0491126        0.0703858    24.7316  1.08974  0.0195327               5
        3350   0.230694         0.0691289        0.104037     24.7372  1.08887  0.0196085               5
        3352   0.156559         0.0850733        0.0882476    24.7376  1.08858  0.0195926               5
        3354   0.168954         0.0149881        0.0525958    24.7291  1.08847  0.0193581               5
        3356   0.158627         0.0671499        0.0395633    24.7175  1.08808  0.0190114               5
        3358   0.136949         0.0672859        0.0405411    24.7216  1.08768  0.01909                 5
        3360   0.110613         0.0963717        0.043197     24.7179  1.08729  0.0189565               5
        3362   0.0514841        0.174483         0.0499675    24.7102  1.08693  0.018718                5
        3364   0.107263         0.0791212        0.0242958    24.7002  1.0866   0.0184209               5
        3366   0.0846663        0.126784         0.0556336    24.6992  1.08624  0.0183642               5
        3368   0.135876         0.0444742        0.0187058    24.692   1.08591  0.0181426               5
        3370   0.11677          0.0541407        0.0257986    24.6882  1.08559  0.0180062               5
        3372   0.192023         0.0361867        0.084304     24.6875  1.08531  0.0179656               5
        3374   0.0944124        0.101912         0.0601088    24.5839  1.08426  0.019899                6
        3376   0.153034         0.028896         0.0385833    24.5835  1.08403  0.0198104               6
        3378   0.171053         0.0160885        0.0108727    24.5813  1.08384  0.0196654               6
        3380   0.165569         0.0890268        0.0238495    24.5705  1.08358  0.0194743               6
        3382   0.108321         0.120925         0.0417612    24.58    1.08341  0.0195427               6
        3384   0.138909         0.0730634        0.0295835    24.5739  1.08324  0.0193315               6
        3386   0.22654          0.050846         0.120714     24.5741  1.08305  0.0189925               6
        3388   0.199558         0.0215332        0.017525     24.5712  1.08286  0.018933                6
        3390   0.2254           0.0351014        0.037485     24.5615  1.08266  0.0186531               6
        3392   0.216994         0.016355         0.0222321    24.5613  1.08243  0.018521                6
        3394   0.197168         0.0273841        0.0263918    24.5652  1.08223  0.0184734               6
        3396   0.187512         0.0512292        0.0595241    24.5621  1.08204  0.0184143               6
        3398   0.202179         0.0552249        0.0626466    24.5501  1.08185  0.0179939               6
        3400   0.278728         0.04847          0.122644     24.5369  1.08169  0.0174374               6
        3402   0.253888         0.0327528        0.104198     24.567   1.08165  0.0160936               6
        3404   0.225024         0.0542151        0.0694521    24.5577  1.08143  0.0163685               6
        3406   0.183431         0.0433749        0.00915902   24.5271  1.08118  0.0169522               6
        3408   0.161885         0.065635         0.0240399    24.533   1.08105  0.0171381               6
        3410   0.170693         0.0522673        0.0284132    24.5349  1.08091  0.0168836               6
        3412   0.160251         0.0991408        0.0532663    24.5294  1.08073  0.0166095               6
        3414   0.184546         0.0673829        0.0199202    24.5266  1.08053  0.01652                 6
        3416   0.104171         0.212012         0.067571     24.5295  1.08045  0.0165144               6
        3418   0.141427         0.142561         0.0500787    24.5251  1.0803   0.0162993               6
        3420   0.258617         0.0679552        0.104586     24.5553  1.08677  0.0162995               7
        3422   0.206773         0.0271781        0.0487281    24.5609  1.08687  0.0163379               7
        3424   0.261682         0.0334642        0.103984     24.555   1.08637  0.0161035               7
        3426   0.289241         0.0463106        0.114156     24.5524  1.08607  0.0160049               7
        3428   0.252069         0.0498054        0.0803503    24.5551  1.08599  0.0160126               7
        3430   0.18628          0.0820016        0.0389273    24.5564  1.08617  0.015987                7
        3432   0.194521         0.0672696        0.0389309    24.5549  1.08588  0.0157997               7
        3434   0.194032         0.0364292        0.028751     24.555   1.08571  0.015668                7
        3436   0.214061         0.0906589        0.0701068    24.5508  1.08532  0.0155658               7
        3438   0.247437         0.0604434        0.0625163    24.5536  1.08524  0.015546                7
        3440   0.295171         0.0396696        0.111043     24.5443  1.08494  0.0153123               7
        3442   0.234291         0.0413941        0.0688728    24.5483  1.08485  0.0153722               7
        3444   0.203439         0.0543568        0.0598068    24.5472  1.08469  0.0152669               7
        3446   0.249237         0.0375058        0.0671767    24.5403  1.08468  0.0150295               7
        3448   0.185723         0.0774989        0.0476564    24.5405  1.08427  0.0150622               7
        3450   0.170485         0.0691149        0.0310868    24.539   1.0841   0.0150052               7
        3452   0.239607         0.0376604        0.0742252    24.5326  1.08398  0.0146816               7
        3454   0.248997         0.035942         0.079509     24.5288  1.08377  0.0146293               7
        3456   0.198239         0.0343025        0.0329416    24.528   1.08362  0.0146085               7
        3458   0.19501          0.06551          0.0572347    24.5275  1.08333  0.0145699               7
        3460   0.185852         0.0853999        0.0637043    24.5311  1.08322  0.0145282               7
        3462   0.198437         0.0439491        0.0335519    24.5216  1.08331  0.0143244               7
        3464   0.163871         0.0897489        0.0276016    24.5234  1.08318  0.0143411               7
        3466   0.16807          0.0164364        0.0173626    25.1333  1.06699  0.00889963              9
        3468   0.1642           0.0180717        0.0103472    25.1235  1.06724  0.00889312              9
        3470   0.15557          0.0225106        0.0188439    25.1199  1.06732  0.00889964              9
        3472   0.151617         0.0291131        0.0186112    25.0974  1.06812  0.00885606              9
        3474   0.169245         0.0289314        0.0455065    25.146   1.0663   0.00852891              9
        3476   0.172954         0.0296933        0.0494606    25.1543  1.06591  0.00848879              9
        3478   0.162435         0.0201049        0.0124288    25.105   1.06753  0.00873686              9
        3480   0.177089         0.0312739        0.035107     25.0915  1.06777  0.00871819              9
        3482   0.168671         0.0327111        0.0479189    25.1143  1.06682  0.00857503              9
        3484   0.15537          0.0298529        0.0185204    25.1142  1.06664  0.00872663              9
        3486   0.176893         0.0262404        0.031785     25.1105  1.06664  0.00863721              9
        3488   0.183117         0.0275152        0.0251455    25.0972  1.06695  0.00873494              9
        3490   0.186384         0.0199124        0.017539     25.0785  1.06757  0.00869144              9
        3492   0.202651         0.0226046        0.0216947    25.0691  1.06767  0.00882421              9
        3494   0.177604         0.0325404        0.0308069    25.0948  1.06699  0.00863343              9
        3496   0.185053         0.0266856        0.0331846    25.0632  1.06788  0.00873415              9
        3498   0.186883         0.0265489        0.0242514    25.0674  1.06755  0.0087306               9
        3500   0.198868         0.0317516        0.0326756    25.0061  1.06949  0.00887666              9
        3502   0.203783         0.0318096        0.0446838    25.0299  1.06859  0.00876288              9
        3504   0.205122         0.0245077        0.0251088    25.0495  1.0679   0.00872602              9
        3506   0.209343         0.0216952        0.00733114   25.0347  1.0684   0.00877218              9
        3508   0.22251          0.027821         0.018129     25.0348  1.06865  0.0088643              10
        3510   0.211543         0.0395762        0.0271664    25.0407  1.06852  0.00886921             10
        3512   0.213636         0.032758         0.020056     25.0302  1.06895  0.00892508             10
        3514   0.245265         0.0280945        0.0273841    25.0222  1.06901  0.00893318             10
        3516   0.233208         0.0263267        0.0151294    25.0312  1.06852  0.00894327             10
        3518   0.208783         0.0340702        0.0113417    25.0053  1.06948  0.00899758             10
        3520   0.234499         0.0218553        0.0159316    25.0062  1.06935  0.00904319             10
        3522   0.238499         0.0358582        0.0429       25.0145  1.06895  0.00905979             10
        3524   0.225638         0.0378783        0.0257609    25.006   1.06944  0.00968689             11
        3526   0.229907         0.028782         0.012868     24.9747  1.07042  0.00986931             11
        3528   0.242818         0.0245468        0.0189165    24.9956  1.06964  0.0097034              11
        3530   0.239952         0.0268583        0.0165409    24.9765  1.07026  0.00978486             11
        3532   0.224604         0.0250476        0.0107404    24.9905  1.06987  0.00984113             11
        3534   0.216214         0.0314636        0.0153955    25.0028  1.06942  0.00972467             11
        3536   0.232524         0.0303882        0.0202086    25.0008  1.0693   0.00978866             11
        3538   0.241586         0.0284675        0.0176021    24.9909  1.06974  0.00983451             11
        3540   0.252089         0.0343105        0.0333043    24.993   1.06962  0.00971372             11
        3542   0.234103         0.0334393        0.0280443    24.994   1.06967  0.00954528             11
        3544   0.247881         0.0263798        0.0266475    24.9862  1.06977  0.00970583             11
        3546   0.255224         0.0256238        0.0277066    24.9943  1.06943  0.00978532             11
        3548   0.230896         0.0284354        0.0159743    24.9965  1.06963  0.0096647              11
        3550   0.229285         0.0305179        0.0214185    24.9809  1.06995  0.00952235             11
        3552   0.224567         0.0267431        0.0199113    24.976   1.06955  0.00911322             11
        3554   0.224618         0.0308099        0.0254535    24.9895  1.06904  0.00898642             11
        3556   0.244787         0.0280473        0.0137093    24.9728  1.07019  0.00965411             11
        3558   0.237185         0.0353681        0.0175129    24.9688  1.07034  0.00967157             11
        3560   0.2263           0.0401036        0.0208025    24.9911  1.06973  0.00968497             11
        3562   0.246954         0.0362269        0.0235036    24.983   1.06985  0.00977408             11
        3564   0.255395         0.033201         0.0190177    24.9722  1.07041  0.00981383             11
        3566   0.24922          0.0247196        0.00977378   24.9681  1.07046  0.00994528             11
        3568   0.257103         0.0300426        0.02156      24.991   1.06962  0.00985335             11
        3570   0.271818         0.0256479        0.0193457    24.964   1.0706   0.00990447             11
        3572   0.254052         0.0292677        0.0205329    24.9832  1.06998  0.00991817             11
        3574   0.250606         0.0257741        0.0158257    24.9867  1.06999  0.0099046              11
        3576   0.256105         0.0259534        0.0102452    24.9614  1.07078  0.00992415             11
        3578   0.245619         0.0354541        0.0158279    24.9669  1.0708   0.00994664             11
        3580   0.250072         0.0334873        0.0148336    24.9788  1.07048  0.00995672             11
        3582   0.266344         0.0311467        0.00920985   24.9557  1.07107  0.00997333             11
        3584   0.256456         0.0338196        0.016196     24.9472  1.07155  0.00986824             11
        3586   0.235354         0.0409526        0.0125906    24.958   1.07121  0.00988017             11
        3588   0.240707         0.037651         0.0197499    24.9581  1.07113  0.00984014             11
        3590   0.246141         0.0277013        0.0146213    24.9817  1.07022  0.00981146             11
        3592   0.254552         0.0228696        0.00963958   24.9567  1.0711   0.00994731             11
        3594   0.249239         0.0269623        0.0100551    24.9644  1.07104  0.00986847             11
        3596   0.271311         0.0232337        0.011879     24.9399  1.07183  0.0100302              11
        3598   0.266843         0.036288         0.0287675    24.9511  1.07153  0.00997225             11
        3600   0.266933         0.0390913        0.0375755    24.9455  1.07173  0.00991989             11
        3602   0.26498          0.0358997        0.0259212    24.9671  1.07102  0.0099894              11
        3604   0.256599         0.0273189        0.0186952    24.9666  1.07121  0.0100146              11
        3606   0.254832         0.0275637        0.0177194    24.9317  1.07293  0.0107458              12
        3608   0.246422         0.0290473        0.0211694    24.9421  1.07262  0.0105779              12
        3610   0.244107         0.0274523        0.0244039    24.9235  1.07354  0.0106393              12
        3612   0.242562         0.0273133        0.0295263    24.9233  1.0736   0.0106301              12
        3614   0.2463           0.029876         0.0325686    24.9378  1.07294  0.0106452              12
        3616   0.258856         0.0296149        0.0334308    24.9265  1.07337  0.0107811              13
        3618   0.253916         0.0304024        0.0244156    24.9243  1.07354  0.0107719              13
        3620   0.245694         0.0268344        0.0244506    24.9065  1.07439  0.0108032              14
        3622   0.237001         0.0325783        0.0301176    24.9394  1.07323  0.0106154              14
        3624   0.241603         0.0269082        0.0236818    24.9452  1.07297  0.010707               14
        3626   0.255221         0.0346885        0.0337053    24.9333  1.07325  0.0106448              14
        3628   0.233359         0.0358092        0.0308561    24.9141  1.07428  0.0107103              14
        3630   0.252035         0.0338183        0.0304898    24.9325  1.07349  0.0107357              14
