# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 20.000000 and phase < 22.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15     Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  -------  -----------  -------------
        1602   0.00315185       3.8607e-05       2.21544e-05  20.9     1.108    0.000804                 1
        1604  -0.00701708       4.93232e-05      8.59523e-05  20.9     1.108    0.000804                 1
        1606   0.00213195       2.61143e-05      1.49855e-05  20.9     1.108    0.000804                 1
        1608  -0.0002235        1.57099e-06      2.73765e-06  20.9     1.108    0.000804                 1
        1610   0.0015001        1.83748e-05      1.05443e-05  20.9     1.108    0.000804                 1
        1612   0.00343947       4.21301e-05      2.41761e-05  20.9     1.108    0.000804                 1
        1614   0.000497447      6.09323e-06      3.49657e-06  20.9     1.108    0.000804                 1
        1616  -0.00295591       2.07771e-05      3.62069e-05  20.9     1.108    0.000804                 1
        1618   0.00215111       2.63489e-05      1.51202e-05  20.9     1.108    0.000804                 1
        1620   0.00399578       4.89443e-05      2.80864e-05  20.9     1.108    0.000804                 1
        1622   0.00282085       3.45526e-05      1.98278e-05  20.9     1.108    0.000804                 1
        1624   0.000558574      6.84197e-06      3.92623e-06  20.9     1.108    0.000804                 1
        1626   0.000762968      9.34559e-06      5.36292e-06  20.9     1.108    0.000804                 1
        1628   0.000784702      9.61181e-06      5.51569e-06  20.9     1.108    0.000804                 1
        1630   0.00267211       3.27307e-05      1.87823e-05  20.9     1.108    0.000804                 1
        1632   0.00308623       3.78033e-05      2.16932e-05  20.9     1.108    0.000804                 1
        1634   0.00385883       4.72668e-05      2.71238e-05  20.9     1.108    0.000804                 1
        1636   0.00204374       2.50338e-05      1.43655e-05  20.9     1.108    0.000804                 1
        1638   0.00195936       2.40002e-05      1.37724e-05  20.9     1.108    0.000804                 1
        1640   0.00255862       3.13405e-05      1.79846e-05  20.9     1.108    0.000804                 1
        1642   0.00266971       3.27013e-05      1.87654e-05  20.9     1.108    0.000804                 1
        1644   0.00305597       3.74326e-05      2.14805e-05  20.9     1.108    0.000804                 1
        1646   0.00257209       3.15055e-05      1.80793e-05  20.9     1.108    0.000804                 1
        1648   0.00373872       4.57955e-05      2.62795e-05  20.9     1.108    0.000804                 1
        1650   0.00220007       2.69486e-05      1.54643e-05  20.9     1.108    0.000804                 1
        1652   0.00239218       2.93018e-05      1.68147e-05  20.9     1.108    0.000804                 1
        1654   0.00232139       2.84347e-05      1.63171e-05  20.9     1.108    0.000804                 1
        1656   0.00258749       3.16942e-05      1.81876e-05  20.9     1.108    0.000804                 1
        1658   0.00187241       2.29352e-05      1.31612e-05  20.9     1.108    0.000804                 1
        1660   0.00255877       3.13424e-05      1.79857e-05  20.9     1.108    0.000804                 1
        1662   0.00474134       5.80767e-05      3.3327e-05   20.9     1.108    0.000804                 1
        1664   0.00239703       2.93613e-05      1.68488e-05  20.9     1.108    0.000804                 1
        1666   0.00305765       3.74531e-05      2.14923e-05  20.9     1.108    0.000804                 1
        1668   0.0051302        6.28399e-05      3.60603e-05  20.9     1.108    0.000804                 1
        1670   0.00394935       4.83756e-05      2.77601e-05  20.9     1.108    0.000804                 1
        1672   0.0033925        4.15547e-05      2.3846e-05   20.9     1.108    0.000804                 1
        1674   0.00449334       5.50389e-05      3.15838e-05  20.9     1.108    0.000804                 1
        1676   0.00396127       4.85217e-05      2.78439e-05  20.9     1.108    0.000804                 1
        1678   0.00447239       5.47823e-05      3.14365e-05  20.9     1.108    0.000804                 1
        1680   0.00460367       5.63903e-05      3.23593e-05  20.9     1.108    0.000804                 1
        1682   0.00359201       4.39985e-05      2.52483e-05  20.9     1.108    0.000804                 1
        1684   0.00354111       4.3375e-05       2.48905e-05  20.9     1.108    0.000804                 1
        1686   0.00228051       2.7934e-05       1.60298e-05  20.9     1.108    0.000804                 1
        1688   0.00312967       3.83353e-05      2.19985e-05  20.9     1.108    0.000804                 1
        1690   0.00375876       4.60411e-05      2.64204e-05  20.9     1.108    0.000804                 1
        1692   0.0021823        2.6731e-05       1.53394e-05  20.9     1.108    0.000804                 1
        1694   0.00204658       2.50685e-05      1.43854e-05  20.9     1.108    0.000804                 1
        1696   0.00309171       3.78704e-05      2.17317e-05  20.9     1.108    0.000804                 1
        1698   0.00345092       4.22704e-05      2.42566e-05  20.9     1.108    0.000804                 1
        1700   0.00117828       1.44327e-05      8.28214e-06  20.9     1.108    0.000804                 1
        1702   0.00275355       3.37282e-05      1.93548e-05  20.9     1.108    0.000804                 1
        1704   0.00223065       2.73233e-05      1.56793e-05  20.9     1.108    0.000804                 1
        1706   0.00264381       3.2384e-05       1.85834e-05  20.9     1.108    0.000804                 1
        1708   0.00220507       2.70099e-05      1.54995e-05  20.9     1.108    0.000804                 1
        1710   0.00254217       3.1139e-05       1.78689e-05  20.9     1.108    0.000804                 1
        1712   0.00389076       4.76579e-05      2.73482e-05  20.9     1.108    0.000804                 1
        1714   0.00324556       3.97548e-05      2.28131e-05  20.9     1.108    0.000804                 1
        1716   0.00418279       5.1235e-05       2.94009e-05  20.9     1.108    0.000804                 1
        1718   0.00392567       4.80856e-05      2.75937e-05  20.9     1.108    0.000804                 1
        1720   0.00399103       4.88861e-05      2.8053e-05   20.9     1.108    0.000804                 1
        1722   0.00381257       4.67002e-05      2.67986e-05  20.9     1.108    0.000804                 1
        1724   0.00415664       5.09147e-05      2.92171e-05  20.9     1.108    0.000804                 1
        1726   0.00488312       5.98134e-05      3.43236e-05  20.9     1.108    0.000804                 1
