# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -6.000000 and phase < -4.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  ----------  -------------
        1226   0.196528         0.00273409       0.490531     -5.32699  1.11469  0.002425                1
        1228  -0.318244         0.794331         0.00442739   -5.32699  1.11469  0.002425                1
        1230   0.294327         0.00409466       0.734634     -5.32699  1.11469  0.002425                1
        1232   0.627673         0.00873215       1.56666      -5.32699  1.11469  0.002425                1
        1234   0.0354349        0.000492968      0.0884448    -5.32699  1.11469  0.002425                1
        1236   0.0711301        0.000989558      0.177539     -5.32699  1.11469  0.002425                1
        1238   0.420092         0.0058443        1.04854      -5.32699  1.11469  0.002425                1
        1240   0.333231         0.0046359        0.831739     -5.32699  1.11469  0.002425                1
        1242  -0.0211797        0.0528641        0.000294651  -5.32699  1.11469  0.002425                1
        1244   0.0599045        0.000833389      0.149521     -5.32699  1.11469  0.002425                1
        1246   0.0236187        0.000328582      0.0589518    -5.32699  1.11469  0.002425                1
        1248   0.0382006        0.000531445      0.095348     -5.32699  1.11469  0.002425                1
        1250   0.105336         0.00146544       0.262918     -5.32699  1.11469  0.002425                1
        1252  -0.0629462        0.157113         0.000875705  -5.32699  1.11469  0.002425                1
        1254   0.17538          0.00243988       0.437745     -5.32699  1.11469  0.002425                1
        1256   0.189656         0.00263849       0.473378     -5.32699  1.11469  0.002425                1
        1258   0.040005         0.000556547      0.0998517    -5.32699  1.11469  0.002425                1
        1260   0.472497         0.00657335       1.17934      -5.32699  1.11469  0.002425                1
        1262   0.357838         0.00497823       0.893157     -5.32699  1.11469  0.002425                1
        1264   0.0364934        0.000507695      0.0910869    -5.32699  1.11469  0.002425                1
        1266   0.0512373        0.000712811      0.127887     -5.32699  1.11469  0.002425                1
        1268   0.234369         0.00326054       0.584982     -5.32699  1.11469  0.002425                1
        1270   0.0773678        0.00107634       0.193109     -5.32699  1.11469  0.002425                1
        1272  -0.0499922        0.12478          0.000695489  -5.32699  1.11469  0.002425                1
        1274  -0.0103591        0.0258561        0.000144115  -5.32699  1.11469  0.002425                1
        1276   0.0168738        0.000234747      0.0421166    -5.32699  1.11469  0.002425                1
        1278   0.144905         0.00201592       0.361681     -5.32699  1.11469  0.002425                1
        1280   0.148344         0.00206376       0.370265     -5.32699  1.11469  0.002425                1
        1282   0.0414418        0.000576536      0.103438     -5.32699  1.11469  0.002425                1
        1284  -0.023446         0.0585209        0.00032618   -5.32699  1.11469  0.002425                1
        1286  -0.20257          0.505612         0.00281815   -5.32699  1.11469  0.002425                1
        1288  -0.103232         0.257664         0.00143615   -5.32699  1.11469  0.002425                1
        1290   0.0810615        0.00112772       0.202328     -5.32699  1.11469  0.002425                1
        1292  -0.1311           0.327223         0.00182385   -5.32699  1.11469  0.002425                1
        1294  -0.207457         0.51781          0.00288614   -5.32699  1.11469  0.002425                1
        1296  -0.0292645        0.0730436        0.000407126  -5.32699  1.11469  0.002425                1
        1298  -0.0272438        0.068            0.000379014  -5.32699  1.11469  0.002425                1
        1300  -0.352722         0.880387         0.00490705   -5.32699  1.11469  0.002425                1
        1302  -0.162436         0.405438         0.0022598    -5.32699  1.11469  0.002425                1
        1304   0.130669         0.00181786       0.326147     -5.32699  1.11469  0.002425                1
        1306   0.082117         0.00114241       0.204963     -5.32699  1.11469  0.002425                1
        1308  -0.0584501        0.14589          0.000813156  -5.32699  1.11469  0.002425                1
        1310   0.360293         0.00501238       0.899285     -5.32699  1.11469  0.002425                1
        1312   0.425            0.00591258       1.06079      -5.32699  1.11469  0.002425                1
        1314   0.112667         0.00156742       0.281215     -5.32699  1.11469  0.002425                1
        1316   0.0947158        0.00131768       0.236409     -5.32699  1.11469  0.002425                1
        1318   0.316957         0.00440949       0.791119     -5.32699  1.11469  0.002425                1
        1320   0.128539         0.00178823       0.320831     -5.32699  1.11469  0.002425                1
        1322  -0.158952         0.39674          0.00221133   -5.32699  1.11469  0.002425                1
        1324  -0.0637042        0.159005         0.00088625   -5.32699  1.11469  0.002425                1
        1326   0.0344736        0.000479595      0.0860454    -5.32699  1.11469  0.002425                1
        1328   0.0986879        0.00137294       0.246323     -5.32699  1.11469  0.002425                1
        1330   0.049369         0.000686819      0.123224     -5.32699  1.11469  0.002425                1
        1332  -0.086044         0.214764         0.00119704   -5.32699  1.11469  0.002425                1
        1334   0.0310951        0.000432594      0.0776129    -5.32699  1.11469  0.002425                1
        1336   0.0730018        0.0010156        0.182211     -5.32699  1.11469  0.002425                1
        1338   0.0168059        0.000233803      0.0419472    -5.32699  1.11469  0.002425                1
        1340   0.0828398        0.00115246       0.206767     -5.32699  1.11469  0.002425                1
        1342   0.263075         0.00365989       0.656631     -5.32699  1.11469  0.002425                1
        1344   0.212926         0.00296221       0.531459     -5.32699  1.11469  0.002425                1
        1346   0.0547659        0.000761901      0.136695     -5.32699  1.11469  0.002425                1
        1348  -0.0324211        0.0809225        0.000451041  -5.32699  1.11469  0.002425                1
        1350  -0.0898392        0.224237         0.00124984   -5.32699  1.11469  0.002425                1
        1352   0.0146012        0.000203132      0.0364444    -5.32699  1.11469  0.002425                1
        1354   0.0528242        0.000734888      0.131848     -5.32699  1.11469  0.002425                1
        1356  -0.00363008       0.00906062       5.05016e-05  -5.32699  1.11469  0.002425                1
        1358   0.187671         0.00261086       0.468422     -5.32699  1.11469  0.002425                1
        1360   0.177893         0.00247484       0.444018     -5.32699  1.11469  0.002425                1
        1362   0.00915291       0.000127335      0.0228455    -5.32699  1.11469  0.002425                1
        1364  -0.0794902        0.198406         0.00110586   -5.32699  1.11469  0.002425                1
        1366  -0.0897544        0.224025         0.00124866   -5.32699  1.11469  0.002425                1
        1368  -0.132998         0.331961         0.00185026   -5.32699  1.11469  0.002425                1
        1370  -0.101409         0.253115         0.0014108    -5.32699  1.11469  0.002425                1
        1372  -0.0492362        0.122893         0.000684971  -5.32699  1.11469  0.002425                1
        1374  -0.201594         0.503176         0.00280457   -5.32699  1.11469  0.002425                1
        1376  -0.225249         0.562217         0.00313365   -5.32699  1.11469  0.002425                1
        1378  -0.11158          0.278501         0.00155229   -5.32699  1.11469  0.002425                1
        1380  -0.103824         0.259143         0.0014444    -5.32699  1.11469  0.002425                1
        1382  -0.270916         0.676201         0.00376897   -5.32699  1.11469  0.002425                1
        1384  -0.121858         0.304157         0.00169529   -5.32699  1.11469  0.002425                1
        1386   0.0550158        0.000765377      0.137318     -5.32699  1.11469  0.002425                1
        1388   0.0270862        0.000376822      0.0676067    -5.32699  1.11469  0.002425                1
        1390  -0.0193231        0.0482302        0.000268823  -5.32699  1.11469  0.002425                1
        1392  -0.0636457        0.158858         0.000885436  -5.32699  1.11469  0.002425                1
        1394  -0.204298         0.509925         0.00284219   -5.32699  1.11469  0.002425                1
        1396  -0.262575         0.655382         0.00365293   -5.32699  1.11469  0.002425                1
        1398  -0.0751417        0.187552         0.00104537   -5.32699  1.11469  0.002425                1
        1400  -0.190913         0.476515         0.00265597   -5.32699  1.11469  0.002425                1
        1402  -0.205856         0.513813         0.00286386   -5.32699  1.11469  0.002425                1
        1404   0.0251149        0.000349397      0.0626862    -5.32699  1.11469  0.002425                1
        1406   0.0840529        0.00116934       0.209795     -5.32699  1.11469  0.002425                1
        1408  -0.0155288        0.0387596        0.000216036  -5.32699  1.11469  0.002425                1
        1410  -0.019244         0.0480326        0.000267721  -5.32699  1.11469  0.002425                1
        1412   0.101808         0.00141634       0.25411      -5.32699  1.11469  0.002425                1
        1414   0.14747          0.00205159       0.368082     -5.32699  1.11469  0.002425                1
        1416   0.00436346       6.07043e-05      0.0108911    -5.32699  1.11469  0.002425                1
        1418  -0.0801568        0.20007          0.00111514   -5.32699  1.11469  0.002425                1
        1420  -0.0687794        0.171672         0.000956856  -5.32699  1.11469  0.002425                1
        1422  -0.0799137        0.199463         0.00111176   -5.32699  1.11469  0.002425                1
        1424  -0.0387564        0.0967352        0.000539177  -5.32699  1.11469  0.002425                1
        1426  -0.0348204        0.0869111        0.00048442   -5.32699  1.11469  0.002425                1
        1428  -0.118154         0.294909         0.00164375   -5.32699  1.11469  0.002425                1
        1430  -0.194466         0.485384         0.00270541   -5.32699  1.11469  0.002425                1
        1432  -0.0841023        0.209918         0.00117003   -5.32699  1.11469  0.002425                1
        1434   0.135374         0.00188332       0.337892     -5.32699  1.11469  0.002425                1
        1436   0.220054         0.00306138       0.549251     -5.32699  1.11469  0.002425                1
        1438   0.105899         0.00147326       0.264321     -5.32699  1.11469  0.002425                1
        1440   0.121824         0.00169481       0.304071     -5.32699  1.11469  0.002425                1
        1442  -0.114042         0.284646         0.00158654   -5.32699  1.11469  0.002425                1
        1444  -0.319748         0.798085         0.00444832   -5.32699  1.11469  0.002425                1
        1446  -0.0814349        0.20326          0.00113292   -5.32699  1.11469  0.002425                1
        1448  -0.0299191        0.0746775        0.000416233  -5.32699  1.11469  0.002425                1
        1450   0.00614699       8.55166e-05      0.0153428    -5.32699  1.11469  0.002425                1
        1452  -0.0515247        0.128605         0.000716809  -5.32699  1.11469  0.002425                1
        1454  -0.247358         0.617401         0.00344123   -5.32699  1.11469  0.002425                1
        1456   0.0181372        0.000252323      0.04527      -5.32699  1.11469  0.002425                1
        1458   0.196754         0.00273723       0.491093     -5.32699  1.11469  0.002425                1
        1460   0.0851991        0.00118529       0.212655     -5.32699  1.11469  0.002425                1
        1462  -0.0308569        0.0770182        0.000429279  -5.32699  1.11469  0.002425                1
        1464   0.0614557        0.000854968      0.153392     -5.32699  1.11469  0.002425                1
        1466   0.0557386        0.000775433      0.139123     -5.32699  1.11469  0.002425                1
        1468   0.0134276        0.000186804      0.0335151    -5.32699  1.11469  0.002425                1
        1470   0.125947         0.00175217       0.314362     -5.32699  1.11469  0.002425                1
        1472   0.276758         0.00385025       0.690784     -5.32699  1.11469  0.002425                1
        1474   0.393548         0.00547502       0.982288     -5.32699  1.11469  0.002425                1
        1476   0.47354          0.00658787       1.18195      -5.32699  1.11469  0.002425                1
        1478   0.37397          0.00520265       0.933422     -5.32699  1.11469  0.002425                1
        1480   0.0185557        0.000258146      0.0463146    -5.32699  1.11469  0.002425                1
        1482   0.0205811        0.000286324      0.0513701    -5.32699  1.11469  0.002425                1
        1484   0.165858         0.0023074        0.413978     -5.32699  1.11469  0.002425                1
        1486   0.12277          0.00170798       0.306433     -5.32699  1.11469  0.002425                1
        1488   0.128793         0.00179176       0.321464     -5.32699  1.11469  0.002425                1
        1490   0.184747         0.00257019       0.461125     -5.32699  1.11469  0.002425                1
        1492   0.243649         0.00338963       0.608144     -5.32699  1.11469  0.002425                1
        1494   0.243831         0.00339216       0.608597     -5.32699  1.11469  0.002425                1
        1496   0.0929723        0.00129343       0.232057     -5.32699  1.11469  0.002425                1
        1498  -0.0296279        0.0739506        0.000412181  -5.32699  1.11469  0.002425                1
        1500   0.0319539        0.000444542      0.0797564    -5.32699  1.11469  0.002425                1
        1502   0.19536          0.00271784       0.487615     -5.32699  1.11469  0.002425                1
        1504   0.182211         0.00253491       0.454794     -5.32699  1.11469  0.002425                1
        1506   0.163666         0.00227691       0.408506     -5.32699  1.11469  0.002425                1
        1508   0.254872         0.00354577       0.636157     -5.32699  1.11469  0.002425                1
        1510   0.241341         0.00335753       0.602383     -5.32699  1.11469  0.002425                1
        1512  -0.103882         0.259288         0.0014452    -5.32699  1.11469  0.002425                1
        1514  -0.141025         0.351996         0.00196194   -5.32699  1.11469  0.002425                1
        1516   0.0320489        0.000445863      0.0799934    -5.32699  1.11469  0.002425                1
        1518   0.0746023        0.00103786       0.186206     -5.32699  1.11469  0.002425                1
        1520  -0.0715794        0.178661         0.000995809  -5.32699  1.11469  0.002425                1
