# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 0.000000 and phase < 2.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  ----------  -------------
        1604   0.00197368       3.90119e-05     -6.30161e-07  0.1       1.14     0.002843                1
        1606  -0.0289006       -9.22745e-06      0.000571251  0.1       1.14     0.002843                1
        1608   0.00946151       0.000187017     -3.0209e-06   0.1       1.14     0.002843                1
        1610   0.0370956        0.000733235     -1.1844e-05   0.1       1.14     0.002843                1
        1612   0.0153425        0.000303262     -4.89861e-06  0.1       1.14     0.002843                1
        1614  -0.011161        -3.56352e-06      0.00022061   0.1       1.14     0.002843                1
        1616  -0.0151664       -4.84238e-06      0.000299781  0.1       1.14     0.002843                1
        1618  -0.00494765      -1.5797e-06       9.77956e-05  0.1       1.14     0.002843                1
        1620  -0.00331328      -1.05787e-06      6.54905e-05  0.1       1.14     0.002843                1
        1622   0.0210453        0.000415983     -6.7194e-06   0.1       1.14     0.002843                1
        1624   0.0090533        0.000178948     -2.89056e-06  0.1       1.14     0.002843                1
        1626  -0.000341313     -1.08976e-07      6.74643e-06  0.1       1.14     0.002843                1
        1628   0.00393172       7.77146e-05     -1.25533e-06  0.1       1.14     0.002843                1
        1630  -0.00696143      -2.22266e-06      0.0001376    0.1       1.14     0.002843                1
        1632  -0.00234139      -7.47565e-07      4.62801e-05  0.1       1.14     0.002843                1
        1634  -0.00307987      -9.83351e-07      6.08771e-05  0.1       1.14     0.002843                1
        1636  -0.00237415      -7.58024e-07      4.69276e-05  0.1       1.14     0.002843                1
        1638   0.00163773       3.23715e-05     -5.22899e-07  0.1       1.14     0.002843                1
        1640   0.0139934        0.000276596     -4.46786e-06  0.1       1.14     0.002843                1
        1642   0.00854376       0.000168877     -2.72788e-06  0.1       1.14     0.002843                1
        1644   0.0061338        0.000121241     -1.95842e-06  0.1       1.14     0.002843                1
        1646   0.00139116       2.74977e-05     -4.44172e-07  0.1       1.14     0.002843                1
        1648   0.00572156       0.000113093     -1.82679e-06  0.1       1.14     0.002843                1
        1650   0.00396623       7.83968e-05     -1.26635e-06  0.1       1.14     0.002843                1
        1652   0.00243903       4.821e-05       -7.78739e-07  0.1       1.14     0.002843                1
        1654   0.0012993        2.56821e-05     -4.14845e-07  0.1       1.14     0.002843                1
        1656  -0.000717947     -2.29228e-07      1.4191e-05   0.1       1.14     0.002843                1
        1658  -0.00438771      -1.40092e-06      8.67278e-05  0.1       1.14     0.002843                1
        1660  -0.00531924      -1.69834e-06      0.000105141  0.1       1.14     0.002843                1
        1662   0.00457222       9.03749e-05     -1.45983e-06  0.1       1.14     0.002843                1
        1664   0.00678298       0.000134073     -2.16569e-06  0.1       1.14     0.002843                1
        1666   0.00961768       0.000190104     -3.07076e-06  0.1       1.14     0.002843                1
        1668   0.00247016       4.88254e-05     -7.8868e-07   0.1       1.14     0.002843                1
        1670   0.00895293       0.000176964     -2.85852e-06  0.1       1.14     0.002843                1
        1672   0.010027         0.00544011       0.00130994   0.1       1.135    0.00252429              2
        1674   0.00921684       0.00478105       0.00114944   0.1       1.13506  0.00252829              2
        1676   0.00492721       0.0054059        0.00137781   0.1       1.13511  0.00253119              2
        1678   0.00481865       0.00558621       0.00142974   0.1       1.13514  0.00253308              2
        1680   0.00444438       0.00424397       0.00107595   0.1       1.13515  0.00253408              2
        1682   0.00493048       0.00219613       0.00052105   0.1       1.13515  0.00253428              2
        1684   0.0108542        0.00463471       0.00109304   0.1       1.13515  0.00253376              2
        1686   0.00935087       0.00488482       0.00117937   0.1       1.13513  0.0025326               2
        1688   0.00772658       0.00189557       0.000401268  0.1       1.1351   0.00253088              2
        1690   0.0045312        0.0031809        0.000786745  0.1       1.13507  0.00252866              2
        1692   0.00279559       0.00220463       0.000548838  0.1       1.13503  0.00252601              2
        1694   0.00754103       0.00203805       0.000438785  0.1       1.13498  0.002523                2
        1696   0.00334545       0.00427113       0.00108685   0.1       1.13493  0.00251968              2
        1698   0.004158         0.00366953       0.000913192  0.1       1.13487  0.0025161               2
        1700   0.00458751       0.00311253       0.000757893  0.1       1.13481  0.00251233              2
        1702   0.00565602       0.00314634       0.000749916  0.1       1.13475  0.00250841              2
        1704   0.00560232       0.00374062       0.000903906  0.1       1.13469  0.00250441              2
        1706   0.00711966       0.00384537       0.000907771  0.1       1.13462  0.00250037              2
        1708   0.00898712       0.00230513       0.000478389  0.1       1.13456  0.00249636              2
        1710   0.00742252       0.00267687       0.000594404  0.1       1.1345   0.00249242              2
        1712   0.0024844        0.00391996       0.000982245  0.1       1.13444  0.0024886               2
