# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 6.000000 and phase < 8.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        3120   0.63171        0.00490673       0.00142735   7.75819  1.16     0.011575                1
        3122   0.461678       0.00358602       0.00104316   7.75819  1.16     0.011575                1
        3124  -1.18644        0.00268075       0.00921551   7.75819  1.16     0.011575                1
        3126  -1.43213        0.00323588       0.0111239    7.75819  1.16     0.011575                1
        3128  -0.0927732      0.000209621      0.000720603  7.75819  1.16     0.011575                1
        3130  -0.428885       0.000969063      0.00333131   7.75819  1.16     0.011575                1
        3132  -1.2674         0.00286369       0.00984439   7.75819  1.16     0.011575                1
        3134  -0.593062       0.00134002       0.00460653   7.75819  1.16     0.011575                1
        3136  -0.367678       0.000830766      0.00285589   7.75819  1.16     0.011575                1
        3138  -1.61412        0.0036471        0.0125375    7.75819  1.16     0.011575                1
        3140  -1.52768        0.00345179       0.0118661    7.75819  1.16     0.011575                1
        3142   0.0141775      0.000110122      3.2034e-05   7.75819  1.16     0.011575                1
        3144   0.224692       0.00174527       0.000507691  7.75819  1.16     0.011575                1
        3146  -0.488208       0.0011031        0.00379209   7.75819  1.16     0.011575                1
        3148  -0.392005       0.000885734      0.00304485   7.75819  1.16     0.011575                1
        3150  -0.321229       0.000725814      0.0024951    7.75819  1.16     0.011575                1
        3152  -0.391096       0.000883678      0.00303778   7.75819  1.16     0.011575                1
        3154  -0.929727       0.00210071       0.00722153   7.75819  1.16     0.011575                1
        3156  -1.30892        0.0029575        0.0101669    7.75819  1.16     0.011575                1
        3158  -1.09987        0.00248515       0.00854311   7.75819  1.16     0.011575                1
        3160   0.505941       0.00392983       0.00114317   7.75819  1.16     0.011575                1
        3162   0.684143       0.00531399       0.00154582   7.75819  1.16     0.011575                1
        3164   0.199397       0.00154879       0.000450537  7.75819  1.16     0.011575                1
        3166   0.960252       0.00745863       0.00216968   7.75819  1.16     0.011575                1
        3168   0.395753       0.00307396       0.000894201  7.75819  1.16     0.011575                1
        3170   0.334533       0.00259844       0.000755876  7.75819  1.16     0.011575                1
        3172  -0.22689        0.000512656      0.00176234   7.75819  1.16     0.011575                1
        3174  -0.65484        0.00147961       0.00508638   7.75819  1.16     0.011575                1
        3176  -0.748446       0.00169111       0.00581345   7.75819  1.16     0.011575                1
        3178  -1.07237        0.00242301       0.00832947   7.75819  1.16     0.011575                1
        3180  -1.16436        0.00263086       0.009044     7.75819  1.16     0.011575                1
        3182  -0.754285       0.0017043        0.00585881   7.75819  1.16     0.011575                1
        3184   0.54911        0.44736          0.0139129    7.94074  1.16971  0.0363879               2
        3186   0.614433       0.546141         0.0171675    7.94067  1.16971  0.0363776               2
        3188   0.554279       0.883027         0.0277949    7.94059  1.1697   0.0363675               2
        3190   0.425585       0.940839         0.0298145    7.94052  1.1697   0.0363576               2
        3192   0.388725       0.702377         0.0225819    7.94045  1.16969  0.0363479               2
        3194   0.325577       0.671006         0.0218153    7.94038  1.16969  0.0363384               2
        3196   0.319549       0.576829         0.0189987    7.94031  1.16969  0.0363291               2
        3198   0.386197       0.489225         0.0164249    7.94024  1.16968  0.0363201               2
        3200   0.335884       0.642247         0.0216221    7.94018  1.16968  0.0363113               2
        3202   0.147495       0.875064         0.0296089    7.94012  1.16968  0.0363028               2
        3204   0.0303986      0.83559          0.0285057    7.94005  1.16967  0.0362945               2
        3206   0.109229       0.533284         0.0184197    7.94     1.16967  0.0362865               2
        3208   0.280295       0.979931         0.0342082    7.93994  1.16967  0.0362787               2
        3210   0.36227        0.526775         0.0187268    7.93988  1.16966  0.0362713               2
        3212   0.338921       0.0043199        0.121267     7.93983  1.16966  0.036264                2
        3214   0.292723       0.565519         0.0203268    7.93978  1.16966  0.036257                2
        3216   0.338938       0.522918         0.0190375    7.93973  1.16966  0.0362503               2
        3218   0.200077       0.346589         0.0126628    7.93968  1.16965  0.0362437               2
        3220   0.0977334      0.033492         0.0213159    7.53776  1.13708  0.0343929               3
        3222   0.329612       0.201418         0.0257725    7.15652  1.10523  0.0103866               4
        3224   0.321087       0.125097         0.0155023    7.15619  1.1052   0.010351                4
        3226   0.291736       0.0688875        0.00671644   7.15588  1.10517  0.0103118               4
        3228   0.233954       0.0374001        0.00828105   7.3537   1.11883  0.0144321               5
        3230   0.197366       0.0498548        0.0124852    7.35188  1.1187   0.0143691               5
        3232   0.184716       0.0737272        0.0277509    7.35015  1.11857  0.0143073               5
        3234   0.192715       0.0794649        0.0311402    7.30113  1.11636  0.0139049               6
        3236   0.207364       0.0589454        0.0230612    7.30034  1.11629  0.0138592               6
        3238   0.206519       0.074203         0.0226753    7.29963  1.11623  0.0138127               6
        3240   0.201396       0.0710713        0.0293856    7.29884  1.11616  0.0137699               6
        3242   0.203647       0.0458237        0.0217723    7.28651  1.11393  0.0133744               6
        3244   0.213581       0.0272421        0.0148529    7.28487  1.1138   0.0133115               6
        3246   0.21703        0.0296105        0.0112912    7.28339  1.11368  0.0132566               6
        3248   0.204693       0.0636601        0.0313744    7.28181  1.11356  0.0131984               6
        3250   0.217711       0.0538529        0.0285949    7.28065  1.11346  0.0131477               6
        3252   0.232233       0.0154244        0.0119088    7.27923  1.11334  0.0130906               6
        3254   0.22098        0.0187416        0.0280621    7.27735  1.11319  0.0130293               6
        3256   0.217508       0.0147065        0.0211283    7.27659  1.11312  0.0129887               6
        3258   0.212906       0.0133012        0.0196751    7.27511  1.113    0.0129344               6
        3260   0.227064       0.0105735        0.0430843    7.27346  1.11287  0.0128748               6
        3262   0.219214       0.0086431        0.0333583    7.27279  1.1128   0.0128311               6
        3264   0.206754       0.0258568        0.0211478    7.27164  1.1127   0.0127777               6
        3266   0.217284       0.0173547        0.0137556    7.27014  1.11258  0.0127231               6
        3268   0.215285       0.0146714        0.0146309    7.26838  1.11244  0.0126715               6
        3270   0.206822       0.0146654        0.0112448    7.2677   1.11237  0.0126397               6
        3272   0.201434       0.0286447        0.0125828    7.26621  1.11225  0.0125935               6
        3274   0.202188       0.0577578        0.0246877    7.26501  1.11214  0.0125533               6
        3276   0.213543       0.0526019        0.0232305    7.26316  1.112    0.0124993               6
        3278   0.218613       0.0418953        0.0195572    7.26018  1.11177  0.0124227               6
        3280   0.217445       0.0324037        0.0162935    7.25713  1.11153  0.0123463               6
        3282   0.196617       0.0492127        0.0251124    7.25556  1.1114   0.0123021               6
        3284   0.17075        0.0687505        0.0304317    7.25557  1.11138  0.0122905               6
        3286   0.167964       0.0719827        0.0265374    7.25476  1.1113   0.0122664               6
        3288   0.18855        0.056193         0.0187541    7.25443  1.11126  0.0122524               6
        3290   0.207425       0.0396441        0.0144197    7.25381  1.11119  0.0122315               6
        3292   0.204072       0.0395202        0.0133338    7.25301  1.11112  0.0122101               6
        3294   0.198677       0.0354677        0.0107664    7.25222  1.11104  0.0121888               6
        3296   0.202541       0.0352547        0.012721     7.25165  1.11098  0.0121763               6
        3298   0.207294       0.0339573        0.0116923    7.25097  1.11091  0.0121628               6
        3300   0.223415       0.021374         0.0100573    7.06999  1.10989  0.00843242              7
        3302   0.221918       0.0178262        0.0106592    7.06973  1.10987  0.00843021              7
        3304   0.221998       0.0158905        0.00972777   7.06974  1.10982  0.00843392              7
        3306   0.223237       0.0169223        0.0137429    7.06865  1.10976  0.00841466              7
        3308   0.216737       0.0191786        0.0284001    7.0665   1.1097   0.00837516              7
        3310   0.211937       0.0217989        0.0319747    7.06207  1.10962  0.00828947              7
        3312   0.225457       0.0267688        0.0318005    7.04857  1.11875  0.00834068              8
        3314   0.230765       0.0211585        0.0282542    7.0193   1.10941  0.00812784              9
        3316   0.226506       0.0208196        0.0252558    7.01517  1.10932  0.00803544              9
        3318   0.222974       0.0209489        0.0232257    7.01215  1.1093   0.00796728              9
        3320   0.230034       0.0148197        0.016567     7.01126  1.10927  0.00795025              9
        3322   0.235812       0.0120799        0.0113551    7.01051  1.10916  0.00794083              9
        3324   0.230133       0.0136019        0.0119249    7.01029  1.10912  0.00794218              9
