# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -2.000000 and phase < 0.000000 and ((dm15_source >= 1.0 and dm15_source < 1.2) or (dm15_from_fits >= 1.0 and dm15_from_fits < 1.2))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper      Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  ---------  -------  ----------  -------------
        1878  -0.0878295        0.0797977        0.000410752  -1.79844   1.13157  0.005871                1
        1880   0.0249304        0.000116592      0.0226505    -1.79844   1.13157  0.005871                1
        1882  -0.0342229        0.0310933        0.00016005   -1.79844   1.13157  0.005871                1
        1884   0.0786693        0.000367912      0.0714751    -1.79844   1.13157  0.005871                1
        1886   0.218243         0.00102066       0.198285     -1.79844   1.13157  0.005871                1
        1888  -0.102109         0.092771         0.000477531  -1.79844   1.13157  0.005871                1
        1890  -0.131692         0.119649         0.000615885  -1.79844   1.13157  0.005871                1
        1892   0.0543281        0.000254076      0.0493599    -1.79844   1.13157  0.005871                1
        1894   0.063877         0.000298733      0.0580356    -1.79844   1.13157  0.005871                1
        1896  -0.152724         0.138758         0.000714245  -1.79844   1.13157  0.005871                1
        1898  -0.104635         0.0950664        0.000489346  -1.79844   1.13157  0.005871                1
        1900  -0.0621654        0.0564805        0.000290729  -1.79844   1.13157  0.005871                1
        1902  -0.0856974        0.0778606        0.000400781  -1.79844   1.13157  0.005871                1
        1904   0.0469178        0.00021942       0.0426273    -1.79844   1.13157  0.005871                1
        1906   0.0639484        0.000299067      0.0581004    -1.79844   1.13157  0.005871                1
        1908  -0.00386906       0.00351524       1.80944e-05  -1.79844   1.13157  0.005871                1
        1910   0.0637308        0.00029805       0.0579028    -1.79844   1.13157  0.005871                1
        1912   0.278546         0.00130268       0.253074     -1.79844   1.13157  0.005871                1
        1914   0.195652         0.000915007      0.17776      -1.79844   1.13157  0.005871                1
        1916   0.100941         0.000472069      0.0917099    -1.79844   1.13157  0.005871                1
        1918   0.0468892        0.000219287      0.0426013    -1.79844   1.13157  0.005871                1
        1920  -0.0803132        0.0729688        0.000375601  -1.79844   1.13157  0.005871                1
        1922   0.0212542        9.93995e-05      0.0193106    -1.79844   1.13157  0.005871                1
        1924   0.0768856        0.000359571      0.0698546    -1.79844   1.13157  0.005871                1
        1926   0.0695103        0.000325079      0.0631537    -1.79844   1.13157  0.005871                1
        1928   0.139003         0.000650074      0.126291     -1.79844   1.13157  0.005871                1
        1930   0.0601701        0.000281397      0.0546677    -1.79844   1.13157  0.005871                1
