# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= -6 and phase <= 0 and NED_host between 10 and 18 and ((dm15_source >= 1.2 and dm15_source < 1.45) or (dm15_from_fits >= 1.2 and dm15_from_fits < 1.45)) and Spectra.SN != '1999ac'
# N = 12
# N_spec = 40
# phase = -2.44
# dm15 = 1.28
# z = 0.016

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  ----------  -------------
        1596  -1.0369           0.00625028       0.0201558    -2.3      1.26     0.00489                 1
        1598   0.501564         0.00974964       0.00302335   -2.3      1.26     0.00489                 1
        1600   0.0508301        0.00098806       0.000306396  -2.3      1.26     0.00489                 1
        1602   0.11712          0.00227663       0.00070598   -2.3      1.26     0.00489                 1
        1604   0.123267         0.00239611       0.000743032  -2.3      1.26     0.00489                 1
        1606   0.0259671        0.000504761      0.000156526  -2.3      1.26     0.00489                 1
        1608   0.195876         0.00380753       0.00118071   -2.3      1.26     0.00489                 1
        1610   0.0824417        0.00160254       0.000496946  -2.3      1.26     0.00489                 1
        1612  -0.0230628        0.000139019      0.000448306  -2.3      1.26     0.00489                 1
        1614   0.0852881        0.00165787       0.000514104  -2.3      1.26     0.00489                 1
        1616   0.115982         0.00225452       0.000699124  -2.3      1.26     0.00489                 1
        1618  -0.0673355        0.000405889      0.0013089    -2.3      1.26     0.00489                 1
        1620  -0.00406974       2.45318e-05      7.91096e-05  -2.3      1.26     0.00489                 1
        1622  -0.0255117        0.000153781      0.000495908  -2.3      1.26     0.00489                 1
        1624   0.263283         0.00511782       0.00158703   -2.3      1.26     0.00489                 1
        1626   0.0335553        0.000652265      0.000202266  -2.3      1.26     0.00489                 1
        1628  -0.0253647        0.000152895      0.000493052  -2.3      1.26     0.00489                 1
        1630   0.0931356        0.00181041       0.000561408  -2.3      1.26     0.00489                 1
        1632  -0.0468674        0.00028251       0.000911031  -2.3      1.26     0.00489                 1
        1634   0.0958515        0.00186321       0.000577779  -2.3      1.26     0.00489                 1
        1636   0.127135         0.00247131       0.00076635   -2.3      1.26     0.00489                 1
        1638   0.110381         0.00214563       0.000665358  -2.3      1.26     0.00489                 1
        1640  -0.00607766       3.66352e-05      0.00011814   -2.3      1.26     0.00489                 1
        1642   0.0716683        0.00139312       0.000432006  -2.3      1.26     0.00489                 1
        1644   0.0655776        0.00127473       0.000395292  -2.3      1.26     0.00489                 1
        1646  -0.021772         0.000131238      0.000423215  -2.3      1.26     0.00489                 1
        1648   0.0310503        0.000603571      0.000187167  -2.3      1.26     0.00489                 1
        1650   0.0136735        0.000265793      8.2422e-05   -2.3      1.26     0.00489                 1
        1652   0.135346         0.00263091       0.000815843  -2.3      1.26     0.00489                 1
        1654   0.111644         0.00217019       0.000672973  -2.3      1.26     0.00489                 1
        1656   0.0245505        0.000477225      0.000147987  -2.3      1.26     0.00489                 1
        1658  -0.0403326        0.000243119      0.000784005  -2.3      1.26     0.00489                 1
        1660   0.108889         0.00211664       0.000656367  -2.3      1.26     0.00489                 1
        1662   0.0713936        0.00138778       0.00043035   -2.3      1.26     0.00489                 1
        1664   0.0115766        0.000225032      6.97823e-05  -2.3      1.26     0.00489                 1
        1666   0.0220719        0.000429045      0.000133046  -2.3      1.26     0.00489                 1
        1668   0.0423817        0.000823835      0.00025547   -2.3      1.26     0.00489                 1
        1670   0.0151251        0.000294009      9.11719e-05  -2.3      1.26     0.00489                 1
        1672  -0.00618192       3.72637e-05      0.000120167  -2.3      1.26     0.00489                 1
        1674   0.0261366        0.000508056      0.000157548  -2.3      1.26     0.00489                 1
        1676   0.0135193        0.000262795      8.14924e-05  -2.3      1.26     0.00489                 1
        1678   0.0173999        0.000338227      0.000104884  -2.3      1.26     0.00489                 1
        1680   0.0814267        0.00158281       0.000490828  -2.3      1.26     0.00489                 1
        1682   0.117813         0.0022901        0.000710156  -2.3      1.26     0.00489                 1
        1684   0.0547264        0.0010638        0.000329882  -2.3      1.26     0.00489                 1
        1686   0.00358793       6.9744e-05       2.16275e-05  -2.3      1.26     0.00489                 1
        1688   0.0080678        0.000156826      4.86315e-05  -2.3      1.26     0.00489                 1
        1690   0.0162023        0.000314949      9.76653e-05  -2.3      1.26     0.00489                 1
        1692  -0.021284         0.000128297      0.000413728  -2.3      1.26     0.00489                 1
        1694   0.00715323       0.000139048      4.31186e-05  -2.3      1.26     0.00489                 1
        1696   0.0660419        0.00128375       0.000398091  -2.3      1.26     0.00489                 1
        1698   0.0856008        0.00166395       0.000515989  -2.3      1.26     0.00489                 1
        1700   0.0362085        0.000703838      0.000218259  -2.3      1.26     0.00489                 1
        1702  -0.00948271       5.71604e-05      0.00018433   -2.3      1.26     0.00489                 1
        1704   0.00137852       2.67963e-05      8.3095e-06   -2.3      1.26     0.00489                 1
        1706   0.0143447        0.000278839      8.64678e-05  -2.3      1.26     0.00489                 1
        1708   0.0310568        0.000603697      0.000187206  -2.3      1.26     0.00489                 1
        1710  -0.00179675       1.08306e-05      3.49262e-05  -2.3      1.26     0.00489                 1
        1712  -0.0198291        0.000119527      0.000385448  -2.3      1.26     0.00489                 1
        1714  -0.0220284        0.000132784      0.000428198  -2.3      1.26     0.00489                 1
        1716   0.0104425        0.000202986      6.29458e-05  -2.3      1.26     0.00489                 1
        1718   0.01795          0.00034892       0.0001082    -2.3      1.26     0.00489                 1
        1720   0.0389489        0.000757108      0.000234778  -2.3      1.26     0.00489                 1
        1722   0.0106742        0.000207491      6.43427e-05  -2.3      1.26     0.00489                 1
        1724   0.0847642        0.00164769       0.000510946  -2.3      1.26     0.00489                 1
        1726   0.0511067        0.000993437      0.000308064  -2.3      1.26     0.00489                 1
        1728  -0.00426126       2.56862e-05      8.28324e-05  -2.3      1.26     0.00489                 1
        1730  -0.01201          7.23946e-05      0.000233456  -2.3      1.26     0.00489                 1
        1732  -0.0249213        0.000150222      0.000484433  -2.3      1.26     0.00489                 1
        1734  -0.0192441        0.000116001      0.000374076  -2.3      1.26     0.00489                 1
        1736  -0.0257252        0.000155068      0.000500059  -2.3      1.26     0.00489                 1
        1738   0.0312476        0.000607406      0.000188356  -2.3      1.26     0.00489                 1
        1740   0.0354247        0.000688602      0.000213535  -2.3      1.26     0.00489                 1
        1742   0.00734726       0.00014282       4.42882e-05  -2.3      1.26     0.00489                 1
        1744   0.0309517        0.000601655      0.000186572  -2.3      1.26     0.00489                 1
        1746   0.0184587        0.000358809      0.000111266  -2.3      1.26     0.00489                 1
        1748  -0.00771417       4.64999e-05      0.000149952  -2.3      1.26     0.00489                 1
        1750  -0.000625299      3.76921e-06      1.21549e-05  -2.3      1.26     0.00489                 1
        1752   0.0375705        0.000730314      0.000226469  -2.3      1.26     0.00489                 1
        1754   0.0340497        0.000661874      0.000205246  -2.3      1.26     0.00489                 1
        1756   0.00937611       0.000182257      5.65178e-05  -2.3      1.26     0.00489                 1
        1758   0.0493353        0.000959004      0.000297386  -2.3      1.26     0.00489                 1
        1760   0.0176909        0.000343884      0.000106638  -2.3      1.26     0.00489                 1
        1762   0.0179227        0.00034839       0.000108035  -2.3      1.26     0.00489                 1
        1764   0.0754606        0.00146684       0.000454866  -2.3      1.26     0.00489                 1
        1766   0.0927345        0.00180262       0.00055899   -2.3      1.26     0.00489                 1
        1768  -0.0236883        0.00014279       0.000460465  -2.3      1.26     0.00489                 1
        1770  -0.0227553        0.000137166      0.000442329  -2.3      1.26     0.00489                 1
        1772   0.0130115        0.000252924      7.84316e-05  -2.3      1.26     0.00489                 1
        1774   0.0343133        0.000666999      0.000206836  -2.3      1.26     0.00489                 1
        1776   0.0203912        0.000396373      0.000122915  -2.3      1.26     0.00489                 1
        1778  -0.000672178      4.05179e-06      1.30661e-05  -2.3      1.26     0.00489                 1
        1780   0.0375992        0.000730871      0.000226642  -2.3      1.26     0.00489                 1
        1782   0.0718663        0.00139697       0.000433199  -2.3      1.26     0.00489                 1
        1784   0.0294804        0.000573055      0.000177704  -2.3      1.26     0.00489                 1
        1786   0.021354         0.00041509       0.000128719  -2.3      1.26     0.00489                 1
        1788   0.0525057        0.00102063       0.000316497  -2.3      1.26     0.00489                 1
        1790   0.0834118        0.0016214        0.000502794  -2.3      1.26     0.00489                 1
        1792   0.0430837        0.000837481      0.000259702  -2.3      1.26     0.00489                 1
        1794   0.0469738        0.000913099      0.000283151  -2.3      1.26     0.00489                 1
        1796   0.05263          0.00102305       0.000317246  -2.3      1.26     0.00489                 1
        1798   0.0357946        0.000695792      0.000215764  -2.3      1.26     0.00489                 1
        1800   0.0228372        0.00044392       0.000137659  -2.3      1.26     0.00489                 1
        1802   0.0309722        0.000602053      0.000186696  -2.3      1.26     0.00489                 1
        1804   0.0479677        0.000932419      0.000289142  -2.3      1.26     0.00489                 1
        1806   0.050227         0.000976337      0.000302761  -2.3      1.26     0.00489                 1
        1808   0.0501289        0.000974429      0.000302169  -2.3      1.26     0.00489                 1
        1810   0.05013          0.000974451      0.000302176  -2.3      1.26     0.00489                 1
        1812   0.0501349        0.000974546      0.000302205  -2.3      1.26     0.00489                 1
        1814   0.050136         0.000974569      0.000302213  -2.3      1.26     0.00489                 1
        1816   0.0501376        0.0009746        0.000302222  -2.3      1.26     0.00489                 1
        1818   0.0501402        0.00097465       0.000302238  -2.3      1.26     0.00489                 1
        1820   0.0501452        0.000974747      0.000302268  -2.3      1.26     0.00489                 1
        1822   0.0497936        0.000967911      0.000300148  -2.3      1.26     0.00489                 1
        1824   0.0361746        0.000703178      0.000218055  -2.3      1.26     0.00489                 1
        1826   0.013817         0.000268581      8.32866e-05  -2.3      1.26     0.00489                 1
        1828   0.0414777        0.000806264      0.000250022  -2.3      1.26     0.00489                 1
        1830   0.0823931        0.0016016        0.000496653  -2.3      1.26     0.00489                 1
        1832   0.102886         0.00199994       0.000620181  -2.3      1.26     0.00489                 1
        1834   0.0626279        0.00121739       0.000377512  -2.3      1.26     0.00489                 1
        1836   0.0569959        0.00110791       0.000343562  -2.3      1.26     0.00489                 1
        1838   0.0755308        0.0014682        0.000455288  -2.3      1.26     0.00489                 1
        1840   0.0941106        0.00182937       0.000567284  -2.3      1.26     0.00489                 1
        1842   0.0548892        0.00106696       0.000330864  -2.3      1.26     0.00489                 1
        1844   0.0635018        0.00123438       0.00038278   -2.3      1.26     0.00489                 1
        1846   0.0338748        0.000658474      0.000204192  -2.3      1.26     0.00489                 1
        1848   0.106581         0.00207177       0.000642452  -2.3      1.26     0.00489                 1
        1850   0.094229         0.00183167       0.000567998  -2.3      1.26     0.00489                 1
        1852   0.0591175        0.00114915       0.000356351  -2.3      1.26     0.00489                 1
