# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= -6 and phase <= 0 and NED_host between 1 and 9 and ((dm15_source >= 1.15 and dm15_source < 1.5) or (dm15_from_fits >= 1.15 and dm15_from_fits < 1.5))
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  ----------  -------------
        1858  10.4514           1.73131         -0.0222628    -4.42226  1.47     0.006261                1
        1860   6.48861          1.07486         -0.0138215    -4.42226  1.47     0.006261                1
        1862   8.70045          1.44126         -0.018533     -4.42226  1.47     0.006261                1
        1864   6.61384          1.0956          -0.0140883    -4.42226  1.47     0.006261                1
        1866  -6.66184         -0.0141905        1.10356      -4.42226  1.47     0.006261                1
        1868  -5.90187         -0.0125717        0.977663     -4.42226  1.47     0.006261                1
        1870  -0.20273         -0.000431839      0.0335829    -4.42226  1.47     0.006261                1
        1872  -0.604606        -0.00128788       0.100155     -4.42226  1.47     0.006261                1
        1874  -3.79721         -0.00808851       0.62902      -4.42226  1.47     0.006261                1
        1876   2.55465          0.423186        -0.00544171   -4.42226  1.47     0.006261                1
        1878   8.39181          1.39013         -0.0178756    -4.42226  1.47     0.006261                1
        1880   6.99601          1.15891         -0.0149023    -4.42226  1.47     0.006261                1
        1882   1.07445          0.177985        -0.0022887    -4.42226  1.47     0.006261                1
        1884  -1.54644         -0.00329409       0.256172     -4.42226  1.47     0.006261                1
        1886  -3.58166         -0.00762936       0.593313     -4.42226  1.47     0.006261                1
        1888  -4.78997         -0.0102032        0.793474     -4.42226  1.47     0.006261                1
        1890  -0.805384        -0.00171556       0.133414     -4.42226  1.47     0.006261                1
        1892   5.72727          0.94874         -0.0121998    -4.42226  1.47     0.006261                1
        1894   0.801257         0.132731        -0.00170677   -4.42226  1.47     0.006261                1
        1896   0.652368         0.108067        -0.00138962   -4.42226  1.47     0.006261                1
        1898   9.86957          1.63493         -0.0210234    -4.42226  1.47     0.006261                1
        1900   4.04223          0.669608        -0.00861043   -4.42226  1.47     0.006261                1
        1902   0.953464         0.157944        -0.00203099   -4.42226  1.47     0.006261                1
        1904   0.686821         0.113774        -0.00146301   -4.42226  1.47     0.006261                1
        1906  -0.556368        -0.00118513       0.0921642    -4.42226  1.47     0.006261                1
        1908   1.2748           0.211174        -0.00271547   -4.42226  1.47     0.006261                1
        1910  -3.28277         -0.0069927        0.543802     -4.42226  1.47     0.006261                1
        1912  -2.26087         -0.00481592       0.37452      -4.42226  1.47     0.006261                1
        1914   1.30419          0.216044        -0.00277808   -2.89803  1.47     0.006261                1
        1916   1.1024           0.182616        -0.00234824   -2.90437  1.47     0.006261                1
        1918  -0.439528        -0.000936247      0.0728092    -2.90936  1.47     0.006261                1
        1920  -1.63535         -0.00348349       0.270901     -2.91291  1.47     0.006261                1
        1922  -1.8575          -0.00395669       0.307701     -2.91497  1.47     0.006261                1
        1924   0.199171         0.0329934       -0.000424259  -2.91552  1.47     0.006261                1
        1926   2.76804          0.458535        -0.00589626   -2.91456  1.47     0.006261                1
        1928   6.85255          1.13515         -0.0145967    -2.91213  1.47     0.006261                1
        1930   7.83502          1.2979          -0.0166895    -2.90831  1.47     0.006261                1
        1932   0.783806         0.12984         -0.0016696    -2.90319  1.47     0.006261                1
        1934  -1.60947         -0.00342837       0.266614     -2.89691  1.47     0.006261                1
        1936  -1.74894         -0.00372546       0.289718     -2.88965  1.47     0.006261                1
        1938  -2.66231         -0.00567103       0.441019     -2.8816   1.47     0.006261                1
        1940  -2.19529         -0.00467622       0.363656     -2.87298  1.47     0.006261                1
        1942  -0.568671        -0.00121134       0.0942021    -2.86404  1.47     0.006261                1
        1944  -0.803137        -0.00171078       0.133042     -2.85502  1.47     0.006261                1
        1946   0.198778         0.0329282       -0.000423421  -2.84619  1.47     0.006261                1
        1948   3.72211          0.616579        -0.00792853   -2.83781  1.47     0.006261                1
        1950   0.384016         0.0636134       -0.000817999  -2.83015  1.47     0.006261                1
        1952  -0.925985        -0.00197246       0.153392     -2.82344  1.47     0.006261                1
        1954  -1.71587         -0.00365501       0.28424      -2.8179   1.47     0.006261                1
        1956  -5.64088         -0.0120157        0.934429     -2.81375  1.47     0.006261                1
        1958  -1.43318         -0.00305285       0.237411     -2.81115  1.47     0.006261                1
        1960   2.37938          0.394153        -0.00506837   -2.81024  1.47     0.006261                1
        1962   3.03913          0.503442        -0.00647371   -2.81112  1.47     0.006261                1
        1964   2.73039          0.452298        -0.00581606   -2.81384  1.47     0.006261                1
        1966   0.142933         0.0236773       -0.000304464  -2.81842  1.47     0.006261                1
        1968  -0.155388        -0.000330995      0.0257405    -2.82484  1.47     0.006261                1
        1970   1.221            0.202263        -0.00260088   -2.83304  1.47     0.006261                1
        1972   1.36099          0.225453        -0.00289907   -2.84289  1.47     0.006261                1
        1974   0.750378         0.124303        -0.00159839   -2.85427  1.47     0.006261                1
        1976   0.338572         0.0560855       -0.000721199  -2.86699  1.47     0.006261                1
        1978   0.464168         0.0768909       -0.000988733  -2.88084  1.47     0.006261                1
        1980   0.23309          0.038612        -0.000496508  -2.89559  1.47     0.006261                1
        1982  -1.12066         -0.00238713       0.18564      -2.91098  1.47     0.006261                1
        1984  -0.062137        -0.000132359      0.0102932    -2.92676  1.47     0.006261                1
        1986   1.49629          0.247865        -0.00318728   -2.94265  1.47     0.006261                1
        1988   1.74347          0.288811        -0.00371379   -2.95839  1.47     0.006261                1
        1990   2.66082          0.440774        -0.00566787   -2.97371  1.47     0.006261                1
        1992   4.24976          0.703986        -0.00905249   -2.98837  1.47     0.006261                1
        1994   2.94527          0.487893        -0.00627377   -3.00215  1.47     0.006261                1
        1996   0.391077         0.0647831       -0.00083304   -3.01483  1.47     0.006261                1
        1998   2.48875          0.41227         -0.00530134   -3.02627  1.47     0.006261                1
        2000   2.47716          0.410349        -0.00527664   -3.03632  1.47     0.006261                1
        2002   1.25298          0.20756         -0.002669     -3.04488  1.47     0.006261                1
        2004   0.900225         0.149125        -0.00191759   -3.05191  1.47     0.006261                1
        2006   0.299927         0.0496839       -0.00063888   -3.05738  1.47     0.006261                1
        2008   0.129836         0.0215078       -0.000276567  -3.06132  1.47     0.006261                1
        2010   0.916438         0.151811        -0.00195212   -3.0638   1.47     0.006261                1
        2012   2.3907           0.396028        -0.00509248   -3.06492  1.47     0.006261                1
        2014   3.08012          0.510232        -0.00656102   -3.06483  1.47     0.006261                1
        2016   1.48429          0.245877        -0.00316171   -3.0637   1.47     0.006261                1
        2018   0.31075          0.0514768       -0.000661935  -3.06174  1.47     0.006261                1
        2020   0.525813         0.0871027       -0.00112004   -3.05919  1.47     0.006261                1
        2022   1.39609          0.231266        -0.00297383   -3.05628  1.47     0.006261                1
        2024   2.75893          0.457026        -0.00587685   -3.05328  1.47     0.006261                1
        2026   1.47547          0.244416        -0.00314292   -3.05047  1.47     0.006261                1
        2028  -0.930723        -0.00198255       0.154177     -3.04812  1.47     0.006261                1
        2030  -0.935173        -0.00199203       0.154914     -3.04649  1.47     0.006261                1
        2032  -1.48746         -0.00316848       0.246403     -3.04584  1.47     0.006261                1
        2034  -1.91888         -0.00408744       0.317869     -3.0464   1.47     0.006261                1
        2036  -0.621186        -0.0013232        0.102901     -3.04838  1.47     0.006261                1
        2038   1.88815          0.312778        -0.00402199   -3.05196  1.47     0.006261                1
        2040   2.21421          0.366791        -0.00471653   -3.05728  1.47     0.006261                1
        2042   0.891996         0.147762        -0.00190006   -3.06446  1.47     0.006261                1
        2044  -0.256725        -0.000546854      0.0425273    -3.07357  1.47     0.006261                1
        2046   0.0145966        0.00241798      -3.10925e-05  -3.08462  1.47     0.006261                1
        2048   1.04575          0.173231        -0.00222757   -3.09762  1.47     0.006261                1
        2050   0.796684         0.131973        -0.00169703   -3.11252  1.47     0.006261                1
        2052   0.161138         0.0266931       -0.000343243  -3.12923  1.47     0.006261                1
        2054   0.625345         0.10359         -0.00133206   -3.14764  1.47     0.006261                1
        2056   1.27011          0.210398        -0.00270548   -3.1676   1.47     0.006261                1
        2058   1.54165          0.255379        -0.00328389   -3.18896  1.47     0.006261                1
        2060   1.20683          0.199915        -0.00257069   -3.21152  1.47     0.006261                1
        2062   0.475552         0.0787767       -0.00101298   -3.2351   1.47     0.006261                1
        2064   0.168627         0.0279336       -0.000359195  -3.25951  1.47     0.006261                1
        2066  -0.122789        -0.000261555      0.0203404    -3.28453  1.47     0.006261                1
        2068   0.917815         0.152039        -0.00195506   -3.30998  1.47     0.006261                1
        2070   2.29157          0.379605        -0.00488131   -3.33567  1.47     0.006261                1
        2072   0.149796         0.0248142       -0.000319084  -3.36143  1.47     0.006261                1
        2074  -0.98212         -0.00209203       0.162691     -3.3871   1.47     0.006261                1
        2076  -0.417442        -0.000889201      0.0691506    -3.41253  1.47     0.006261                1
        2078   0.259144         0.042928        -0.000552007  -3.43759  1.47     0.006261                1
        2080   0.417534         0.0691658       -0.000889397  -3.46218  1.47     0.006261                1
        2082   1.18509          0.196313        -0.00252437   -3.4862   1.47     0.006261                1
        2084   2.33196          0.386296        -0.00496735   -3.50955  1.47     0.006261                1
        2086   1.7355           0.287492        -0.00369683   -3.53218  1.47     0.006261                1
        2088  -1.11959         -0.00238485       0.185463     -3.55403  1.47     0.006261                1
        2090  -0.517775        -0.00110292       0.0857711    -3.57504  1.47     0.006261                1
        2092   0.838713         0.138935        -0.00178656   -3.59518  1.47     0.006261                1
        2094   0.557531         0.0923568       -0.00118761   -3.61441  1.47     0.006261                1
        2096   0.112115         0.0185722       -0.000238818  -3.63271  1.47     0.006261                1
        2098   0.570049         0.0944305       -0.00121427   -3.65005  1.47     0.006261                1
        2100   1.20392          0.199434        -0.0025645    -3.66641  1.47     0.006261                1
