# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= 0 and phase <= 6 and NED_host between 10 and 18 and ((dm15_source >= 1.2 and dm15_source < 1.45) or (dm15_from_fits >= 1.2 and dm15_from_fits < 1.45)) and Spectra.SN != '1999ac'
  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        3046   2.73882        0.0203404        0.0297018   4.7075   1.22     0.0144                  1
        3048   2.23791        0.0166204        0.0242696   4.7075   1.22     0.0144                  1
        3050   1.93224        0.0143502        0.0209546   4.7075   1.22     0.0144                  1
        3052   2.29514        0.0170454        0.0248902   4.7075   1.22     0.0144                  1
        3054   1.94984        0.0144809        0.0211455   4.7075   1.22     0.0144                  1
        3056   1.73413        0.0128789        0.0188062   4.7075   1.22     0.0144                  1
        3058   2.02593        0.015046         0.0219707   4.7075   1.22     0.0144                  1
        3060   1.73035        0.0128508        0.0187652   4.7075   1.22     0.0144                  1
        3062   1.94816        0.0144685        0.0211274   4.7075   1.22     0.0144                  1
        3064   2.08367        0.0154748        0.0225969   4.7075   1.22     0.0144                  1
        3066   2.16377        0.0160698        0.0234656   4.7075   1.22     0.0144                  1
        3068   1.86535        0.0138535        0.0202293   4.7075   1.22     0.0144                  1
        3070   2.33077        0.01731          0.0252766   4.7075   1.22     0.0144                  1
        3072   2.20908        0.0164062        0.0239569   4.7075   1.22     0.0144                  1
        3074   1.43065        0.010625         0.015515    4.7075   1.22     0.0144                  1
        3076   1.81575        0.0134851        0.0196914   4.7075   1.22     0.0144                  1
        3078   2.0715         0.0153844        0.0224649   4.7075   1.22     0.0144                  1
        3080   2.03399        0.0151059        0.0220582   4.7075   1.22     0.0144                  1
        3082   1.86671        0.0138636        0.0202441   4.7075   1.22     0.0144                  1
        3084   1.84478        0.0137007        0.0200062   4.7075   1.22     0.0144                  1
        3086   1.99352        0.0148053        0.0216192   4.7075   1.22     0.0144                  1
        3088   1.89638        0.0140839        0.0205658   4.7075   1.22     0.0144                  1
        3090   1.81068        0.0134474        0.0196364   4.7075   1.22     0.0144                  1
        3092   1.65283        0.0122751        0.0179245   4.7075   1.22     0.0144                  1
        3094   1.4016         0.0104093        0.0152      4.7075   1.22     0.0144                  1
        3096   1.3651         0.0101382        0.0148041   4.7075   1.22     0.0144                  1
        3098   1.38108        0.0102569        0.0149775   4.7075   1.22     0.0144                  1
        3100   1.87702        0.0139401        0.0203559   4.7075   1.22     0.0144                  1
        3102   1.93965        0.0144052        0.021035    4.7075   1.22     0.0144                  1
