# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= 5 and phase <= 10 and NED_host between 1 and 9 and ((dm15_source >= 1.1 and dm15_source < 1.45) or (dm15_from_fits >= 1.1 and dm15_from_fits < 1.45))
  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        3032   1.56301        0.0110635        0.0142439   5.93382  1.29     0.021905                1
        3034   1.61421        0.0114259        0.0147104   5.93382  1.29     0.021905                1
        3036   2.13276        0.0150964        0.0194361   5.93382  1.29     0.021905                1
        3038   2.96142        0.0209618        0.0269877   5.93382  1.29     0.021905                1
        3040   1.91504        0.0186393        0.223006    5.80495  1.26043  0.00715813              2
        3042   1.90875        0.236097         0.0066798   5.80512  1.26047  0.0071775               2
        3044   1.92781        0.0250933        0.837384    5.8053   1.26051  0.00719853              2
        3046   1.92482        0.0214362        0.565304    5.8055   1.26055  0.00722153              2
        3048   1.92087        0.0179688        0.287015    5.80572  1.2606   0.00724591              2
        3050   1.92769        0.0225894        0.529212    5.80597  1.26066  0.00727504              2
        3052   1.92486        0.0200616        0.348222    5.80613  1.2607   0.00729344              2
        3054   1.91899        0.0200198        0.0656541   5.80624  1.26072  0.00730564              2
        3056   1.92005        0.0197157        0.0708447   5.80648  1.26078  0.00733368              2
        3058   1.91652        0.0734982        0.00582368  5.80678  1.26085  0.00736739              2
        3060   1.91552        0.119821         0.00696644  5.8072   1.26094  0.0074153               2
        3062   1.9173         0.0798466        0.00631698  5.80758  1.26103  0.0074594               2
        3064   1.92584        0.0178313        0.116924    5.80794  1.26111  0.00750032              2
        3066   1.93682        0.0252748        0.358231    5.80824  1.26118  0.00753421              2
        3068   1.95412        0.0419346        0.7058      5.80866  1.26128  0.00758233              2
        3070   1.95121        0.0382403        0.563417    5.80922  1.26141  0.00764656              2
        3072   1.92628        0.0200958        0.0283475   5.80965  1.26151  0.00769629              2
        3074   1.96802        0.0528864        0.751259    5.81008  1.2616   0.0077448               2
        3076   2.00212        0.0891063        1.28126     5.81066  1.26174  0.00781166              2
        3078   1.98516        0.0694064        0.872997    5.81137  1.2619   0.00789283              2
        3080   1.96592        0.0384517        0.380784    5.81203  1.26205  0.00796892              2
        3082   1.96922        0.0559139        0.572483    5.81273  1.26221  0.00804864              2
        3084   1.90692        0.0734503        0.733945    5.81352  1.26239  0.00813893              2
        3086   1.82933        0.0841157        0.79967     5.81428  1.26257  0.00822566              2
        3088   1.76382        0.0683464        0.583681    5.81515  1.26277  0.00832594              2
        3090   1.73722        0.0793366        0.644271    5.816    1.26296  0.0084228               2
        3092   1.69823        0.080859         0.607406    5.81701  1.2632   0.00853839              2
        3094   1.70498        0.115783         0.83041     5.81809  1.26344  0.00866149              2
        3096   1.67936        0.0998241        0.671501    5.8188   1.2636   0.00874258              2
        3098   1.71746        0.141966         0.927748    5.81959  1.26379  0.00883342              2
        3100   1.68975        0.131245         0.79108     5.82073  1.26405  0.00896395              2
        3102   1.64113        0.125306         0.710056    5.82168  1.26427  0.00907262              2
        3104   1.62818        0.14413          0.77194     5.82277  1.26452  0.00919739              2
        3106   1.68768        0.181968         0.929355    5.82377  1.26475  0.00931232              2
        3108   1.68188        0.144419         0.68181     5.82495  1.26502  0.00944711              2
        3110   1.68478        0.142316         0.629912    5.82614  1.26529  0.00958306              2
        3112   1.76043        0.212231         0.903207    5.82727  1.26555  0.00971264              2
        3114   1.77992        0.201939         0.79645     5.82876  1.26589  0.00988287              2
        3116   1.80867        0.189626         0.706626    5.82988  1.26615  0.0100107               2
        3118   1.85572        0.199021         0.703987    5.83104  1.26641  0.0101434               2
        3120   1.83546        0.157433         0.524046    5.83213  1.26666  0.0102685               2
        3122   1.94955        0.266094         0.876768    5.83287  1.26684  0.0103536               2
        3124   1.89729        0.224748         0.69432     5.83426  1.26715  0.0105119               2
        3126   1.90156        0.262617         0.77016     5.83567  1.26748  0.0106731               2
        3128   1.87708        0.294134         0.841416    5.83639  1.26764  0.0107556               2
        3130   1.80715        0.239303         0.652688    5.83745  1.26788  0.0108767               2
        3132   1.91755        0.278312         0.732062    5.83846  1.26812  0.010993                2
        3134   2.02375        0.323075         0.828058    5.83922  1.26829  0.0110796               2
        3136   2.09194        0.403307         1.0151      5.83983  1.26843  0.01115                 2
        3138   2.07466        0.420155         1.03111     5.84054  1.26859  0.0112309               2
        3140   2.0155         0.362057         0.867376    5.84111  1.26873  0.0112962               2
        3142   2.12269        0.406322         0.970595    5.84123  1.26875  0.0113102               2
        3144   2.15537        0.370553         0.859555    5.84196  1.26892  0.0113933               2
        3146   2.10731        0.348125         0.77699     5.843    1.26916  0.0115121               2
        3148   2.14405        0.430791         0.956562    5.84328  1.26922  0.0115444               2
        3150   2.13532        0.379333         0.827415    5.8437   1.26932  0.0115921               2
        3152   2.12801        0.344297         0.730503    5.84441  1.26948  0.0116736               2
        3154   2.03625        0.330048         0.6937      5.84468  1.26954  0.0117045               2
        3156   2.08251        0.397977         0.826154    5.84516  1.26965  0.0117592               2
        3158   2.24555        0.438555         0.894829    5.84567  1.26977  0.0118177               2
        3160   2.24596        0.35044          0.706281    5.84586  1.26981  0.0118393               2
        3162   2.2446         0.376144         0.760789    5.84581  1.2698   0.0118341               2
        3164   2.19116        0.376111         0.752308    5.84615  1.26988  0.0118732               2
        3166   2.16644        0.368701         0.733736    5.8463   1.26992  0.0118894               2
        3168   2.1979         0.365507         0.735496    5.84595  1.26984  0.0118504               2
        3170   2.15535        0.27775          0.552455    5.84606  1.26986  0.0118628               2
        3172   2.14886        0.266647         0.52569     5.84628  1.26991  0.0118879               2
        3174   2.16895        0.312247         0.624334    5.86815  1.26933  0.0118304               3
        3176   2.12372        0.29813          0.61384     5.86803  1.26925  0.0117905               3
        3178   2.13717        0.322638         0.681959    5.86792  1.26917  0.0117549               3
        3180   2.08638        0.240977         0.523585    5.86764  1.26905  0.011696                3
        3182   2.16579        0.318052         0.700408    5.86763  1.26902  0.011681                3
        3184   2.18011        0.346197         0.750771    5.86738  1.26891  0.0116313               3
        3186   2.09481        0.263123         0.559318    5.86697  1.26876  0.0115593               3
        3188   2.12988        0.268239         0.612737    5.86663  1.26864  0.0114993               3
        3190   2.02112        0.150251         0.358796    5.86618  1.26849  0.0114252               3
        3192   2.08388        0.237781         0.566617    5.86607  1.26845  0.0114049               3
        3194   2.09867        0.317806         0.761299    5.86572  1.26833  0.0113486               3
        3196   1.95614        0.240763         0.587102    5.86533  1.2682   0.0112873               3
        3198   1.91084        0.228897         0.565937    5.86507  1.26812  0.0112469               3
        3200   1.95716        0.300953         0.726755    5.86452  1.26795  0.0111615               3
        3202   1.87818        0.207605         0.505683    5.8642   1.26785  0.0111141               3
        3204   1.95071        0.265875         0.663544    5.86372  1.2677   0.0110404               3
        3206   1.98992        0.302848         0.796948    5.86314  1.26752  0.0109524               3
        3208   1.9145         0.247295         0.683714    5.86272  1.26739  0.010889                3
        3210   1.8699         0.237914         0.677395    5.86246  1.26731  0.010851                3
        3212   1.86914        0.266381         0.773851    5.86173  1.26708  0.0107386               3
        3214   1.89872        0.297699         0.890052    5.86124  1.26692  0.0106619               3
        3216   1.92203        0.312974         0.956913    5.86097  1.26683  0.0106196               3
        3218   1.92643        0.343051         1.06273     5.86042  1.26665  0.0105318               3
        3220   1.82142        0.299593         0.934236    5.85981  1.26645  0.0104339               3
        3222   1.88277        0.264981         0.931548    5.90856  1.25964  0.0101946               4
        3224   1.87798        0.240531         0.85728     5.90812  1.25955  0.0101427               4
        3226   1.86174        0.250524         0.891348    5.90773  1.25949  0.0101                  4
        3228   1.72201        0.198807         0.711005    5.90733  1.25939  0.0100456               4
        3230   1.74772        0.265031         0.932985    5.90695  1.25928  0.00998941              4
        3232   1.75335        0.247322         0.857444    5.90665  1.25922  0.00995019              4
        3234   1.754          0.208534         0.767386    5.90631  1.25909  0.00988611              4
        3236   1.77193        0.206654         0.782846    5.90603  1.25898  0.00983079              4
        3238   1.76945        0.190881         0.735189    5.90584  1.25893  0.00979808              4
        3240   1.76556        0.169399         0.657631    5.90564  1.25883  0.00974774              4
        3242   1.79526        0.177049         0.671151    5.90549  1.25873  0.00970014              4
        3244   1.85723        0.220088         0.840272    5.90535  1.25861  0.00964263              4
        3246   1.82696        0.198819         0.774776    5.90529  1.25853  0.00960357              4
        3248   1.74147        0.125072         0.495745    5.90528  1.25845  0.00956734              4
        3250   1.74119        0.127887         0.52549     5.90529  1.25836  0.00952496              4
        3252   1.77027        0.155801         0.645315    5.90538  1.25831  0.00949985              4
        3254   1.73806        0.120699         0.493092    5.90551  1.25826  0.00947721              4
        3256   1.80589        0.134789         0.531353    5.98484  1.25891  0.010369                5
        3258   1.84841        0.17731          0.662473    5.98464  1.25883  0.0103335               5
        3260   1.87843        0.167667         0.654356    5.99202  1.26039  0.0103934               6
        3262   1.82232        0.136724         0.54816     5.99174  1.26031  0.0103601               6
        3264   1.79658        0.137156         0.493134    5.99131  1.26022  0.0103237               6
        3266   1.75339        0.0822903        0.322946    5.99106  1.26015  0.0102963               6
        3268   1.86523        0.155491         0.576217    5.99084  1.26007  0.0102663               6
        3270   1.90904        0.169066         0.623485    5.99083  1.25998  0.0102322               6
        3272   1.93575        0.15725          0.65024     5.99084  1.25993  0.0102158               6
        3274   1.96711        0.155791         0.644875    6.13604  1.26043  0.0104568               7
        3276   1.91222        0.136074         0.52768     6.13537  1.26036  0.0104294               7
        3278   1.89062        0.135504         0.563672    6.13456  1.26031  0.0104162               7
        3280   1.88788        0.140154         0.559116    6.1334   1.26026  0.0103947               7
        3282   1.96613        0.176908         0.693519    6.1323   1.26019  0.0103725               7
        3284   1.96014        0.153743         0.603914    6.13161  1.26012  0.0103482               7
        3286   1.96593        0.173917         0.580603    6.13054  1.2601   0.0103373               7
        3288   1.96777        0.158103         0.614861    6.12978  1.26004  0.0103153               7
        3290   1.97306        0.170812         0.684724    6.12931  1.26     0.0103006               7
        3292   1.94216        0.158044         0.610343    6.12857  1.25994  0.0102775               7
        3294   1.98039        0.152976         0.591695    6.12861  1.25985  0.0102395               7
        3296   2.01286        0.145199         0.572969    6.12871  1.25976  0.0101991               7
        3298   2.02856        0.157317         0.672297    6.1277   1.2597   0.0101684               7
        3300   2.06342        0.168834         0.691806    6.12662  1.25971  0.0101605               7
        3302   2.11378        0.210642         0.745577    6.12596  1.25968  0.0101439               7
        3304   2.06848        0.187534         0.723736    6.12572  1.25968  0.0101438               7
        3306   1.95723        0.132629         0.536064    6.12521  1.25967  0.0101384               7
        3308   2.00965        0.147541         0.582613    6.12543  1.25967  0.0101321               7
        3310   2.07686        0.160396         0.626638    6.12555  1.25967  0.010126                7
        3312   2.14193        0.185367         0.767024    6.14225  1.2583   0.0101048               7
        3314   2.12535        0.170671         0.670504    6.14178  1.25834  0.0100998               7
        3316   2.13401        0.177172         0.638245    6.20388  1.25422  0.00999078              7
        3318   2.17852        0.164428         0.662186    6.20274  1.25425  0.0099882               7
        3320   2.20857        0.162718         0.618492    6.20179  1.25426  0.0099808               7
        3322   2.23388        0.169194         0.688613    6.20264  1.25426  0.00996916              7
        3324   2.21917        0.16628          0.684621    6.20347  1.25428  0.00996763              7
        3326   2.21548        0.167103         0.689057    6.20408  1.25428  0.00995498              7
        3328   2.20714        0.171065         0.680701    6.20487  1.25429  0.0099508               7
        3330   2.18056        0.157118         0.599579    6.20539  1.25431  0.00994931              7
        3332   2.19852        0.173489         0.579204    6.20611  1.25431  0.00994162              7
        3334   2.2019         0.18057          0.654244    6.20714  1.25432  0.00994428              7
        3336   2.24058        0.205684         0.762753    6.20833  1.25432  0.00994299              7
        3338   2.26214        0.210051         0.729315    6.20947  1.25431  0.00993692              7
        3340   2.24409        0.183245         0.696691    6.21105  1.25428  0.00993166              7
        3342   2.26884        0.208926         0.748962    6.21305  1.25426  0.00992594              7
        3344   2.20756        0.177856         0.723566    6.21422  1.25424  0.0099218               7
        3346   2.17736        0.170954         0.648158    6.21574  1.25422  0.00992328              7
