# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= 0 and phase <= 6 and NED_host between 1 and 9 and ((dm15_source >= 1.1 and dm15_source < 1.5) or (dm15_from_fits >= 1.1 and dm15_from_fits < 1.5))
  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  --------  -------  ----------  -------------
        1606   0.223391        0.00942183       9.8585e-05   3.75802   1.47     0.006261                1
        1608   0.0861586       0.00363386       3.80228e-05  3.75802   1.47     0.006261                1
        1610   0.0238071       0.0010041        1.05064e-05  3.75802   1.47     0.006261                1
        1612   0.358091        0.015103         0.00015803   3.75802   1.47     0.006261                1
        1614   0.143643        0.00605836       6.33914e-05  3.75802   1.47     0.006261                1
        1616   0.181058        0.00763638       7.99029e-05  3.75802   1.47     0.006261                1
        1618   0.152147        0.00641702       6.71442e-05  3.75802   1.47     0.006261                1
        1620   0.115024        0.00485132       5.07615e-05  3.75802   1.47     0.006261                1
        1622   0.0975871       0.00411588       4.30663e-05  3.75802   1.47     0.006261                1
        1624   0.133696        0.00563882       5.90016e-05  3.75802   1.47     0.006261                1
        1626   0.0155417       0.000655493      6.85872e-06  3.75802   1.47     0.006261                1
        1628   0.157485        0.00664215       6.94998e-05  3.75802   1.47     0.006261                1
        1630   0.0850604       0.00358754       3.75381e-05  3.75802   1.47     0.006261                1
        1632   0.0625874       0.00263971       2.76205e-05  3.75802   1.47     0.006261                1
        1634   0.0356994       0.00150567       1.57545e-05  3.75802   1.47     0.006261                1
        1636   0.101319        0.00427326       4.47131e-05  3.75802   1.47     0.006261                1
        1638   0.213626        0.00901          9.42757e-05  3.75802   1.47     0.006261                1
        1640   0.0863208       0.0036407        3.80944e-05  3.75802   1.47     0.006261                1
        1642   0.116836        0.00492772       5.1561e-05   3.75802   1.47     0.006261                1
        1644   0.051863        0.0021874        2.28877e-05  3.75802   1.47     0.006261                1
        1646   0.072358        0.0030518        3.19324e-05  3.75802   1.47     0.006261                1
        1648   0.108046        0.004557         4.7682e-05   3.75802   1.47     0.006261                1
        1650   0.0581721       0.00245349       2.5672e-05   3.75802   1.47     0.006261                1
        1652   0.05299         0.00223493       2.33851e-05  3.75802   1.47     0.006261                1
        1654   0.0550105       0.00232014       2.42767e-05  3.75802   1.47     0.006261                1
        1656   0.089372        0.00376939       3.94409e-05  3.75802   1.47     0.006261                1
        1658   0.117884        0.00497191       5.20234e-05  3.75802   1.47     0.006261                1
        1660   0.0806888       0.00340316       3.56089e-05  3.75802   1.47     0.006261                1
        1662   0.120369        0.00507672       5.31201e-05  3.75802   1.47     0.006261                1
        1664   0.206475        0.00870838       9.11198e-05  3.75802   1.47     0.006261                1
        1666   0.212925        0.00898043       9.39663e-05  3.75802   1.47     0.006261                1
        1668   0.0836325       0.00352732       3.69079e-05  3.75802   1.47     0.006261                1
        1670   0.020123        0.000848718      8.88053e-06  3.75802   1.47     0.006261                1
        1672   0.0479433       0.00202208       2.11579e-05  3.75802   1.47     0.006261                1
        1674   0.118281        0.00498865       5.21986e-05  3.75802   1.47     0.006261                1
        1676   0.088879        0.0037486        3.92233e-05  3.75802   1.47     0.006261                1
        1678  -0.0073604       3.24823e-06      0.000310435  3.75802   1.47     0.006261                1
        1680   0.0384902       0.00162338       1.69862e-05  3.75802   1.47     0.006261                1
        1682   0.101397        0.00427657       4.47477e-05  3.75802   1.47     0.006261                1
        1684   0.131354        0.00554006       5.79681e-05  3.75802   1.47     0.006261                1
        1686   0.00864662      0.000364684      3.81585e-06  3.75802   1.47     0.006261                1
        1688   0.029963        0.00126373       1.3223e-05   3.75802   1.47     0.006261                1
        1690   0.180283        0.00760367       7.95607e-05  3.75802   1.47     0.006261                1
        1692   0.169864        0.00716427       7.4963e-05   3.75802   1.47     0.006261                1
        1694   0.0841223       0.00354798       3.71241e-05  3.75802   1.47     0.006261                1
