# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= -3 and phase <= 3 and ((dm15_source >= 1.7 or dm15_from_fits >= 1.7))
# N = 13
# N_spec = 36
# phase = -0.16
# dm15 = 1.87
# z = 0.009

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper         Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  ------------  -------  ----------  -------------
        3188  0.0744206       0.00244007      0.000534992  -0.0965289    1.82     0.00488                 1
        3190  0.0722861       0.00237008      0.000519647  -0.0965289    1.82     0.00488                 1
        3192  0.068182        0.00223552      0.000490144  -0.0965289    1.82     0.00488                 1
        3194  0.0647958       0.00212449      0.000465802  -0.0965289    1.82     0.00488                 1
        3196  0.0639247       0.00209593      0.000459539  -0.0965289    1.82     0.00488                 1
        3198  0.0653336       0.00214213      0.000469667  -0.0965289    1.82     0.00488                 1
        3200  0.0661484       0.00216884      0.000475525  -0.0965289    1.82     0.00488                 1
        3202  0.0634616       0.00208075      0.00045621   -0.0965289    1.82     0.00488                 1
        3204  0.0590411       0.00193581      0.000424432  -0.0965289    1.82     0.00488                 1
        3206  0.0559053       0.00183299      0.000401889  -0.0965289    1.82     0.00488                 1
        3208  0.0569305       0.00186661      0.000409259  -0.0965289    1.82     0.00488                 1
        3210  0.060377        0.00197961      0.000434035  -0.0965289    1.82     0.00488                 1
        3212  0.064373        0.00211063      0.000462762  -0.0965289    1.82     0.00488                 1
        3214  0.0667647       0.00218905      0.000479955  -0.0965289    1.82     0.00488                 1
        3216  0.0659455       0.00216219      0.000474066  -0.0965289    1.82     0.00488                 1
        3218  0.0601897       0.00197347      0.000432689  -0.0965289    1.82     0.00488                 1
        3220  0.052146        0.00170974      0.000374865  -0.0965289    1.82     0.00488                 1
        3222  0.0451081       0.00147898      0.000324271  -0.0965289    1.82     0.00488                 1
        3224  0.0425725       0.00139585      0.000306043  -0.0965289    1.82     0.00488                 1
        3226  0.0438541       0.00143787      0.000315257  -0.0965289    1.82     0.00488                 1
        3228  0.0482356       0.00158153      0.000346754  -0.0965289    1.82     0.00488                 1
        3230  0.0545227       0.00178766      0.000391951  -0.0965289    1.82     0.00488                 1
        3232  0.0609978       0.00199997      0.000438499  -0.0965289    1.82     0.00488                 1
        3234  0.065956        0.00216253      0.000474142  -0.0965289    1.82     0.00488                 1
        3236  0.0694244       0.00179215      0.0153926    -0.0312844    1.82394  0.00552252              2
        3238  0.0691641       0.0119649       0.00023124   -0.0304431    1.82399  0.00553081              2
        3240  0.0639218       0.0926829       0.00173148   -0.0294896    1.82405  0.0055402               2
        3242  0.0594437       0.0641974       0.00119721   -0.028416     1.82411  0.00555077              2
        3244  0.0518985       0.022499        0.00034263   -0.0275227    1.82417  0.00555957              2
        3246  0.0442362       0.00172488      0.0449118    -0.0264534    1.82423  0.0055701               2
        3248  0.0378601       0.0013874       0.0304704    -0.0253186    1.8243   0.00558127              2
        3250  0.0422651       0.00136367      0.0237169    -0.0242294    1.82437  0.005592                2
        3252  0.0638239       0.0064569       0.0245322    -0.769608     1.84557  0.00758586              3
        3254  0.0780221       0.00840802      0.0269113    -0.777062     1.84583  0.00761271              3
        3256  0.0750995       0.00457019      0.00297298   -0.784352     1.84609  0.00763965              3
        3258  0.0711644       0.012877        0.00191322   -0.789286     1.84628  0.00765971              3
        3260  0.0883242       0.0119646       0.0340526    -0.79493      1.84649  0.00768216              3
        3262  0.0880245       0.0188717       0.0483643    -0.80129      1.84672  0.00770607              3
        3264  0.077281        0.0213363       0.0375221    -0.80272      1.8468   0.00771514              3
        3266  0.0682053       0.0104353       0.0171698    -0.808275     1.84701  0.00773719              3
        3268  0.0584121       0.0106984       0.00555877   -0.81281      1.84718  0.00775561              3
        3270  0.0633001       0.0040015       0.000513931  -0.816253     1.84731  0.00776919              3
        3272  0.0762811       0.018271        0.0381608    -0.818233     1.84741  0.00778106              3
        3274  0.0677949       0.0136785       0.0377168    -0.818843     1.84747  0.00778852              3
        3276  0.0591361       0.00889857      0.0292568    -0.822478     1.8476   0.00780248              3
        3278  0.0692043       0.0157378       0.0432834    -0.824568     1.84768  0.00781095              3
        3280  0.0777067       0.0169233       0.0438532    -0.825873     1.84776  0.00782003              3
        3282  0.0757264       0.00508353      0.0170282    -0.829582     1.84789  0.0078334               3
        3284  0.0952337       0.00899653      0.0314955    -0.832484     1.848    0.00784451              3
        3286  0.100808        0.00674063      0.0212203    -0.835333     1.84809  0.00785409              3
        3288  0.103996        0.00535199      0.0153264    -0.835504     1.84808  0.00785257              3
        3290  0.102098        0.00375968      0.00911532   -0.83586      1.84807  0.00784989              3
        3292  0.108187        0.00872354      0.00538619    0.0906881    1.8351   0.00512761              4
        3294  0.11042         0.00958891      0.0149752     0.0931781    1.83507  0.00512252              4
        3296  0.10876         0.0113173       0.0170019     0.0954176    1.83505  0.00511692              4
        3298  0.105008        0.0146199       0.0133686     0.0970622    1.83502  0.00511361              4
        3300  0.105713        0.0156908       0.0133215     0.0960563    1.83503  0.00511794              4
        3302  0.104584        0.0177269       0.00990911    0.0905763    1.83512  0.00513452              4
        3304  0.105828        0.0144267       0.0074452     0.0870627    1.83516  0.00514562              4
        3306  0.106605        0.00965233      0.00802294    0.0863842    1.83515  0.00514836              4
        3308  0.112244        0.00505845      0.0152773     0.0867345    1.83515  0.00514797              4
        3310  0.118544        0.00528574      0.0255947     0.0904154    1.83509  0.00513689              4
        3312  0.120353        0.00491634      0.00570669    0.0961429    1.835    0.00512084              4
        3314  0.122311        0.0103892       0.00877369    0.102035     1.8349   0.00510459              4
        3316  0.116655        0.00875685      0.0093722     0.104194     1.83486  0.00509741              4
        3318  0.110235        0.0112038       0.00678214    0.106168     1.83482  0.00509191              4
        3320  0.109788        0.00675998      0.0106148     0.105868     1.8348   0.00509253              4
        3322  0.108993        0.00419475      0.0174034     0.105808     1.83478  0.005093                4
        3324  0.113838        0.00647894      0.0273464     0.108479     1.8347   0.00508676              4
        3326  0.111171        0.00548166      0.00849331    0.112723     1.83459  0.00507507              4
        3328  0.112294        0.00968113      0.00595165    0.115593     1.83452  0.00506738              4
