# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= -3 and phase <= 3 and ((dm15_source >= 1.15 and dm15_source < 1.25) or (dm15_from_fits >= 1.15 and dm15_from_fits < 1.25))
# N = 16
# N_spec = 48
# phase = 0.4
# dm15 = 1.2
# z = 0.017

  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper       Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  ----------  -------  ----------  -------------
        3036  -0.506828       0.00202754       0.0394805    -1.3491     1.2      0.033283                1
        3038   0.0612883      0.00477419       0.000245181  -1.3491     1.2      0.033283                1
        3040   0.840678       0.0654865        0.00336309   -1.3491     1.2      0.033283                1
        3042   0.775557       0.0604137        0.00310258   -1.3491     1.2      0.033283                1
        3044   0.135986       0.0105929        0.000544005  -1.3491     1.2      0.033283                1
        3046  -0.955277       0.00382154       0.0744135    -1.3491     1.2      0.033283                1
        3048  -0.922285       0.00368956       0.0718435    -1.3491     1.2      0.033283                1
        3050   0.455413       0.0354754        0.00182186   -1.3491     1.2      0.033283                1
        3052   0.393445       0.0306483        0.00157396   -1.3491     1.2      0.033283                1
        3054   0.383938       0.0299077        0.00153593   -1.3491     1.2      0.033283                1
        3056   1.21465        0.094618         0.00485916   -1.3491     1.2      0.033283                1
        3058   1.20687        0.094012         0.00482803   -1.3491     1.2      0.033283                1
        3060   0.385952       0.0105509        0.05173      -0.0646298  1.21967  0.0147074               2
        3062   0.378688       0.17786          0.000640876  -0.0649815  1.21967  0.0147125               2
        3064   0.413293       0.643255         0.00369917   -0.0653633  1.21966  0.014718                2
        3066   0.376683       0.811659         0.00611684   -0.0658054  1.21966  0.0147244               2
        3068   0.247771       0.978421         0.0113276    -0.066233   1.21965  0.0147306               2
        3070   0.210629       0.854956         0.0103467    -0.0666884  1.21964  0.0147371               2
        3072   0.25627        0.544693         0.00441684   -0.0671739  1.21964  0.0147442               2
        3074   0.268255       0.914413         0.0106759    -0.0675965  1.21963  0.0147503               2
        3076   0.296584       0.14358          0.000610279  -0.0685775  1.21961  0.0147645               2
        3078   0.319998       0.0146797        0.447395     -0.069525   1.2196   0.0147782               2
        3080   0.323791       0.0145938        0.427826     -0.0702437  1.21959  0.0147886               2
        3082   0.30985        0.0171186        0.548147     -0.0707696  1.21958  0.0147962               2
        3084   0.325348       0.0288761        1.06936      -0.0711187  1.21958  0.0148012               2
        3086   0.298297       0.0282248        1.03868      -0.0716962  1.21957  0.0148096               2
        3088   0.264207       0.0180544        0.645428     -0.0826459  1.21927  0.0148035               3
        3090   0.356173       0.068934         0.00662315   -0.0840417  1.21924  0.0148173               3
        3092   0.371177       0.259802         0.00632281   -0.0850432  1.21922  0.0148265               3
        3094   0.299669       0.0106199        0.0695923    -0.0857388  1.21921  0.0148338               3
        3096   0.285264       0.0112131        0.220758     -0.086906   1.21918  0.0148465               3
        3098   0.305852       0.0202716        0.425312     -0.0880161  1.21917  0.0148598               3
        3100   0.284449       0.0306327        0.958259     -0.0890261  1.21915  0.0148696               3
        3102   0.2572         0.0209456        0.62254      -0.0898785  1.21913  0.014878                3
        3104   0.290108       0.0225739        0.65436      -0.0908564  1.21911  0.0148897               3
        3106   0.332471       0.0257448        0.732202     -0.091825   1.2191   0.0149007               3
        3108   0.344346       0.0171813        0.3627       -0.0928542  1.21908  0.0149111               3
        3110   0.355402       0.0203651        0.465525     -0.0941604  1.21905  0.0149244               3
        3112   0.353584       0.0223775        0.561153     -0.0953025  1.21903  0.0149372               3
        3114   0.355267       0.0759223        0.00298896    2.1544     1.21992  0.0275383               4
        3116   0.389893       0.0482976        0.00345127    2.15411    1.21992  0.0275382               4
        3118   0.405369       0.070833         0.0126734     2.12737    1.21993  0.026178                4
        3120   0.408065       0.0829005        0.0142018     2.12504    1.21993  0.0260097               4
        3122   0.38159        0.0914939        0.0143825     2.12122    1.21993  0.0257823               4
        3124   0.386909       0.0657709        0.0146598     2.11446    1.21993  0.0254542               4
        3126   0.398829       0.0518           0.0136954     2.10555    1.21993  0.0249883               4
        3128   0.373631       0.0214248        0.00632602    2.0879     1.21993  0.0240908               4
        3130   0.365938       0.0157369        0.00450657    2.07604    1.21994  0.023482                4
        3132   0.391091       0.0287124        0.0120822     2.07365    1.21993  0.023374                4
        3134   0.409781       0.0401579        0.0195081     2.06378    1.21994  0.0228836               4
        3136   0.414295       0.0614583        0.0433906     2.05433    1.21994  0.0224095               4
        3138   0.412927       0.0674762        0.0557639     2.04447    1.21994  0.0219382               4
        3140   0.436732       0.0673524        0.0541197     2.0415     1.21994  0.0217983               4
        3142   0.437512       0.0661264        0.0601582     2.03738    1.21994  0.0216013               4
        3144   0.413021       0.0653004        0.0694654     2.027      1.21994  0.0210788               4
        3146   0.413048       0.0755638        0.0890036     2.02108    1.21995  0.0207703               4
        3148   0.42238        0.0724981        0.0718876     2.0243     1.21994  0.0209692               4
        3150   0.422898       0.0531266        0.0544904     2.02552    1.21994  0.0210755               4
        3152   0.439495       0.0480348        0.0499398     2.02727    1.21994  0.021176                4
