# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= -3 and phase <= 3 and ((dm15_source >= .95 and dm15_source < 1.15) or (dm15_from_fits >= .95 and dm15_from_fits < 1.15))
# N = 61
# N_spec = 157
# phase = 0.37
# dm15 = 1.06
# z = 0.013

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper         Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  ------------  -------  ----------  -------------
        1604   0.00215479       3.83608e-05      2.11524e-05   0.1          1.14     0.002843                1
        1606  -0.0315526        0.000309734      0.000561717   0.1          1.14     0.002843                1
        1608   0.0103297        0.000183896      0.000101401   0.1          1.14     0.002843                1
        1610   0.0404997        0.000720997      0.000397563   0.1          1.14     0.002843                1
        1612   0.0167505        0.000298201      0.00016443    0.1          1.14     0.002843                1
        1614  -0.0121852        0.000119615      0.000216928   0.1          1.14     0.002843                1
        1616  -0.0165582        0.000162542      0.000294778   0.1          1.14     0.002843                1
        1618  -0.00540167       5.30252e-05      9.61634e-05   0.1          1.14     0.002843                1
        1620  -0.00361732       3.55092e-05      6.43975e-05   0.1          1.14     0.002843                1
        1622   0.0229765        0.000409041      0.000225548   0.1          1.14     0.002843                1
        1624   0.00988408       0.000175962      9.70265e-05   0.1          1.14     0.002843                1
        1626  -0.000372634      3.65794e-06      6.63384e-06   0.1          1.14     0.002843                1
        1628   0.00429251       7.64176e-05      4.21372e-05   0.1          1.14     0.002843                1
        1630  -0.00760025       7.46074e-05      0.000135304   0.1          1.14     0.002843                1
        1632  -0.00255625       2.50933e-05      4.55077e-05   0.1          1.14     0.002843                1
        1634  -0.0033625        3.30078e-05      5.9861e-05    0.1          1.14     0.002843                1
        1636  -0.00259201       2.54443e-05      4.61444e-05   0.1          1.14     0.002843                1
        1638   0.00178802       3.18313e-05      1.7552e-05    0.1          1.14     0.002843                1
        1640   0.0152775        0.000271979      0.000149971   0.1          1.14     0.002843                1
        1642   0.00932778       0.000166058      9.15657e-05   0.1          1.14     0.002843                1
        1644   0.00669667       0.000119218      6.57375e-05   0.1          1.14     0.002843                1
        1646   0.00151882       2.70388e-05      1.49094e-05   0.1          1.14     0.002843                1
        1648   0.0062466        0.000111205      6.13194e-05   0.1          1.14     0.002843                1
        1650   0.00433019       7.70883e-05      4.2507e-05    0.1          1.14     0.002843                1
        1652   0.00266284       4.74054e-05      2.61396e-05   0.1          1.14     0.002843                1
        1654   0.00141853       2.52535e-05      1.3925e-05    0.1          1.14     0.002843                1
        1656  -0.00078383       7.69442e-06      1.39542e-05   0.1          1.14     0.002843                1
        1658  -0.00479034       4.70242e-05      8.52803e-05   0.1          1.14     0.002843                1
        1660  -0.00580736       5.70076e-05      0.000103386   0.1          1.14     0.002843                1
        1662   0.00499179       8.88665e-05      4.90016e-05   0.1          1.14     0.002843                1
        1664   0.00740542       0.000131835      7.26949e-05   0.1          1.14     0.002843                1
        1666   0.0105002        0.000186931      0.000103075   0.1          1.14     0.002843                1
        1668   0.00269684       4.80105e-05      2.64733e-05   0.1          1.14     0.002843                1
        1670   0.0097745        0.000174011      9.59508e-05   0.1          1.14     0.002843                1
        1672   0.0175955        0.0125473        4.48712e-05  -0.657944     1.12816  0.00208853              2
        1674   0.0204411        0.0155592        5.21278e-05  -0.646685     1.12831  0.002098                2
        1676   0.0150086        0.015539         3.82743e-05  -0.637044     1.12843  0.00210573              2
        1678   0.0107099        0.0115603        2.73119e-05  -0.628871     1.12853  0.00211187              2
        1680   0.0101404        0.00991985       2.58596e-05  -0.622023     1.1286   0.00211658              2
        1682   0.0112909        0.00828152       2.87934e-05  -0.616365     1.12865  0.00211999              2
        1684   0.0185419        0.0116968        4.72846e-05  -0.611774     1.12869  0.00212223              2
        1686   0.0164581        0.0115429        4.19707e-05  -0.608138     1.12871  0.00212344              2
        1688   0.0133704        0.00695296       3.40966e-05  -0.60536      1.12871  0.00212372              2
        1690   0.00941557       0.00792946       2.40111e-05  -0.603354     1.1287   0.00212317              2
        1692   0.00671212       0.00606173       1.71169e-05  -0.602045     1.12868  0.00212189              2
        1694   0.0123388        0.0062824        3.14658e-05  -0.601367     1.12865  0.00211996              2
        1696   0.00861967       0.00964525       2.19815e-05  -0.601262     1.12861  0.00211746              2
        1698   0.0100209        0.0094833        2.55548e-05  -0.601675     1.12857  0.00211447              2
        1700   0.00888529       0.00726197       2.26589e-05  -0.602553     1.12851  0.00211107              2
        1702   0.0113622        0.00860009       2.89753e-05  -0.603843     1.12845  0.00210733              2
        1704   0.0100901        0.00804115       2.57313e-05  -0.605488     1.12839  0.00210332              2
        1706   0.0128861        0.0092825        3.28615e-05  -0.607426     1.12833  0.00209913              2
        1708   0.0155343        0.00818035       3.9615e-05   -0.60959      1.12826  0.00209483              2
        1710   0.0129049        0.00768194       3.29094e-05  -0.611904     1.12819  0.00209051              2
        1712   0.00772286       0.00931334       1.96945e-05  -0.614282     1.12812  0.00208626              2
        1714   0.00956954       0.00768284       2.44038e-05  -0.616634     1.12806  0.00208216              2
        1716   0.0103521        0.00715465       2.63995e-05  -0.618858     1.128    0.0020783               2
        1718   0.00790826       0.00633203       2.01673e-05  -0.620849     1.12794  0.00207478              2
        1720   0.00862424       0.00677091       2.19931e-05  -0.622498     1.12789  0.00207168              2
        1722   0.00801105       0.00463948       2.04294e-05  -0.623692     1.12785  0.00206908              2
        1724   0.00843724       0.0052798        2.15163e-05  -0.624322     1.12782  0.00206706              2
        1726   0.00715635       0.00729507       1.82498e-05  -0.624283     1.1278   0.00206568              2
        1728   0.00986119       0.00601865       2.51475e-05  -0.623478     1.12779  0.00206502              2
        1730   0.0088008        0.00676436       2.24434e-05  -0.621821     1.12779  0.00206512              2
        1732   0.00732021       0.00663444       1.86677e-05  -0.619244     1.12781  0.00206601              2
        1734   0.00973618       0.00598843       2.48288e-05  -0.615696     1.12783  0.00206772              2
        1736   0.00726402       0.00613406       1.85244e-05  -0.611148     1.12787  0.00207026              2
        1738   0.00714693       0.00531822       1.82258e-05  -0.605592     1.12793  0.00207363              2
        1740   0.00786698       0.00821975       2.0062e-05   -0.599043     1.12799  0.00207781              2
        1742   0.00772596       0.00614574       1.97024e-05  -0.591541     1.12807  0.00208277              2
        1744   0.0084448        0.00716129       2.15355e-05  -0.583147     1.12816  0.00208847              2
        1746   0.00609249       0.00511457       1.55368e-05  -0.573944     1.12826  0.00209485              2
        1748   0.00612328       0.00506217       1.56153e-05  -0.564031     1.12837  0.00210186              2
        1750   0.00805995       0.00634281       2.05541e-05  -0.553521     1.12849  0.00210941              2
        1752   0.00921175       0.00508004       2.34914e-05  -0.542538     1.12861  0.00211745              2
        1754   0.0083743        0.00540272       2.13557e-05  -0.531214     1.12875  0.00212588              2
        1756   0.00667806       0.0043636        1.70301e-05  -0.519681     1.12888  0.00213463              2
        1758   0.00478847       0.00606839       1.22113e-05  -0.508071     1.12902  0.00214361              2
        1760   0.00645417       0.00644976       1.64591e-05  -0.496512     1.12917  0.00215273              2
        1762   0.00586922       0.00762945       1.49674e-05  -0.485123     1.12931  0.00216193              2
        1764   0.00635301       0.00584449       1.62012e-05  -0.474016     1.12946  0.0021711               2
        1766   0.00718818       0.00395347       1.83309e-05  -0.463294     1.1296   0.00218018              2
        1768   0.0076017        0.00502408       1.93855e-05  -0.453047     1.12974  0.00218909              2
        1770   0.00782489       0.00441525       1.99547e-05  -0.443355     1.12987  0.00219774              2
        1772   0.00914607       0.0037846        2.33239e-05  -0.434291     1.13     0.00220606              2
        1774   0.00865739       0.00563924       2.20777e-05  -0.425914     1.13013  0.00221397              2
        1776   0.00982892       0.00643496       2.50653e-05  -0.418278     1.13024  0.0022214               2
        1778   0.010157         0.00399967       2.59019e-05  -0.411428     1.13035  0.00222826              2
        1780   0.00976008       0.00388792       2.48897e-05  -0.405405     1.13045  0.00223448              2
        1782   0.00854772       0.00493337       2.1798e-05   -0.400242     1.13054  0.00223999              2
        1784   0.00978231       0.00472675       2.49464e-05  -0.395968     1.13061  0.0022447               2
        1786   0.00833622       0.00323958       2.12586e-05  -0.392608     1.13067  0.00224856              2
        1788   0.00804421       0.00314776       2.0514e-05   -0.390181     1.13072  0.00225148              2
        1790   0.00857081       0.0034349        2.18569e-05  -0.388703     1.13075  0.00225341              2
        1792   0.00934696       0.00407841       2.38362e-05  -0.388183     1.13076  0.0022543               2
        1794   0.0108035        0.0030273        2.75506e-05  -0.388622     1.13076  0.00225408              2
        1796   0.0124895        0.00359765       3.18502e-05  -0.390014     1.13074  0.00225273              2
        1798   0.0120114        0.0026942        3.06309e-05  -0.392343     1.1307   0.00225022              2
        1800   0.0170951        0.0081838        0.00485566   -0.170965     1.12239  0.00217574              3
        1802   0.01266          0.00482424       0.0015358    -0.178968     1.12248  0.00217264              3
