# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 0.000000 and phase < 2.000000
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1604  -0.00807647       0.00635356       0.0102559    0.772824  1.00544   0.00348341              2
        1606  -0.00537977       0.0265335        0.0168572    0.769691  1.00606   0.00348042              2
        1608   0.0118206        0.00132298       0.000782759  0.766366  1.00673   0.00347726              2
        1610   0.0144226        0.0173794        0.0265401    0.762851  1.00743   0.00347391              2
        1612   0.0290981        0.0120755        0.00777747   0.759152  1.00817   0.00347039              2
        1614   0.011297         0.0236215        0.0157162    0.755275  1.00894   0.0034667               2
        1616  -0.00564211       0.0111054        0.0075926    0.751232  1.00975   0.00346285              2
        1618   0.013784         0.0192474        0.013175     0.747037  1.01059   0.00345886              2
        1620  -0.032696         0.0201087        0.0290199    0.742708  1.01146   0.00345474              2
        1622  -0.0332565        0.0400344        0.0564957    0.738267  1.01235   0.00345051              2
        1624   0.00316099       0.00498495       0.00683609   0.733742  1.01325   0.00344621              2
        1626  -0.00819082       0.005701         0.00781213   0.729167  1.01417   0.00344185              2
        1628   0.008138         0.00377574       0.00278513   0.724578  1.01508   0.00343749              2
        1630  -0.0158194        0.00608329       0.00809564   0.720021  1.016     0.00343315              2
        1632   0.00495365       0.00753912       0.00581233   0.715544  1.01689   0.00342889              2
        1634   0.0211615        0.0245624        0.0192056    0.711201  1.01776   0.00342475              2
        1636   0.0124232        0.0150448        0.011951     0.70705   1.01859   0.0034208               2
        1638   0.00874628       0.00692921       0.00556816   0.703153  1.01937   0.00341709              2
        1640   0.00154929       0.0114546        0.0139029    0.699574  1.02009   0.00341369              2
        1642   0.00687465       0.00213043       0.00255977   0.696375  1.02073   0.00341064              2
        1644   0.00889776       0.00209226       0.00171937   0.693617  1.02128   0.00340802              2
        1646  -0.00551787       0.00594125       0.00705405   0.691356  1.02173   0.00340586              2
        1648   0.0043026        0.00172356       0.0020154    0.689639  1.02207   0.00340423              2
        1650   0.00199577       0.00205831       0.00238392   0.688502  1.0223    0.00340315              2
        1652  -0.00449405       0.00613819       0.00718733   0.687969  1.02241   0.00340264              2
        1654   0.00544272       0.00400114       0.00339977   0.688044  1.02239   0.00340271              2
