# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -8.000000 and phase < -6.000000
# N = 70
# N_spec = 115
# phase = -6.9
# dm15 = 1.11
# z = 0.012

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1226   0.311267         0.00993686       0.00218217   -6.49625  1.11469   0.002425                1
        1228  -0.504044         0.00353364       0.016091     -6.49625  1.11469   0.002425                1
        1230   0.466163         0.0148817        0.00326808   -6.49625  1.11469   0.002425                1
        1232   0.994126         0.0317364        0.00696941   -6.49625  1.11469   0.002425                1
        1234   0.0561228        0.00179166       0.000393454  -6.49625  1.11469   0.002425                1
        1236   0.112658         0.00359648       0.000789798  -6.49625  1.11469   0.002425                1
        1238   0.665353         0.0212407        0.00466452   -6.49625  1.11469   0.002425                1
        1240   0.527781         0.0168488        0.00370006   -6.49625  1.11469   0.002425                1
        1242  -0.033545         0.00023517       0.00107089   -6.49625  1.11469   0.002425                1
        1244   0.0948785        0.00302889       0.000665155  -6.49625  1.11469   0.002425                1
        1246   0.037408         0.00119421       0.000262252  -6.49625  1.11469   0.002425                1
        1248   0.0605032        0.0019315        0.000424163  -6.49625  1.11469   0.002425                1
        1250   0.166835         0.00532602       0.00116961   -6.49625  1.11469   0.002425                1
        1252  -0.099696         0.000698928      0.00318269   -6.49625  1.11469   0.002425                1
        1254   0.277772         0.00886756       0.00194735   -6.49625  1.11469   0.002425                1
        1256   0.300383         0.0095894        0.00210586   -6.49625  1.11469   0.002425                1
        1258   0.063361         0.00202273       0.000444198  -6.49625  1.11469   0.002425                1
        1260   0.748354         0.0238904        0.0052464    -6.49625  1.11469   0.002425                1
        1262   0.566754         0.018093         0.00397328   -6.49625  1.11469   0.002425                1
        1264   0.0577993        0.00184518       0.000405207  -6.49625  1.11469   0.002425                1
        1266   0.0811511        0.00259066       0.000568918  -6.49625  1.11469   0.002425                1
        1268   0.371201         0.0118502        0.00260234   -6.49625  1.11469   0.002425                1
        1270   0.122537         0.00391187       0.000859059  -6.49625  1.11469   0.002425                1
        1272  -0.0791791        0.000555092      0.00252771   -6.49625  1.11469   0.002425                1
        1274  -0.0164071        0.000115023      0.000523777  -6.49625  1.11469   0.002425                1
        1276   0.0267251        0.000853172      0.000187359  -6.49625  1.11469   0.002425                1
        1278   0.229505         0.00732671       0.00160897   -6.49625  1.11469   0.002425                1
        1280   0.234952         0.00750059       0.00164715   -6.49625  1.11469   0.002425                1
        1282   0.0656367        0.00209538       0.000460152  -6.49625  1.11469   0.002425                1
        1284  -0.0371345        0.000260335      0.00118548   -6.49625  1.11469   0.002425                1
        1286  -0.320837         0.00224926       0.0102424    -6.49625  1.11469   0.002425                1
        1288  -0.163501         0.00114624       0.0052196    -6.49625  1.11469   0.002425                1
        1290   0.128388         0.00409863       0.000900073  -6.49625  1.11469   0.002425                1
        1292  -0.20764          0.00145568       0.00662867   -6.49625  1.11469   0.002425                1
