# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 14.000000 and phase < 16.000000
# N = 78
# N_spec = 108
# phase = 14.91
# dm15 = 1.13
# z = 0.013

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  ----------  -------------
        1214   0.0157639        0.000272775      7.83995e-05  15.0524  1.3       0.013129                1
        1216   0.012829         0.00022199       6.38033e-05  15.0524  1.3       0.013129                1
        1218   0.0087834        0.000151986      4.36829e-05  15.0524  1.3       0.013129                1
        1220   0.0111766        0.000193398      5.55853e-05  15.0524  1.3       0.013129                1
        1222   0.00208151       3.60179e-05      1.03521e-05  15.0524  1.3       0.013129                1
        1224   0.0281224        0.000486623      0.000139862  15.0524  1.3       0.013129                1
        1226   0.0118313        0.000204726      5.88412e-05  15.0524  1.3       0.013129                1
        1228   0.00868394       0.000150265      4.31883e-05  15.0524  1.3       0.013129                1
        1230  -0.00703424       3.49837e-05      0.000121719  15.0524  1.3       0.013129                1
        1232  -0.00253546       1.26097e-05      4.3873e-05   15.0524  1.3       0.013129                1
        1234   0.00863071       0.000149344      4.29235e-05  15.0524  1.3       0.013129                1
        1236  -0.00016844       8.37709e-07      2.91464e-06  15.0524  1.3       0.013129                1
        1238   0.00188647       3.2643e-05       9.38207e-06  15.0524  1.3       0.013129                1
        1240  -0.00325508       1.61887e-05      5.63252e-05  15.0524  1.3       0.013129                1
        1242   0.00228815       3.95936e-05      1.13798e-05  15.0524  1.3       0.013129                1
        1244   0.0145892        0.000252447      7.25571e-05  15.0524  1.3       0.013129                1
        1246  -0.00160801       7.99719e-06      2.78246e-05  15.0524  1.3       0.013129                1
        1248   0.00562908       9.74042e-05      2.79954e-05  15.0524  1.3       0.013129                1
        1250   0.00268562       4.64713e-05      1.33565e-05  15.0524  1.3       0.013129                1
        1252   6.7483e-05       1.16771e-06      3.35617e-07  15.0524  1.3       0.013129                1
        1254   0.0122068        0.000211223      6.07085e-05  15.0524  1.3       0.013129                1
        1256   0.00643193       0.000111296      3.19882e-05  15.0524  1.3       0.013129                1
        1258   0.00351472       6.08178e-05      1.74799e-05  15.0524  1.3       0.013129                1
        1260   0.00725175       0.000125482      3.60655e-05  15.0524  1.3       0.013129                1
        1262  -0.000852034      4.23746e-06      1.47434e-05  15.0524  1.3       0.013129                1
