# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -6.000000 and phase < -4.000000
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1226   0.188683         0.00142943       0.0170428    -5.32699  1.11469   0.002425                1
        1228  -0.30554          0.0275979        0.00231472   -5.32699  1.11469   0.002425                1
        1230   0.282578         0.00214076       0.0255238    -5.32699  1.11469   0.002425                1
        1232   0.602618         0.00456533       0.0544313    -5.32699  1.11469   0.002425                1
        1234   0.0340204        0.000257733      0.00307288   -5.32699  1.11469   0.002425                1
        1236   0.0682907        0.000517359      0.00616834   -5.32699  1.11469   0.002425                1
        1238   0.403323         0.00305551       0.03643      -5.32699  1.11469   0.002425                1
        1240   0.31993          0.00242373       0.0288976    -5.32699  1.11469   0.002425                1
        1242  -0.0203342        0.00183669       0.000154049  -5.32699  1.11469   0.002425                1
        1244   0.0575133        0.000435711      0.00519488   -5.32699  1.11469   0.002425                1
        1246   0.0226759        0.000171789      0.0020482    -5.32699  1.11469   0.002425                1
        1248   0.0366757        0.000277849      0.00331273   -5.32699  1.11469   0.002425                1
        1250   0.101132         0.000766157      0.0091347    -5.32699  1.11469   0.002425                1
        1252  -0.0604336        0.00545865       0.000457835  -5.32699  1.11469   0.002425                1
        1254   0.168379         0.00127561       0.0152088    -5.32699  1.11469   0.002425                1
        1256   0.182086         0.00137945       0.0164468    -5.32699  1.11469   0.002425                1
        1258   0.0384081        0.000290973      0.0034692    -5.32699  1.11469   0.002425                1
        1260   0.453636         0.00343667       0.0409746    -5.32699  1.11469   0.002425                1
        1262   0.343554         0.00260271       0.0310315    -5.32699  1.11469   0.002425                1
        1264   0.0350367        0.000265432      0.00316468   -5.32699  1.11469   0.002425                1
        1266   0.0491921        0.000372671      0.00444326   -5.32699  1.11469   0.002425                1
        1268   0.225014         0.00170467       0.0203243    -5.32699  1.11469   0.002425                1
        1270   0.0742794        0.000562729      0.00670927   -5.32699  1.11469   0.002425                1
        1272  -0.0479966        0.00433529       0.000363614  -5.32699  1.11469   0.002425                1
        1274  -0.0099456        0.000898334      7.53462e-05  -5.32699  1.11469   0.002425                1
        1276   0.0162002        0.00012273       0.00146328   -5.32699  1.11469   0.002425                1
        1278   0.139121         0.00105396       0.0125661    -5.32699  1.11469   0.002425                1
        1280   0.142423         0.00107897       0.0128643    -5.32699  1.11469   0.002425                1
        1282   0.0397875        0.000301424      0.0035938    -5.32699  1.11469   0.002425                1
        1284  -0.0225101        0.00203322       0.000170533  -5.32699  1.11469   0.002425                1
        1286  -0.194484         0.0175667        0.00147338   -5.32699  1.11469   0.002425                1
        1288  -0.0991109        0.00895217       0.000750848  -5.32699  1.11469   0.002425                1
        1290   0.0778258        0.000589595      0.00702959   -5.32699  1.11469   0.002425                1
        1292  -0.125867         0.0113689        0.000953545  -5.32699  1.11469   0.002425                1
        1294  -0.199176         0.0179906        0.00150893   -5.32699  1.11469   0.002425                1
        1296  -0.0280963        0.00253779       0.000212853  -5.32699  1.11469   0.002425                1
        1298  -0.0261563        0.00236256       0.000198156  -5.32699  1.11469   0.002425                1
        1300  -0.338642         0.0305878        0.0025655    -5.32699  1.11469   0.002425                1
        1302  -0.155952         0.0140863        0.00118147   -5.32699  1.11469   0.002425                1
        1304   0.125453         0.000950411      0.0113315    -5.32699  1.11469   0.002425                1
        1306   0.0788391        0.000597272      0.00712113   -5.32699  1.11469   0.002425                1
        1308  -0.056117         0.00506875       0.000425133  -5.32699  1.11469   0.002425                1
        1310   0.345911         0.00262057       0.0312444    -5.32699  1.11469   0.002425                1
        1312   0.408035         0.00309121       0.0368557    -5.32699  1.11469   0.002425                1
        1314   0.10817          0.000819477      0.00977042   -5.32699  1.11469   0.002425                1
        1316   0.0909349        0.000688908      0.00821368   -5.32699  1.11469   0.002425                1
        1318   0.304305         0.00230536       0.0274863    -5.32699  1.11469   0.002425                1
        1320   0.123408         0.00093492       0.0111468    -5.32699  1.11469   0.002425                1
        1322  -0.152607         0.0137842        0.00115612   -5.32699  1.11469   0.002425                1
        1324  -0.0611613        0.00552438       0.000463348  -5.32699  1.11469   0.002425                1
        1326   0.0330975        0.000250741      0.00298952   -5.32699  1.11469   0.002425                1
        1328   0.0947485        0.000717799      0.00855814   -5.32699  1.11469   0.002425                1
        1330   0.0473983        0.000359081      0.00428124   -5.32699  1.11469   0.002425                1
        1332  -0.0826093        0.00746167       0.000625834  -5.32699  1.11469   0.002425                1
        1334   0.0298539        0.000226168      0.00269655   -5.32699  1.11469   0.002425                1
        1336   0.0700877        0.000530973      0.00633066   -5.32699  1.11469   0.002425                1
        1338   0.016135         0.000122236      0.00145739   -5.32699  1.11469   0.002425                1
        1340   0.079533         0.000602529      0.0071838    -5.32699  1.11469   0.002425                1
        1342   0.252574         0.00191346       0.0228137    -5.32699  1.11469   0.002425                1
        1344   0.204426         0.0015487        0.0184648    -5.32699  1.11469   0.002425                1
        1346   0.0525798        0.000398336      0.00474926   -5.32699  1.11469   0.002425                1
        1348  -0.031127         0.00281154       0.000235813  -5.32699  1.11469   0.002425                1
        1350  -0.086253         0.00779078       0.000653438  -5.32699  1.11469   0.002425                1
        1352   0.0140184        0.000106201      0.00126621   -5.32699  1.11469   0.002425                1
        1354   0.0507156        0.000384213      0.00458088   -5.32699  1.11469   0.002425                1
        1356  -0.00348518       0.000314798      2.64031e-05  -5.32699  1.11469   0.002425                1
        1358   0.180179         0.00136501       0.0162747    -5.32699  1.11469   0.002425                1
        1360   0.170792         0.00129389       0.0154268    -5.32699  1.11469   0.002425                1
        1362   0.00878755       6.6573e-05       0.000793734  -5.32699  1.11469   0.002425                1
        1364  -0.0763172        0.00689333       0.000578166  -5.32699  1.11469   0.002425                1
        1366  -0.0861716        0.00778343       0.000652821  -5.32699  1.11469   0.002425                1
        1368  -0.127689         0.0115335        0.000967351  -5.32699  1.11469   0.002425                1
        1370  -0.0973611        0.00879412       0.000737592  -5.32699  1.11469   0.002425                1
        1372  -0.0472708        0.00426972       0.000358116  -5.32699  1.11469   0.002425                1
        1374  -0.193547         0.0174821        0.00146628   -5.32699  1.11469   0.002425                1
        1376  -0.216257         0.0195334        0.00163833   -5.32699  1.11469   0.002425                1
        1378  -0.107126         0.00967611       0.000811567  -5.32699  1.11469   0.002425                1
        1380  -0.0996796        0.00900354       0.000755156  -5.32699  1.11469   0.002425                1
        1382  -0.260101         0.0234936        0.00197048   -5.32699  1.11469   0.002425                1
        1384  -0.116994         0.0105675        0.000886328  -5.32699  1.11469   0.002425                1
        1386   0.0528197        0.000400153      0.00477093   -5.32699  1.11469   0.002425                1
        1388   0.026005         0.00019701       0.0023489    -5.32699  1.11469   0.002425                1
        1390  -0.0185518        0.00167569       0.000140545  -5.32699  1.11469   0.002425                1
        1392  -0.0611051        0.0055193        0.000462922  -5.32699  1.11469   0.002425                1
        1394  -0.196143         0.0177166        0.00148595   -5.32699  1.11469   0.002425                1
        1396  -0.252094         0.0227703        0.00190982   -5.32699  1.11469   0.002425                1
        1398  -0.0721422        0.00651623       0.000546537  -5.32699  1.11469   0.002425                1
        1400  -0.183292         0.0165558        0.00138859   -5.32699  1.11469   0.002425                1
        1402  -0.197639         0.0178517        0.00149728   -5.32699  1.11469   0.002425                1
        1404   0.0241123        0.000182671      0.00217794   -5.32699  1.11469   0.002425                1
        1406   0.0806977        0.000611353      0.00728901   -5.32699  1.11469   0.002425                1
        1408  -0.0149089        0.00134665       0.000112948  -5.32699  1.11469   0.002425                1
        1410  -0.0184758        0.00166882       0.00013997   -5.32699  1.11469   0.002425                1
        1412   0.0977436        0.000740489      0.00882867   -5.32699  1.11469   0.002425                1
        1414   0.141583         0.00107261       0.0127885    -5.32699  1.11469   0.002425                1
        1416   0.00418928       3.17373e-05      0.000378396  -5.32699  1.11469   0.002425                1
        1418  -0.0769571        0.00695114       0.000583014  -5.32699  1.11469   0.002425                1
        1420  -0.0660339        0.0059645        0.000500262  -5.32699  1.11469   0.002425                1
        1422  -0.0767238        0.00693006       0.000581247  -5.32699  1.11469   0.002425                1
        1424  -0.0372093        0.00336092       0.000281892  -5.32699  1.11469   0.002425                1
        1426  -0.0334305        0.0030196        0.000253264  -5.32699  1.11469   0.002425                1
        1428  -0.113437         0.0102462        0.000859382  -5.32699  1.11469   0.002425                1
        1430  -0.186704         0.016864         0.00141444   -5.32699  1.11469   0.002425                1
        1432  -0.0807452        0.00729329       0.000611712  -5.32699  1.11469   0.002425                1
        1434   0.129971         0.000984635      0.0117396    -5.32699  1.11469   0.002425                1
        1436   0.21127          0.00160055       0.0190829    -5.32699  1.11469   0.002425                1
        1438   0.101672         0.000770247      0.00918346   -5.32699  1.11469   0.002425                1
        1440   0.116961         0.000886079      0.0105645    -5.32699  1.11469   0.002425                1
        1442  -0.109489         0.00988961       0.000829474  -5.32699  1.11469   0.002425                1
        1444  -0.306984         0.0277283        0.00232566   -5.32699  1.11469   0.002425                1
        1446  -0.0781842        0.00706197       0.000592311  -5.32699  1.11469   0.002425                1
        1448  -0.0287248        0.00259456       0.000217614  -5.32699  1.11469   0.002425                1
        1450   0.00590162       4.47097e-05      0.000533062  -5.32699  1.11469   0.002425                1
        1452  -0.049468         0.00446818       0.000374761  -5.32699  1.11469   0.002425                1
        1454  -0.237484         0.0214507        0.00179914   -5.32699  1.11469   0.002425                1
        1456   0.0174132        0.000131919      0.00157284   -5.32699  1.11469   0.002425                1
        1458   0.1889           0.00143107       0.0170623    -5.32699  1.11469   0.002425                1
        1460   0.0817981        0.000619689      0.0073884    -5.32699  1.11469   0.002425                1
        1462  -0.0296251        0.00267588       0.000224435  -5.32699  1.11469   0.002425                1
        1464   0.0590025        0.000446993      0.00532939   -5.32699  1.11469   0.002425                1
        1466   0.0535137        0.000405411      0.00483361   -5.32699  1.11469   0.002425                1
        1468   0.0128916        9.76647e-05      0.00116443   -5.32699  1.11469   0.002425                1
        1470   0.12092          0.000916067      0.010922     -5.32699  1.11469   0.002425                1
        1472   0.265711         0.00201298       0.0240003    -5.32699  1.11469   0.002425                1
        1474   0.377838         0.00286244       0.0341282    -5.32699  1.11469   0.002425                1
        1476   0.454638         0.00344426       0.041065     -5.32699  1.11469   0.002425                1
        1478   0.359042         0.00272004       0.0324304    -5.32699  1.11469   0.002425                1
        1480   0.017815         0.000134963      0.00160913   -5.32699  1.11469   0.002425                1
        1482   0.0197596        0.000149695      0.00178478   -5.32699  1.11469   0.002425                1
        1484   0.159237         0.00120635       0.014383     -5.32699  1.11469   0.002425                1
        1486   0.11787          0.000892961      0.0106466    -5.32699  1.11469   0.002425                1
        1488   0.123651         0.000936763      0.0111688    -5.32699  1.11469   0.002425                1
        1490   0.177372         0.00134374       0.0160211    -5.32699  1.11469   0.002425                1
        1492   0.233923         0.00177216       0.0211291    -5.32699  1.11469   0.002425                1
        1494   0.234098         0.00177348       0.0211448    -5.32699  1.11469   0.002425                1
        1496   0.0892611        0.000676227      0.00806249   -5.32699  1.11469   0.002425                1
        1498  -0.0284452        0.0025693        0.000215496  -5.32699  1.11469   0.002425                1
        1500   0.0306784        0.000232414      0.00277102   -5.32699  1.11469   0.002425                1
        1502   0.187562         0.00142094       0.0169415    -5.32699  1.11469   0.002425                1
        1504   0.174937         0.00132529       0.0158012    -5.32699  1.11469   0.002425                1
        1506   0.157132         0.00119041       0.014193     -5.32699  1.11469   0.002425                1
        1508   0.244699         0.0018538        0.0221023    -5.32699  1.11469   0.002425                1
        1510   0.231707         0.00175538       0.0209289    -5.32699  1.11469   0.002425                1
        1512  -0.0997353        0.00900857       0.000755578  -5.32699  1.11469   0.002425                1
        1514  -0.135396         0.0122296        0.00102574   -5.32699  1.11469   0.002425                1
        1516   0.0307696        0.000233105      0.00277925   -5.32699  1.11469   0.002425                1
        1518   0.0716244        0.000542614      0.00646945   -5.32699  1.11469   0.002425                1
        1520  -0.0687221        0.00620731       0.000520627  -5.32699  1.11469   0.002425                1
        1522  -0.103429         0.00934222       0.000783562  -5.32699  1.11469   0.002425                1
        1524  -0.0668137        0.00603493       0.000506169  -5.32699  1.11469   0.002425                1
        1526   0.00492385       3.73022e-05      0.000444745  -5.32699  1.11469   0.002425                1
        1528   0.130508         0.000988704      0.0117881    -5.32699  1.11469   0.002425                1
        1530   0.131872         0.000999038      0.0119113    -5.32699  1.11469   0.002425                1
