# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 10.000000 and phase < 12.000000
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  ----------  -------------
        1892  -0.088094         0.436589         0.00192854   10.1315  1.13157   0.005871                1
        1894  -0.0244172        0.230022         0.251119     10.1974  1.1171    0.00584418              2
        1896   0.124601         0.00210066       0.583414     10.199   1.11676   0.00584355              2
        1898   0.103571         0.0114718        0.375566     10.1986  1.11685   0.00584371              2
        1900  -0.0207359        0.245118         0.316946     10.1988  1.1168    0.00584363              2
        1902  -0.10439          0.379054         0.0170986    10.2034  1.1158    0.00584176              2
        1904  -0.0383329        0.910067         0.291486     10.2072  1.11495   0.0058402               2
        1906   0.0530374        0.524749         0.519522     10.205   1.11544   0.0058411               2
        1908   0.0810846        0.00888734       0.295042     10.201   1.11631   0.00584272              2
        1910   0.101278         0.0153656        0.347023     10.2015  1.1162    0.00584252              2
        1912   0.226612         0.0621244        1.11663      10.2037  1.11573   0.00584164              2
        1914   0.305575         0.135854         1.53137      10.2033  1.11581   0.00584179              2
        1916   0.122757         0.00898659       0.49614      10.5771  1.12247   0.00585413              2
        1918  -0.013328         0.218            0.556186     10.5694  1.12242   0.00585405              2
        1920  -0.156575         0.851663         0.347304     10.5621  1.12213   0.00585351              2
        1922  -0.0761662        0.345644         0.00183025   10.5548  1.12183   0.00585295              2
        1924   0.0293131        0.000494192      0.135226     10.5461  1.12197   0.00585321              2
        1926   0.0469324        0.00454957       0.178771     10.5372  1.12212   0.00585348              2
        1928   0.0305227        0.178575         0.199621     10.5296  1.1218    0.00585289              2
        1930  -0.00442648       0.445667         0.11399      10.5217  1.12158   0.00585249              2
        1932  -0.0601006        0.473097         0.0129548    10.5134  1.12153   0.00585239              2
        1934  -0.03654          0.358864         0.00956135   10.5047  1.12165   0.00585261              2
        1936   0.0639716        0.338073         0.407739     10.4959  1.12179   0.00585287              2
        1938   0.0199634        0.401695         0.216077     10.488   1.12172   0.00585274              2
        1940   0.0474219        0.50527          0.378754     10.48    1.12173   0.00585277              2
        1942   0.078869         0.489115         0.522807     10.4718  1.12188   0.00585303              2
        1944  -0.0119098        0.234007         0.00986161   10.4636  1.1221    0.00585344              2
        1946   0.010681         0.236734         0.118853     10.4562  1.12216   0.00585355              2
        1948   0.0338509        0.329066         0.258158     10.4498  1.122     0.00585326              2
        1950   0.0253764        0.1411           0.162416     10.443   1.12211   0.00585346              2
        1952   0.0459578        0.307826         0.309382     10.4369  1.12208   0.00585341              2
        1954   0.116729         0.695317         0.763292     10.4314  1.12197   0.00585321              2
        1956   0.0479726        1.01368          0.533087     10.4268  1.12174   0.00585278              2
        1958  -0.0446172        0.984438         0.0787561    10.4217  1.12176   0.00585282              2
        1960  -0.0129193        0.73442          0.149838     10.4162  1.12205   0.00585336              2
        1962   0.0428794        0.486793         0.341899     10.411   1.12235   0.00585392              2
        1964   0.0833765        0.522795         0.544114     10.4067  1.1225    0.00585419              2
        1966   0.0165701        0.599192         0.244058     10.4033  1.1225    0.00585419              2
        1968  -0.0984236        0.449705         0.0115084    10.3999  1.12262   0.00585441              2
        1970   0.00103973       0.613849         0.170254     10.3972  1.12266   0.00585449              2
        1972   0.059523         0.615629         0.449484     10.3946  1.12278   0.00585472              2
        1974  -0.00976322       0.435311         0.0663904    10.3922  1.12295   0.00585502              2
        1976  -0.113599         0.480974         0.0120762    10.391   1.1229    0.00585493              2
        1978  -0.0983443        0.587446         0.0144008    10.3899  1.12291   0.00585495              2
        1980   0.0225502        0.72038          0.291948     10.3885  1.12312   0.00585534              2
        1982   0.0437087        0.846374         0.423692     10.3879  1.1232    0.00585549              2
        1984  -0.0300028        0.641657         0.0174591    10.3879  1.1232    0.00585548              2
        1986   0.029505         0.302058         0.216349     10.3876  1.12338   0.00585582              2
        1988  -0.0180549        0.110608         0.103513     10.3864  1.12392   0.00585682              2
        1990  -0.0761135        0.38949          0.106184     10.3865  1.12419   0.00585733              2
        1992  -0.00285659       0.228286         0.0367589    10.3877  1.1242    0.00585734              2
        1994   0.0470515        0.373421         0.307823     10.389   1.12429   0.0058575               2
        1996  -0.0092328        0.281239         0.016565     10.3907  1.12434   0.0058576               2
        1998  -0.0344444        0.248951         0.00511572   10.3931  1.12427   0.00585746              2
        2000   0.0292964        0.403473         0.231242     10.3961  1.12411   0.00585717              2
        2002   0.0740832        0.594568         0.490231     10.3989  1.12406   0.00585708              2
        2004   0.0771226        0.617107         0.509138     10.4016  1.1241    0.00585716              2
        2006   0.037117         0.398284         0.266585     10.4044  1.1242    0.00585733              2
        2008  -0.0189829        0.217128         0.00422185   10.4071  1.12436   0.00585763              2
        2010  -0.0195631        0.194645         0.00373022   10.4099  1.12456   0.005858                2
        2012  -0.0156196        0.133855         0.00258      10.4134  1.12462   0.00585812              2
        2014  -0.04051          0.211231         0.0778096    10.4175  1.12453   0.00585794              2
        2016  -0.0261262        0.195024         0.33043      10.4214  1.12456   0.00585801              2
        2018   0.0831963        0.00765442       0.384282     10.4247  1.12481   0.00585846              2
        2020   0.0855816        0.00767955       0.388221     10.4287  1.12487   0.00585858              2
        2022   0.0418381        0.00695347       0.36599      10.4336  1.12471   0.00585829              2
        2024   0.0490983        0.00434002       0.208293     10.4387  1.12451   0.00585791              2
        2026   0.0825588        0.0545015        0.408838     10.4438  1.12431   0.00585754              2
        2028   0.054167         0.004011         0.261234     10.4486  1.12424   0.00585742              2
        2030   0.0431656        0.00529325       0.256652     10.4529  1.12435   0.00585762              2
        2032   0.025569         0.00729572       0.389435     10.4572  1.12449   0.00585788              2
        2034  -0.0698519        0.446895         0.540337     10.4613  1.12471   0.00585828              2
        2036  -0.0735479        0.470487         0.586763     10.4655  1.12492   0.00585867              2
        2038   0.0241627        0.00677285       0.38477      10.4703  1.12492   0.00585867              2
        2040   0.0567329        0.0051096        0.256436     10.4755  1.12483   0.0058585               2
        2042  -0.0543712        0.340382         0.389734     10.4804  1.1248    0.00585846              2
        2044   0.0259479        0.00699475       0.393274     10.485   1.12487   0.00585858              2
        2046   0.0730753        0.00753103       0.396029     10.4894  1.12498   0.00585879              2
        2048  -0.00779705       0.139412         0.5279       10.4938  1.12511   0.00585902              2
        2050  -0.0387743        0.304197         0.618        10.4982  1.12519   0.00585918              2
        2052   0.0287034        0.0100749        0.608147     10.5026  1.12523   0.00585924              2
        2054   0.0262257        0.00918231       0.546487     10.5072  1.12514   0.00585908              2
        2056   0.0113274        0.00469027       0.267819     10.5123  1.12482   0.00585849              2
        2058   0.100334         0.137052         0.511941     10.5174  1.1244    0.00585771              2
        2060   0.0972106        0.125854         0.494934     10.5214  1.12429   0.0058575               2
        2062   0.0733612        0.00194057       0.33161      10.5243  1.1245    0.00585789              2
        2064   0.107293         0.00430121       0.464889     10.5268  1.12468   0.00585822              2
        2066   0.150885         0.00484202       0.664261     10.5293  1.12477   0.0058584               2
        2068   0.0936423        0.00647373       0.382131     10.5314  1.12487   0.00585858              2
        2070   0.0475548        0.00649112       0.345885     10.5331  1.12496   0.00585875              2
        2072   0.0416052        0.00791296       0.44369      10.5344  1.12504   0.00585889              2
        2074   0.0404409        0.0112751        0.660116     10.5353  1.12512   0.00585904              2
        2076   0.0518294        0.0111243        0.625385     10.5363  1.12498   0.00585879              2
        2078   0.0264243        0.00648507       0.350825     10.5373  1.12466   0.00585818              2
        2080   0.0221519        0.00303563       0.15031      10.5376  1.12446   0.00585783              2
        2082   0.0586715        0.00205708       0.256761     10.5374  1.12425   0.00585742              2
        2084   0.00872493       0.00299563       0.153764     10.5365  1.12414   0.00585723              2
        2086   0.0255721        0.00298632       0.141634     10.5349  1.12415   0.00585725              2
        2088   0.1041           0.00460705       0.447231     10.533   1.12411   0.00585717              2
        2090   0.117097         0.00809491       0.477729     10.5308  1.12405   0.00585706              2
        2092   0.047722         0.00859185       0.415108     10.5281  1.12405   0.00585706              2
        2094  -0.0156822        0.102496         0.113644     10.5263  1.12364   0.00585631              2
        2096  -0.0182737        0.274467         0.00619271   10.5249  1.123     0.00585511              2
        2098   0.0501676        0.23565          0.303203     10.5219  1.12285   0.00585483              2
        2100   0.0792923        0.125016         0.414357     10.5185  1.12276   0.00585467              2
        2102   0.00971416       0.000316886      0.0427062    10.5153  1.12257   0.00585431              2
        2104  -0.0192152        0.0774606        0.00142876   10.5127  1.12215   0.00585354              2
        2106   0.10292          0.34648          0.59875      10.5101  1.12166   0.00585263              2
        2108   0.215638         0.381968         1.15492      10.5071  1.12132   0.00585201              2
        2110   0.149453         0.0133839        0.721677     10.5039  1.12104   0.00585148              2
        2112   0.0509962        0.00571079       0.186586     10.501   1.12063   0.00585073              2
        2114   0.0412831        0.00598165       0.185653     10.4979  1.12031   0.00585012              2
        2116   0.0263506        0.0091403        0.302415     10.4943  1.12017   0.00584986              2
        2118   0.0719046        0.00782453       0.263096     10.4914  1.11982   0.00584921              2
        2120   0.0968208        0.00483919       0.410703     10.4883  1.11951   0.00584864              2
        2122   0.0655831        0.0078436        0.231961     10.4852  1.11925   0.00584816              2
        2124   0.0873413        0.00689629       0.348167     10.4827  1.1188    0.00584733              2
        2126   0.111356         0.00343366       0.490952     10.4804  1.11829   0.00584638              2
        2128   0.147904         0.0306322        0.722123     10.4783  1.11775   0.00584539              2
        2130   0.170917         0.0685759        0.849772     10.4758  1.11739   0.00584471              2
        2132   0.0778765        0.00523017       0.31838      10.473   1.11712   0.00584422              2
        2134   0.020832         0.00757092       0.189029     10.4713  1.11657   0.0058432               2
        2136   0.111799         0.0283807        0.549516     10.4704  1.11578   0.00584174              2
        2138   0.19992          0.126929         1.02302      10.4688  1.11523   0.00584071              2
        2140   0.0440693        0.0049617        0.158534     10.4669  1.11483   0.00583998              2
        2142   0.0555451        0.00275236       0.235529     10.4656  1.11428   0.00583895              2
        2144   0.170661         0.0856949        0.86469      10.4633  1.11405   0.00583853              2
        2146   0.189417         0.00319341       0.888217     10.4618  1.11364   0.00583777              2
        2148   0.0654411        0.0127031        0.242208     10.461   1.11304   0.00583665              2
        2150  -0.00634652       0.27026          0.403336     10.459   1.11285   0.00583629              2
        2152   0.032072         0.0103689        0.196373     10.4588  1.11218   0.00583506              2
        2154   0.141314         0.0925581        0.736062     10.4593  1.11132   0.00583346              2
        2156   0.195775         0.0871139        0.993929     10.4584  1.11095   0.00583279              2
        2158   0.150098         0.00544984       0.653631     10.4561  1.11102   0.00583291              2
        2160   0.0455352        0.0110538        0.194727     10.4536  1.11121   0.00583326              2
        2162  -0.0507631        0.321743         0.117758     10.4536  1.11071   0.00583233              2
        2164  -0.0634793        0.256134         0.00456731   10.4556  1.10967   0.0058304               2
        2166   0.00215441       0.216973         0.168862     10.4564  1.10902   0.00582919              2
        2168   0.0867463        0.253929         0.601403     10.4556  1.10889   0.00582896              2
        2170   0.0984925        0.192425         0.613074     10.455   1.10878   0.00582876              2
        2172   0.050963         0.132433         0.342236     10.4546  1.10863   0.00582848              2
        2174   0.149322         0.19155          0.855396     10.4534  1.10878   0.00582876              2
        2176   0.175569         0.00295993       0.817768     10.452   1.10902   0.0058292               2
        2178   0.261683         0.0122611        1.11453      10.4506  1.10932   0.00582975              2
