# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -2.000000 and phase < 0.000000
# N = 95
# N_spec = 145
# phase = -0.94
# dm15 = 1.18
# z = 0.012

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper      Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  ---------  --------  ----------  -------------
        1618  -0.0190912        0.000381399      0.000505035  -0.8       0.92      0.00389                 1
        1620  -0.00885082       0.000176819      0.000234138  -0.8       0.92      0.00389                 1
        1622  -0.037769         0.000754538      0.000999134  -0.8       0.92      0.00389                 1
        1624  -0.00354385       7.07979e-05      9.37482e-05  -0.8       0.92      0.00389                 1
        1626  -0.00182194       3.63981e-05      4.81971e-05  -0.8       0.92      0.00389                 1
        1628  -0.0108261        0.000216281      0.000286392  -0.8       0.92      0.00389                 1
        1630  -0.00468065       9.35085e-05      0.000123821  -0.8       0.92      0.00389                 1
        1632   0.00705389       0.000186602      0.000140921  -0.8       0.92      0.00389                 1
        1634   0.0228871        0.00060545       0.000457231  -0.8       0.92      0.00389                 1
        1636   0.00358352       9.47977e-05      7.15904e-05  -0.8       0.92      0.00389                 1
        1638  -0.0189631        0.00037884       0.000501647  -0.8       0.92      0.00389                 1
        1640  -0.00257533       5.14492e-05      6.81272e-05  -0.8       0.92      0.00389                 1
        1642  -0.010729         0.000214341      0.000283823  -0.8       0.92      0.00389                 1
        1644  -0.0198342        0.000396242      0.000524691  -0.8       0.92      0.00389                 1
        1646  -0.0265463        0.000530335      0.000702251  -0.8       0.92      0.00389                 1
        1648  -0.0109133        0.000218022      0.000288698  -0.8       0.92      0.00389                 1
        1650  -0.0292006        0.000583361      0.000772467  -0.8       0.92      0.00389                 1
        1652  -0.00600578       0.000119982      0.000158875  -0.8       0.92      0.00389                 1
        1654  -0.0089174        0.000178149      0.000235899  -0.8       0.92      0.00389                 1
        1656   0.00420672       0.000111284      8.40404e-05  -0.8       0.92      0.00389                 1
        1658  -0.0089422        0.000178644      0.000236555  -0.8       0.92      0.00389                 1
        1660  -0.0194811        0.000389187      0.000515348  -0.8       0.92      0.00389                 1
        1662   0.00586033       0.000155028      0.000117076  -0.8       0.92      0.00389                 1
        1664   0.00833031       0.000220368      0.00016642   -0.8       0.92      0.00389                 1
        1666   0.00624345       0.000165163      0.00012473   -0.8       0.92      0.00389                 1
        1668  -0.000521883      1.0426e-05       1.38058e-05  -0.8       0.92      0.00389                 1
        1670   0.00121641       3.21786e-05      2.4301e-05   -0.8       0.92      0.00389                 1
        1672   0.00515785       0.000136445      0.000103042  -0.8       0.92      0.00389                 1
        1674   0.00600821       0.00015894       0.00012003   -0.8       0.92      0.00389                 1
        1676   0.00798894       0.000211338      0.0001596    -0.8       0.92      0.00389                 1
        1678  -0.00238557       4.76582e-05      6.31073e-05  -0.8       0.92      0.00389                 1
