# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 88 and phase < 98
# N = 17
# N_spec = 28
# phase = 92.19
# dm15 = 1.05
# z = 0.008

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  --------  ----------  -------------
        3048   0.218787        0.00503415       0.00231921   97.3785  0.71      0.0742                  1
        3050   0.291523        0.00670777       0.00309024   97.3785  0.71      0.0742                  1
        3052   0.321571        0.00739916       0.00340876   97.3785  0.71      0.0742                  1
        3054   0.285177        0.00656175       0.00302297   97.3785  0.71      0.0742                  1
        3056   0.1452          0.00334096       0.00153917   97.3785  0.71      0.0742                  1
        3058   0.218081        0.00501791       0.00231173   97.3785  0.71      0.0742                  1
        3060   0.10445         0.00240333       0.0011072    97.3785  0.71      0.0742                  1
        3062   0.0235981       0.000542978      0.000250148  97.3785  0.71      0.0742                  1
        3064   0.0107064       0.000246348      0.000113491  97.3785  0.71      0.0742                  1
        3066  -0.0108544       0.000115061      0.000249754  97.3785  0.71      0.0742                  1
        3068   0.366176        0.00842548       0.00388158   97.3785  0.71      0.0742                  1
        3070   0.0258079       0.000593824      0.000273572  97.3785  0.71      0.0742                  1
        3072  -0.0725661       0.000769224      0.0016697    97.3785  0.71      0.0742                  1
        3074   0.388389        0.00893661       0.00411705   97.3785  0.71      0.0742                  1
        3076   0.314769        0.00724265       0.00333665   97.3785  0.71      0.0742                  1
        3078  -0.144247        0.00152907       0.00331905   97.3785  0.71      0.0742                  1
        3080   0.0720286       0.00165733       0.000763526  97.3785  0.71      0.0742                  1
        3082   0.285138        0.00656086       0.00302256   97.3785  0.71      0.0742                  1
        3084   0.0431005       0.000991715      0.000456879  97.3785  0.71      0.0742                  1
        3086   0.0513437       0.00118139       0.00054426   97.3785  0.71      0.0742                  1
        3088   0.0236662       0.000544545      0.00025087   97.3785  0.71      0.0742                  1
        3090   0.0102856       0.000236666      0.000109031  97.3785  0.71      0.0742                  1
        3092  -0.0852785       0.00090398       0.00196221   97.3785  0.71      0.0742                  1
        3094   0.224461        0.00516471       0.00237936   97.3785  0.71      0.0742                  1
        3096   0.0945304       0.00217509       0.00100205   97.3785  0.71      0.0742                  1
        3098  -0.109338        0.00115902       0.00251581   97.3785  0.71      0.0742                  1
        3100   0.0664144       0.00152815       0.000704014  97.3785  0.71      0.0742                  1
        3102  -0.0152205       0.303948         0.0619343    96.4634  0.766322  0.0629953               2
        3104   0.208928        0.10345          0.0191814    96.4661  0.76616   0.0630277               2
        3106   0.339302        0.201328         0.0379706    96.4627  0.766369  0.062986                2
        3108   0.076278        0.914236         0.185477     96.4617  0.766429  0.0629741               2
        3110   0.15211         0.671082         0.135079     96.4622  0.766396  0.0629806               2
        3112  -0.0776195       0.162653         0.0331524    96.4661  0.766156  0.0630284               2
        3114  -0.0704024       0.283268         0.0573693    96.4733  0.765712  0.0631167               2
        3116   0.0495435       0.338096         0.067836     96.4677  0.766058  0.0630478               2
        3118   0.20237         0.552323         0.109309     96.4697  0.765937  0.0630719               2
        3120   0.0307442       0.672468         0.134243     96.4754  0.765587  0.0631417               2
        3122  -0.0516735       0.931944         0.18686      96.4759  0.765555  0.0631479               2
        3124  -0.0156578       0.865427         0.17446      96.4704  0.765893  0.0630807               2
        3126   0.0654083       0.391408         0.0781544    96.4706  0.765882  0.063083                2
        3128   0.153078        0.104728         0.0197419    96.469   0.765976  0.0630642               2
        3130  -0.0607332       0.0442928        0.221885     96.4667  0.766119  0.0630357               2
        3132  -0.163374        0.411219         0.0844924    96.4609  0.766476  0.0629648               2
        3134   0.184889        0.502272         0.102214     96.4484  0.767246  0.0628116               2
        3136   0.145213        0.00334126       0.00120358   96.4335  0.768161  0.0626296               2
        3138   0.100039        0.0623455        0.290649     96.4285  0.768468  0.0625684               2
        3140   0.141938        0.0305936        0.143494     96.4272  0.76855   0.0625522               2
        3142   0.155446        0.139173         0.0281696    96.4248  0.7687    0.0625224               2
        3144   0.148002        0.33626          0.0699839    96.4283  0.768486  0.0625649               2
        3146   0.169679        0.340337         0.0709597    96.4246  0.768712  0.0625199               2
        3148   0.237983        0.21136          0.0431312    96.4182  0.769102  0.0624423               2
        3150   0.347464        0.0503951        0.233262     96.4128  0.769438  0.0623754               2
        3152   0.269424        0.0197134        0.0156975    93.3111  1.01775   0.0292854               3
        3154   0.233342        0.255314         0.0916777    93.3908  1.01132   0.0301314               3
        3156   0.315843        0.101772         0.0453783    93.4651  1.00531   0.0309187               3
        3158   0.284631        0.098782         0.0466283    93.499   1.00257   0.031277                3
        3160   0.244419        0.244858         0.0865331    93.5535  0.998102  0.0318497               3
        3162   0.22398         0.269977         0.0929527    93.5959  0.994609  0.0322934               3
        3164   0.203896        0.155553         0.0594737    93.5485  0.998329  0.0317818               3
        3166   0.257332        0.181809         0.0640755    93.5765  0.995985  0.0320727               3
        3168   0.320877        0.119091         0.0404191    93.5606  0.997202  0.0318985               3
        3170   0.319652        0.151974         0.0552266    93.5774  0.995767  0.0320697               3
        3172   0.232701        0.126202         0.0434422    93.51    1.00109   0.0313432               3
        3174   0.205252        0.130962         0.0469943    93.5312  0.999266  0.0315586               3
        3176   0.246942        0.156644         0.0559872    93.5542  0.997282  0.031793                3
        3178   0.233281        0.103409         0.0335462    93.5209  0.99982   0.0314268               3
        3180   0.296307        0.0760952        0.0316877    93.5232  0.999481  0.0314379               3
        3182   0.298112        0.113393         0.0383571    93.5348  0.998422  0.0315506               3
        3184   0.225407        0.147481         0.0476716    93.4914  1.00183   0.0310818               3
        3186   0.286719        0.141276         0.049747     93.5378  0.997897  0.0315578               3
        3188   0.242793        0.208189         0.0763626    93.5499  0.99677   0.0316735               3
        3190   0.306472        0.0906677        0.0432218    93.514   0.999559  0.0312844               3
        3192   0.336153        0.0883267        0.0439111    93.4899  1.00134   0.0310149               3
        3194   0.32296         0.0583715        0.0205106    93.4754  1.00227   0.0308391               3
        3196   0.330604        0.090425         0.0329506    93.4332  1.0053    0.0303597               3
        3198   0.315633        0.178409         0.0619049    93.4677  1.00241   0.030717                3
        3200   0.294407        0.149704         0.0520828    93.4786  1.00144   0.030825                3
        3202   0.314752        0.0948792        0.0335427    93.4888  1.00036   0.0309113               3
        3204   0.30448         0.134868         0.0493193    93.5292  0.996794  0.0313134               3
        3206   0.254662        0.186064         0.0771134    93.5583  0.994073  0.0315906               3
        3208   0.249188        0.198904         0.111403     93.5883  0.991275  0.031878                3
        3210   0.274884        0.108976         0.0535343    93.543   0.994765  0.0313834               3
        3212   0.198744        0.0502858        0.0606261    94.227   0.968617  0.0213915               4
        3214   0.204145        0.0628674        0.0542508    94.246   0.967046  0.021447                4
        3216   0.207401        0.0952034        0.0827465    94.2465  0.966753  0.0214764               4
        3218   0.187404        0.0929872        0.0790952    94.2082  0.969077  0.0214491               4
        3220   0.213368        0.0605478        0.0654212    94.1933  0.969789  0.021441                4
        3222   0.228012        0.087539         0.0827767    94.2109  0.968281  0.0215309               4
