# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 98 and phase < 125
  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  --------  ----------  -------------
        2986  -0.147543        0.00564009       0.00958202   124.306  0.71      0.0742                  1
        2988  -0.0785617       0.00300316       0.00510211   124.306  0.71      0.0742                  1
        2990  -0.00963685      0.000368386      0.000625856  124.306  0.71      0.0742                  1
        2992   0.0592326       0.00384681       0.00226428   124.306  0.71      0.0742                  1
        2994   0.128041        0.00831549       0.0048946    124.306  0.71      0.0742                  1
        2996   0.196839        0.0127835        0.00752454   124.306  0.71      0.0742                  1
        2998   0.265258        0.0172269        0.01014      124.306  0.71      0.0742                  1
        3000   0.335488        0.021788         0.0128247    124.306  0.71      0.0742                  1
        3002   0.390525        0.0253623        0.0149286    124.306  0.71      0.0742                  1
        3004   0.397417        0.0258099        0.015192     124.306  0.71      0.0742                  1
        3006   0.321975        0.0209104        0.0123081    124.306  0.71      0.0742                  1
        3008   0.322643        0.0209537        0.0123336    124.306  0.71      0.0742                  1
        3010   0.260626        0.0169261        0.00996291   124.306  0.71      0.0742                  1
        3012   0.231344        0.0150244        0.00884356   124.306  0.71      0.0742                  1
        3014   0.277284        0.0180079        0.0105997    124.306  0.71      0.0742                  1
        3016   0.231585        0.0150401        0.00885276   124.306  0.71      0.0742                  1
        3018   0.512003        0.0332516        0.0195723    124.306  0.71      0.0742                  1
        3020   0.290044        0.0188366        0.0110875    124.306  0.71      0.0742                  1
        3022  -0.0385855       0.001475         0.0025059    124.306  0.71      0.0742                  1
        3024  -0.10121         0.00386893       0.00657298   124.306  0.71      0.0742                  1
        3026  -0.0813038       0.00310799       0.0052802    124.306  0.71      0.0742                  1
        3028   0.077864        0.0050568        0.00297649   124.306  0.71      0.0742                  1
        3030   0.0128843       0.000836759      0.000492526  124.306  0.71      0.0742                  1
        3032  -0.0101422       0.000387705      0.000658676  124.306  0.71      0.0742                  1
        3034   0.145808        0.00946935       0.00557377   124.306  0.71      0.0742                  1
        3036   0.192457        0.0124989        0.007357     124.306  0.71      0.0742                  1
        3038  -0.074464        0.00284652       0.00483599   124.306  0.71      0.0742                  1
        3040   0.339026        0.0220177        0.0129599    124.306  0.71      0.0742                  1
        3042   0.408965        0.0265598        0.0156334    124.306  0.71      0.0742                  1
        3044   0.0441726       0.00286875       0.00168858   124.306  0.71      0.0742                  1
        3046   0.305389        0.0198332        0.0116741    124.306  0.71      0.0742                  1
        3048   0.37047         0.0240598        0.0141619    124.306  0.71      0.0742                  1
        3050   0.168065        0.0109148        0.00642458   124.306  0.71      0.0742                  1
        3052   0.117488        0.00763013       0.00449118   124.306  0.71      0.0742                  1
        3054   0.0555165       0.00360547       0.00212222   124.306  0.71      0.0742                  1
        3056   0.256251        0.016642         0.00979568   124.306  0.71      0.0742                  1
        3058   0.081072        0.00526515       0.00309913   124.306  0.71      0.0742                  1
        3060   0.119934        0.007789         0.0045847    124.306  0.71      0.0742                  1
        3062   0.276037        0.0179269        0.010552     124.306  0.71      0.0742                  1
        3064   0.105942        0.00688028       0.00404982   124.306  0.71      0.0742                  1
        3066   0.232381        0.0150917        0.00888317   124.306  0.71      0.0742                  1
        3068   0.258507        0.0167885        0.00988192   124.306  0.71      0.0742                  1
        3070   0.0660428       0.00428909       0.00252461   124.306  0.71      0.0742                  1
        3072   0.134265        0.00871974       0.00513254   124.306  0.71      0.0742                  1
        3074   0.0923379       0.0059968        0.00352978   124.306  0.71      0.0742                  1
        3076   0.1523          0.00989097       0.00582194   124.306  0.71      0.0742                  1
        3078   0.269158        0.0174802        0.0102891    124.306  0.71      0.0742                  1
        3080   0.0571244       0.00370989       0.00218369   124.306  0.71      0.0742                  1
        3082  -0.0665797       0.00254513       0.00432396   124.306  0.71      0.0742                  1
        3084   0.322962        0.0209744        0.0123458    124.306  0.71      0.0742                  1
        3086   0.413661        0.0268648        0.015813     124.306  0.71      0.0742                  1
