# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 28 and phase < 29
  Wavelength        Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ----------  ---------------  ---------------  -------  -------  ----------  -------------
        3236   0.44861        0.00652289       0.00380147   28.9225  1.27     0.023586                1
        3238   0.193276       0.00281028       0.0016378    28.9225  1.27     0.023586                1
        3240   0.177161       0.00257596       0.00150124   28.9225  1.27     0.023586                1
        3242   0.317065       0.0046102        0.00268677   28.9225  1.27     0.023586                1
        3244   0.399986       0.00581589       0.00338943   28.9225  1.27     0.023586                1
        3246   0.407789       0.00592934       0.00345555   28.9225  1.27     0.023586                1
        3248   0.156469       0.00227509       0.0013259    28.9225  1.27     0.023586                1
        3250   0.274519       0.0273833        0.118072     28.9337  1.29368  0.0228453               2
        3252   0.435666       0.0209635        0.0793058    28.9337  1.29368  0.0228453               2
        3254   0.528825       0.12553          0.0245402    28.9337  1.29377  0.0228425               2
        3256   0.533086       0.0376211        0.152836     28.9338  1.29388  0.022839                2
        3258   0.515147       0.0140811        0.0392419    28.9338  1.29396  0.0228366               2
        3260   0.501347       0.269019         0.0548935    28.9339  1.29406  0.0228333               2
        3262   0.51735        0.0430452        0.176389     28.9339  1.2942   0.0228292               2
        3264   0.357612       0.187786         0.038905     28.934   1.29437  0.0228236               2
        3266   0.20787        0.0859594        0.0644846    28.9589  1.32442  0.0200443               3
        3268   0.301702       0.0577621        0.0551515    28.9588  1.32439  0.0200484               3
        3270   0.26529        0.0562367        0.0594261    28.9589  1.32447  0.020046                3
        3272   0.257823       0.0977324        0.134397     28.9589  1.32451  0.0200451               3
        3274   0.075828       0.100072         0.097417     28.9589  1.32454  0.0200455               3
        3276   0.104695       0.0589566        0.0560116    28.9589  1.32463  0.0200421               3
        3278   0.327735       0.0936241        0.0773774    28.959   1.3247   0.0200409               3
        3280   0.33735        0.22823          0.155764     28.9589  1.32469  0.0200451               3
        3282   0.256576       0.149736         0.106562     28.9589  1.32473  0.0200467               3
        3284   0.186286       0.200437         0.165514     28.9589  1.32476  0.0200479               3
        3286   0.148525       0.166009         0.12083      28.959   1.32486  0.0200455               3
        3288   0.201219       0.117788         0.084879     28.9591  1.32507  0.0200364               3
        3290   0.284283       0.0780894        0.0669864    28.9592  1.32532  0.0200243               3
        3292   0.327786       0.0460143        0.0396495    28.9594  1.32554  0.0200118               3
        3294   0.350958       0.0565564        0.056832     28.9593  1.32548  0.0200209               3
        3296   0.285679       0.101262         0.117469     28.9593  1.32547  0.0200261               3
        3298   0.442827       0.171766         0.190587     28.9593  1.32548  0.0200283               3
        3300   0.499451       0.0278086        0.0318482    28.9592  1.32546  0.0200331               3
        3302   0.12404        0.0509944        0.107823     28.946   1.59841  0.0165487               4
        3304   0.301941       0.0430823        0.0843143    28.9459  1.59965  0.0165349               4
        3306   0.3647         0.0800959        0.0929438    28.9458  1.60067  0.0165217               4
        3308   0.321747       0.0433051        0.0322199    28.9457  1.60208  0.0165065               4
        3310   0.354129       0.0855397        0.114919     28.9457  1.60338  0.0164897               4
        3312   0.190428       0.0674844        0.106832     28.9456  1.60439  0.0164799               4
        3314  -0.0145094      0.0586101        0.0837489    28.9455  1.60522  0.0164763               4
        3316   0.112417       0.134187         0.156616     28.9454  1.60709  0.0164559               4
        3318   0.271062       0.219947         0.28196      28.9454  1.60802  0.016446                4
        3320   0.422396       0.188764         0.121439     28.9454  1.6089   0.0164324               4
        3322   0.429698       0.033817         0.0266232    28.9315  1.58085  0.0164541               5
        3324   0.304969       0.0730689        0.122305     28.9313  1.58     0.0164618               5
        3326   0.288007       0.049368         0.124489     28.9312  1.57914  0.0164676               5
        3328   0.402925       0.105885         0.15752      28.931   1.57895  0.0164668               5
        3330   0.332001       0.12474          0.110927     28.9309  1.58019  0.0164513               5
        3332   0.241821       0.115217         0.0925504    28.9307  1.58061  0.0164405               5
        3334   0.244559       0.228721         0.120718     28.9306  1.58147  0.0164244               5
        3336   0.289862       0.234522         0.103572     28.9305  1.58236  0.0164115               5
        3338   0.118439       0.129131         0.100271     28.9304  1.58262  0.0164037               5
        3340   0.101339       0.0597135        0.0605235    28.9303  1.58287  0.0163994               5
        3342   0.192389       0.0578896        0.0426515    28.9302  1.58312  0.0163937               5
        3344   0.212897       0.042215         0.0689219    28.93    1.58336  0.0163851               5
        3346   0.0808504      0.0934514        0.205509     28.9299  1.58315  0.0163857               5
        3348   0.0980909      0.0740197        0.12579      28.9297  1.58339  0.016377                5
        3350   0.216693       0.100408         0.11828      28.9296  1.58348  0.0163718               5
        3352   0.323297       0.112613         0.151258     28.9295  1.58353  0.0163643               5
        3354   0.298481       0.111949         0.262427     28.9296  1.58468  0.0163353               5
        3356   0.21785        0.121717         0.280743     28.9295  1.58374  0.0163509               5
        3358   0.295851       0.072874         0.153178     28.9294  1.58279  0.0163661               5
        3360   0.274402       0.0702533        0.168129     28.9292  1.58291  0.0163579               5
        3362   0.27044        0.0349847        0.0228451    28.9291  1.58253  0.016359                5
        3364   0.408251       0.118425         0.0790696    28.9291  1.5825   0.0163536               5
        3366   0.327739       0.085491         0.0788176    28.9289  1.58225  0.0163474               5
        3368   0.23635        0.0420384        0.12445      28.9289  1.58206  0.0163439               5
        3370   0.150152       0.0474499        0.1622       28.9287  1.58111  0.0163451               5
        3372  -0.0052765      0.0780725        0.108867     28.9291  1.58111  0.0163476               5
        3374   0.0841273      0.0395803        0.0500458    28.685   1.22503  0.0121158               7
        3376   0.148411       0.0324053        0.0510623    28.6854  1.22427  0.0121229               7
        3378   0.178191       0.0926551        0.0734337    28.6855  1.22344  0.0121231               7
        3380   0.153318       0.0735882        0.117487     28.6858  1.22256  0.012126                7
        3382   0.155199       0.0536408        0.0942261    28.687   1.22199  0.0121399               7
        3384   0.158624       0.0220104        0.0441796    28.6879  1.22124  0.0121485               7
        3386   0.168019       0.0174886        0.028784     28.6888  1.22067  0.0121577               7
        3388   0.148829       0.0263267        0.0506877    28.6889  1.21961  0.0121589               7
        3390   0.14282        0.0170871        0.0283014    28.6886  1.21758  0.0121576               7
        3392   0.167378       0.0275056        0.0434482    28.6896  1.21768  0.0121658               7
        3394   0.231488       0.0426332        0.0829775    28.6904  1.2181   0.0121695               7
        3396   0.212957       0.0294881        0.0493849    28.6905  1.21731  0.0121689               7
        3398   0.190324       0.0302801        0.0395597    28.6913  1.21679  0.0121751               7
        3400   0.211108       0.0326321        0.0563598    28.6914  1.21614  0.012175                7
        3402   0.197736       0.0375252        0.0523187    28.6956  1.21525  0.0122275               7
        3404   0.194326       0.0342227        0.0600365    28.6974  1.21462  0.012249                7
        3406   0.222832       0.0414695        0.0723644    28.6927  1.21395  0.0121962               7
        3408   0.223916       0.0499541        0.104148     28.6934  1.21331  0.0122043               7
        3410   0.245605       0.0456719        0.0922845    28.6936  1.21275  0.0122044               7
        3412   0.188045       0.0413446        0.0560464    28.6941  1.21236  0.0122102               7
        3414   0.203961       0.0567958        0.04382      28.6952  1.21202  0.0122208               7
        3416   0.234652       0.0712342        0.0618348    28.6959  1.21165  0.0122259               7
        3418   0.193944       0.0600982        0.0537489    28.6968  1.21146  0.012233                7
