# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 42 and phase < 44
  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  --------  ----------  -------------
        2982  0.144852       0.00524664       0.000629297  42.5917  0.71      0.0742                  1
        2984  0.173434       0.00628188       0.000753466  42.5917  0.71      0.0742                  1
        2986  0.140498       0.00508892       0.000610379  42.5917  0.71      0.0742                  1
        2988  0.0795449      0.00288117       0.000345575  42.5917  0.71      0.0742                  1
        2990  0.0733555      0.00265698       0.000318686  42.5917  0.71      0.0742                  1
        2992  0.199218       0.00721579       0.000865482  42.5917  0.71      0.0742                  1
        2994  0.228143       0.00826348       0.000991144  42.5917  0.71      0.0742                  1
        2996  0.233763       0.00846705       0.00101556   42.5917  0.71      0.0742                  1
        2998  0.244452       0.00885423       0.001062     42.5917  0.71      0.0742                  1
        3000  0.255851       0.0092671        0.00111152   42.5917  0.71      0.0742                  1
        3002  0.223178       0.00808364       0.000969574  42.5917  0.71      0.0742                  1
        3004  0.191124       0.00692264       0.000830321  42.5917  0.71      0.0742                  1
        3006  0.150461       0.0054498        0.000653664  42.5917  0.71      0.0742                  1
        3008  0.095762       0.00346856       0.000416029  42.5917  0.71      0.0742                  1
        3010  0.0909465      0.00329414       0.000395108  42.5917  0.71      0.0742                  1
        3012  0.0659063      0.00238717       0.000286324  42.5917  0.71      0.0742                  1
        3014  0.128458       0.00465285       0.000558075  42.5917  0.71      0.0742                  1
        3016  0.0270694      0.000980472      0.000117601  42.5917  0.71      0.0742                  1
        3018  0.0875033      0.00316943       0.00038015   42.5917  0.71      0.0742                  1
        3020  0.156382       0.00566426       0.000679387  42.5917  0.71      0.0742                  1
        3022  0.256538       0.00929199       0.00111451   42.5917  0.71      0.0742                  1
        3024  0.226877       0.00821765       0.000985648  42.5917  0.71      0.0742                  1
        3026  0.147368       0.00533778       0.000640228  42.5917  0.71      0.0742                  1
        3028  0.0818073      0.00296311       0.000355404  42.5917  0.71      0.0742                  1
        3030  0.0988973      0.00358213       0.00042965   42.5917  0.71      0.0742                  1
        3032  0.137601       0.00498399       0.000597794  42.5917  0.71      0.0742                  1
        3034  0.157598       0.00570829       0.000684668  42.5917  0.71      0.0742                  1
        3036  0.18377        0.00665628       0.000798373  42.5917  0.71      0.0742                  1
        3038  0.131338       0.00475714       0.000570584  42.5917  0.71      0.0742                  1
        3040  0.112604       0.0040786        0.000489198  42.5917  0.71      0.0742                  1
        3042  0.130713       0.00473451       0.00056787   42.5917  0.71      0.0742                  1
        3044  0.220734       0.00799514       0.000958959  42.5917  0.71      0.0742                  1
        3046  0.146254       0.00529742       0.000635387  42.5917  0.71      0.0742                  1
        3048  0.16311        0.0456145        0.116324     42.8502  0.78372   0.0697102               2
        3050  0.168334       0.0524718        0.135097     42.8491  0.783409  0.0697291               2
        3052  0.0621985      0.128133         0.0439184    42.846   0.782536  0.0697823               2
        3054  0.115434       0.00689719       0.0153514    42.8414  0.781208  0.0698632               2
        3056  0.085772       0.00273058       0.000799754  42.8425  0.781519  0.0698442               2
        3058  0.126132       0.0121143        0.0305256    42.8398  0.78076   0.0698905               2
        3060  0.106334       0.134361         0.0420023    42.8359  0.779657  0.0699576               2
        3062  0.082329       0.122224         0.0386889    42.8358  0.779612  0.0699604               2
        3064  0.0138178      0.199728         0.0676792    42.8361  0.779703  0.0699548               2
        3066  0.017954       0.146419         0.0488929    42.8345  0.779245  0.0699827               2
        3068  0.0711584      0.0822324        0.0247137    42.8308  0.778204  0.0700461               2
        3070  0.142968       0.0928904        0.0250264    42.8274  0.777211  0.0701066               2
        3072  0.0896951      0.00533826       0.0127966    42.8254  0.776645  0.0701411               2
        3074  0.0717215      0.0108198        0.00173121   42.822   0.775694  0.070199                2
        3076  0.109355       0.0184145        0.00317126   42.8193  0.774912  0.0702466               2
        3078  0.126314       0.0670051        0.20699      42.8189  0.774796  0.0702537               2
        3080  0.170751       0.0763357        0.241264     42.8145  0.773534  0.0703306               2
        3082  0.0673263      0.0261423        0.00536933   42.8125  0.772975  0.0703646               2
        3084  0.0761534      0.105862         0.0284694    42.8102  0.772322  0.0704044               2
        3086  0.073867       0.0795408        0.0206697    42.8092  0.772046  0.0704212               2
