# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -9 and phase < -8
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1898   0.0699267         0.0570437       0.0187769    -8.3      1.19945   0.00301325              2
        1900   0.0825087         0.106223        0.0348019    -8.3      1.19992   0.00301461              2
        1902   0.0828242         0.150346        0.0492653    -8.3      1.2001    0.00301513              2
        1904   0.0387911         0.141734        0.0453148    -8.3      1.19919   0.00301251              2
        1906  -0.0490489         0.105637        0.0324699    -8.3      1.19792   0.00300888              2
        1908  -0.0628777         0.0995911       0.0306211    -8.3      1.19797   0.00300901              2
        1910  -0.0145218         0.0658607       0.0202571    -8.3      1.19785   0.00300867              2
        1912   0.0143382         0.0575977       0.0179103    -8.3      1.19795   0.00300897              2
        1914   0.0487023         0.108719        0.0346425    -8.3      1.19889   0.00301168              2
        1916   0.0588111         0.0795832       0.0251258    -8.3      1.19824   0.0030098               2
        1918   0.064471          0.00667321      0.00442932   -8.3      1.19727   0.00300703              2
        1920   0.0670903         0.00964831      0.0326188    -8.3      1.1966    0.00300511              2
        1922   0.0414636         0.00152336      0.00220205   -8.3      1.19624   0.00300406              2
        1924   0.00946508        0.0965252       0.0292754    -8.3      1.19696   0.00300614              2
        1926   0.0021322         0.136285        0.0416957    -8.3      1.19742   0.00300744              2
        1928   0.00990703        0.115742        0.0354957    -8.3      1.19747   0.00300758              2
        1930   0.0138245         0.0753887       0.0229574    -8.3      1.19707   0.00300645              2
        1932   0.0149383         0.00265377      0.00130338   -8.3      1.19607   0.00300359              2
        1934   0.0309347         0.0080447       0.0273658    -8.3      1.19613   0.00300376              2
        1936   0.0653821         0.00185013      0.00363484   -8.3      1.197     0.00300626              2
        1938   0.0677932         0.044696        0.014485     -8.3      1.19762   0.00300801              2
        1940   0.0109555         0.127795        0.0398639    -8.3      1.19822   0.00300975              2
