# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 21 and phase < 22
# N = 31
# N_spec = 32
# phase = 21.64
# dm15 = 1.06
# z = 0.01

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  ----------  -------------
        1900  -0.175034         0.20893          0.00112666   21.4596  1.47      0.006261                1
        1902  -0.0030498        0.0036404        1.96309e-05  21.4596  1.47      0.006261                1
        1904   0.0634718        0.000408554      0.0757631    21.4596  1.47      0.006261                1
        1906  -0.0304729        0.036374         0.000196148  21.4596  1.47      0.006261                1
        1908   0.0108001        6.9518e-05       0.0128916    21.4596  1.47      0.006261                1
        1910  -0.0341886        0.0408092        0.000220065  21.4596  1.47      0.006261                1
        1912  -0.0445658        0.0531959        0.00028686   21.4596  1.47      0.006261                1
        1914  -0.00175708       0.00209733       1.13099e-05  21.4596  1.47      0.006261                1
        1916  -0.101466         0.121115         0.000653117  21.4596  1.47      0.006261                1
        1918  -0.0873398        0.104253         0.000562187  21.4596  1.47      0.006261                1
        1920  -0.0816743        0.0974904        0.000525719  21.4596  1.47      0.006261                1
        1922  -0.113538         0.135524         0.000730817  21.4596  1.47      0.006261                1
        1924  -0.025122         0.0299868        0.000161705  21.4596  1.47      0.006261                1
        1926  -8.55556e-05      0.000102123      5.50702e-07  21.4596  1.47      0.006261                1
        1928   0.0158445        0.000101987      0.0189127    21.4596  1.47      0.006261                1
        1930   0.0262075        0.000168692      0.0312825    21.4596  1.47      0.006261                1
        1932  -0.034867         0.041619         0.000224431  21.4596  1.47      0.006261                1
        1934  -0.00969606       0.0115737        6.24114e-05  21.4596  1.47      0.006261                1
        1936   0.00781494       5.0303e-05       0.0093283    21.4596  1.47      0.006261                1
        1938   0.00507529       3.26685e-05      0.00605812   21.4596  1.47      0.006261                1
        1940   0.0729424        0.000469514      0.0870676    21.4596  1.47      0.006261                1
        1942   0.110008         0.0007081        0.131312     21.4596  1.47      0.006261                1
        1944   0.0369026        0.000237534      0.0440488    21.4596  1.47      0.006261                1
        1946  -0.0363702        0.0434133        0.000234107  21.4596  1.47      0.006261                1
        1948  -0.00517902       0.00618194       3.33362e-05  21.4596  1.47      0.006261                1
        1950  -0.0310408        0.0370518        0.000199803  21.4596  1.47      0.006261                1
        1952  -0.0493045        0.0588522        0.000317362  21.4596  1.47      0.006261                1
        1954  -0.0419195        0.0500371        0.000269826  21.4596  1.47      0.006261                1
        1956  -0.0447804        0.0534521        0.000288241  21.4596  1.47      0.006261                1
        1958  -0.0319754        0.0381674        0.000205818  21.4596  1.47      0.006261                1
        1960  -0.0490457        0.0585434        0.000315696  21.4596  1.47      0.006261                1
        1962  -0.0105831        0.0126326        6.81213e-05  21.4596  1.47      0.006261                1
        1964   0.0737165        0.000474497      0.0879916    21.4596  1.47      0.006261                1
        1966  -0.0401364        0.0479088        0.000258349  21.4596  1.47      0.006261                1
        1968  -0.078102         0.0932264        0.000502725  21.4596  1.47      0.006261                1
        1970  -0.0212681        0.0253866        0.000136898  21.4596  1.47      0.006261                1
        1972  -0.00794149       0.00947935       5.11176e-05  21.4596  1.47      0.006261                1
        1974  -0.0275552        0.0328913        0.000177367  21.4596  1.47      0.006261                1
        1976  -0.0269116        0.032123         0.000173224  21.4596  1.47      0.006261                1
        1978   0.00614003       3.9522e-05       0.00732904   21.4596  1.47      0.006261                1
        1980   0.0393082        0.000253018      0.0469202    21.4596  1.47      0.006261                1
        1982   0.0291822        0.000187839      0.0348333    21.4596  1.47      0.006261                1
        1984   0.0410128        0.00026399       0.0489549    21.4596  1.47      0.006261                1
        1986   0.0361978        0.000232997      0.0432075    21.4596  1.47      0.006261                1
        1988   0.00528638       3.40273e-05      0.00631008   21.4596  1.47      0.006261                1
        1990   0.0310405        0.000199801      0.0370515    21.4596  1.47      0.006261                1
        1992   0.0428923        0.000276088      0.0511984    21.4596  1.47      0.006261                1
        1994   0.0152813        9.83625e-05      0.0182406    21.4596  1.47      0.006261                1
        1996   0.00657101       4.22961e-05      0.00784349   21.4596  1.47      0.006261                1
        1998   0.0511762        0.00032941       0.0610864    21.4596  1.47      0.006261                1
        2000   0.00446724       2.87546e-05      0.00533231   21.4596  1.47      0.006261                1
        2002  -0.0332615        0.0397025        0.000214097  21.4596  1.47      0.006261                1
        2004  -0.00235771       0.00281428       1.51761e-05  21.4596  1.47      0.006261                1
        2006   0.00241236       1.55278e-05      0.00287951   21.4596  1.47      0.006261                1
        2008  -0.025202         0.0300824        0.00016222   21.4596  1.47      0.006261                1
        2010  -0.0406348        0.0485037        0.000261557  21.4596  1.47      0.006261                1
        2012  -0.0172376        0.0205757        0.000110955  21.4596  1.47      0.006261                1
        2014   0.0250044        0.000160948      0.0298465    21.4596  1.47      0.006261                1
        2016   0.0110329        7.10167e-05      0.0131695    21.4596  1.47      0.006261                1
        2018  -0.00548773       0.00655042       3.53233e-05  21.4596  1.47      0.006261                1
        2020   0.0233001        0.000149978      0.0278122    21.4596  1.47      0.006261                1
        2022   0.0831705        0.00053535       0.0992764    21.4596  1.47      0.006261                1
        2024   0.0925781        0.000595905      0.110506     21.4596  1.47      0.006261                1
        2026   0.0211682        0.000136255      0.0252674    21.4596  1.47      0.006261                1
        2028  -0.0520395        0.062117         0.000334967  21.4596  1.47      0.006261                1
        2030  -0.040613         0.0484777        0.000261417  21.4596  1.47      0.006261                1
        2032  -0.0374925        0.044753         0.000241331  21.4596  1.47      0.006261                1
        2034  -0.0481257        0.0574452        0.000309774  21.4596  1.47      0.006261                1
        2036  -0.0409448        0.0488737        0.000263552  21.4596  1.47      0.006261                1
        2038  -0.0145022        0.0173106        9.33475e-05  21.4596  1.47      0.006261                1
        2040  -0.0055816        0.00666247       3.59275e-05  21.4596  1.47      0.006261                1
        2042  -0.00180903       0.00215935       1.16443e-05  21.4596  1.47      0.006261                1
        2044  -0.0159625        0.0190536        0.000102747  21.4596  1.47      0.006261                1
