# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 28 and phase < 29
# N = 32
# N_spec = 36
# phase = 28.41
# dm15 = 1.18
# z = 0.011

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  -------  ----------  -------------
        2922   0.0843622        0.000949918      0.000572875  28.8526  1.05145  0.003896                1
        2924   0.0809527        0.000911526      0.000549722  28.8526  1.05145  0.003896                1
        2926   0.0804195        0.000905522      0.000546101  28.8526  1.05145  0.003896                1
        2928   0.0817447        0.000920444      0.0005551    28.8526  1.05145  0.003896                1
        2930   0.0842423        0.000948568      0.000572061  28.8526  1.05145  0.003896                1
        2932   0.0852797        0.000960249      0.000579105  28.8526  1.05145  0.003896                1
        2934   0.0820259        0.000923611      0.00055701   28.8526  1.05145  0.003896                1
        2936   0.0742096        0.000835599      0.000503932  28.8526  1.05145  0.003896                1
        2938   0.0687145        0.000773725      0.000466617  28.8526  1.05145  0.003896                1
        2940   0.0725351        0.000816744      0.000492561  28.8526  1.05145  0.003896                1
        2942   0.0818341        0.000921451      0.000555708  28.8526  1.05145  0.003896                1
        2944   0.0894753        0.00100749       0.000607596  28.8526  1.05145  0.003896                1
        2946   0.0903288        0.0010171        0.000613392  28.8526  1.05145  0.003896                1
        2948   0.0882944        0.000994193      0.000599577  28.8526  1.05145  0.003896                1
        2950   0.0873615        0.000983689      0.000593242  28.8526  1.05145  0.003896                1
        2952   0.0883235        0.000994522      0.000599775  28.8526  1.05145  0.003896                1
        2954   0.0902265        0.00101595       0.000612697  28.8526  1.05145  0.003896                1
        2956   0.092397         0.00104039       0.000627436  28.8526  1.05145  0.003896                1
        2958   0.094955         0.00106919       0.000644807  28.8526  1.05145  0.003896                1
        2960   0.0981544        0.00110522       0.000666533  28.8526  1.05145  0.003896                1
        2962   0.101101         0.00113839       0.00068654   28.8526  1.05145  0.003896                1
        2964   0.102615         0.00115544       0.000696821  28.8526  1.05145  0.003896                1
        2966   0.101672         0.00114483       0.000690421  28.8526  1.05145  0.003896                1
        2968   0.0989275        0.00111392       0.000671783  28.8526  1.05145  0.003896                1
        2970   0.094789         0.00106732       0.000643679  28.8526  1.05145  0.003896                1
        2972   0.0906853        0.00102112       0.000615813  28.8526  1.05145  0.003896                1
        2974   0.0879164        0.000989937      0.00059701   28.8526  1.05145  0.003896                1
        2976   0.0875484        0.000985794      0.000594511  28.8526  1.05145  0.003896                1
        2978   0.0889887        0.00100201       0.000604292  28.8526  1.05145  0.003896                1
