# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 27 and phase < 28
# N = 35
# N_spec = 39
# phase = 27.64
# dm15 = 1.23
# z = 0.012

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15     Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  -------  -----------  -------------
        1602   0.00936217       0.000114955      0.00011217   27       1.108    0.000804                 1
        1604   0.0124661        0.000153067      0.000149359  27       1.108    0.000804                 1
        1606   0.0137516        0.000168852      0.000164762  27       1.108    0.000804                 1
        1608   0.00937015       0.000115053      0.000112266  27       1.108    0.000804                 1
        1610  -0.00285775       3.42394e-05      3.50893e-05  27       1.108    0.000804                 1
        1612   0.000821117      1.00822e-05      9.83799e-06  27       1.108    0.000804                 1
        1614   0.00589724       7.24102e-05      7.06563e-05  27       1.108    0.000804                 1
        1616   0.00235752       2.89471e-05      2.8246e-05   27       1.108    0.000804                 1
        1618   0.00521344       6.4014e-05       6.24635e-05  27       1.108    0.000804                 1
        1620   0.0054648        6.71004e-05      6.54751e-05  27       1.108    0.000804                 1
        1622   0.00600352       7.37151e-05      7.19296e-05  27       1.108    0.000804                 1
        1624  -0.00220974       2.64754e-05      2.71326e-05  27       1.108    0.000804                 1
        1626   0.00148892       1.82819e-05      1.78391e-05  27       1.108    0.000804                 1
        1628   0.00384539       4.72163e-05      4.60726e-05  27       1.108    0.000804                 1
        1630  -0.00223351       2.67602e-05      2.74245e-05  27       1.108    0.000804                 1
        1632  -0.000236455      2.83302e-06      2.90334e-06  27       1.108    0.000804                 1
        1634   0.00140725       1.72791e-05      1.68606e-05  27       1.108    0.000804                 1
        1636  -0.0006281        7.52541e-06      7.71222e-06  27       1.108    0.000804                 1
        1638   0.00472638       5.80335e-05      5.66278e-05  27       1.108    0.000804                 1
        1640   0.00318815       3.91462e-05      3.8198e-05   27       1.108    0.000804                 1
        1642   0.00028218       3.46479e-06      3.38087e-06  27       1.108    0.000804                 1
        1644   0.00210695       2.58705e-05      2.52439e-05  27       1.108    0.000804                 1
        1646   0.00120152       1.47531e-05      1.43958e-05  27       1.108    0.000804                 1
        1648   0.00268555       3.2975e-05       3.21763e-05  27       1.108    0.000804                 1
        1650   0.00318661       3.91273e-05      3.81795e-05  27       1.108    0.000804                 1
        1652   0.00190866       2.34357e-05      2.28681e-05  27       1.108    0.000804                 1
        1654   0.00330043       4.05249e-05      3.95433e-05  27       1.108    0.000804                 1
        1656   0.00324391       3.98309e-05      3.88661e-05  27       1.108    0.000804                 1
        1658   0.00171211       2.10224e-05      2.05132e-05  27       1.108    0.000804                 1
        1660   0.00125069       1.53567e-05      1.49848e-05  27       1.108    0.000804                 1
        1662   0.00176691       2.16952e-05      2.11697e-05  27       1.108    0.000804                 1
        1664   0.00191585       2.3524e-05       2.29542e-05  27       1.108    0.000804                 1
        1666   0.0024406        2.99673e-05      2.92414e-05  27       1.108    0.000804                 1
        1668   0.00274179       3.36655e-05      3.285e-05    27       1.108    0.000804                 1
        1670   0.000437656      5.37383e-06      5.24366e-06  27       1.108    0.000804                 1
        1672   0.00248707       3.05379e-05      2.97982e-05  27       1.108    0.000804                 1
        1674   0.00252791       3.10393e-05      3.02874e-05  27       1.108    0.000804                 1
        1676   0.00177457       2.17894e-05      2.12616e-05  27       1.108    0.000804                 1
        1678   0.00190745       2.34209e-05      2.28536e-05  27       1.108    0.000804                 1
        1680   0.00204065       2.50565e-05      2.44495e-05  27       1.108    0.000804                 1
        1682   0.00186349       2.28812e-05      2.23269e-05  27       1.108    0.000804                 1
        1684   0.00262861       3.22757e-05      3.1494e-05   27       1.108    0.000804                 1
        1686   0.00341487       4.193e-05        4.09143e-05  27       1.108    0.000804                 1
        1688   0.00256443       3.14877e-05      3.0725e-05   27       1.108    0.000804                 1
        1690   0.00133788       1.64273e-05      1.60294e-05  27       1.108    0.000804                 1
        1692   0.00201558       2.47486e-05      2.41491e-05  27       1.108    0.000804                 1
        1694   0.00148181       1.81946e-05      1.77539e-05  27       1.108    0.000804                 1
        1696   0.00280911       3.44921e-05      3.36566e-05  27       1.108    0.000804                 1
        1698   0.00257244       3.15861e-05      3.0821e-05   27       1.108    0.000804                 1
        1700   0.00147853       1.81544e-05      1.77146e-05  27       1.108    0.000804                 1
        1702   0.00224125       2.75195e-05      2.6853e-05   27       1.108    0.000804                 1
        1704   0.00223396       2.74301e-05      2.67657e-05  27       1.108    0.000804                 1
        1706   0.00139548       1.71346e-05      1.67196e-05  27       1.108    0.000804                 1
        1708   0.00223002       2.73816e-05      2.67184e-05  27       1.108    0.000804                 1
        1710   0.00263929       3.24069e-05      3.16219e-05  27       1.108    0.000804                 1
        1712   0.00337258       4.14107e-05      4.04077e-05  27       1.108    0.000804                 1
        1714   0.00388255       4.76725e-05      4.65178e-05  27       1.108    0.000804                 1
        1716   0.00355934       4.37039e-05      4.26453e-05  27       1.108    0.000804                 1
        1718   0.00525257       6.44944e-05      6.29322e-05  27       1.108    0.000804                 1
        1720   0.00509037       6.25029e-05      6.09889e-05  27       1.108    0.000804                 1
        1722   0.00504764       6.19783e-05      6.0477e-05   27       1.108    0.000804                 1
        1724   0.00329348       4.04395e-05      3.946e-05    27       1.108    0.000804                 1
        1726   0.00464941       5.70885e-05      5.57057e-05  27       1.108    0.000804                 1
        1728   0.00534496       6.56289e-05      6.40392e-05  27       1.108    0.000804                 1
        1730   0.00463389       5.68979e-05      5.55197e-05  27       1.108    0.000804                 1
