# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 36 and phase < 38
# N = 36
# N_spec = 39
# phase = 36.88
# dm15 = 1.19
# z = 0.012

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  -------  ----------  -------------
        2922  0.11656         0.00274212       0.00327652  36.8215  1.05145  0.003896                1
        2924  0.130224        0.00306356       0.0036606   36.8215  1.05145  0.003896                1
        2926  0.138915        0.00326802       0.00390491  36.8215  1.05145  0.003896                1
        2928  0.141173        0.00332114       0.00396839  36.8215  1.05145  0.003896                1
        2930  0.134381        0.00316137       0.00377747  36.8215  1.05145  0.003896                1
        2932  0.122787        0.00288861       0.00345156  36.8215  1.05145  0.003896                1
        2934  0.111809        0.00263035       0.00314296  36.8215  1.05145  0.003896                1
        2936  0.106422        0.0025036        0.00299152  36.8215  1.05145  0.003896                1
        2938  0.106031        0.00249441       0.00298053  36.8215  1.05145  0.003896                1
        2940  0.110286        0.00259452       0.00310016  36.8215  1.05145  0.003896                1
        2942  0.11565         0.0027207        0.00325093  36.8215  1.05145  0.003896                1
        2944  0.118693        0.00279229       0.00333647  36.8215  1.05145  0.003896                1
        2946  0.117493        0.00276407       0.00330275  36.8215  1.05145  0.003896                1
        2948  0.115479        0.00271667       0.00324611  36.8215  1.05145  0.003896                1
        2950  0.116149        0.00273245       0.00326497  36.8215  1.05145  0.003896                1
        2952  0.119514        0.0028116        0.00335955  36.8215  1.05145  0.003896                1
        2954  0.1242          0.00292185       0.00349128  36.8215  1.05145  0.003896                1
        2956  0.128479        0.00302252       0.00361157  36.8215  1.05145  0.003896                1
        2958  0.130972        0.00308117       0.00368164  36.8215  1.05145  0.003896                1
        2960  0.130319        0.0030658        0.00366329  36.8215  1.05145  0.003896                1
        2962  0.146302        0.0178465        0.865779    36.8393  1.06068  0.00456037              2
        2964  0.147897        0.0206823        1.01285     36.8392  1.06059  0.00455374              2
        2966  0.130196        0.00436094       0.123076    36.839   1.06051  0.00454769              2
        2968  0.131357        0.00496942       0.166374    36.8389  1.06043  0.00454224              2
        2970  0.120083        0.285529         0.00602543  36.8387  1.06036  0.00453741              2
        2972  0.108419        0.688211         0.0131333   36.8386  1.0603   0.00453323              2
        2974  0.109329        0.478244         0.00930486  36.8385  1.06026  0.00452971              2
        2976  0.117406        0.00257907       0.00665923  36.8385  1.06022  0.00452687              2
        2978  0.121002        0.00513839       0.201247    36.8384  1.06019  0.00452473              2
        2980  0.12706         0.00994515       0.484516    36.8384  1.06017  0.00452332              2
        2982  0.124322        0.00692231       0.324203    36.8383  1.06016  0.00452265              2
        2984  0.127319        0.0101061        0.493188    36.8383  1.06016  0.00452275              2
        2986  0.129692        0.0128966        0.639965    36.8384  1.06017  0.00452363              2
        2988  0.127391        0.00940892       0.455435    36.8384  1.06019  0.00452531              2
        2990  0.129799        0.00714729       0.327198    36.8385  1.06023  0.00452781              2
        2992  0.129715        0.0033587        0.0701344   36.8386  1.06028  0.00453116              2
        2994  0.126983        0.101639         0.00371582  36.8387  1.06033  0.00453536              2
        2996  0.128255        0.0059108        0.231254    36.8388  1.0604   0.00454045              2
        2998  0.122607        0.00673849       0.298725    36.839   1.06049  0.00454642              2
        3000  0.116508        0.00559729       0.220899    36.8392  1.06058  0.00455336              2
        3002  0.107616        0.0837295        0.00316817  36.8394  1.06069  0.00456091              2
        3004  0.106629        0.00789242       0.00260331  36.8396  1.06083  0.00457095              2
        3006  0.106324        0.00394108       0.122129    36.8397  1.06088  0.00457437              2
        3008  0.106875        0.0059016        0.255429    36.8395  1.06076  0.00456588              2
        3010  0.103623        0.00323024       0.0791214   36.8397  1.06087  0.00457411              2
        3012  0.109746        0.00669157       0.288274    36.8401  1.06106  0.00458743              2
        3014  0.115958        0.0118174        0.520646    36.8406  1.06135  0.0046082               2
        3016  0.10654         0.00445843       0.148284    36.841   1.06156  0.00462382              2
        3018  0.107738        0.00781539       0.32007     36.8414  1.06172  0.00463541              2
        3020  0.106055        0.0101256        0.415762    36.8416  1.06184  0.00464385              2
        3022  0.100807        0.00855984       0.34071     36.8421  1.0621   0.00466255              2
        3024  0.0968037       0.00661249       0.252276    36.8427  1.06241  0.004685                2
        3026  0.0939633       0.00413806       0.127243    36.843   1.06259  0.00469767              2
        3028  0.0932639       0.00241516       0.0383728   36.8434  1.0628   0.00471266              2
        3030  0.0889426       0.206253         0.00550388  36.8441  1.06313  0.00473676              2
        3032  0.0972619       0.00237794       0.0260752   36.8448  1.0635   0.00476333              2
        3034  0.104797        0.0066417        0.222496    36.8454  1.06381  0.00478581              2
        3036  0.102952        0.00406005       0.0995381   36.8461  1.06416  0.00481113              2
        3038  0.0926051       0.274005         0.00790719  36.8468  1.06453  0.00483755              2
        3040  0.107404        0.00786794       0.244077    36.8475  1.06488  0.00486287              2
        3042  0.117004        0.0186082        0.59415     36.8482  1.06528  0.00489172              2
        3044  0.0929429       0.108092         0.00391725  36.849   1.06566  0.00491886              2
        3046  0.0984113       0.00405396       0.0896733   36.8499  1.06615  0.00495399              2
        3048  0.104776        0.00855133       0.236541    36.8506  1.06653  0.00498169              2
        3050  0.112858        0.011633         0.328701    36.8511  1.06676  0.00499767              2
        3052  0.114832        0.00857642       0.226323    36.8518  1.06715  0.00502573              2
        3054  0.117931        0.00877269       0.224754    36.8527  1.06759  0.00505769              2
        3056  0.112032        0.00453525       0.0870165   36.8534  1.06795  0.00508387              2
        3058  0.106813        0.00315908       0.0385612   36.8542  1.06837  0.00511396              2
        3060  0.106705        0.00616922       0.142825    36.855   1.06877  0.00514263              2
        3062  0.108598        0.0103168        0.241883    36.8559  1.06924  0.00517683              2
        3064  0.105487        0.00563652       0.11646     36.8567  1.06967  0.00520729              2
        3066  0.107936        0.00400044       0.0598306   36.8577  1.07019  0.00524519              2
        3068  0.113335        0.00606993       0.118701    36.8587  1.07071  0.00528228              2
        3070  0.11186         0.00813033       0.168801    36.8595  1.07111  0.00531092              2
        3072  0.102494        0.00526323       0.0950791   36.8603  1.07155  0.00534287              2
        3074  0.0945259       0.00211798       0.00375116  36.8608  1.07182  0.00536195              2
        3076  0.102359        0.00785052       0.154093    36.8617  1.07224  0.00539261              2
        3078  0.102365        0.00551785       0.0973081   36.8629  1.07288  0.00543869              2
        3080  0.107119        0.00780451       0.145435    36.8635  1.0732   0.0054618               2
        3082  0.109852        0.00941307       0.174266    36.8642  1.07356  0.0054874               2
        3084  0.103999        0.0044048        0.062759    36.8651  1.07401  0.00551987              2
        3086  0.101962        0.00384143       0.0472619   36.8657  1.07434  0.00554359              2
        3088  0.100051        0.00360449       0.0410103   36.8662  1.0746   0.00556215              2
        3090  0.0998837       0.00431317       0.0593623   36.8667  1.07487  0.00558201              2
        3092  0.0994636       0.00439692       0.0600761   36.8674  1.0752   0.00560566              2
        3094  0.0991166       0.00385624       0.0475038   36.8674  1.07523  0.00560751              2
        3096  0.0926919       0.0831124        0.00471803  36.868   1.07555  0.00563041              2
        3098  0.0920825       0.104518         0.00597533  36.8692  1.07613  0.00567257              2
        3100  0.101603        0.00468522       0.0619308   36.8698  1.07645  0.00569521              2
        3102  0.106303        0.00952649       0.153789    36.8701  1.07663  0.00570846              2
        3104  0.10034         0.00505723       0.0690043   36.8713  1.07723  0.00575176              2
        3106  0.0924561       0.0448323        0.00349362  36.8718  1.07749  0.00577051              2
        3108  0.100265        0.00577929       0.0844907   36.8727  1.07796  0.00580455              2
        3110  0.100123        0.00504208       0.0652992   36.8737  1.07848  0.00584164              2
        3112  0.100072        0.00403778       0.0444365   36.8745  1.07889  0.00587108              2
        3114  0.0980661       0.00214579       0.00427679  36.875   1.07916  0.00589094              2
        3116  0.103999        0.00629983       0.0867702   36.8761  1.07971  0.00593015              2
        3118  0.110143        0.011128         0.160582    36.8771  1.08023  0.00596734              2
        3120  0.113676        0.0118994        0.172759    36.8775  1.08047  0.00598469              2
        3122  0.113204        0.0087908        0.117929    36.8786  1.08103  0.00602526              2
        3124  0.112129        0.00570086       0.0655506   36.88    1.08175  0.00607688              2
        3126  0.112064        0.00465762       0.0466547   36.8807  1.08212  0.00610351              2
        3128  0.106143        0.0334141        0.00374794  36.8815  1.08254  0.00613394              2
        3130  0.11378         0.00690768       0.0843312   36.8825  1.08303  0.00616915              2
        3132  0.111311        0.00631376       0.0747174   36.8833  1.08347  0.0062012               2
        3134  0.108293        0.00555284       0.0588761   36.8848  1.08422  0.00625452              2
        3136  0.113942        0.0117179        0.145516    36.8858  1.08477  0.00629465              2
        3138  0.114607        0.0122467        0.151107    36.8868  1.08525  0.00632918              2
        3140  0.103204        0.0121844        0.00260734  36.8879  1.08582  0.00637016              2
        3142  0.109986        0.004447         0.0372972   36.889   1.08644  0.00641442              2
        3144  0.113028        0.00538335       0.0486282   36.891   1.08745  0.00648752              2
        3146  0.116279        0.00721462       0.0744365   36.8924  1.08819  0.00654091              2
        3148  0.103109        0.0705218        0.00628763  36.8941  1.08906  0.00660337              2
        3150  0.106706        0.018355         0.0030488   36.8959  1.09001  0.00667184              2
        3152  0.116546        0.00906234       0.0886079   36.8973  1.09073  0.00672335              2
        3154  0.115496        0.0067195        0.0613147   36.8994  1.0918   0.00680065              2
        3156  0.11139         0.00594332       0.00256823  36.9009  1.09258  0.00685653              2
        3158  0.126886        0.012371         0.116768    36.9024  1.09334  0.00691168              2
        3160  0.135155        0.0182704        0.172522    36.9046  1.09452  0.00699652              2
        3162  0.123044        0.00549332       0.037034    36.9068  1.09563  0.00707635              2
        3164  0.129926        0.00902352       0.075262    36.9077  1.09613  0.00711219              2
        3166  0.126794        0.00527355       0.00836483  36.8977  1.09476  0.00762334              3
        3168  0.131428        0.00948256       0.0159583   36.8998  1.09592  0.0077162               3
        3170  0.155859        0.020329         0.180972    36.9009  1.09655  0.00777044              3
        3172  0.156387        0.0211765        0.176472    36.9021  1.09719  0.00782268              3
        3174  0.137182        0.0220444        0.024378    36.9039  1.09813  0.00789483              3
        3176  0.144858        0.01397          0.02708     36.9062  1.0994   0.00799304              3
        3178  0.131569        0.00968728       0.00756828  36.9086  1.10065  0.00809111              3
        3180  0.125404        0.0183794        0.00404462  36.9105  1.10169  0.00817398              3
        3182  0.123952        0.0126663        0.00817436  36.9128  1.10293  0.0082691               3
        3184  0.12684         0.0196706        0.00401749  36.915   1.10413  0.00836203              3
        3186  0.140896        0.00443221       0.0106701   36.9165  1.10492  0.00842514              3
        3188  0.151706        0.00673838       0.0327937   36.9191  1.1063   0.00852629              3
        3190  0.145039        0.0102908        0.013942    36.9213  1.10746  0.00861609              3
        3192  0.140513        0.0174854        0.0190212   36.9233  1.10855  0.00869789              3
        3194  0.145536        0.00561417       0.0102751   36.925   1.10944  0.00876506              3
        3196  0.141753        0.008766         0.00742079  36.9268  1.11038  0.00883337              3
        3198  0.139203        0.0178708        0.00702085  36.9293  1.11166  0.00892569              3
        3200  0.156962        0.00980383       0.0703193   36.9311  1.11261  0.0089965               3
        3202  0.148887        0.0101791        0.0228056   36.9334  1.11379  0.00908054              3
        3204  0.138569        0.0107513        0.00457624  36.9361  1.1152   0.00918133              3
        3206  0.138225        0.00614429       0.00623169  36.9386  1.1165   0.00927462              3
        3208  0.128904        0.0255733        0.0197299   36.9409  1.11766  0.00935749              3
        3210  0.140618        0.00497718       0.0143213   36.9424  1.11846  0.00941258              3
        3212  0.126295        0.0335655        0.0132145   36.9444  1.11943  0.00947825              3
        3214  0.137444        0.00504389       0.00859356  36.9461  1.12032  0.00953776              3
