# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 34 and phase < 36
# N = 36
# N_spec = 41
# phase = 35.2
# dm15 = 1.17
# z = 0.015

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  -------  -------  ----------  -------------
        3216   0.244382        0.00434212       0.00194397   34.1436  1.28      0.030002               1
        3218   0.25096         0.004459         0.00199629   34.1436  1.28      0.030002               1
        3220   0.130803        0.00232407       0.00104049   34.1436  1.28      0.030002               1
        3222   0.15729         0.00279469       0.00125118   34.1436  1.28      0.030002               1
        3224   0.68498         0.0121706        0.00544876   34.1436  1.28      0.030002               1
        3226   0.311517        0.00553496       0.002478     34.1436  1.28      0.030002               1
        3228  -0.0840622       0.000668684      0.0014936    34.1436  1.28      0.030002               1
        3230   0.220969        0.00392613       0.00175773   34.1436  1.28      0.030002               1
        3232   0.217495        0.00386441       0.0017301    34.1436  1.28      0.030002               1
        3234  -0.147466        0.00117304       0.00262015   34.1436  1.28      0.030002               1
        3236   0.160184        0.237736         0.172119     35.4106  1.23398   0.0254831              3
        3238   0.0870052       0.0741749        0.0767909    35.41    1.23366   0.0254977              3
        3240   0.380648        0.123062         0.213791     35.4093  1.23337   0.0255119              3
        3242   0.488703        0.0970776        0.137481     35.4083  1.23326   0.0255204              3
        3244   0.561636        0.141419         0.120835     35.4072  1.23309   0.0255319              3
        3246   0.440028        0.0587292        0.0695844    35.406   1.23296   0.0255428              3
        3248   0.1551          0.0936151        0.127547     35.1932  1.22213   0.0247515              4
        3250   0.235811        0.0672742        0.113022     35.2095  1.23463   0.0243839              5
        3252   0.291331        0.0685905        0.10877      35.2079  1.23446   0.0243918              5
        3254   0.261053        0.0901764        0.120952     35.3861  1.22421   0.0224151              6
        3256   0.234857        0.120445         0.123359     35.3855  1.2241    0.0224242              6
        3258   0.151158        0.0289574        0.1085       35.3881  1.16656   0.0205838              7
        3260   0.0709333       0.0265456        0.157934     35.3879  1.16648   0.0205826              7
        3262   0.0550111       0.0412479        0.104001     35.3876  1.16642   0.0205843              7
        3264   0.0714031       0.047893         0.0458979    35.3873  1.16636   0.0205845              7
        3266   0.10256         0.0437355        0.0442257    35.3617  1.17693   0.0203399              8
        3268   0.145789        0.0294185        0.154013     35.3616  1.17685   0.0203427              8
        3270   0.175113        0.0505578        0.262318     35.3616  1.17676   0.0203462              8
        3272   0.1784          0.0456399        0.196403     35.3592  1.1764    0.0203702              9
        3274   0.154975        0.0320325        0.0756403    35.3589  1.17631   0.0203744              9
        3276   0.0784012       0.0397797        0.0290185    35.3585  1.17628   0.0203777              9
        3278   0.0651254       0.0250654        0.121929     35.3581  1.17617   0.0203783              9
        3280   0.113531        0.020603         0.101374     35.4151  1.15849   0.018936              10
        3282   0.123759        0.0413093        0.0260184    35.4152  1.15829   0.0189265             10
        3284   0.035096        0.0215229        0.0410132    35.4156  1.15804   0.0189202             10
        3286   0.0391232       0.0228713        0.0711712    35.4159  1.15779   0.0189129             10
        3288   0.072506        0.0166234        0.0820253    35.4162  1.15751   0.0189035             10
        3290   0.085347        0.0267962        0.128926     35.4169  1.15722   0.0188898             10
        3292   0.112732        0.0331187        0.181698     35.4175  1.15694   0.0188775             10
        3294   0.131608        0.0258345        0.127596     35.418   1.15669   0.0188697             10
        3296   0.155608        0.031441         0.0905409    35.4182  1.15647   0.0188626             10
        3298   0.197815        0.039806         0.108989     35.4184  1.15627   0.0188541             10
