# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -10 and phase < -9
# N = 36
# N_spec = 42
# phase = -9.46
# dm15 = 1.04
# z = 0.012

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  --------  ----------  -------------
        1858  -0.368703          0.00202592      0.0461781    -9.60439  0.9436    0.003395                1
        1860   0.849054          0.10634         0.00466531   -9.60439  0.9436    0.003395                1
        1862  -0.183517          0.00100837      0.0229846    -9.60439  0.9436    0.003395                1
        1864  -1.45754           0.00800878      0.18255      -9.60439  0.9436    0.003395                1
        1866  -0.406967          0.00223616      0.0509705    -9.60439  0.9436    0.003395                1
        1868  -1.02071           0.00560851      0.127839     -9.60439  0.9436    0.003395                1
        1870  -1.58712           0.00872078      0.198779     -9.60439  0.9436    0.003395                1
        1872  -1.67682           0.00921365      0.210013     -9.60439  0.9436    0.003395                1
        1874  -1.88155           0.0103386       0.235654     -9.60439  0.9436    0.003395                1
        1876  -0.805091          0.00442374      0.100833     -9.60439  0.9436    0.003395                1
        1878  -0.576417          0.00316725      0.0721932    -9.60439  0.9436    0.003395                1
        1880  -0.294527          0.00161834      0.0368879    -9.60439  0.9436    0.003395                1
        1882   1.04358           0.130703        0.00573415   -9.60439  0.9436    0.003395                1
        1884   0.328486          0.0411411       0.00180493   -9.60439  0.9436    0.003395                1
        1886  -0.410476          0.00225545      0.05141      -9.60439  0.9436    0.003395                1
        1888   0.0220262         0.73825         0.0670967    -9.32561  0.89451   0.00831773              2
        1890  -0.0293784         1.00977         0.0947887    -9.32583  0.894548  0.00831392              2
        1892  -0.00182189        0.126959        0.0118808    -9.32589  0.894559  0.00831282              2
        1894   0.0180883         0.0143327       0.0301336    -9.13932  0.857755  0.00595279              3
        1896  -0.00700774        0.052393        0.0325847    -9.1393   0.857751  0.00595134              3
        1898  -0.00798443        0.244774        0.051108     -9.14048  0.857983  0.00596576              3
        1900  -0.0356353         0.387428        0.0786634    -9.14094  0.858074  0.00597198              3
        1902  -0.0877166         0.171932        0.0846566    -9.13383  0.888359  0.0052131               4
        1904  -0.0711968         0.192716        0.0802012    -9.13374  0.887518  0.00522729              4
        1906  -0.0480344         0.136572        0.0657477    -9.13361  0.887221  0.00522785              4
        1908  -0.0410887         0.0382077       0.0836042    -9.13297  0.88663   0.00522728              4
        1910  -0.0498085         0.0581758       0.0544863    -9.13247  0.88645   0.00522                 4
        1912  -0.0593692         0.130601        0.0340144    -9.13213  0.886157  0.00521778              4
        1914  -0.0255586         0.0525474       0.0133095    -9.13165  0.885382  0.00522232              4
        1916   0.037512          0.0201536       0.00349797   -9.13243  0.885769  0.00522321              4
        1918   0.0848035         0.0320271       0.010342     -9.13318  0.886349  0.00522031              4
        1920   0.0920693         0.0196096       0.00654267   -9.13336  0.886004  0.00522873              4
        1922   0.0813743         0.0801656       0.0164265    -9.13396  0.886044  0.00523631              4
        1924   0.0890756         0.114221        0.0294264    -9.13487  0.886563  0.00523824              4
        1926   0.0759807         0.108384        0.0295534    -9.13462  0.886377  0.0052357               4
        1928   0.0305415         0.0952092       0.0230552    -9.13349  0.885503  0.00523326              4
        1930   0.0425019         0.100007        0.0209707    -9.134    0.885706  0.00523409              4
        1932   0.0968548         0.0971076       0.0333424    -9.13515  0.886527  0.00523161              4
        1934   0.0821081         0.0733362       0.0301329    -9.13474  0.886169  0.00522987              4
        1936   0.0330917         0.0390714       0.018861     -9.13391  0.88501   0.00523971              4
        1938  -0.0148485         0.0334968       0.0154022    -9.13299  0.884019  0.0052438               4
        1940  -0.0480187         0.0710519       0.0206136    -9.13267  0.883725  0.00524217              4
        1942  -0.026166          0.119182        0.0276418    -9.13358  0.884503  0.00523758              4
        1944   0.00103469        0.152721        0.0384162    -9.13451  0.885344  0.00523305              4
        1946   0.00496728        0.0960395       0.0458889    -9.13453  0.885414  0.00522991              4
        1948  -0.00785236        0.0925981       0.0351718    -9.13349  0.884139  0.00523769              4
        1950   0.00124391        0.051523        0.0341342    -9.13369  0.883272  0.00525788              4
        1952  -0.0187685         0.025247        0.0176032    -9.13425  0.882882  0.00527617              4
        1954  -0.081267          0.0428851       0.0153128    -9.13415  0.882541  0.0052844               4
        1956  -0.0693            0.107135        0.0319161    -9.13525  0.883296  0.00528457              4
        1958  -0.0344771         0.129657        0.0250991    -9.1354   0.883606  0.0052761               4
        1960  -0.0699874         0.0918513       0.0409766    -9.13407  0.88298   0.00526648              4
        1962  -0.0809818         0.0704734       0.0459339    -9.13377  0.882512  0.00527093              4
        1964  -0.0803955         0.0501802       0.0424913    -9.13361  0.88193   0.00527985              4
        1966  -0.0875254         0.0346944       0.0329723    -9.13385  0.88164   0.00528927              4
        1968  -0.0894301         0.0547419       0.0157475    -9.13478  0.881609  0.00530382              4
        1970  -0.0865223         0.0701118       0.0298042    -9.13476  0.881093  0.005312                4
        1972  -0.0593505         0.0562759       0.0200586    -9.13559  0.881474  0.0053157               4
        1974  -0.0582969         0.0488502       0.0392984    -9.13669  0.882081  0.00532042              4
        1976  -0.0913327         0.0703552       0.0471601    -9.13599  0.881464  0.00532287              4
        1978  -0.127342          0.0799557       0.047774     -9.13546  0.880931  0.00532527              4
        1980  -0.132607          0.0912579       0.0352763    -9.13557  0.880825  0.00532635              4
        1982  -0.119914          0.119961        0.031533     -9.13555  0.880909  0.00531941              4
        1984  -0.100356          0.0660451       0.0294909    -9.13526  0.880547  0.00531934              4
        1986  -0.0805646         0.0372042       0.0544063    -9.13558  0.880326  0.00532753              4
        1988  -0.104639          0.0525738       0.0323576    -9.13616  0.880202  0.0053401               4
        1990  -0.0892506         0.00619633      0.0171888    -9.13457  0.879535  0.00532127              4
        1992  -0.045887          0.030674        0.0931174    -9.13399  0.879383  0.00530558              4
        1994  -0.0225456         0.030044        0.117084     -9.13439  0.878529  0.00532663              4
        1996   0.0196877         0.0360037       0.165487     -9.13517  0.878501  0.00533319              4
        1998   0.033941          0.0332615       0.174657     -9.13634  0.878772  0.00534572              4
        2000   0.00302023        0.0353601       0.180171     -9.13525  0.877809  0.00534882              4
        2002  -0.025522          0.0414395       0.164741     -9.13412  0.876941  0.00534935              4
        2004   0.0256517         0.0380458       0.199422     -9.13546  0.877815  0.00534647              4
        2006   0.084858          0.0560457       0.20637      -9.13736  0.879102  0.00534188              4
        2008   0.0819322         0.0466828       0.147499     -9.13793  0.879406  0.00534262              4
        2010   0.0779146         0.0507649       0.0955388    -9.1379   0.879513  0.00533822              4
        2012   0.102413          0.0441979       0.102358     -9.1384   0.879822  0.00533669              4
        2014   0.119432          0.0507951       0.0975329    -9.13848  0.880011  0.00532979              4
        2016   0.121053          0.0621927       0.100516     -9.13826  0.879845  0.00532748              4
        2018   0.108121          0.066249        0.11525      -9.13773  0.878939  0.00534094              4
        2020   0.0758447         0.0594776       0.123958     -9.13726  0.878132  0.00535553              4
        2022   0.037982          0.0406444       0.14019      -9.13598  0.877154  0.00536041              4
        2024   0.0321704         0.0401563       0.129642     -9.13608  0.87702   0.00536648              4
        2026   0.0634752         0.0500344       0.138473     -9.13774  0.877689  0.00537808              4
        2028   0.097895          0.0434727       0.167193     -9.13854  0.877845  0.00538757              4
        2030   0.0931046         0.0554414       0.205052     -9.13718  0.87697   0.00538575              4
        2032   0.0731916         0.0716022       0.185477     -9.13603  0.876362  0.00538136              4
        2034   0.0787645         0.0682066       0.130388     -9.13678  0.876785  0.00538612              4
