# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 42 and phase < 44
# N = 37
# N_spec = 43
# phase = 43.07
# dm15 = 1.1
# z = 0.012

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  -------  --------  ----------  -------------
        2922  0.101569        0.0019752       0.00115407   43.7944  1.05145   0.003896                1
        2924  0.0973696       0.00189355      0.00110636   43.7944  1.05145   0.003896                1
        2926  0.0997014       0.00193889      0.00113286   43.7944  1.05145   0.003896                1
        2928  0.105079        0.00204347      0.00119396   43.7944  1.05145   0.003896                1
        2930  0.110849        0.00215568      0.00125952   43.7944  1.05145   0.003896                1
        2932  0.112111        0.00218023      0.00127386   43.7944  1.05145   0.003896                1
        2934  0.104093        0.00202431      0.00118276   43.7944  1.05145   0.003896                1
        2936  0.0877095       0.00170569      0.0009966    43.7944  1.05145   0.003896                1
        2938  0.0782439       0.00152161      0.000889047  43.7944  1.05145   0.003896                1
        2940  0.0912441       0.00177443      0.00103676   43.7944  1.05145   0.003896                1
        2942  0.116413        0.00226387      0.00132274   43.7944  1.05145   0.003896                1
        2944  0.135892        0.0026427       0.00154408   43.7944  1.05145   0.003896                1
        2946  0.136601        0.00265648      0.00155213   43.7944  1.05145   0.003896                1
        2948  0.128484        0.00249863      0.0014599    43.7944  1.05145   0.003896                1
        2950  0.12122         0.00235737      0.00137737   43.7944  1.05145   0.003896                1
        2952  0.117747        0.00228982      0.0013379    43.7944  1.05145   0.003896                1
        2954  0.116614        0.0022678       0.00132503   43.7944  1.05145   0.003896                1
        2956  0.116408        0.0022638       0.00132269   43.7944  1.05145   0.003896                1
        2958  0.116371        0.00226308      0.00132227   43.7944  1.05145   0.003896                1
        2960  0.116378        0.0022632       0.00132234   43.7944  1.05145   0.003896                1
        2962  0.117099        0.00227722      0.00133053   43.7944  1.05145   0.003896                1
        2964  0.119434        0.00232262      0.00135707   43.7944  1.05145   0.003896                1
        2966  0.122952        0.00239105      0.00139704   43.7944  1.05145   0.003896                1
        2968  0.124694        0.00242492      0.00141683   43.7944  1.05145   0.003896                1
        2970  0.121367        0.00236023      0.00137904   43.7944  1.05145   0.003896                1
        2972  0.114758        0.00223169      0.00130394   43.7944  1.05145   0.003896                1
        2974  0.107666        0.00209379      0.00122336   43.7944  1.05145   0.003896                1
        2976  0.103003        0.00200309      0.00117037   43.7944  1.05145   0.003896                1
        2978  0.101783        0.00197938      0.00115652   43.7944  1.05145   0.003896                1
        2980  0.105276        0.0020473       0.0011962    43.7944  1.05145   0.003896                1
        2982  0.116255        0.00575168      0.0203015    43.5604  0.985034  0.0175713               2
        2984  0.125109        0.00983334      0.0383928    43.5646  0.986215  0.0173283               2
        2986  0.120758        0.00380381      0.0116942    43.5665  0.986764  0.0172152               2
        2988  0.111051        0.034657        0.00735708   43.5721  0.988334  0.016892                2
        2990  0.1116          0.04115         0.00859656   43.5764  0.989578  0.0166358               2
        2992  0.132686        0.0130376       0.0551235    43.5762  0.989515  0.0166488               2
        2994  0.131219        0.0194482       0.0838587    43.5768  0.989681  0.0166145               2
        2996  0.12083         0.0222462       0.0995457    43.5821  0.991197  0.0163025               2
        2998  0.11648         0.0255021       0.113974     43.5813  0.990946  0.0163542               2
        3000  0.12496         0.025598        0.116239     43.5842  0.991789  0.0161806               2
        3002  0.13021         0.017716        0.0801869    43.5855  0.992163  0.0161035               2
        3004  0.127731        0.011733        0.0524483    43.5861  0.992329  0.0160694               2
        3006  0.111064        0.00697213      0.0307808    43.5879  0.992821  0.0159681               2
        3008  0.089965        0.00161244      0.0020035    43.5913  0.993797  0.0157671               2
        3010  0.0854518       0.00152772      0.00189197   43.592   0.994005  0.0157242               2
        3012  0.0838691       0.0205736       0.00375535   43.5934  0.994402  0.0156426               2
        3014  0.0972076       0.00515884      0.0238943    43.5975  0.99557   0.015402                2
        3016  0.0822794       0.0562823       0.0105747    43.5982  0.995749  0.0153652               2
        3018  0.0911769       0.00713994      0.00177828   43.5985  0.99584   0.0153465               2
        3020  0.10076         0.00943696      0.0466662    43.6022  0.99688   0.0151324               2
        3022  0.114526        0.0247282       0.127321     43.6046  0.997578  0.0149887               2
        3024  0.10783         0.0203018       0.106055     43.6073  0.99834   0.0148318               2
        3026  0.093497        0.00873138      0.0454319    43.61    0.999096  0.014676                2
        3028  0.0820736       0.00350707      0.0011537    43.6105  0.999255  0.0146434               2
        3030  0.0846248       0.00217917      0.00860894   43.6136  1.00014   0.0144607               2
        3032  0.0920351       0.00700589      0.0376857    43.6163  1.00089   0.0143062               2
        3034  0.0984497       0.00906419      0.0501228    43.619   1.00167   0.0141458               2
        3036  0.106628        0.0118933       0.0666186    43.6199  1.00191   0.0140971               2
        3038  0.102938        0.00434373      0.0208787    43.6202  1.00201   0.0140769               2
        3040  0.101156        0.00206381      0.00500009   43.622   1.00252   0.013971                2
        3042  0.102803        0.0042195       0.0204241    43.622   1.00251   0.0139739               2
        3044  0.113757        0.0162292       0.0943364    43.6242  1.00313   0.0138456               2
        3046  0.10295         0.00621189      0.0349286    43.6244  1.0032    0.0138304               2
        3048  0.107716        0.00767073      0.0490221    43.6213  1.00236   0.0159637               3
        3050  0.109016        0.00865146      0.0527438    43.6233  1.00295   0.0158095               3
        3052  0.0911141       0.0319231       0.00885423   43.6238  1.00308   0.0157469               3
        3054  0.100217        0.00239233      0.0106978    43.623   1.00284   0.0157618               3
        3056  0.0943654       0.0122287       0.00181742   43.6262  1.00376   0.0155472               3
        3058  0.100227        0.00364345      0.0209695    43.6266  1.00386   0.0154988               3
        3060  0.0962298       0.0117633       0.0120748    43.6259  1.00366   0.0155113               3
        3062  0.0917895       0.0136248       0.00747972   43.6278  1.00421   0.0153778               3
        3064  0.0801996       0.0669519       0.0110361    43.6299  1.00481   0.0152341               3
        3066  0.0807883       0.0635585       0.00813684   43.6305  1.00498   0.0151792               3
        3068  0.0897991       0.0218708       0.00367992   43.6295  1.00468   0.0152182               3
        3070  0.10226         0.0117675       0.035102     43.6284  1.00439   0.0152595               3
        3072  0.0927491       0.0073081       0.00276817   43.6284  1.00437   0.0152449               3
        3074  0.085991        0.0177186       0.00242365   43.6272  1.00404   0.0152962               3
        3076  0.0864182       0.00327407      0.0186523    43.6264  1.0038    0.0153287               3
        3078  0.0851135       0.0101083       0.0717689    43.6272  1.00408   0.0152605               4
        3080  0.0938718       0.0114601       0.110319     43.6249  1.00342   0.0153801               4
        3082  0.0805288       0.0155244       0.00243066   43.6244  1.00329   0.0153934               4
        3084  0.0870436       0.0332684       0.00498346   43.6237  1.00307   0.0154258               4
        3086  0.0911667       0.0346462       0.00281987   43.6239  1.00315   0.0153992               4
        3088  0.100777        0.0048191       0.0258226    43.623   1.00288   0.0154416               4
        3090  0.0900191       0.0363424       0.011077     43.6217  1.00252   0.0155028               4
        3092  0.0886701       0.0300748       0.0105567    43.6211  1.00235   0.0155266               4
        3094  0.0884124       0.0157564       0.00895473   43.619   1.00176   0.015634                4
        3096  0.103417        0.00924218      0.0953439    43.617   1.00119   0.015739                4
        3098  0.109514        0.0119421       0.112071     43.6149  1.0006    0.0158452               4
        3100  0.10103         0.00893608      0.0708974    43.6145  1.00049   0.0158576               4
        3102  0.0915156       0.00438698      0.0392795    43.6138  1.00029   0.0158856               4
        3104  0.0803946       0.00344576      0.0169924    43.6131  1.00008   0.0159154               4
        3106  0.0760833       0.00579985      0.0343638    43.6124  0.999877  0.0159442               4
        3108  0.0841415       0.0122669       0.0835399    43.6111  0.999516  0.016004                4
        3110  0.0829624       0.00704434      0.0699684    43.611   0.999491  0.0159957               4
        3112  0.0959043       0.0078505       0.059819     43.6102  0.999278  0.0160249               4
        3114  0.0994323       0.00631694      0.0558487    43.6087  0.998858  0.0160952               4
        3116  0.103592        0.0101267       0.0817071    43.609   0.99894   0.016064                4
        3118  0.0966729       0.00702397      0.0752786    43.6079  0.998625  0.0161124               4
        3120  0.093513        0.00946116      0.0716356    43.6068  0.998319  0.0161583               4
        3122  0.0946746       0.00514479      0.0339872    43.6067  0.99829   0.0161482               4
        3124  0.092558        0.0131605       0.0265949    43.6074  0.998502  0.016089                4
        3126  0.0830886       0.0382115       0.00956403   43.6062  0.998143  0.0161446               4
        3128  0.0804216       0.0133655       0.00850382   43.6063  0.998197  0.0161168               4
        3130  0.085475        0.00845075      0.0077019    43.6063  0.998177  0.0161034               4
        3132  0.095746        0.00262062      0.0198705    43.6076  0.998551  0.0160105               4
        3134  0.107727        0.00869843      0.0796357    43.6114  0.999659  0.0157692               4
        3136  0.115237        0.00947345      0.105856     43.6156  1.00084   0.015514                4
        3138  0.114173        0.0104001       0.0571974    43.6164  1.00107   0.0154477               4
        3140  0.106741        0.00345761      0.0128644    43.6149  1.00066   0.0155139               4
        3142  0.0946913       0.0517019       0.0088316    43.6148  1.00062   0.0155032               4
        3144  0.0997952       0.0280832       0.0107012    43.614   1.00041   0.0155273               4
        3146  0.102728        0.0173042       0.00361011   43.6142  1.00048   0.0154968               4
        3148  0.101953        0.00253639      0.00255298   43.6146  1.0006    0.0154545               4
        3150  0.105936        0.00719938      0.0425443    43.6153  1.00081   0.0153958               4
        3152  0.105615        0.00622298      0.0560465    43.6152  1.00078   0.0153839               4
        3154  0.111988        0.0113737       0.0673614    43.6167  1.00121   0.0152811               4
        3156  0.098587        0.0322888       0.00470199   43.6173  1.00141   0.015224                4
        3158  0.108276        0.0373848       0.00568713   43.6169  1.0013    0.0152297               4
        3160  0.115746        0.0169787       0.00883116   43.619   1.00192   0.0150906               4
        3162  0.111305        0.0258854       0.00399141   43.62    1.00221   0.0150163               4
        3164  0.106859        0.053693        0.0087111    43.6217  1.00269   0.0149036               4
        3166  0.111446        0.0375477       0.00791167   43.6228  1.00302   0.0148233               4
        3168  0.159428        0.0387159       0.0950283    43.6363  1.02818   0.0181551               5
        3170  0.155093        0.0361515       0.0876214    43.6372  1.0282    0.0180392               5
        3172  0.145622        0.0396423       0.0775057    43.6379  1.02882   0.0180653               5
        3174  0.147649        0.0424223       0.0791508    43.6387  1.0292    0.0180335               5
        3176  0.148666        0.0390657       0.0767561    43.6401  1.02916   0.0178519               5
        3178  0.139438        0.0306962       0.0529739    43.6415  1.02897   0.0176428               5
        3180  0.154955        0.0256473       0.0899964    43.6425  1.02844   0.0174012               5
        3182  0.170791        0.0287872       0.118106     43.6426  1.02763   0.0172208               5
        3184  0.163564        0.0313344       0.0884149    43.6416  1.02482   0.0167628               5
        3186  0.148062        0.0235578       0.0814571    43.6405  1.01983   0.0159033               5
        3188  0.122957        0.0287183       0.0140935    43.6362  1.00905   0.0142674               5
        3190  0.124266        0.0248563       0.0108077    43.6373  1.01003   0.0143065               5
        3192  0.146637        0.014523        0.0548862    43.6415  1.0181    0.0153925               5
        3194  0.161977        0.0239591       0.0940834    43.6474  1.02753   0.0165513               5
        3196  0.163287        0.0217757       0.0901904    43.6549  1.03059   0.0162725               5
        3198  0.160811        0.0272965       0.0634084    43.6518  1.02948   0.0163855               5
        3200  0.162925        0.0309669       0.0840023    43.648   1.02779   0.0164649               5
        3202  0.162518        0.0306361       0.0862117    43.6495  1.02914   0.0165426               5
        3204  0.161896        0.0344094       0.0947844    43.6492  1.02826   0.0163778               5
        3206  0.165323        0.0342959       0.109079     43.6501  1.02816   0.0162324               5
        3208  0.149009        0.024685        0.0556864    43.6509  1.02813   0.0161112               5
