# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 36 and phase < 38
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  -------  ----------  -------------
        1632  -0.00286018       0.000121188      8.03913e-05  36.4791  1.47     0.006261                1
        1634  -0.016315         0.000691276      0.000458566  36.4791  1.47     0.006261                1
        1636   0.0285703        0.000803029      0.00121054   36.4791  1.47     0.006261                1
        1638   0.0655643        0.00184282       0.002778     36.4791  1.47     0.006261                1
        1640   0.0500892        0.00140786       0.00212231   36.4791  1.47     0.006261                1
        1642   0.0399046        0.0011216        0.00169079   36.4791  1.47     0.006261                1
        1644   0.0710203        0.00199618       0.00300918   36.4791  1.47     0.006261                1
        1646   0.0222733        0.000626038      0.000943735  36.4791  1.47     0.006261                1
        1648  -0.0127819        0.000541577      0.000359262  36.4791  1.47     0.006261                1
        1650   0.0176896        0.000497204      0.000749522  36.4791  1.47     0.006261                1
        1652   0.0309368        0.000869543      0.00131081   36.4791  1.47     0.006261                1
        1654   0.0746396        0.0020979        0.00316253   36.4791  1.47     0.006261                1
        1656   0.0755708        0.00212407       0.00320198   36.4791  1.47     0.006261                1
        1658   0.0245254        0.000689338      0.00103916   36.4791  1.47     0.006261                1
        1660   0.0307996        0.000865687      0.001305     36.4791  1.47     0.006261                1
        1662   0.0310204        0.000871895      0.00131436   36.4791  1.47     0.006261                1
        1664   0.0408658        0.00114862       0.00173151   36.4791  1.47     0.006261                1
        1666   0.065958         0.00185389       0.00279468   36.4791  1.47     0.006261                1
        1668   0.0725947        0.00204043       0.00307589   36.4791  1.47     0.006261                1
        1670   0.0626361        0.00176052       0.00265393   36.4791  1.47     0.006261                1
        1672   0.0405057        0.0011385        0.00171625   36.4791  1.47     0.006261                1
        1674   0.00153524       4.31511e-05      6.50491e-05  36.4791  1.47     0.006261                1
        1676   0.000233684      6.56819e-06      9.90136e-06  36.4791  1.47     0.006261                1
        1678   0.00197523       5.55179e-05      8.36916e-05  36.4791  1.47     0.006261                1
        1680   0.0173865        0.000488684      0.000736678  36.4791  1.47     0.006261                1
        1682   0.00192335       5.40598e-05      8.14936e-05  36.4791  1.47     0.006261                1
        1684   0.0177896        0.000500013      0.000753756  36.4791  1.47     0.006261                1
        1686   0.0250642        0.000704483      0.00106199   36.4791  1.47     0.006261                1
        1688   0.0400338        0.00112523       0.00169626   36.4791  1.47     0.006261                1
        1690   0.0476498        0.0013393        0.00201896   36.4791  1.47     0.006261                1
        1692   0.0378013        0.00106249       0.00160167   36.4791  1.47     0.006261                1
        1694   0.0213312        0.000599558      0.000903818  36.4791  1.47     0.006261                1
        1696   0.0349391        0.000982037      0.00148039   36.4791  1.47     0.006261                1
        1698   0.0371298        0.00104361       0.00157321   36.4791  1.47     0.006261                1
        1700   0.0148411        0.000417139      0.000628826  36.4791  1.47     0.006261                1
        1702   0.0242217        0.000680802      0.00102629   36.4791  1.47     0.006261                1
        1704   0.0254206        0.000714499      0.00107709   36.4791  1.47     0.006261                1
        1706   0.0270694        0.000760844      0.00114695   36.4791  1.47     0.006261                1
        1708   0.029828         0.000838379      0.00126383   36.4791  1.47     0.006261                1
        1710   0.0342518        0.000962719      0.00145127   36.4791  1.47     0.006261                1
        1712   0.0547413        0.00153862       0.00231943   36.4791  1.47     0.006261                1
        1714   0.0422492        0.0011875        0.00179013   36.4791  1.47     0.006261                1
        1716   0.0280152        0.000787425      0.00118702   36.4791  1.47     0.006261                1
        1718   0.0615017        0.00172864       0.00260587   36.4791  1.47     0.006261                1
        1720   0.0650396        0.00182807       0.00275577   36.4791  1.47     0.006261                1
        1722   0.0366723        0.00103075       0.00155383   36.4791  1.47     0.006261                1
        1724   0.00153681       4.31952e-05      6.51155e-05  36.4791  1.47     0.006261                1
        1726   0.00689705       0.000193856      0.000292233  36.4791  1.47     0.006261                1
        1728   0.0141911        0.000398871      0.000601288  36.4791  1.47     0.006261                1
        1730   0.0147786        0.000415383      0.000626179  36.4791  1.47     0.006261                1
        1732   0.0022414        6.29992e-05      9.49695e-05  36.4791  1.47     0.006261                1
        1734   0.0222717        0.000625994      0.000943668  36.4791  1.47     0.006261                1
        1736   0.0285718        0.00080307       0.00121061   36.4791  1.47     0.006261                1
        1738   0.016338         0.000459213      0.00069225   36.4791  1.47     0.006261                1
        1740   0.05476          0.00153915       0.00232022   36.4791  1.47     0.006261                1
        1742   0.0595028        0.00167245       0.00252117   36.4791  1.47     0.006261                1
        1744   0.0326141        0.000916688      0.00138188   36.4791  1.47     0.006261                1
        1746   0.068074         0.00191336       0.00288434   36.4791  1.47     0.006261                1
        1748   0.0401077        0.00112731       0.00169939   36.4791  1.47     0.006261                1
        1750  -0.0109193        0.000462658      0.000306909  36.4791  1.47     0.006261                1
        1752  -0.00213454       9.04419e-05      5.99957e-05  36.4791  1.47     0.006261                1
        1754   0.00747761       0.000210174      0.000316832  36.4791  1.47     0.006261                1
        1756   0.0239328        0.000672681      0.00101405   36.4791  1.47     0.006261                1
        1758   0.0361158        0.00101511       0.00153025   36.4791  1.47     0.006261                1
        1760   0.045877         0.00128947       0.00194384   36.4791  1.47     0.006261                1
        1762   0.0409654        0.00115142       0.00173573   36.4791  1.47     0.006261                1
        1764   0.0299217        0.000841011      0.0012678    36.4791  1.47     0.006261                1
        1766   0.00820508       0.000230621      0.000347655  36.4791  1.47     0.006261                1
        1768   0.0320892        0.000901935      0.00135964   36.4791  1.47     0.006261                1
        1770   0.0472519        0.00132811       0.00200209   36.4791  1.47     0.006261                1
        1772   0.02429          0.000682722      0.00102918   36.4791  1.47     0.006261                1
        1774   0.032103         0.000902323      0.00136023   36.4791  1.47     0.006261                1
        1776   0.0258543        0.000726689      0.00109546   36.4791  1.47     0.006261                1
        1778   0.0165896        0.000466286      0.000702913  36.4791  1.47     0.006261                1
        1780   0.0311987        0.000876904      0.00132191   36.4791  1.47     0.006261                1
        1782   0.0481443        0.0013532        0.00203991   36.4791  1.47     0.006261                1
        1784   0.0369439        0.00103839       0.00156534   36.4791  1.47     0.006261                1
        1786   0.0144053        0.000404892      0.000610364  36.4791  1.47     0.006261                1
        1788   0.0135477        0.000380787      0.000574025  36.4791  1.47     0.006261                1
        1790   0.0344739        0.000968962      0.00146068   36.4791  1.47     0.006261                1
        1792   0.0390571        0.00109778       0.00165488   36.4791  1.47     0.006261                1
        1794   0.0388559        0.00109213       0.00164635   36.4791  1.47     0.006261                1
        1796   0.0358454        0.00100751       0.00151879   36.4791  1.47     0.006261                1
        1798   0.0307629        0.000864656      0.00130345   36.4791  1.47     0.006261                1
        1800   0.0249066        0.000700052      0.00105531   36.4791  1.47     0.006261                1
        1802   0.0270708        0.000760883      0.00114701   36.4791  1.47     0.006261                1
        1804   0.0232097        0.000652358      0.000983411  36.4791  1.47     0.006261                1
        1806   0.024776         0.000696381      0.00104977   36.4791  1.47     0.006261                1
        1808   0.0409225        0.00115021       0.00173391   36.4791  1.47     0.006261                1
        1810   0.0582297        0.00163667       0.00246723   36.4791  1.47     0.006261                1
        1812   0.0536628        0.00150831       0.00227373   36.4791  1.47     0.006261                1
        1814   0.037504         0.00105413       0.00158907   36.4791  1.47     0.006261                1
        1816   0.0782814        0.00220026       0.00331684   36.4791  1.47     0.006261                1
