# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 8 and phase < 9
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  ----------  -------------
        1302   0.00413009       0.000126936      0.000111087  8.33085  1.3       0.013129                1
        1304   0.00495444       0.000152272      0.00013326   8.33085  1.3       0.013129                1
        1306   0.000717855      2.20629e-05      1.93082e-05  8.33085  1.3       0.013129                1
        1308  -0.002495         6.71081e-05      7.66827e-05  8.33085  1.3       0.013129                1
        1310   8.31381e-05      2.55521e-06      2.23617e-06  8.33085  1.3       0.013129                1
        1312  -0.00280226       7.53724e-05      8.61261e-05  8.33085  1.3       0.013129                1
        1314  -0.00219647       5.90784e-05      6.75074e-05  8.33085  1.3       0.013129                1
        1316  -0.00852969       0.000229423      0.000262156  8.33085  1.3       0.013129                1
        1318   0.004126         0.000126811      0.000110977  8.33085  1.3       0.013129                1
        1320   0.00488892       0.000150259      0.000131497  8.33085  1.3       0.013129                1
        1322   0.00194735       5.98509e-05      5.23779e-05  8.33085  1.3       0.013129                1
        1324   0.0020983        6.44903e-05      5.64381e-05  8.33085  1.3       0.013129                1
        1326  -0.00220534       5.93172e-05      6.77802e-05  8.33085  1.3       0.013129                1
        1328  -0.00255012       6.85907e-05      7.83769e-05  8.33085  1.3       0.013129                1
        1330  -5.8624e-05       1.57681e-06      1.80178e-06  8.33085  1.3       0.013129                1
        1332   0.00306149       9.40934e-05      8.23449e-05  8.33085  1.3       0.013129                1
        1334   0.00124195       3.81708e-05      3.34048e-05  8.33085  1.3       0.013129                1
        1336   0.00318882       9.80069e-05      8.57697e-05  8.33085  1.3       0.013129                1
        1338  -0.00213447       5.74109e-05      6.5602e-05   8.33085  1.3       0.013129                1
        1340   0.00548843       0.000168684      0.000147623  8.33085  1.3       0.013129                1
        1342  -0.01142          0.000307165      0.00035099   8.33085  1.3       0.013129                1
        1344  -0.00228048       6.1338e-05       7.00893e-05  8.33085  1.3       0.013129                1
        1346   0.00359719       0.000110558      9.67536e-05  8.33085  1.3       0.013129                1
        1348   0.00420084       0.000129111      0.00011299   8.33085  1.3       0.013129                1
        1350  -0.00204094       5.48953e-05      6.27275e-05  8.33085  1.3       0.013129                1
        1352   0.00105833       3.25272e-05      2.84659e-05  8.33085  1.3       0.013129                1
        1354   0.00225338       6.92566e-05      6.06092e-05  8.33085  1.3       0.013129                1
        1356   0.000377745      1.16098e-05      1.01602e-05  8.33085  1.3       0.013129                1
        1358   0.000848467      2.60773e-05      2.28212e-05  8.33085  1.3       0.013129                1
        1360  -0.00905945       0.000243672      0.000278438  8.33085  1.3       0.013129                1
        1362   0.000354159      1.08849e-05      9.52584e-06  8.33085  1.3       0.013129                1
        1364   0.00242357       7.44872e-05      6.51867e-05  8.33085  1.3       0.013129                1
        1366   0.00374078       0.000114971      0.000100616  8.33085  1.3       0.013129                1
        1368  -0.00118203       3.17931e-05      3.63292e-05  8.33085  1.3       0.013129                1
        1370   0.00361815       0.000111202      9.73176e-05  8.33085  1.3       0.013129                1
        1372  -0.00289316       7.78175e-05      8.89201e-05  8.33085  1.3       0.013129                1
        1374  -0.00389572       0.000104783      0.000119733  8.33085  1.3       0.013129                1
        1376   8.09558e-05      2.48814e-06      2.17747e-06  8.33085  1.3       0.013129                1
        1378   0.00641629       0.000197202      0.000172579  8.33085  1.3       0.013129                1
        1380   0.000283694      8.7192e-06       7.63052e-06  8.33085  1.3       0.013129                1
        1382  -0.000386611      1.03987e-05      1.18823e-05  8.33085  1.3       0.013129                1
        1384   0.000345256      1.06113e-05      9.28636e-06  8.33085  1.3       0.013129                1
        1386   0.00238861       7.34128e-05      6.42465e-05  8.33085  1.3       0.013129                1
        1388   0.00208414       6.40552e-05      5.60573e-05  8.33085  1.3       0.013129                1
