# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -3 and phase < -2
# N = 61
# N_spec = 70
# phase = -2.48
# dm15 = 1.22
# z = 0.013

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper     Phase     Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  --------  -------  ----------  -------------
        1596  -0.050876         0.0623838        0.0822542    -2.38627  1.11334  0.00445865              2
        1598   0.0927373        0.0375856        0.0498103    -2.38583  1.11409  0.00446087              2
        1600  -0.0288296        0.045861         0.0343817    -2.38536  1.11488  0.00446318              2
        1602   0.00250705       0.0139182        0.0102859    -2.38488  1.1157   0.00446559              2
        1604   0.00826073       0.00714741       0.00520358   -2.38438  1.11656  0.00446811              2
        1606   0.0192269        0.0163716        0.0225222    -2.38385  1.11745  0.00447074              2
        1608   0.0205506        0.00119674       0.000861877  -2.3833   1.11838  0.00447348              2
        1610  -0.00456422       0.0191446        0.0135693    -2.38273  1.11935  0.00447633              2
        1612  -0.023312         0.0296062        0.020776     -2.38214  1.12036  0.00447929              2
        1614   0.00457689       0.00689027       0.00473906   -2.38153  1.12141  0.00448237              2
        1616   0.0282931        0.0155397        0.022773     -2.38089  1.12249  0.00448556              2
        1618  -0.0127313        0.00792769       0.00532712   -2.38023  1.12361  0.00448885              2
        1620  -0.012331         0.0178688        0.0118835    -2.37955  1.12476  0.00449225              2
        1622   0.00204866       0.00483529       0.00739271   -2.37885  1.12595  0.00449573              2
        1624   0.0186177        0.015855         0.0101406    -2.37814  1.12716  0.00449929              2
        1626   0.0121668        0.00847705       0.0133474    -2.37742  1.12839  0.00450291              2
        1628   0.00365594       0.00642651       0.0102798    -2.37668  1.12964  0.00450658              2
        1630   0.00331752       0.0111813        0.00685562   -2.37595  1.13089  0.00451027              2
        1632   0.00185455       0.00697384       0.0115233    -2.37521  1.13215  0.00451396              2
        1634   0.00760477       0.00484379       0.00286502   -2.37448  1.13339  0.00451762              2
        1636   0.0158439        0.00186423       0.00324573   -2.37375  1.13462  0.00452123              2
        1638   0.00192576       0.0175592        0.010131     -2.37305  1.13581  0.00452474              2
        1640   0.00548786       0.00615172       0.0107797    -2.37238  1.13696  0.00452812              2
        1642   4.67922e-05      0.0138694        0.00778148   -2.37173  1.13806  0.00453134              2
        1644   0.00693759       0.000415694      0.000231127  -2.37113  1.13908  0.00453436              2
        1646  -0.00483481       0.00446187       0.00244077   -2.37057  1.14003  0.00453714              2
        1648   2.61553e-05      0.00622056       0.00336545   -2.37007  1.14088  0.00453966              2
        1650  -0.00821746       0.0180747        0.00971101   -2.36963  1.14164  0.00454187              2
        1652   0.00119937       0.0255714        0.0135843    -2.36925  1.14227  0.00454374              2
        1654   0.00969102       0.0047775        0.00250376   -2.36895  1.14279  0.00454526              2
        1656   0.00590265       0.00320308       0.00609714   -2.36872  1.14317  0.00454639              2
        1658   0.00646596       0.0108715        0.0207281    -2.36858  1.14342  0.00454712              2
        1660   0.00656053       0.0102426        0.00533333   -2.36851  1.14353  0.00454745              2
        1662   0.00697573       0.00158816       0.000822531  -2.36853  1.1435   0.00454736              2
        1664   0.00374993       0.00247697       0.00471932   -2.36863  1.14333  0.00454685              2
        1666   0.00392112       0.0014941        0.00284611   -2.36881  1.14302  0.00454595              2
