# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -1 and phase < 0
# N = 65
# N_spec = 75
# phase = -0.41
# dm15 = 1.23
# z = 0.011

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper      Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  ---------  --------  ----------  -------------
        1618  -0.0195056        0.000598444      0.00099572   -0.8       0.92      0.00389                 1
        1620  -0.00904292       0.000277442      0.000461622  -0.8       0.92      0.00389                 1
        1622  -0.0385888        0.00118393       0.00196988   -0.8       0.92      0.00389                 1
        1624  -0.00362076       0.000111087      0.000184833  -0.8       0.92      0.00389                 1
        1626  -0.00186148       5.71114e-05      9.50247e-05  -0.8       0.92      0.00389                 1
        1628  -0.0110611        0.000339361      0.000564646  -0.8       0.92      0.00389                 1
        1630  -0.00478223       0.000146722      0.000244123  -0.8       0.92      0.00389                 1
        1632   0.00720699       0.000367902      0.000221115  -0.8       0.92      0.00389                 1
        1634   0.0233838        0.0011937        0.000717431  -0.8       0.92      0.00389                 1
        1636   0.0036613        0.000186902      0.000112331  -0.8       0.92      0.00389                 1
        1638  -0.0193747        0.000594429      0.00098904   -0.8       0.92      0.00389                 1
        1640  -0.00263123       8.07277e-05      0.000134319  -0.8       0.92      0.00389                 1
        1642  -0.0109619        0.000336317      0.000559581  -0.8       0.92      0.00389                 1
        1644  -0.0202647        0.000621735      0.00103447   -0.8       0.92      0.00389                 1
        1646  -0.0271225        0.000832136      0.00138455   -0.8       0.92      0.00389                 1
        1648  -0.0111501        0.000342094      0.000569192  -0.8       0.92      0.00389                 1
        1650  -0.0298344        0.000915338      0.00152298   -0.8       0.92      0.00389                 1
        1652  -0.00613612       0.00018826       0.000313236  -0.8       0.92      0.00389                 1
        1654  -0.00911094       0.00027953       0.000465095  -0.8       0.92      0.00389                 1
        1656   0.00429802       0.000219405      0.000131866  -0.8       0.92      0.00389                 1
        1658  -0.00913628       0.000280307      0.000466388  -0.8       0.92      0.00389                 1
        1660  -0.0199039        0.000610664      0.00101605   -0.8       0.92      0.00389                 1
        1662   0.00598752       0.000305651      0.000183701  -0.8       0.92      0.00389                 1
        1664   0.00851111       0.000434475      0.000261126  -0.8       0.92      0.00389                 1
        1666   0.00637896       0.000325633      0.00019571   -0.8       0.92      0.00389                 1
        1668  -0.00053321       1.63592e-05      2.72193e-05  -0.8       0.92      0.00389                 1
        1670   0.00124281       6.34428e-05      3.81302e-05  -0.8       0.92      0.00389                 1
        1672   0.00526979       0.000269012      0.000161681  -0.8       0.92      0.00389                 1
        1674   0.00613861       0.000313364      0.000188337  -0.8       0.92      0.00389                 1
