# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 1 and phase < 2
  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15      Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  ------------  -------------
        1604  -0.015513         0.000128625      0.000500507  1.2      0.92        0.00389                 1
        1606   0.0123388        0.000398095      0.000102306  1.2      0.92        0.00389                 1
        1608   0.0135492        0.000437148      0.000112342  1.2      0.92        0.00389                 1
        1610  -0.00317875       2.63564e-05      0.000102558  1.2      0.92        0.00389                 1
        1612   0.0396432        0.00127903       0.000328698  1.2      0.92        0.00389                 1
        1614   0.0290405        0.000936955      0.000240787  1.2      0.92        0.00389                 1
        1616   0.00209688       6.7653e-05       1.73861e-05  1.2      0.92        0.00389                 1
        1618   0.0289823        0.000935075      0.000240304  1.2      0.92        0.00389                 1
        1620  -0.0567678        0.000470685      0.00183154   1.2      0.92        0.00389                 1
        1622  -0.0787915        0.000653293      0.0025421    1.2      0.92        0.00389                 1
        1624  -0.00196085       1.62582e-05      6.32643e-05  1.2      0.92        0.00389                 1
        1626  -0.0149344        0.000123827      0.000481839  1.2      0.92        0.00389                 1
        1628   0.0117429        0.00037887       9.73655e-05  1.2      0.92        0.00389                 1
        1630  -0.0235465        0.000195234      0.000759697  1.2      0.92        0.00389                 1
        1632   0.011574         0.000373419      9.59647e-05  1.2      0.92        0.00389                 1
        1634   0.0433967        0.00140014       0.00035982   1.2      0.92        0.00389                 1
        1636   0.0262035        0.000845421      0.000217264  1.2      0.92        0.00389                 1
        1638   0.0153888        0.000496498      0.000127595  1.2      0.92        0.00389                 1
        1640  -0.0106488        8.82933e-05      0.000343568  1.2      0.92        0.00389                 1
        1642   0.00504245       0.000162688      4.18091e-05  1.2      0.92        0.00389                 1
        1644   0.011414         0.000368256      9.46378e-05  1.2      0.92        0.00389                 1
        1646  -0.0123191        0.000102143      0.000397461  1.2      0.92        0.00389                 1
        1648   0.00274117       8.84402e-05      2.27282e-05  1.2      0.92        0.00389                 1
        1650  -6.72308e-05      5.57439e-07      2.16911e-06  1.2      0.92        0.00389                 1
        1652  -0.0114302        9.47725e-05      0.00036878   1.2      0.92        0.00389                 1
        1654   0.00950614       0.000306703      7.88193e-05  1.2      0.92        0.00389                 1
        1656  -0.0128382        0.000106447      0.000414209  1.2      0.92        0.00389                 1
        1658  -0.0161783        0.000134141      0.000521972  1.2      0.92        0.00389                 1
        1660  -0.0138527        0.000114859      0.00044694   1.2      0.92        0.00389                 1
        1662  -0.0161704        0.000134076      0.000521717  1.2      0.92        0.00389                 1
        1664  -0.00501693       4.15974e-05      0.000161864  1.2      0.92        0.00389                 1
        1666   0.00467637       0.000150877      3.87737e-05  1.2      0.92        0.00389                 1
        1668  -0.0121062        0.000100377      0.00039059   1.2      0.92        0.00389                 1
        1670  -0.000564226      4.67823e-06      1.8204e-05   1.2      0.92        0.00389                 1
        1672   0.0153371        0.000494833      0.000127167  1.2      0.92        0.00389                 1
        1674   0.0206976        0.000667781      0.000171612  1.2      0.92        0.00389                 1
        1676  -0.000577412      4.78756e-06      1.86294e-05  1.2      0.92        0.00389                 1
        1678   0.00846174       0.000273007      7.01598e-05  1.2      0.92        0.00389                 1
        1680   0.0112396        0.000362631      9.31922e-05  1.2      0.92        0.00389                 1
        1682   0.00853322       0.000275313      7.07524e-05  1.2      0.92        0.00389                 1
        1684   0.00376969       0.000121624      3.12561e-05  1.2      0.92        0.00389                 1
        1686   0.0010297        3.32221e-05      8.5377e-06   1.2      0.92        0.00389                 1
        1688   0.00843158       0.000272034      6.99097e-05  1.2      0.92        0.00389                 1
        1690   0.009921         0.000320088      8.22591e-05  1.2      0.92        0.00389                 1
        1692   0.00965425       0.000311481      8.00473e-05  1.2      0.92        0.00389                 1
        1694   0.00374463       0.000120816      3.10483e-05  1.2      0.92        0.00389                 1
        1696   0.00118646       3.82796e-05      9.83743e-06  1.2      0.92        0.00389                 1
        1698  -0.0108511        8.99708e-05      0.000350096  1.2      0.92        0.00389                 1
        1700   0.00708888       0.000228713      5.87768e-05  1.2      0.92        0.00389                 1
        1702   0.000519693      1.67672e-05      4.30899e-06  1.2      0.92        0.00389                 1
        1704   0.00176409       5.6916e-05       1.46268e-05  1.2      0.92        0.00389                 1
        1706   0.00844541       0.00027248       7.00244e-05  1.2      0.92        0.00389                 1
        1708  -0.00791234       6.56045e-05      0.000255281  1.2      0.92        0.00389                 1
        1710  -0.00256596       2.12754e-05      8.27873e-05  1.2      0.92        0.00389                 1
        1712   0.0180468        0.000582257      0.000149634  1.2      0.92        0.00389                 1
        1714   0.00431287       0.000139149      3.57597e-05  1.2      0.92        0.00389                 1
        1716   0.0126314        0.000407535      0.000104732  1.2      0.92        0.00389                 1
        1718   0.00371901       0.000119989      3.08359e-05  1.2      0.92        0.00389                 1
        1720   0.00211429       6.82147e-05      1.75304e-05  1.2      0.92        0.00389                 1
        1722  -0.00551105       4.56944e-05      0.000177807  1.2      0.92        0.00389                 1
        1724   0.00252453       8.14505e-05      2.09319e-05  1.2      0.92        0.00389                 1
        1726   0.0135414        0.000436894      0.000112277  1.2      0.92        0.00389                 1
        1728   0.0162478        0.000524213      0.000134717  1.2      0.92        0.00389                 1
        1730   0.0177804        0.000573662      0.000147425  1.2      0.92        0.00389                 1
        1732   0.00754827       0.000243535      6.25858e-05  1.2      0.92        0.00389                 1
        1734   0.0106036        0.000342112      8.7919e-05   1.2      0.92        0.00389                 1
        1736  -0.000861578      7.14369e-06      2.77977e-05  1.2      0.92        0.00389                 1
        1738  -0.00711621       5.90034e-05      0.000229595  1.2      0.92        0.00389                 1
        1740   0.00906121       0.000292348      7.51302e-05  1.2      0.92        0.00389                 1
        1742   0.00501599       0.000161834      4.15896e-05  1.2      0.92        0.00389                 1
        1744  -0.00285338       2.36585e-05      9.20605e-05  1.2      0.92        0.00389                 1
        1746  -0.00390704       3.23948e-05      0.000126055  1.2      0.92        0.00389                 1
        1748   0.00211985       6.83941e-05      1.75765e-05  1.2      0.92        0.00389                 1
        1750   0.0033903        0.000109383      2.81104e-05  1.2      0.92        0.00389                 1
        1752  -0.00429845       3.56402e-05      0.000138684  1.2      0.92        0.00389                 1
        1754  -0.0092746        7.68995e-05      0.000299233  1.2      0.92        0.00389                 1
        1756  -0.00542996       4.5022e-05       0.00017519   1.2      0.92        0.00389                 1
        1758   0.00289112       9.32781e-05      2.39714e-05  1.2      0.92        0.00389                 1
        1760   0.0136138        0.000439233      0.000112878  1.2      0.92        0.00389                 1
        1762   0.00408767       0.000131883      3.38926e-05  1.2      0.92        0.00389                 1
        1764   0.00429009       0.000138414      3.55709e-05  1.2      0.92        0.00389                 1
        1766   0.00114827       3.70474e-05      9.52077e-06  1.2      0.92        0.00389                 1
        1768   0.00747832       0.000241278      6.20059e-05  1.2      0.92        0.00389                 1
        1770   0.00890246       0.000287226      7.3814e-05   1.2      0.92        0.00389                 1
        1772   0.00416699       0.000134442      3.45502e-05  1.2      0.92        0.00389                 1
        1774   0.00429988       0.00013873       3.56521e-05  1.2      0.92        0.00389                 1
        1776   0.0040535        0.000130781      3.36093e-05  1.2      0.92        0.00389                 1
        1778   0.00143161       4.61891e-05      1.18701e-05  1.2      0.92        0.00389                 1
        1780   0.00601256       0.000193987      4.98526e-05  1.2      0.92        0.00389                 1
        1782   0.016239         0.000523931      0.000134645  1.2      0.92        0.00389                 1
        1784   0.00918239       0.000296258      7.6135e-05   1.2      0.92        0.00389                 1
        1786  -0.000967251      8.01988e-06      3.12071e-05  1.2      0.92        0.00389                 1
        1788  -0.0019998        1.65812e-05      6.45209e-05  1.2      0.92        0.00389                 1
        1790   0.00456689       0.000147345      3.78659e-05  1.2      0.92        0.00389                 1
        1792   0.00680166       0.000219447      5.63954e-05  1.2      0.92        0.00389                 1
        1794   0.00655479       0.000211482      5.43485e-05  1.2      0.92        0.00389                 1
        1796   0.00384261       0.000123977      3.18606e-05  1.2      0.92        0.00389                 1
        1798   0.00642085       0.00020716       5.32379e-05  1.2      0.92        0.00389                 1
        1800   0.00524481       0.000169217      4.34869e-05  1.2      0.92        0.00389                 1
        1802   0.00393141       0.000126842      3.25969e-05  1.2      0.92        0.00389                 1
        1804   0.000907002      2.92632e-05      7.52033e-06  1.2      0.92        0.00389                 1
        1806   0.00511978       0.000165183      4.24502e-05  1.2      0.92        0.00389                 1
        1808   0.00696772       0.000224804      5.77722e-05  1.2      0.92        0.00389                 1
        1810  -0.00032723       2.7132e-06       1.05576e-05  1.2      0.92        0.00389                 1
        1812  -0.00479605       3.9766e-05       0.000154738  1.2      0.92        0.00389                 1
        1814   0.00994492       0.00032086       8.24574e-05  1.2      0.92        0.00389                 1
        1816   0.0111584        0.000360012      9.25192e-05  1.2      0.92        0.00389                 1
        1818   0.00206355       6.65777e-05      1.71097e-05  1.2      0.92        0.00389                 1
        1820  -0.00357163       2.96139e-05      0.000115234  1.2      0.92        0.00389                 1
        1822   0.00473384       0.000152731      3.92502e-05  1.2      0.92        0.00389                 1
        1824   0.00648911       0.000209362      5.38039e-05  1.2      0.92        0.00389                 1
        1826   0.0116642        0.000376329      9.67123e-05  1.2      0.92        0.00389                 1
        1828   0.0105884        0.00034162       8.77925e-05  1.2      0.92        0.00389                 1
        1830  -0.00260829       2.16264e-05      8.41529e-05  1.2      0.92        0.00389                 1
        1832  -0.000904688      7.50114e-06      2.91886e-05  1.2      0.92        0.00389                 1
        1834   0.00298291       9.62397e-05      2.47325e-05  1.2      0.92        0.00389                 1
        1836   0.0146726        0.000473393      0.000121657  1.2      0.92        0.00389                 1
        1838   0.00896366       0.000289201      7.43214e-05  1.2      0.92        0.00389                 1
        1840   0.0061944        0.000199854      5.13603e-05  1.2      0.92        0.00389                 1
        1842   0.00288405       9.30502e-05      2.39129e-05  1.2      0.92        0.00389                 1
        1844   0.00179429       5.78904e-05      1.48772e-05  1.2      0.92        0.00389                 1
        1846   0.00459575       0.000148276      3.81052e-05  1.2      0.92        0.00389                 1
        1848   0.00737429       0.000237922      6.11433e-05  1.2      0.92        0.00389                 1
        1850   0.0145953        0.000470899      0.000121016  1.2      0.92        0.00389                 1
        1852   0.00299891       9.67559e-05      2.48652e-05  1.2      0.92        0.00389                 1
        1854   0.00770733       0.000248667      6.39047e-05  1.2      0.92        0.00389                 1
        1856   0.0128017        0.00041303       0.000106144  1.2      0.92        0.00389                 1
        1858   0.0082179        0.00026514       6.81379e-05  1.2      0.92        0.00389                 1
        1860   0.00411816       0.000132867      3.41454e-05  1.2      0.92        0.00389                 1
        1862   0.00685533       0.000221178      5.68404e-05  1.2      0.92        0.00389                 1
        1864   0.000882218      2.84636e-05      7.31483e-06  1.2      0.92        0.00389                 1
        1866   0.00607456       0.000195988      5.03667e-05  1.2      0.92        0.00389                 1
        1868   0.00932527       0.000300868      7.73197e-05  1.2      0.92        0.00389                 1
        1870   0.00798466       0.000257614      6.62041e-05  1.2      0.92        0.00389                 1
        1872   0.0508091        0.0372698        0.47316      1.20058  0.971182    0.0042321               3
        1874   0.01062          0.01749          0.146598     1.20043  0.970028    0.00422622              3
        1876   0.0157647        0.0222798        0.212516     1.20028  0.96896     0.00422083              3
        1878   0.0269515        0.012258         0.166625     1.20015  0.967979    0.00421594              3
        1880   0.0186215        0.0081367        0.108748     1.20002  0.967083    0.00421154              3
        1882   0.0381753        0.023714         0.350656     1.1999   0.966271    0.00420762              3
        1884  -0.0339336        0.148471         0.0464815    1.28859  0.985515    0.00460469              4
        1886  -0.0511475        0.118809         0.0371278    1.28956  0.975248    0.00502865              5
        1888   0.0184189        0.0553978        0.0655905    1.28946  0.974826    0.00502715              5
        1890   0.0256275        0.0217895        0.0567962    1.28942  0.974575    0.00502182              5
        1892   0.0384212        0.0208256        0.101175     1.28949  0.974326    0.00502                 5
        1894   0.0221751        0.00952366       0.0500484    1.28966  0.97402     0.00502421              5
        1896   0.00727733       0.023119         0.0142227    1.28992  0.973694    0.00503267              5
